Unnamed: 0,Product name,MRP,Selling Price,Tag,PerUnitPrice,Brand,Quantity,Unit,Pack of,Discount,Discount Percentage,Price Per Unit(Kg/L)
874, Maggi Vegetarian Magic Cubes 40 g ,35.0,32.0,,,MAGGI,40.0,g,1,3.0,8.57,800.0
875, Snactac All In One Mixture 1 kg ,380.0,190.0,,,SNACTAC,1.0,kg,1,190.0,50.0,190.0
876, MTR Instant Upma Mix 160 g ,55.0,51.0,,,MTR,160.0,g,1,4.0,7.27,318.75
877, MTR Roasted Vermicelli 850 g ,115.0,99.0,,,MTR,850.0,g,1,16.0,13.91,116.47
878, Haldiram's Bhujia Range 750 gm Pack of 5 ,370.0,370.0,,,HALDIRAM'S NAGPUR,750.0,gm,5,0.0,0.0,98.67
879, Inchi Veg Hakka Noodles 900 g ,220.0,110.0,,,INCHI,900.0,g,1,110.0,50.0,122.22
880, Kellogg's Corn Flakes 250 g ,115.0,106.0,,,KELLOGG'S,250.0,g,1,9.0,7.83,424.0
881, Harika Foods Homemade Ready to Eat MASALA CHAKLI | Kerala Special Ari Murukku Snacks Namkeen (200gm) ,899.0,215.0,,,HARIKA FOODS,200.0,gm,1,684.0,76.08,1075.0
882, Pringles Fusion Chutney Flavoured Potato Crisps 107 g ,115.0,105.0,,,PRINGLES,107.0,g,1,10.0,8.7,981.31
883, Act II Tandoori Tadka Instant Popcorn 70 g ,35.0,32.0,,,ACT II,70.0,g,1,3.0,8.57,457.14
884, MANTOUSS Diwali dry fruits tray/diwali dry fruits gift box/diwali dry fruits gift hamper/Diwali gift hamper-Decorated tray+200 gms of cashew+200 gms of almonds+200gms of raisins+Diwali greeting card ,1800.0,999.0,,,MANTOUSS,200.0,gms,1,801.0,44.5,4995.0
885," Puzzles Crispy Soya Sticks (Diet - Low Oil) Namkeen with Indian Spices | India's Favourite Snack Made with All-Natural Ingredients | Snacks for Tea, Coffee, or Cold Drinks | Pack of 2 ",110.0,110.0,,,PUZZLES,2.0,none,2,0.0,0.0,
886, YFP Bikaneri Sponge Rasgulla Tin Pack 1kg (Pack of 2) ,470.0,450.0,,,YFP BIKANERI,1.0,kg,2,20.0,4.26,225.0
887, Weikfield Red Chilli Sauce 200 g ,60.0,40.0,,,WEIKFIELD,200.0,g,1,20.0,33.33,200.0
888, Parle Monaco Pizza Flavour Masala Crunch Biscuits 100 g ,50.0,25.0,,,PARLE,100.0,g,1,25.0,50.0,250.0
889," Jain Combo Without Onion/garlic/Potato Soya Sauce (200gm),green Chilli Sauce (200gm),Red Chilli Sauce (200gm) (Pack of 3) ",270.0,170.0,,,K3 MASALA,200.0,gm,3,100.0,37.04,283.33
890," Yogabar Instant Oats 1kg Pack of 2 | Premium Oats, Ready to Cook, Gluten Free Oats with High Fibre, 100% Whole Grain, Non-GMO, 2Kg ",598.0,399.0,,,YOGABAR,1.0,kg,2,199.0,33.28,199.5
891, Snactac Sour Cream & Onion Potato Chips 78 g ,40.0,26.0,,,SNACTAC,78.0,g,1,14.0,35.0,333.33
892, Cadbury Bournvita Biscuits Super Value Pack 120 g ,35.0,32.0,,,BOURNVITA,120.0,g,1,3.0,8.57,266.67
893, Kellogg's Muesli With Almonds & Raisins Nut Delight 500 g ,360.0,323.0,,,KELLOGG'S,500.0,g,1,37.0,10.28,646.0
894," Galaxy Silky Smooth Milk Chocolate Bar 56g, (Pack of 8) ",640.0,465.0,,,GALAXY,56.0,g,8,175.0,27.34,1037.95
895, Ching's Secret Schezwan Instant Noodles 60 g ,20.0,18.0,,,CHING'S SECRET,60.0,g,1,2.0,10.0,300.0
896, Garden Nylon Sev 150 g ,55.0,39.0,,,GARDEN,150.0,g,1,16.0,29.09,260.0
897, Haldiram's Kaju Katli 400 g X 1 Box ,625.0,545.0,,,HALDIRAM''S BHUJIA (DE.),400.0,g,1,80.0,12.8,1362.5
898," Meishi Vietnamese Gluten Free Spring Rice Paper Roll, 340gm (22 cm) ",345.0,294.0,,,MEISHI,340.0,gm,1,51.0,14.78,864.71
899, Fabbites Cracker Shape Chocolate And Dry Fruit Gift Box Handmade 280 G ,799.0,499.0,,,FABBITES,280.0,g,1,300.0,37.55,1782.14
900, Denali Foods Premium Dark & White Compound Slab Bars Combo (2 x 400 g) ,490.0,259.0,,,DENALI FOODS,2.0,none,1,231.0,47.14,
901, Cadbury Temptations Almond Treat Chocolate 72 g ,110.0,102.0,,,CADBURY,72.0,g,1,8.0,7.27,1416.67
902, Cadbury Temptations Rum & Raisins Chocolate 72 g ,110.0,102.0,,,CADBURY,72.0,g,1,8.0,7.27,1416.67
903, Kellogg's Moons & Stars Chocos 375 g ,215.0,199.0,,,KELLOGG'S,375.0,g,1,16.0,7.44,530.67
904," Gulab Jamun Powder Instant Mix 1Kg (Tasty, Soft & Delicious Indian Dessert, Easy to cook) (Pouch) ",480.0,269.0,,,ARCHITA SHUDHI,1.0,kg,1,211.0,43.96,269.0
905, Wingreens Farms Chipotle Mayo 180 g ,75.0,49.0,,,WINGREENS FARMS,180.0,g,1,26.0,34.67,272.22
906, Pillsbury Eggless Choco Cooker Cake Mix 159 g ,135.0,90.0,,,PILLSBURY,159.0,g,1,45.0,33.33,566.04
907, Desi Kitchen Maharashtrian Mixed Veg Pickle 400 g ,125.0,62.0,,,DESI KITCHEN,400.0,g,1,63.0,50.4,155.0
908, Kwality Corn Flakes 1kg Pouch ,490.0,399.0,,,KWALITY,1.0,kg,1,91.0,18.57,399.0
909, Virgo Instant Dry Yeast 130 gms ,299.0,129.0,,,VIRGO,130.0,gms,1,170.0,56.86,992.31
910, Kellogg's Almonds & Cranberries Crunchy Granola 460 g ,380.0,353.0,,,KELLOGG'S,460.0,g,1,27.0,7.11,767.39
911, Yogabar Breakfast Bars Variety Pack of 2 | Daily Protein Snack | High Energy & Nutrition Bars | 8g Protein & 7g Fibre Protein bars | Pack of 12 x 50g Energy Bars | 100%Vegan & No Preservatives ,598.0,299.0,,,YOGABAR,8.0,g,2,299.0,50.0,18687.5
912, Shareat Foochka Ready To Fry Panipuri Water Balls 200 g ,69.0,25.0,,,SHAREAT,200.0,g,1,44.0,63.77,125.0
913, Lal Sweets Mysore Pak Signature 200g(Pack Of 1) || Sweets || Cow Ghee || Indian Sweets || Mithai ,349.0,229.0,,,LAL,200.0,g,1,120.0,34.38,1145.0
914, Sartaj Sweet Petha Tin Pack | Indian Sweets | Agra Petha Mithai | 1kg Tin Pack ,220.0,195.0,,,SARTAJ,1.0,kg,1,25.0,11.36,195.0
915, Parle 20-20 Nice Coconut Biscuits 150 g ,30.0,27.0,,,PARLE,150.0,g,1,3.0,10.0,180.0
916, Bambino Instant Gulab Jamun Mix 1kg ,300.0,290.0,,,BAMBINO,1.0,kg,1,10.0,3.33,290.0
917," Marwar Papad Moong Dal Special (Handmade, Medium Spicy & Rajasthani Flavor) Special 400gm Zipper Pack of 1 ",220.0,199.0,,,MARWAR,400.0,gm,1,21.0,9.55,497.5
918, Kellogg's Chocos Duet 24 g ,10.0,10.0,,,KELLOGG'S,24.0,g,1,0.0,0.0,416.67
919," Momsy Premium Home Made, Mother Hand Made Herbal Amla Murabba (450gm) ",299.0,169.0,,,MOMSY,450.0,gm,1,130.0,43.48,375.56
920, Inchi Rice Hakka Noodles 150 g ,55.0,27.0,,,INCHI,150.0,g,1,28.0,50.91,180.0
921, Rasna Healthy Day Pure Honey 250 g ,115.0,57.0,,,RASNA,250.0,g,1,58.0,50.43,228.0
922, Amul Margherita Pizza 210 g ,130.0,118.0,,,AMUL,210.0,g,1,12.0,9.23,561.9
923, Pickwick Dark Chocolate Wafer Rolls 150 g ,185.0,92.0,,,PICKWICK,150.0,g,1,93.0,50.27,613.33
924, Cadbury Cocoa Powder 150 g ,255.0,217.0,,,CADBURY,150.0,g,1,38.0,14.9,1446.67
925, Hershey's Kisses Milk Chocolate 36 g ,50.0,46.0,,,HERSHEY'S,36.0,g,1,4.0,8.0,1277.78
926, Haldiram Bhujiawala Chatak Bhujia Namkeen - Pack of 4 (400 Grams) Each ,520.0,460.0,,,HALDIRAM BHUJIAWALA,4.0,each,4,60.0,11.54,
927," Bake King Instant Dry Yeast Powder for kulchas, naans, pizza, pao, breads making Yeast Powder (100 g) ",300.0,140.0,,,BAKE KING,100.0,g,1,160.0,53.33,1400.0
928, Sunfeast Farmlite Active Oats Biscuits With Raisins 150 g ,65.0,60.0,,,SUNFEAST FARMLITE,150.0,g,1,5.0,7.69,400.0
929, Dabur Hommade Rajasthan Garlic Chutney 200 g ,95.0,47.0,,,DABUR HOMMADE,200.0,g,1,48.0,50.53,235.0
930, True Elements Rolled Oats 1.2kg -Buy 1 Get 1 FREE - Rolled Oats that Keeps you Full till Lunch |100% Natural and Gluten Free Oats |Oats for Weight Loss Management ,960.0,575.0,,,TRUE ELEMENTS,1.2,kg,1,385.0,40.1,479.17
931," Thanjai Natural Karuppu Kavuni Noodles 180 Grams of Homemade Natural Millet Noodles( No Preservatives, No Chemicals, No Artificial Extract) ",299.0,162.0,,,THANJAI NATURAL,4.0,each,1,137.0,45.82,
932, Del Monte Food Craft Penne Pasta 450 g ,160.0,80.0,,,DEL MONTE,450.0,g,1,80.0,50.0,177.78
933, Kissan Crunchy Peanut Butter 350 g ,175.0,135.0,,,KISSAN,350.0,g,1,40.0,22.86,385.71
934," Haldiram's Nagpur Kaju Katli, Badam Katli, Mini Kaju Katli (Pack of 3-250 gm Each) ",913.0,913.0,,,HALDIRAM'S NAGPUR,1.0,na,3,0.0,0.0,
935, Denali Premium Milk & Dark Compound Slab Bars (2 x 0.4 kg) ,480.0,275.0,,,DENALI FOODS,1.0,na,1,205.0,42.71,
936, Kellogg's Fruit & Nut Crunchy Muesli 240 g ,185.0,172.0,,,KELLOGG'S,240.0,g,1,13.0,7.03,716.67
937, Momsy Premium Ajwain Multigrain Biscuit | High Fibre Digestive Cookies | No Refined Sugar (450gm) ,599.0,256.0,,,MOMSY,450.0,gm,1,343.0,57.26,568.89
938, Archita Shudhi Gulab Jamun Powder Mix (Buy 1 Get 1 FREE) - Easy to make & Delicious ,180.0,175.0,,,ARCHITA SHUDHI,1.0,na,1,5.0,2.78,
939," LuvIt Dairy Rich Chocolates Bar | Combo Pack of Milk, Fruit & Nut, Roasted Almond | Pack of 6 - 210g ",240.0,190.0,,,LUVIT,210.0,g,6,50.0,20.83,150.79
940, Priyagold Snacks Zig Zag Biscuits 150 g ,45.0,30.0,,,PRIYAGOLD,150.0,g,1,15.0,33.33,200.0
941, Veeba Creamy Peanut Butter 340 g ,169.0,99.0,,,VEEBA,340.0,g,1,70.0,41.42,291.18
942, MidBreak - Sugar Free Atta Biscuits | Sugar Free Atta Cookies | Atta Biscuits | Premium Handmade Cookies | 300 Gm | Pack of 1 ,210.0,189.0,,,MIDBREAK,300.0,gm,1,21.0,10.0,630.0
943, Funfoods Cheese & Chilli Sandwich Spread 250 g ,89.0,82.0,,,FUNFOODS,250.0,g,1,7.0,7.87,328.0
944, True Elements Rolled Oats 1 kg -Buy 1 Get 1 FREE - Rolled Oats that Keeps you Full till Lunch |100% Natural and Gluten Free Oats |Oats for Weight Loss Management ,800.0,478.0,,,TRUE ELEMENTS,1.0,kg,1,322.0,40.25,478.0
945," Okhli Musal Brand Khari Puff, Tea Time Snacks, Namkeen Snacks ,Family Pack ,Cookies Biscuit - 150gm|Fan Khari, Crunchy Tea Time Snack Biscuits, Fan biscuit, Cookies ",599.0,204.0,,,OKHLI MUSAL BRAND,150.0,gm,1,395.0,65.94,1360.0
946, Saffola Karara Crunch Masala Oats 42 g ,18.0,16.0,,,SAFFOLA,42.0,g,1,2.0,11.11,380.95
947," HF, Surya 400gm Rose Soan Papdi, with real rose petals |Best Indian Sweet ",200.0,149.0,,,"HF, SURYA",400.0,gm,1,51.0,25.5,372.5
948, Galaxy Smooth Milk Chocolate 30 g ,50.0,46.0,,,GALAXY,30.0,g,1,4.0,8.0,1533.33
949," Gift Pack Combo Chocolate Eclair, Milk Eclair, Hazelnut Eclair, Butter Toffee & Cn Joy Gift Pack ",300.0,285.0,,,MULBERRY,210.0,g,1,15.0,5.0,1357.14
950, Haldiram s Nagpur Mathura peda (250g*2) (Pack of 2) ,380.0,380.0,,,HALDIRAM'S NAGPUR,250.0,g,2,0.0,0.0,760.0
951, Aakash Ratlami Sev 900 g ,260.0,215.0,,,AAKASH,900.0,g,1,45.0,17.31,238.89
952, Quaker Oats| Rolled Oats| Natural Wholegrain| 1 Kg Each| Pack of 2| 2 Kg ,595.0,595.0,,,QUAKER,1.0,kg,2,0.0,0.0,297.5
