,Product name,MRP,Selling Price,Tag,PerUnitPrice,Brand
61, Good Life Tur Dal 1 kg ,266,211,None,None,GOOD LIFE
62, Sunday Refined Sunflower Oil 1 L ,189,109,None,None,SUNDAY
63, India Gate Mini Mogra-II Basmati Rice 10 kg ,496,429,None,( 42.90/1 kg),INDIA GATE
64, Tata Sampann White Poha 500 g ,53,35,None,None,TATA SAMPANN
65, Anjeer 100% Natural Anjeer (Dry Figs) 500g ,899,399,None,None,ANJANI
66, Gowardhan Pure Cow Ghee 1 L (Jar) ,749,665,None,None,GOWARDHAN
67, Gowardhan Cow Ghee 1 L (Pack of 2) Pouch With Lock & Seal Container ,"1,450.00","1,249.00",None,None,GOWARDHAN
68, Happilo 1kg Popular Almond California ,"1,250.00",799,None,None,HAPPILO
69, Good Life Thick Poha / Aval 1 kg ,75,63,None,None,GOOD LIFE
70, Daawat Rozana Super Basmati Rice 1 kg ,98,75,None,None,DAAWAT
71, Aashirvaad Multigrain Atta 5 kg ,359,309,None,( 61.80/1 kg),AASHIRVAAD
72, RUNUTZ 500g Cashew Nuts (250g X 2) ,590,395,None,None,RUNUTZ
73, Saffola Gold Rice Bran Based Blended Oil 3 L ,690,399,None,( 133.00/1 l),SAFFOLA
74, Fortune Physically Refined Rice Bran Oil 1 L (Pouch) ,165,127,None,None,FORTUNE
75, Besan 500 g ,95,45,None,None,PRIVATE LABEL
76," Horaira Nutz Natural & Fresh Figs , Anjeer 1kg ( 500g x 2 ) ","1,498.00",649,None,None,HORAIRA NUTZ
77, Gulab Gold Filtered Groundnut Oil 5 L ,"1,347.00",999,None,( 199.80/1 l),GULAB
78, Safola Gold Multisource Blended Refined Edible Oil 5 L (Can) + 1 L Free (Pouch) ,945,855,None,( 142.50/1 l),SAFFOLA
79, Moong Dal 2 kg ,340,233,None,None,PRIVATE LABEL
80, Fortune Chakki Fresh Atta 5 kg ,245,199,None,( 39.80/1 kg),FORTUNE
81, Navjeevan 500g Green Cardamom | Green Elaichi ,"2,150.00",849,None,( 169.80/100 g),NAVJEEVAN
82, Good Life MP Wheat Chakki Atta 1 kg ,50,43,None,None,GOOD LIFE
83, Fortune Superfine Besan 500 g ,80,53,None,None,FORTUNE
84, Good Life Jeera 200 g ,305,175,None,( 43.75/50 g),GOOD LIFE
85, Good Life Kabuli Chana 500 g ,134,111,None,None,GOOD LIFE
86, Chana Dal 2 kg ,240,172,None,None,PRIVATE LABEL
87, Maida 500 g ,53,25,None,None,PRIVATE LABEL
88, Good Life Moong Dal 500 g ,96,73,None,None,GOOD LIFE
89, Besan 1 kg ,190,90,None,None,PRIVATE LABEL
90, Gulab Gold Filtered Groundnut Oil 1 L ,264,195,None,None,GULAB
91, Fortune Sunlite Refined Sunflower Oil 15 L (Can) ,"2,150.00","1,675.00",None,( 111.67/1 l),FORTUNE
92, Daawat Rozana Super Basmati Rice 5 kg ,486,359,None,None,DAAWAT
93, Good Life Chana Dal 500 g ,70,52,None,None,GOOD LIFE
94, Anjani Anjeer 100% Natural Dry Figs/Anjeer 1 kg ,"1,599.00",749,None,None,ANJANI
95, Daawat Sonamasoori Rice 10 kg ,816,605,None,( 60.50/1 kg),DAAWAT
96, Dhara Nourish Vit A E Refined Sunflower Oil 1 L ,150,112,None,None,DHARA
97, Fortune Rozana Dubar Basmati Rice 5 kg ,585,429,None,None,FORTUNE
98, Sunrich Refined Sunflower Oil 899 g ,152,102,None,None,SUNRICH
99, Nestle EveryDay Ghee 1 L (Carton) ,630,579,None,None,NESTLE
100, Good Life Whole Moong 500 g ,95,72,None,None,GOOD LIFE
101, Daawat Rozana Gold Basmati Rice 5 kg ,560,395,None,None,DAAWAT
102, 41 foods Almonds Pistachios Cashews Raisins Walnuts Combo Pack | Kaju Pista Badam Akhrot Kishmish (150GM x 5) 750 GM ,"2,099.00",573,None,None,41 FOODS
103, Fortune Suji / Semolina 500 g ,39,26,None,None,FORTUNE
104, Freshtige 100% Natural and Premium Healthy Mix Dry Fruits 1kg(500gms*2)|Fresh and Healthy Dry Fruits ,"1,499.00",599,None,None,FRESHTIGE
105, Amul Pure Ghee 1 L (Tin) ,650,615,None,None,AMUL
106, Good Life Big Mustard 100 g ,25,15,None,( 7.50/50 g),GOOD LIFE
107," Farmley Handpicked Gold Makhana ( Fox Nuts) , 500g (Pack of 2, Each 250g) ",600,499,None,None,FARMLEY
108, Regular Value Pack Plain Cashews 500 g ,500,355,None,None,PRIVATE LABEL
109, Nutri Binge 500g Pistachios Roasted & Salted California ,920,629,None,None,NUTRI BINGE
110, Maggi Masala Ae Magic 6 g (Pack of 12) ,60,55,None,None,MAGGI
111, India Gate Mogra Basmati Rice 10 kg ,800,655,None,( 65.50/1 kg),INDIA GATE
112, Nutraj California Walnuts InShell 1 kg (500gm x 2) ,"1,098.00",529,None,( 264.50/500 g),NUTRAJ
113, Tata Sampann Unpolished Toor / Arhar Dal 500 g ,143,132,None,None,TATA SAMPANN
114, Mount 84 Rock Salt 1 kg ,99,49,None,None,DR. BRAND
115, Tata Sampann Unpolished Moong Dal 500 g ,105,97,None,None,TATA SAMPANN
116, Gulab Sungold Refined Sunflower Oil 15 L (Jar) ,"3,589.00","1,609.00",None,( 107.27/1 l),GULAB
117, Daawat Devaaya Everyday Rice 5 kg ,600,300,None,None,DAAWAT
118," RED ROSE MINI MONGRA BASMATI RICE, 30 KG ","1,699.00","1,499.00",None,( 49.97/1 kg),RED ROSE
119, Elina Long Grain Rice 1 kg ,195,65,None,None,ELINA
120, 921 CLASSIC BIRYANI SPECIAL BASMATI RICE 5 KG (Long grain 1121 Rice XXXL) ,925,649,None,( 129.80/1 kg),921
121, Good Life Masoor Dal 500 g ,69,57,None,None,GOOD LIFE
122," Horaira Nutz Premium Dry fruits Combo Pack 500g Almond , Cashews ( Pack of 2 _ Each 250g ) ",999,513,None,None,HORAIRA NUTZ
123, Fortune Rozana Basmati Rice 5 kg Bag + Fortune Rice Bran Health Physically Refined Rice Bran Oil 5 L PET Combo ,"1,425.00",999,None,None,FORTUNE+FORTUNE
124, GKD's Premium 2 L Pure Coconut Oil Jar ,760,599,None,None,GKD'S PREMIUM
125, Amul Pure Ghee 500 ml (Pouch) ,320,299,None,None,AMUL
126, RUNUTZ 1kg Cashew Nuts (250g X 4) ,"1,180.00",739,None,None,RUNUTZ
127, Good Life Roasted Chana Dal / Split Bengal Gram 500 g ,80,67,None,None,GOOD LIFE
128, Emami Healthy & Tasty Kachi Ghani Mustard Oil 1 L (Pouch) ,210,129,None,None,EMAMI
129, Tata Sampann Unpolished Chilka Moong 500 g ,99,92,None,None,TATA SAMPANN
130, Gemini Refined Soyabean Oil 1 L ,140,103,None,None,GEMINI
131, Amul Cow Ghee 1 L (Pouch) ,650,595,None,None,AMUL
132, Good Life Small Brown Chana 500 g ,69,53,None,None,GOOD LIFE
133, Wonderland Foods Premium Raisins 500 g ,300,109,None,None,WONDERLAND FOODS
134, Go Crackers 2kg Broken Walnuts Kernels Amber without Shell (250g x 8) ,"2,360.00",857,None,None,GO
135, Mother Dairy Cow Ghee 1 L (Pouch) ,685,575,None,None,MOTHER DAIRY
136, Good Life Moong Dal 1 kg ,189,145,None,None,GOOD LIFE
137, Fortune Everyday Full Grain Basmati Rice 1 kg ,169,99,None,None,FORTUNE
138, Good Life Green Kishmish 500 g ,183,129,None,None,GOOD LIFE
139, Open Secret Kimia Dates 800g Premium Khajur ,500,281,None,None,OPEN SECRET
140, Tata Sampann Unpolished Moong Dal 1 kg ,209,194,None,None,TATA SAMPANN
141, Good Life Almonds 1 kg ,"1,050.00",695,None,None,GOOD LIFE
142, Wonderland Foods Platinum California Almonds 500 g ,725,299,None,None,WONDERLAND FOODS
143, Good Life Urad Dal 500 g ,97,80,None,None,GOOD LIFE
144, Aashirvaad Superior MP Whole Wheat Atta 1 kg ,61,55,None,None,AASHIRVAAD
145," Happilo Essentials Popular Whole Cashew W400 1kg, Healthy Snack, Source of Protein, Vitamin & Minerals, No Preservatives ","1,350.00",889,None,None,HAPPILO
146, Good Life Unpolished Toor Dal 1 kg ,272,235,None,None,GOOD LIFE
147, Broken Wheat / Daliya 500 g ,60,25,None,None,PRIVATE LABEL
148, Daawat Super Basmati Rice 1 kg ,220,139,None,None,DAAWAT
149, Nutraj Jumbo California Walnuts in Shell 1 kg ,999,619,None,( 309.50/500 g),NUTRAJ
150, Amul Cow Ghee 1 L (Tin) ,665,618,None,None,AMUL
151, Good Life Chilli Powder 100 g ,50,32,None,None,GOOD LIFE
152, Gowardhan Pure Cow Ghee 500 ml (Jar) ,385,345,None,None,GOWARDHAN
153, Good Life Toor Dal 500 g ,134,106,None,None,GOOD LIFE
154, Ziofit 1kg Popular Almonds Calfornia ,"1,250.00",799,None,None,ZIOFIT
155, Annprash White Sugar - 0.5 kg ,499,148,None,None,ANNPRASH
156, Patanjali Whole Wheat Atta with Bran 5 kg ,230,195,None,( 39.00/1 kg),PATANJALI
157, 921 CLASSIC BASMATI MOGRA | MUNGRA RICE - 30 KG ,"1,750.00","1,299.00",None,( 43.30/1 kg),921
158, Gulab Sungold Refined Sunflower Oil 1 L ,150,97,None,None,GULAB
159, Tata Lite Sodium Curtailed Iodised Salt 1 kg ,50,45,None,None,TATA
160, Fortune Sunlite Refined Sunflower Oil 15 L (Tin) ,"2,150.00","1,625.00",None,( 108.33/1 l),FORTUNE
161, Navjeevan Jeera 500g (Cumin) ,750,329,None,( 65.80/100 g),NAVJEEVAN
162, Good Life Chana Dal 1 kg ,138,99,None,None,GOOD LIFE
163, India Gate Rozana Basmati Rice 5 kg ,570,429,None,None,INDIA GATE
164, Jivo Cold Pressed Sunflower Oil 5 Ltr - Chemical free ,"1,350.00",799,None,None,JIVO
165," Farmley Popular California Almonds, 100% Natural, 2 Times Crunchier, 500 g ",899,449,None,None,FARMLEY
166, Date Crown Premium Fard Dates 500 g ,257,169,None,None,DATE CROWN
167, Suhana Simla Premium 1 Liter Danedar Cow Ghee | Pure Cow Ghee | 1Liter ,775,449,None,None,SUHANA SIMLA
168, Yogabar 500g Cashews W320 | 100% Natural Premium Whole Cashews | Whole Crunchy Cashew | Premium Kaju nuts | Nutritious & Delicious | Gluten Free & Plant based Protein ,600,449,None,None,YOGABAR
169, Gulab Classic Refined Cottonseed Oil 5 L ,782,555,None,( 111.00/1 l),GULAB
170, Good Life Compounded Hing Powder 50 g ,95,55,None,None,GOOD LIFE
171, India Gate Mini Mogra Basmati Rice 10 kg ,675,535,None,( 53.50/1 kg),INDIA GATE
172, Tulsi California Rozana Value Almonds 1 Kg ,"1,140.00",749,None,None,TULSI
173, Rice Villa Rozana Basmati Rice 26 Kg ,"2,600.00","1,559.00",None,( 59.96/1 kg),"RICE VILLA, DEVICE OF SHIELD, PADDY TREE"
174, Molsi's 1Kg Kimia Dates (500gX2) ,550,345,None,None,MOLSI'S
175, Good Life Masoor Dal 1 kg ,135,113,None,None,GOOD LIFE
176, Pyramid Traders 1KG Kashmiri Mamra Almonds (Badam Giri) ,"4,000.00","1,070.00",None,None,PYRAMID TRADERS
177, Good Life Soya Wadi / Chunks 200 g ,55,27,None,None,GOOD LIFE
178, Good Life Filtered Groundnut Oil 1 L ,215,179,None,None,GOOD LIFE
179, Fortune Soya Health Refined Soyabean Oil 5 L ,680,615,None,( 123.00/1 l),FORTUNE
180, Jubilee Regular Long Grain Rice 1 kg ,190,63,None,None,JUBILEE
181, BLK FOODS Select 500g Cashews Nuts (320 no. Kaju) ,"1,150.00",369,None,None,BLK FOODS
182, Good Life Thick Poha / Aval 500 g ,38,34,None,None,GOOD LIFE
183, Dhara Filtered Groundnut Oil 1 L (Pouch) ,255,205,None,None,DHARA
184, Fortune Mogra Basmati Rice 10 kg ,800,599,None,( 59.90/1 kg),FORTUNE
185, Parth Jaggery 950 g ,90,62,None,None,PARTH
186, Fortune Besan 1 kg ,160,106,None,None,FORTUNE
