,Product name,MRP,Selling Price,Tag,PerUnitPrice,Brand,Quantity,Unit,Pack of,Conversion,Platform
44, B Natural Guava Juice 1 L , 130.00 ,65.00,None,None,B NATURAL,1,l,1,Success,JoiMart
45, Mountain Dew 750 ml , 40.00 ,29.00,None,None,MOUNTAIN DEW,750,ml,1,Success,JoiMart
46," Biovitalia Organics Watermelon Flavored Nutraceutical Apple Cider Vinegar Effervescent Tablets - Boost Metabolism, Manage Weight & Support Digestion - 15 Tablets ", 399.00 ,349.00, sponsored ,None,BIOVITALIA ORGANICS,,none,1,Failed,JoiMart
47, Bournvita 750 g , 370.00 ,262.00,None,None,BOURNVITA,750,g,1,Success,JoiMart
48, Wagh Bakri Premium Leaf Tea 500 g , 290.00 ,239.00,None,None,WAGH BAKRI,500,g,1,Success,JoiMart
49, Wagh Bakri Premium Leaf Tea 250 g , 145.00 ,130.00,None,None,WAGH BAKRI,250,g,1,Success,JoiMart
50, Brooke Bond Red Label Natural Care Tea 500 g , 335.00 ,295.00,None,None,RED LABEL,500,g,1,Success,JoiMart
51, Tata Gold Leaf Tea 1 kg , 600.00 ,445.00,None,None,TATA TEA GOLD,1,kg,1,Success,JoiMart
52, Biovitalia Organics Premium Moringa Capsules - Nutrient-Rich Superfood with Protein & Vitamins - Moringa Oleifera Extract - 60 Vegan Capsules| ISO Certified| WHO GMP Animal Cruelty-Free| Gelatin Free , 390.00 ,349.00, sponsored ,None,BIOVITALIA ORGANICS,,none,1,Failed,JoiMart
53, Paper Boat Coconut Water 200 ml , 50.00 ,33.00,None,None,PAPER BOAT,200,ml,1,Success,JoiMart
54, B Natural Litchi Juice 1 L , 130.00 ,65.00,None,None,B NATURAL,1,l,1,Success,JoiMart
55, Red Label Natural Care Tea 1 kg , 650.00 ,499.00,None,None,RED LABEL,1,kg,1,Success,JoiMart
56, Coca Cola Original 250 ml (8 pcs) , 160.00 ,120.00,None,None,COCA COLA,250,ml,1,Success,JoiMart
57, Dabur Chyawanprash 3x Immunity With Awaleha 950 g , 395.00 ,335.00,None,None,DABUR,950,g,1,Success,JoiMart
58, Sprite 250 ml , 20.00 ,18.00,None,None,SPRITE,250,ml,1,Success,JoiMart
59," Nikunj Dhaba Special Leaf Tea, 1.5 kg Budget Pack ", 400.00 ,249.00,None,None,NIKUNJ,1.5,kg,1,Success,JoiMart
60, Coca Cola 600 ml , 38.00 ,32.00,None,None,COCA COLA,600,ml,1,Success,JoiMart
61, Pepsi 250 ml , 35.00 ,31.00,None,None,PEPSI,250,ml,1,Success,JoiMart
62, B Natural Orange Juice 1 L , 130.00 ,65.00,None,None,B NATURAL,1,l,1,Success,JoiMart
63, Thums Up 300 ml , 40.00 ,34.00,None,None,THUMS UP,300,ml,1,Success,JoiMart
64, Thums Up 250 ml , 20.00 ,18.00,None,None,THUMS UP,250,ml,1,Success,JoiMart
65, Horlicks Chocolate Delight 750 g , 375.00 ,255.00,None,None,HORLICKS,750,g,1,Success,JoiMart
66, Appy Fizz 600 ml , 35.00 ,32.00,None,None,APPY,600,ml,1,Success,JoiMart
67, Brooke Bond Red Label Leaf Tea 500 g , 300.00 ,265.00,None,None,RED LABEL,500,g,1,Success,JoiMart
