,Product name,MRP,Selling Price,Tag,PerUnitPrice,Brand
158, Cravova Classic Mojito 300 ml , 60.00 ,30.00,None,None,CRAVOVA
159, Complan Royal Chocolate Powdered Drink 500 g , 319.00 ,297.00,None,None,COMPLAN
160, Paper Boat Chilli Guava Fruit Juice 200 ml , 35.00 ,23.00,None,None,PAPER BOAT
161, Nature Day Jeera Sparkling Fruit Drink 600 ml , 60.00 ,30.00,None,None,NATURE DAY
162," Nescafe Gold Imported, 200 Gm "," 1,168.75 ",800.00, Imported ,None,NESCAFE
163, Wagh Bakri Navchetan| Tea| Premium Tea| 250 Gm Each| Pack of 4| 1 Kg + Green Ilayachi 25g | , 450.00 ,445.00,None,None,WAGH BAKRI
164, Taj Mahal Tea Bags 100 pcs , 220.00 ,198.00,None,None,TAJ MAHAL
165, Paper Boat Aam Panna 200 ml , 35.00 ,23.00,None,None,PAPER BOAT
166, PediaSure Chocolate Drink Powder 1 kg ," 1,785.00 ","1,606.00",None,None,PEDIASURE
167, Society Elaichi Adrak Chai | Society Tea | Ginger & Cardamom | Refreshing & Tasteful | 250 g | Pack of 1 ,170.00,170.00,None,None,SOCIETY
168, Dukes Club Soda 750 ml , 20.00 ,18.00,None,None,DUKES
169, MOGU MOGU Multi Flavour Mix Fruit Juice with 25% NATA De Coco 300ML - Pack of 6 ,420.00,420.00,None,None,MOGU
170, Real Fruit Power Masala Guava Juice 1 L , 140.00 ,70.00,None,None,REAL
171, Organic India Classic Tulsi Green Tea Bags 1.74 g (25 pcs) , 215.00 ,161.00,None,None,ORGANIC INDIA
172, Paper Boat Swing Plus Zesty Pomegranate Juice 600 ml , 40.00 ,35.00,None,None,PAPER BOAT
173, 7Up 250 ml (Can) , 35.00 ,31.00,None,None,7 UP
174, Horlicks Classic Malt 450 g , 284.00 ,264.00,None,None,HORLICKS
175, PediaSure Vanilla Delight Drink Powder 1 kg ," 1,785.00 ","1,606.00",None,None,PEDIASURE
176, Cravova Kiwi Mojito 300 ml , 60.00 ,30.00,None,None,CRAVOVA
177, Girnar Royal Cup Tea 1 kg , 570.00 ,470.00,None,None,GIRNAR
178, NutroVally Lemon Honey Flavored Green Tea | Premium & Detox Refreshing Tea | 100% Natural Leaves Green Tea Bags 50 PCS , 498.00 ,249.00,None,None,NUTROVALLY
179," BEVZILLA Instant Coffee Powder - 48 Sachets | Turkish Hazelnut, Classic, French Vanilla & English Butterscotch | 12 Sachets Each Flavour ", 299.00 ,239.00,None,None,BEVZILLA
180, Appy Apple Juice Drink 125 ml ,10.00,10.00,None,None,APPY
181, NutroVally Lemon Honey Flavored Green Tea | For Weight Loss & Build's Immune | Premium & Detox Refreshing Tea | 100% Natural Green Tea Bags -25 Bags , 249.00 ,179.00,None,None,NUTROVALLY
182," Nikunj Premium Green Tea Jar, 250g ", 220.00 ,159.00,None,None,NIKUNJ
183, Horlicks Women's Plus Caramel 750 g , 599.00 ,474.00,None,None,HORLICKS
184, Wagh Bakri | Premium Leaf Tea |250 Gm Each | Pack of 2 | 500 Gm + Green Elaichi 25 Gm , 520.00 ,480.00,None,None,WAGH BAKRI
185, Wagh Bakri Spiced Tea 250 g , 165.00 ,153.00,None,None,WAGH BAKRI
186, Manna Sattu 100% Channa Sattu Protein Mix 1kg (500g x 2 Packs) , 318.00 ,265.00,None,None,MANNA
187, NESCAFE Classic Instant Coffee Powder Imported | Instant Coffee Made with Robusta Beans | Roasted Coffee Beans | 100% Pure Coffee | 190g / 200g , 799.00 ,674.00, Imported ,None,NESCAFE
188, Nescafe Gold Instant Coffee Powder 95 g , 550.00 ,399.00,None,None,NESCAFE
189, Wagh Bakri Premium Navchetan Tea | 250g*4 Pk | 1kg | + Organic Green Ilayachi 25g | , 450.00 ,445.00,None,None,WAGH BAKRI
190, Tata Tea Agni | Strong Leaf Tea | 250 Gm Each | Pack of 2 | 500 Gm + Green Elaichi 25 Gm , 350.00 ,310.00,None,None,TATA TEA
191, Bru Instant Coffee Powder Pack of 2 x 200g | Special Catering Pack | Super Strong Coffee Powder , 720.00 ,599.00,None,None,BRU
192, Tata Gold Care Flavoured Leaf Tea 500 g , 325.00 ,250.00,None,None,TATA TEA GOLD
193, Nescafe Sunrise COFFEE POWDER SPECIAL CATERING PACK OF 2 (EACH 200G) Instant Coffee , 640.00 ,599.00,None,None,A. MANGALS
194, B Natural Chatpata Jamun Juice 1 L , 140.00 ,70.00,None,None,B NATURAL
195, Wagh Bakri Premium Leaf Tea| 250g* 4 Packs| 1 Kg+ Green Premium Ilayachi 25g ,790.00,790.00,None,None,WAGH BAKRI
196, Tata Tea Premium Tea 1.5 kg , 705.00 ,525.00,None,None,TATA TEA
197," BEVZILLA 100% Arabica Instant Coffee Powder - 200 Grams | Premium Coffee| Strong Coffee| Classic Coffee| Espresso, Latte & Cappucino| Pure Coffee| Hot & Cold Coffee ", 799.00 ,369.00,None,None,BEVZILLA
198, Cravova Green Apple Mojito 300 ml , 60.00 ,30.00,None,None,CRAVOVA
199, Balaji Agro Meri Chai_ CHARMINAR_ 1kg , 240.00 ,180.00,None,None,BALAJ AGRO MERI CHAI
200, Nature Day Fresh Lime Sparkling Fruit Drink 600 ml , 60.00 ,30.00,None,None,NATURE DAY
