Unnamed: 0,Product name,MRP,Selling Price,Tag,PerUnitPrice,Brand,Quantity,Unit,Is Pack of,Discount,Discount Percentage,Price Per Unit(Kg/L)
91, Fortune Sunlite Refined Sunflower Oil 15 L (Can) ,2150.0,1675.0,,( 111.67/1 l),FORTUNE,15.0,l,False,475.0,22.09,111.67
92, Daawat Rozana Super Basmati Rice 5 kg ,486.0,359.0,,,DAAWAT,5.0,kg,False,127.0,26.13,71.8
93, Good Life Chana Dal 500 g ,70.0,52.0,,,GOOD LIFE,500.0,g,False,18.0,25.71,104.0
94, Anjani Anjeer 100% Natural Dry Figs/Anjeer 1 kg ,1599.0,749.0,,,ANJANI,1.0,kg,False,850.0,53.16,749.0
95, Daawat Sonamasoori Rice 10 kg ,816.0,605.0,,( 60.50/1 kg),DAAWAT,10.0,kg,False,211.0,25.86,60.5
96, Dhara Nourish Vit A E Refined Sunflower Oil 1 L ,150.0,112.0,,,DHARA,1.0,l,False,38.0,25.33,112.0
97, Fortune Rozana Dubar Basmati Rice 5 kg ,585.0,429.0,,,FORTUNE,5.0,kg,False,156.0,26.67,85.8
98, Sunrich Refined Sunflower Oil 899 g ,152.0,102.0,,,SUNRICH,899.0,g,False,50.0,32.89,113.46
99, Nestle EveryDay Ghee 1 L (Carton) ,630.0,579.0,,,NESTLE,1.0,l,False,51.0,8.1,579.0
100, Good Life Whole Moong 500 g ,95.0,72.0,,,GOOD LIFE,500.0,g,False,23.0,24.21,144.0
101, Daawat Rozana Gold Basmati Rice 5 kg ,560.0,395.0,,,DAAWAT,5.0,kg,False,165.0,29.46,79.0
102, 41 foods Almonds Pistachios Cashews Raisins Walnuts Combo Pack | Kaju Pista Badam Akhrot Kishmish (150GM x 5) 750 GM ,2099.0,573.0,,,41 FOODS,41.0,foods,False,1526.0,72.7,
103, Fortune Suji / Semolina 500 g ,39.0,26.0,,,FORTUNE,500.0,g,False,13.0,33.33,52.0
104, Freshtige 100% Natural and Premium Healthy Mix Dry Fruits 1kg(500gms*2)|Fresh and Healthy Dry Fruits ,1499.0,599.0,,,FRESHTIGE,1.0,kg,False,900.0,60.04,599.0
105, Amul Pure Ghee 1 L (Tin) ,650.0,615.0,,,AMUL,1.0,l,False,35.0,5.38,615.0
106, Good Life Big Mustard 100 g ,25.0,15.0,,( 7.50/50 g),GOOD LIFE,100.0,g,False,10.0,40.0,150.0
107," Farmley Handpicked Gold Makhana ( Fox Nuts) , 500g (Pack of 2, Each 250g) ",600.0,499.0,,,FARMLEY,500.0,g,True,101.0,16.83,998.0
108, Regular Value Pack Plain Cashews 500 g ,500.0,355.0,,,PRIVATE LABEL,500.0,g,False,145.0,29.0,710.0
109, Nutri Binge 500g Pistachios Roasted & Salted California ,920.0,629.0,,,NUTRI BINGE,500.0,g,False,291.0,31.63,1258.0
110, Maggi Masala Ae Magic 6 g (Pack of 12) ,60.0,55.0,,,MAGGI,6.0,g,True,5.0,8.33,9166.67
111, India Gate Mogra Basmati Rice 10 kg ,800.0,655.0,,( 65.50/1 kg),INDIA GATE,10.0,kg,False,145.0,18.12,65.5
112, Nutraj California Walnuts InShell 1 kg (500gm x 2) ,1098.0,529.0,,( 264.50/500 g),NUTRAJ,1.0,kg,False,569.0,51.82,529.0
113, Tata Sampann Unpolished Toor / Arhar Dal 500 g ,143.0,132.0,,,TATA SAMPANN,500.0,g,False,11.0,7.69,264.0
114, Mount 84 Rock Salt 1 kg ,99.0,49.0,,,DR. BRAND,84.0,rock,False,50.0,50.51,
115, Tata Sampann Unpolished Moong Dal 500 g ,105.0,97.0,,,TATA SAMPANN,500.0,g,False,8.0,7.62,194.0
116, Gulab Sungold Refined Sunflower Oil 15 L (Jar) ,3589.0,1609.0,,( 107.27/1 l),GULAB,15.0,l,False,1980.0,55.17,107.27
117, Daawat Devaaya Everyday Rice 5 kg ,600.0,300.0,,,DAAWAT,5.0,kg,False,300.0,50.0,60.0
118," RED ROSE MINI MONGRA BASMATI RICE, 30 KG ",1699.0,1499.0,,( 49.97/1 kg),RED ROSE,30.0,kg,False,200.0,11.77,49.97
119, Elina Long Grain Rice 1 kg ,195.0,65.0,,,ELINA,1.0,kg,False,130.0,66.67,65.0
120, 921 CLASSIC BIRYANI SPECIAL BASMATI RICE 5 KG (Long grain 1121 Rice XXXL) ,925.0,649.0,,( 129.80/1 kg),921,5.0,kg,False,276.0,29.84,129.8
121, Good Life Masoor Dal 500 g ,69.0,57.0,,,GOOD LIFE,500.0,g,False,12.0,17.39,114.0
122," Horaira Nutz Premium Dry fruits Combo Pack 500g Almond , Cashews ( Pack of 2 _ Each 250g ) ",999.0,513.0,,,HORAIRA NUTZ,500.0,g,True,486.0,48.65,1026.0
123, Fortune Rozana Basmati Rice 5 kg Bag + Fortune Rice Bran Health Physically Refined Rice Bran Oil 5 L PET Combo ,1425.0,999.0,,,FORTUNE+FORTUNE,5.0,kg,False,426.0,29.89,199.8
124, GKD's Premium 2 L Pure Coconut Oil Jar ,760.0,599.0,,,GKD'S PREMIUM,2.0,l,False,161.0,21.18,299.5
125, Amul Pure Ghee 500 ml (Pouch) ,320.0,299.0,,,AMUL,500.0,ml,False,21.0,6.56,598.0
126, RUNUTZ 1kg Cashew Nuts (250g X 4) ,1180.0,739.0,,,RUNUTZ,1.0,kg,False,441.0,37.37,739.0
127, Good Life Roasted Chana Dal / Split Bengal Gram 500 g ,80.0,67.0,,,GOOD LIFE,500.0,g,False,13.0,16.25,134.0
128, Emami Healthy & Tasty Kachi Ghani Mustard Oil 1 L (Pouch) ,210.0,129.0,,,EMAMI,1.0,l,False,81.0,38.57,129.0
