Unnamed: 0,Product name,MRP,Selling Price,Tag,PerUnitPrice,Brand,Quantity,Unit,Pack of,Conversion,Platform,Discount,Discount Percentage,Price Per Unit(Kg/L)
39," Nikunj Assam Tea, 1kg ",220.0,165.0,,,NIKUNJ,1.0,kg,1,Success,JoiMart,55.0,25.0,165.0
40," Biovitalia Organics Plant-Based Vitamin B12 Capsules - Support Nerve Function & Energy Metabolism - 60 Veg Caps, ISO Certified| WHO GMP Animal Cruelty-Free| 100% Vegan Gelatin Free| USDA I HACCP ",749.0,439.0, sponsored ,,BIOVITALIA ORGANICS,,none,1,Failed,JoiMart,310.0,41.39,
41, Tropicano Slice Mango Drink 1.75 L ,105.0,79.0,,,SLICE,1.75,l,1,Success,JoiMart,26.0,24.76,45.14
42, Society Tea 1 kg ,570.0,480.0,,,SOCIETY,1.0,kg,1,Success,JoiMart,90.0,15.79,480.0
43, Brooke Bond Red Label Natural Care Tea 250 g ,160.0,140.0,,,RED LABEL,250.0,g,1,Success,JoiMart,20.0,12.5,560.0
44, B Natural Guava Juice 1 L ,130.0,65.0,,,B NATURAL,1.0,l,1,Success,JoiMart,65.0,50.0,65.0
45, Mountain Dew 750 ml ,40.0,29.0,,,MOUNTAIN DEW,750.0,ml,1,Success,JoiMart,11.0,27.5,38.67
46," Biovitalia Organics Watermelon Flavored Nutraceutical Apple Cider Vinegar Effervescent Tablets - Boost Metabolism, Manage Weight & Support Digestion - 15 Tablets ",399.0,349.0, sponsored ,,BIOVITALIA ORGANICS,,none,1,Failed,JoiMart,50.0,12.53,
47, Bournvita 750 g ,370.0,262.0,,,BOURNVITA,750.0,g,1,Success,JoiMart,108.0,29.19,349.33
48, Wagh Bakri Premium Leaf Tea 500 g ,290.0,239.0,,,WAGH BAKRI,500.0,g,1,Success,JoiMart,51.0,17.59,478.0
49, Wagh Bakri Premium Leaf Tea 250 g ,145.0,130.0,,,WAGH BAKRI,250.0,g,1,Success,JoiMart,15.0,10.34,520.0
50, Brooke Bond Red Label Natural Care Tea 500 g ,335.0,295.0,,,RED LABEL,500.0,g,1,Success,JoiMart,40.0,11.94,590.0
51, Tata Gold Leaf Tea 1 kg ,600.0,445.0,,,TATA TEA GOLD,1.0,kg,1,Success,JoiMart,155.0,25.83,445.0
52, Biovitalia Organics Premium Moringa Capsules - Nutrient-Rich Superfood with Protein & Vitamins - Moringa Oleifera Extract - 60 Vegan Capsules| ISO Certified| WHO GMP Animal Cruelty-Free| Gelatin Free ,390.0,349.0, sponsored ,,BIOVITALIA ORGANICS,,none,1,Failed,JoiMart,41.0,10.51,
53, Paper Boat Coconut Water 200 ml ,50.0,33.0,,,PAPER BOAT,200.0,ml,1,Success,JoiMart,17.0,34.0,165.0
54, B Natural Litchi Juice 1 L ,130.0,65.0,,,B NATURAL,1.0,l,1,Success,JoiMart,65.0,50.0,65.0
55, Red Label Natural Care Tea 1 kg ,650.0,499.0,,,RED LABEL,1.0,kg,1,Success,JoiMart,151.0,23.23,499.0
56, Coca Cola Original 250 ml (8 pcs) ,160.0,120.0,,,COCA COLA,250.0,ml,1,Success,JoiMart,40.0,25.0,480.0
