Unnamed: 0,Product name,MRP,Selling Price,Tag,PerUnitPrice,Brand,Quantity,Unit,Pack of,Conversion,Platform,Discount,Discount Percentage,Price Per Unit(Kg/L)
172, Paper Boat Swing Plus Zesty Pomegranate Juice 600 ml ,40.0,35.0,,,PAPER BOAT,600.0,ml,1,Success,JoiMart,5.0,12.5,58.33
173, 7Up 250 ml (Can) ,35.0,31.0,,,7 UP,250.0,ml,1,Success,JoiMart,4.0,11.43,124.0
174, Horlicks Classic Malt 450 g ,284.0,264.0,,,HORLICKS,450.0,g,1,Success,JoiMart,20.0,7.04,586.67
175, PediaSure Vanilla Delight Drink Powder 1 kg ,1785.0,1606.0,,,PEDIASURE,1.0,kg,1,Success,JoiMart,179.0,10.03,1606.0
176, Cravova Kiwi Mojito 300 ml ,60.0,30.0,,,CRAVOVA,300.0,ml,1,Success,JoiMart,30.0,50.0,100.0
177, Girnar Royal Cup Tea 1 kg ,570.0,470.0,,,GIRNAR,1.0,kg,1,Success,JoiMart,100.0,17.54,470.0
178, NutroVally Lemon Honey Flavored Green Tea | Premium & Detox Refreshing Tea | 100% Natural Leaves Green Tea Bags 50 PCS ,498.0,249.0,,,NUTROVALLY,50.0,pcs,1,Success,JoiMart,249.0,50.0,4.98
179," BEVZILLA Instant Coffee Powder - 48 Sachets | Turkish Hazelnut, Classic, French Vanilla & English Butterscotch | 12 Sachets Each Flavour ",299.0,239.0,,,BEVZILLA,48.0,sachets,1,Success,JoiMart,60.0,20.07,4.98
180, Appy Apple Juice Drink 125 ml ,10.0,10.0,,,APPY,125.0,ml,1,Success,JoiMart,0.0,0.0,80.0
181, NutroVally Lemon Honey Flavored Green Tea | For Weight Loss & Build's Immune | Premium & Detox Refreshing Tea | 100% Natural Green Tea Bags -25 Bags ,249.0,179.0,,,NUTROVALLY,,none,1,Failed,JoiMart,70.0,28.11,
182," Nikunj Premium Green Tea Jar, 250g ",220.0,159.0,,,NIKUNJ,250.0,g,1,Success,JoiMart,61.0,27.73,636.0
183, Horlicks Women's Plus Caramel 750 g ,599.0,474.0,,,HORLICKS,750.0,g,1,Success,JoiMart,125.0,20.87,632.0
184, Wagh Bakri | Premium Leaf Tea |250 Gm Each | Pack of 2 | 500 Gm + Green Elaichi 25 Gm ,520.0,480.0,,,WAGH BAKRI,250.0,gm,2,Success,JoiMart,40.0,7.69,1920.0
185, Wagh Bakri Spiced Tea 250 g ,165.0,153.0,,,WAGH BAKRI,250.0,g,1,Success,JoiMart,12.0,7.27,612.0
186, Manna Sattu 100% Channa Sattu Protein Mix 1kg (500g x 2 Packs) ,318.0,265.0,,,MANNA,1.0,kg,1,Success,JoiMart,53.0,16.67,265.0
187, NESCAFE Classic Instant Coffee Powder Imported | Instant Coffee Made with Robusta Beans | Roasted Coffee Beans | 100% Pure Coffee | 190g / 200g ,799.0,674.0, Imported ,,NESCAFE,190.0,g,1,Success,JoiMart,125.0,15.64,3547.37
188, Nescafe Gold Instant Coffee Powder 95 g ,550.0,399.0,,,NESCAFE,95.0,g,1,Success,JoiMart,151.0,27.45,4200.0
189, Wagh Bakri Premium Navchetan Tea | 250g*4 Pk | 1kg | + Organic Green Ilayachi 25g | ,450.0,445.0,,,WAGH BAKRI,250.0,g,1,Success,JoiMart,5.0,1.11,1780.0
190, Tata Tea Agni | Strong Leaf Tea | 250 Gm Each | Pack of 2 | 500 Gm + Green Elaichi 25 Gm ,350.0,310.0,,,TATA TEA,250.0,gm,2,Success,JoiMart,40.0,11.43,1240.0
191, Bru Instant Coffee Powder Pack of 2 x 200g | Special Catering Pack | Super Strong Coffee Powder ,720.0,599.0,,,BRU,200.0,g,2,Success,JoiMart,121.0,16.81,2995.0
192, Tata Gold Care Flavoured Leaf Tea 500 g ,325.0,250.0,,,TATA TEA GOLD,500.0,g,1,Success,JoiMart,75.0,23.08,500.0
193, Nescafe Sunrise COFFEE POWDER SPECIAL CATERING PACK OF 2 (EACH 200G) Instant Coffee ,640.0,599.0,,,A. MANGALS,200.0,g,2,Success,JoiMart,41.0,6.41,2995.0
194, B Natural Chatpata Jamun Juice 1 L ,140.0,70.0,,,B NATURAL,1.0,l,1,Success,JoiMart,70.0,50.0,70.0
195, Wagh Bakri Premium Leaf Tea| 250g* 4 Packs| 1 Kg+ Green Premium Ilayachi 25g ,790.0,790.0,,,WAGH BAKRI,250.0,g,1,Success,JoiMart,0.0,0.0,3160.0
196, Tata Tea Premium Tea 1.5 kg ,705.0,525.0,,,TATA TEA,1.5,kg,1,Success,JoiMart,180.0,25.53,350.0
197," BEVZILLA 100% Arabica Instant Coffee Powder - 200 Grams | Premium Coffee| Strong Coffee| Classic Coffee| Espresso, Latte & Cappucino| Pure Coffee| Hot & Cold Coffee ",799.0,369.0,,,BEVZILLA,200.0,grams,1,Success,JoiMart,430.0,53.82,1845.0
198, Cravova Green Apple Mojito 300 ml ,60.0,30.0,,,CRAVOVA,300.0,ml,1,Success,JoiMart,30.0,50.0,100.0
199, Balaji Agro Meri Chai_ CHARMINAR_ 1kg ,240.0,180.0,,,BALAJ AGRO MERI CHAI,1.0,kg,1,Success,JoiMart,60.0,25.0,180.0
200, Nature Day Fresh Lime Sparkling Fruit Drink 600 ml ,60.0,30.0,,,NATURE DAY,600.0,ml,1,Success,JoiMart,30.0,50.0,50.0
201, Tata Tea Premium| Desh Ki Chai| 250 Gm* 2 Packs| 500g+ Green Ilayachi 25g ,510.0,490.0,,,TATA TEA PREMIUM,250.0,gm,1,Success,JoiMart,20.0,3.92,1960.0
202, Girnar Royal Cup Tea 250 g ,145.0,134.0,,,GIRNAR,250.0,g,1,Success,JoiMart,11.0,7.59,536.0
203," Lipton Tulsi Natura Green Tea Bags, 50 Tea Bags ",310.0,270.0,,,LIPTON,50.0,tea bags,1,Success,JoiMart,40.0,12.9,5.4
204, Wagh Bakri | Navchetan Premium Tea| 250 Gm Each| Pack of 4| 1 Kg+ Green Elaichi 25 Gm ,470.0,465.0,,,WAGH BAKRI,250.0,gm,4,Success,JoiMart,5.0,1.06,1860.0
205, PediaSure Chocolate Drink Powder 200 g (Carton) ,420.0,390.0,,,PEDIASURE,200.0,g,1,Success,JoiMart,30.0,7.14,1950.0
206, Girnar Detox Green Tea - Desi Kahwa |36 Tea Bags in Each Pack | Pack of 2 + Green Elaichi 25 Gm ,869.0,869.0,,,GIRNAR,25.0,gm,2,Success,JoiMart,0.0,0.0,34760.0
207, Tropicana Litchi Delight Fruit Juice 1 L ,123.0,103.0,,,TROPICANA,1.0,l,1,Success,JoiMart,20.0,16.26,103.0
208," MAHARASTRA CHAHA WITH ""CUP"" Leaf Tea -1 kg (500 gm Jar Pack of 2) ",780.0,262.0,,,"MAHARASTRA CHAHA WITH ""CUP""",1.0,kg,2,Success,JoiMart,518.0,66.41,262.0
209, Cravova Peach Mojito 300 ml ,60.0,30.0,,,CRAVOVA,300.0,ml,1,Success,JoiMart,30.0,50.0,100.0
210, Tata Tea Gold |Premium Assam Tea Gently Aromatic Long Leaves| 500G + Green Ilayachi 25 Gm ,550.0,540.0,,,TATA TEA,500.0,g,1,Success,JoiMart,10.0,1.82,1080.0
211," Nikunj Supreme Leaf Tea, 1kg ",400.0,279.0,,,NIKUNJ,1.0,kg,1,Success,JoiMart,121.0,30.25,279.0
212, HORLICKS DIABETES PLUS (400 g) ,790.0,749.0,,,HORLICKS,400.0,g,1,Success,JoiMart,41.0,5.19,1872.5
213, PediaSure 7 Plus Vanilla Drink Powder 400 g ,615.0,571.0,,,PEDIASURE,400.0,g,1,Success,JoiMart,44.0,7.15,1427.5
214, Protinex Creamy Vanilla 400 g ,675.0,589.0,,,PROTINEX,400.0,g,1,Success,JoiMart,86.0,12.74,1472.5
215, Lipton Darjeeling Leaf Tea 250 g (Carton) ,495.0,396.0,,,LIPTON,250.0,g,1,Success,JoiMart,99.0,20.0,1584.0
216, Gatorade Blue Bolt Sports Drink 500 ml ,50.0,45.0,,,GATORADE,500.0,ml,1,Success,JoiMart,5.0,10.0,90.0
217, Sprite Malaysia 320ml Imported |Pack of 2| ,400.0,360.0, Imported ,,SPRITE,320.0,ml,2,Success,JoiMart,40.0,10.0,1125.0
218, Coolberg Non Alcoholic Cranberry Beer 330 ml ,99.0,73.0,,,COOLBERG,330.0,ml,1,Success,JoiMart,26.0,26.26,221.21
219, Dabur Vita Chocolaty Drink Mix 500 g ,230.0,130.0,,,DABUR,500.0,g,1,Success,JoiMart,100.0,43.48,260.0
220, Raw Pressery Coconut Water 200 ml ,60.0,49.0,,,RAW PRESSERY,200.0,ml,1,Success,JoiMart,11.0,18.33,245.0
221, Apple Cider Vinegar for Weight Loss With Mother Unfiltered And Undiluted Vinegar Vinegar (500 ml) ,399.0,175.0,,,VEDARTH,500.0,ml,1,Success,JoiMart,224.0,56.14,350.0
222, Organic India Tulsi Green Tea 100 g ,285.0,213.0,,,ORGANIC INDIA,100.0,g,1,Success,JoiMart,72.0,25.26,2130.0
223," Manna Instant Badam Drink Mix with Real bits of Badam, 400g | More Bits per Sip | Make milk tastier ",289.0,199.0,,,MANNA,400.0,g,1,Success,JoiMart,90.0,31.14,497.5
224, Paper Boat Vitamin D Lychee Juice 150 ml ,30.0,27.0,,,PAPER BOAT,150.0,ml,1,Success,JoiMart,3.0,10.0,180.0
225, Dabur Chyawanprakash Sugarfree 900 g ,440.0,340.0,,,DABUR,900.0,g,1,Success,JoiMart,100.0,22.73,377.78
226, Continental Malgudi Filter Coffee 500gm Pouch (80% Coffee - 20% Chicory) ,310.0,309.0,,,CONTINENTAL,500.0,gm,1,Success,JoiMart,1.0,0.32,618.0
227, Octavius | Classic Assam Black Tea - 100 Tea bags | Strong Tea | Kadak Chai | 1 Teabag Can Make 2 Cups | English Breakfast Tea | Refreshing | Morning Tea | Everyday Tea | 100 Pieces | Black Tea | - (2 gm x 100 Teabag) ,190.0,169.0,,,OCTAVIUS,2.0,g,1,Success,JoiMart,21.0,11.05,84500.0
228, Nature Day Ginger Drink 600 ml ,60.0,30.0,,,NATURE DAY,600.0,ml,1,Success,JoiMart,30.0,50.0,50.0
229," MAHARASTRA CHAHA WITH ""CUP"" - Special Rich and Flavourful Chai 500 gm ",560.0,167.0,,,"MAHARASTRA CHAHA WITH ""CUP""",500.0,gm,1,Success,JoiMart,393.0,70.18,334.0
230," Nikunj Gold Tea - Royal Edition, 500g ",280.0,191.0,,,NIKUNJ,500.0,g,1,Success,JoiMart,89.0,31.79,382.0
231, Cravova Watermelon Mojito 300 ml ,60.0,30.0,,,CRAVOVA,300.0,ml,1,Success,JoiMart,30.0,50.0,100.0
232, Horlicks Mother's Plus Vanilla Flavour 400 g ,620.0,576.0,,,HORLICKS,400.0,g,1,Success,JoiMart,44.0,7.1,1440.0
233, Lipton Tulsi Natura Green Tea Bags 25 pcs ,170.0,143.0,,,LIPTON,25.0,pcs,1,Success,JoiMart,27.0,15.88,5.72
234, KANGEN Alkaline Water 8.5+ PH 1 Litre Pack Of 12 ,840.0,840.0,,,KANGEN,,none,12,Failed,JoiMart,0.0,0.0,
235, Girnar Royal Cup Tea 500 g ,290.0,255.0,,,GIRNAR,500.0,g,1,Success,JoiMart,35.0,12.07,510.0
236," Orglife Apple Cider Vinegar With Garlic Ginger Lemon Honey, 500 ml Each (Pack Of 2) ",998.0,314.0,,,ORGLIFE,500.0,ml,2,Success,JoiMart,684.0,68.54,628.0
237, Paper Boat Swing Fizz Guava Drink 600 ml ,40.0,37.0,,,PAPER BOAT,600.0,ml,1,Success,JoiMart,3.0,7.5,61.67
238, B Natural Fruits N Bits Litchi with Apple Drink 300 ml ,65.0,32.0,,,B NATURAL,300.0,ml,1,Success,JoiMart,33.0,50.77,106.67
239, Coolberg Non Alcoholic Peach Beer 330 ml ,99.0,73.0,,,COOLBERG,330.0,ml,1,Success,JoiMart,26.0,26.26,221.21
240," Nikunj Gold Tea - Royal Edition, 1kg ",550.0,349.0,,,NIKUNJ,1.0,kg,1,Success,JoiMart,201.0,36.55,349.0
241," Bevzilla 60 Instant Coffee Powder Sachets(4 Flavours) - 120 Grams | Turkish Hazelnut, Colombian Gold, French Vanilla & English Butterscotch | 15 Sachets Each Flavour| Makes 60 Cups| 100 % Arabica Coffee| Strong Coffee ",449.0,279.0,,,BEVZILLA,120.0,g,1,Success,JoiMart,170.0,37.86,2325.0
242, Ensure Vanilla Drink Powder 200 g ,440.0,409.0,,,ENSURE,200.0,g,1,Success,JoiMart,31.0,7.05,2045.0
243, Baidyanath Chawanprash Awaleha 950 g ,385.0,308.0,,,BAIDYANATH,950.0,g,1,Success,JoiMart,77.0,20.0,324.21
244, Organic India TULSI GREEN TEA LEMON GINGER 25 IB- Pack of 2 ,430.0,387.0,,,ORGANIC INDIA,,none,2,Failed,JoiMart,43.0,10.0,
245, Tetley Green Tea Bags 100 pcs ,625.0,312.0,,,TETLEY,100.0,pcs,1,Success,JoiMart,313.0,50.08,3.12
246, Coolberg Non Alcoholic Malt Beer 330 ml ,99.0,73.0,,,COOLBERG,330.0,ml,1,Success,JoiMart,26.0,26.26,221.21
247, Aquafina Packaged Drinking Water 1 L ,20.0,18.0,,,AQUAFINA,1.0,l,1,Success,JoiMart,2.0,10.0,18.0
248, Alo Frut Litchi + Aloevera Fruit Juice 300 ml ,40.0,30.0,,,ALO FRUT,300.0,ml,1,Success,JoiMart,10.0,25.0,100.0
249, Paper Boat Anar Fruit Juice 200 ml ,50.0,46.0,,,PAPER BOAT,200.0,ml,1,Success,JoiMart,4.0,8.0,230.0
250, Cravova Orange Mojito 300 ml ,60.0,30.0,,,CRAVOVA,300.0,ml,1,Success,JoiMart,30.0,50.0,100.0
251, HORLICKS Chocolate Delight Flavour (1 kg) ,499.0,485.0,,,HORLICKS,1.0,kg,1,Success,JoiMart,14.0,2.81,485.0
252, BRU Instant Coffee 50 g ,195.0,180.0,,,BRU,50.0,g,1,Success,JoiMart,15.0,7.69,3600.0
253, Junior Horlicks Vanilla 500 g ,330.0,310.0,,,HORLICKS,500.0,g,1,Success,JoiMart,20.0,6.06,620.0
254, Tata Gold Care Flavoured Tea 1 kg ,630.0,475.0,,,TATA TEA,1.0,kg,1,Success,JoiMart,155.0,24.6,475.0
255, Glucon-D Regular 450 g ,125.0,99.0,,,GLUCON-D,450.0,g,1,Success,JoiMart,26.0,20.8,220.0
256, Rage Coffee 50 Gms Dark Chocolate Flavour ,349.0,149.0,,,RAGE COFFEE,50.0,gms,1,Success,JoiMart,200.0,57.31,2980.0
257, Tata Coffee| Instant Coffee| Super Saver Pack| 200g Each | Pack of 2 |400g ,485.0,485.0,,,TATA COFFEE,200.0,g,2,Success,JoiMart,0.0,0.0,2425.0
258, Complan Creamy Classic 500 g ,305.0,256.0,,,COMPLAN,500.0,g,1,Success,JoiMart,49.0,16.07,512.0
259," Red Bull Energy Drink, 250 ML Can JST ",200.0,177.0,,,JST,250.0,ml,1,Success,JoiMart,23.0,11.5,708.0
260, B Natural Fruits N Bits Guava Drink 300 ml ,65.0,32.0,,,B NATURAL,300.0,ml,1,Success,JoiMart,33.0,50.77,106.67
261, Nescafe Classic Instant Coffee Powder 200 g ,660.0,613.0,,,NESCAFE,200.0,g,1,Success,JoiMart,47.0,7.12,3065.0
262, Bournvita 5 Star Magic Chocolate 750 g ,405.0,364.0,,,BOURNVITA,750.0,g,1,Success,JoiMart,41.0,10.12,485.33
263," Monster Taurine Ginger Energy Drink, 500 Mlpack of 2 ",770.0,653.0, Imported ,,MONSTER,500.0,ml,2,Success,JoiMart,117.0,15.19,1306.0
264, Brooke Bond Red Label Natural Care Tea 500 Grm + 25 Grm Black Papper ( Kali Mirch ) ,460.0,460.0,,,RED LABEL,500.0,g,1,Success,JoiMart,0.0,0.0,920.0
265, Wagh Bakri Premium Navchetan Tea| 250g* 2 Pk| 500g | + Organic Green Ilayachi 25g| ,340.0,290.0,,,WAGH BAKRI,250.0,g,1,Success,JoiMart,50.0,14.71,1160.0
266, Alo Frut Mixed Fruit + Aloevera Juice 300 ml ,40.0,30.0,,,ALO FRUT,300.0,ml,1,Success,JoiMart,10.0,25.0,100.0
267, Octavius | KADAK Assam Tea - 1Kg | Extra Strong Assam Tea | Black Tea | Kadak Chai Patti | Loose Tea | Strong Chai | Tea Powder | Chai Patti 1 kg | Taza Tea 1 kg | Garden Fresh Tea | Tea 1 Kg ,300.0,279.0,,,OCTAVIUS,1.0,kg,1,Success,JoiMart,21.0,7.0,279.0
268, Paper Boat Swing Plus Lush Lychee Juice 600 ml ,40.0,36.0,,,PAPER BOAT,600.0,ml,1,Success,JoiMart,4.0,10.0,60.0
269, Charged Berry Bolt By ThumsUp 250 ml ,20.0,18.0,,,CHARGED,250.0,ml,1,Success,JoiMart,2.0,10.0,72.0
270, Rage Coffee - 50 GMS Original Blend ,299.0,149.0,,,RAGE COFFEE,50.0,gms,1,Success,JoiMart,150.0,50.17,2980.0
271," Fanta Orange Drink, 320 Ml | Pack of 2| ",400.0,360.0, Imported ,,FANTA,320.0,ml,2,Success,JoiMart,40.0,10.0,1125.0
272, Bru Instant Coffee Powder { Special Catering } Pack of 3 x 200 grams Each ,960.0,849.0,,,BRU,200.0,g,3,Success,JoiMart,111.0,11.56,4245.0
273, Schweppes Tonic Water 300 ml ,60.0,55.0,,,SCHWEPPES,300.0,ml,1,Success,JoiMart,5.0,8.33,183.33
274, Paper Boat Swing Medley Mixed Fruit Drink 600 ml ,40.0,36.0,,,PAPER BOAT,600.0,ml,1,Success,JoiMart,4.0,10.0,60.0
275, Real Orange Juice by Dabur 1-L (Pack of 2) with Reusable Stainless Steel Straws (Set of 4) ,460.0,457.0,,,REAL,,none,2,Failed,JoiMart,3.0,0.65,
276, Tata Tea Premium| Desh Ki Chai| 250 Gm* 4 Packs| 1 Kg+ Green Ilayachi 25g| ,770.0,770.0,,,TATA TEA PREMIUM,250.0,gm,1,Success,JoiMart,0.0,0.0,3080.0
277, Brooke Bond Red Label Leaf Tea| Premium Tea| 250g* 2 Packs| 500g+ Green ilayachi 25g| ,480.0,480.0,,,RED LABEL,250.0,g,1,Success,JoiMart,0.0,0.0,1920.0
278, SENSO Chai Premix Masala Vegetarian (10 sachets) ,140.0,90.0,,,SENSO,10.0,sachets,1,Success,JoiMart,50.0,35.71,9.0
279, Cloud9 Energy Drink Berry Mix 250ml Bottle - Pack of 30 ,664.0,664.0,,,CLOUD 9,250.0,ml,30,Success,JoiMart,0.0,0.0,2656.0
280," BEVZILLA Instant Coffee Powder - 48 Sachets (Hazelnut)| Hot & Cold Coffee| Makes 48 Cups| 100 % Arabica Coffee| Strong Coffee| Easy To Carry| Best Coffee| Espresso, Latte, Cappuccino ",299.0,239.0,,,BEVZILLA,48.0,sachets,1,Success,JoiMart,60.0,20.07,4.98
281, Patanjali Aloe Vera Fibre Juice 1 L ,210.0,189.0,,,PATANJALI,1.0,l,1,Success,JoiMart,21.0,10.0,189.0
282, PediaSure Vanilla Delight Drink Powder 200 g (Carton) ,420.0,390.0,,,PEDIASURE,200.0,g,1,Success,JoiMart,30.0,7.14,1950.0
283, Society Leaf & Masala Tea 250gm Combo ,315.0,305.0,,,SOCIETY,250.0,gm,1,Success,JoiMart,10.0,3.17,1220.0
284, Alo Frut Kiwi + Aloevera Fruit Juice 1 L ,120.0,99.0,,,ALO FRUT,1.0,l,1,Success,JoiMart,21.0,17.5,99.0
285, Davidoff Espresso 57 Dark and Chocolatey Instant Coffee 100 g ,650.0,590.0,,,DAVIDOFF,100.0,g,1,Success,JoiMart,60.0,9.23,5900.0
286, Gatorade Orange Sports Drink 500 ml ,50.0,45.0,,,GATORADE,500.0,ml,1,Success,JoiMart,5.0,10.0,90.0
287, Tata Grand Premium Coffee 50 g ,160.0,120.0,,,TATA COFFEE,50.0,g,1,Success,JoiMart,40.0,25.0,2400.0
288," Giacobazzi Non Alcoholic Sparkling Red Wine, 750ml ",999.0,599.0,,,GIACOBAZZI,750.0,ml,1,Success,JoiMart,400.0,40.04,798.67
289, Storia Mango 100% Juice with No Added Sugar & Preservatives 750 ml ,170.0,85.0,,,STORIA,750.0,ml,1,Success,JoiMart,85.0,50.0,113.33
290, NutroVally Green Tea | For Weight Loss & Boost Immune | Premium Natural & Pure Aromatic Leaves | Lemon Green Tea Bags 100 Pcs ,796.0,419.0,,,NUTROVALLY,100.0,pcs,1,Success,JoiMart,377.0,47.36,4.19
291, Mogu Mogu Lychee Juice 25% with Nata De Coco 300 ml - Pack of 6 ,420.0,420.0,,,MOGU MOGU,300.0,ml,6,Success,JoiMart,0.0,0.0,1400.0
292, Nature Day Orange Sparkling Fruit Drink 600 ml ,60.0,30.0,,,NATURE DAY,600.0,ml,1,Success,JoiMart,30.0,50.0,50.0
293, Tropicana Orange Juice 1 L ,145.0,130.0,,,TROPICANA,1.0,l,1,Success,JoiMart,15.0,10.34,130.0
294, B Natural Mixed Fruit Chaat Juice 1 l ,140.0,70.0,,,B NATURAL,1.0,l,1,Success,JoiMart,70.0,50.0,70.0
295, Dabur Chyawanprash Awaleha 500 g ,220.0,204.0,,,DABUR,500.0,g,1,Success,JoiMart,16.0,7.27,408.0
296, Lipton Honey & Lemon Green Tea Bags 100 pcs ,625.0,562.0,,,LIPTON,100.0,pcs,1,Success,JoiMart,63.0,10.08,5.62
297, Aarambh Green Tea Bags 25 pcs ,170.0,65.0,,,AARAMBH,25.0,pcs,1,Success,JoiMart,105.0,61.76,2.6
298," MAHARASTRA CHAHA WITH ""CUP"" - LEAF Tea -500Gm ",560.0,167.0,,,"MAHARASTRA CHAHA WITH ""CUP""",500.0,gm,1,Success,JoiMart,393.0,70.18,334.0
299," Shunya Go and Fizz Lime & Lemon Combo, Sugar Free Flavoured Soft Drink 300ml- (Pack of 12) ",720.0,494.0,,,SHUNYA,300.0,ml,12,Success,JoiMart,226.0,31.39,1646.67
300, Tata Gold Care Flavoured Leaf Tea 250 g ,180.0,160.0,,,TATA GOLD,250.0,g,1,Success,JoiMart,20.0,11.11,640.0
301, Nescafe Classic Black Roast Coffee 95 g ,410.0,381.0,,,NESCAFE,95.0,g,1,Success,JoiMart,29.0,7.07,4010.53
302, Leo Coffee Special Peaberry Freshly Ground Filter Coffee Powder Medium Roast Mild and Aromatic - 250 g ,175.0,104.0,,,LEO COFFEE,250.0,g,1,Success,JoiMart,71.0,40.57,416.0
303, Storia Banana Shake 180 ml ,45.0,30.0,,,STORIA,180.0,ml,1,Success,JoiMart,15.0,33.33,166.67
304, Ensure FOS Chocolate Drink Powder 400 g ,840.0,770.0,,,ENSURE,400.0,g,1,Success,JoiMart,70.0,8.33,1925.0
305, Galaxy Drink 750 ML (Red Grape) Combo Pack of 2 ,800.0,760.0, Imported ,,GALAXY,750.0,ml,2,Success,JoiMart,40.0,5.0,1013.33
306, Manna Sattu 100% Channa Sattu Protein Mix 500g ,159.0,149.0,,,MANNA,500.0,g,1,Success,JoiMart,10.0,6.29,298.0
307, Storia Mixed Fruit Juice 750 ml ,170.0,85.0,,,STORIA,750.0,ml,1,Success,JoiMart,85.0,50.0,113.33
308, Rage Coffee Combo Pack of 3 - Irish Hazelnut & Dark Chocolate & Creme Caramel Flavoured Coffee 50 Gms Each ,1047.0,399.0,,,RAGE COFFEE,50.0,gms,3,Success,JoiMart,648.0,61.89,7980.0
309, Society Masala Tea 250 g ,170.0,170.0,,,SOCIETY,250.0,g,1,Success,JoiMart,0.0,0.0,680.0
310, Nescafe Gold Blend 50 g ,350.0,327.0,,,NESCAFE,50.0,g,1,Success,JoiMart,23.0,6.57,6540.0
311," Pepsi Turkey, 250 Ml |Pack of 2| ",400.0,360.0, Imported ,,PEPSI,250.0,ml,2,Success,JoiMart,40.0,10.0,1440.0
312, Leo Coffee House Blend Pure Filter Coffee Powder Medium Roast Mild and Aromatic - 250 g ,194.0,140.0,,,LEO COFFEE,250.0,g,1,Success,JoiMart,54.0,27.84,560.0
313, Wagh Bakri Spiced Tea | 7 Refreshing Spices | 250 Gm Each | Pack of 4 |1 Kg + Green Elaichi 25 Gm ,1120.0,965.0,,,WAGH BAKRI,25.0,gm,4,Success,JoiMart,155.0,13.84,38600.0
314," Bevzilla Instant Coffee Gift Box of 24 Assorted Flavour Sachets & Frother - 6 Sachets Each Flavour(2 Gram Each Sachet) | Makes 24 Cups Coffee | Turkish Hazelnut, Colombian Gold, French Vanilla & English Butterscotch | 100% Arabica| Strong Coffee ",799.0,361.0,,,BEVZILLA,2.0,g,1,Success,JoiMart,438.0,54.82,180500.0
315, 9am Sharbat E Jannat Combo Pack of 2 (Rose 750ml+ Khus 750ml) ,280.0,205.0,,,9 AM,750.0,ml,2,Success,JoiMart,75.0,26.79,273.33
316, Keya 500ml Lemon Juice Concentrate - Goodness of 50 Lemons ,235.0,206.0,,,KEYA,500.0,ml,1,Success,JoiMart,29.0,12.34,412.0
317, Society Masala Tea 100 g ,69.0,64.0,,,SOCIETY,100.0,g,1,Success,JoiMart,5.0,7.25,640.0
318, Lipton Green Tea 250 g ,370.0,344.0,,,LIPTON,250.0,g,1,Success,JoiMart,26.0,7.03,1376.0
319, Society Tea Leaf Tea | Leaf Tea | Chai | Strong blend | Robust Flavour | 500 g Pouch | Pack of 2 ,560.0,532.0,,,SOCIETY,500.0,g,2,Success,JoiMart,28.0,5.0,1064.0
320, Coolberg Non Alcoholic Mint Beer 330 ml ,99.0,73.0,,,COOLBERG,330.0,ml,1,Success,JoiMart,26.0,26.26,221.21
321, Schweppes Ginger Ale 300 ml ,60.0,55.0,,,SCHWEPPES,300.0,ml,1,Success,JoiMart,5.0,8.33,183.33
322, Complan Royale Chocolate 200 g ,129.0,119.0,,,COMPLAN,200.0,g,1,Success,JoiMart,10.0,7.75,595.0
323, MTR Badam Drink Mix 200 g ,125.0,116.0,,,MTR,200.0,g,1,Success,JoiMart,9.0,7.2,580.0
324, NutroVally Green Tea | For Weight Loss & Boost Immune | 100% Natural & Aromatic Leaves | Lemon Green Tea Bags 50 Pcs ,398.0,249.0,,,NUTROVALLY,50.0,pcs,1,Success,JoiMart,149.0,37.44,4.98
325, Continental Xtra Coffee 50 g ,175.0,87.0,,,CONTINENTAL,50.0,g,1,Success,JoiMart,88.0,50.29,1740.0
326, Tetley Ginger Mint and Lemon Green Tea Bags 25 pcs ,170.0,133.0,,,TETLEY,25.0,pcs,1,Success,JoiMart,37.0,21.76,5.32
327, Complan Kesar Badam 200 g ,140.0,130.0,,,COMPLAN,200.0,g,1,Success,JoiMart,10.0,7.14,650.0
328, Gatorade Lemon Sports Drink 500 ml ,50.0,45.0,,,GATORADE,500.0,ml,1,Success,JoiMart,5.0,10.0,90.0
329," Coca Cola Light No Sugar No Calories Imported, 320 ml ",240.0,229.0, Imported ,,COCA COLA,320.0,ml,1,Success,JoiMart,11.0,4.58,715.62
330, Tropicana Orange Delight Fruit Juice 180 ml ,20.0,18.0,,,TROPICANA,180.0,ml,1,Success,JoiMart,2.0,10.0,100.0
331, Hersheys Milk Booster Chocolate Syrup 450 g ,210.0,160.0,,,HERSHEY'S,450.0,g,1,Success,JoiMart,50.0,23.81,355.56
332, Wagh Bakri | Mili Premium Tea |Strong Leaf Tea |1 Kg + Green Elaichi 25 Gm ,650.0,605.0,,,WAGH BAKRI,1.0,kg,1,Success,JoiMart,45.0,6.92,605.0
333, Nestea Iced Tea Premix | Lemon Flavour | Source of Vitamin C | Super Saver Pack | 1 Kg ,625.0,625.0,,,NESTEA,1.0,kg,1,Success,JoiMart,0.0,0.0,625.0
334," All In One Lemon Tea Premix With Sulphur Less Sugar, 25 Pouches ",180.0,180.0,,,ALL IN ONE,,none,1,Failed,JoiMart,0.0,0.0,
335, Nescafe Gold Blend Instant Coffee 190 g ,1050.0,945.0,,,NESCAFE,190.0,g,1,Success,JoiMart,105.0,10.0,4973.68
