,Product name,MRP,Selling Price,Tag,PerUnitPrice,Brand,Quantity,Unit,Pack of,Conversion,Platform
0, Maggi 2-Minute Masala Noodles 70 g , 14.00 ,13.00,None,None,MAGGI,70,g,1,Success,JoiMart
1, Pintola HIGH Protein Peanut Butter (Dark Chocolate) (Creamy) 510g , 399.00 ,349.00, sponsored ,None,PINTOLA,510,g,1,Success,JoiMart
2, Kissan Fresh Tomato Ketchup 1.1 kg , 150.00 ,94.00,None,None,KISSAN,1.1,kg,1,Success,JoiMart
3, Maggi 2-Minute Masala Instant Noodles 560 g , 112.00 ,87.00,None,None,MAGGI,560,g,1,Success,JoiMart
4, Bikaji Premium Rasgulla 1 kg , 289.00 ,144.00,None,None,BIKAJI,1,kg,1,Success,JoiMart
5, Alpino Natural Peanut Butter Crunch 1 KG , 449.00 ,350.00, sponsored ,None,ALPINO,1,kg,1,Success,JoiMart
6, Sunfeast Dark Fantasy Original Choco Filled Cookie 300 g , 170.00 ,99.00,None,None,SUNFEAST,300,g,1,Success,JoiMart
7, Parle-G Gold Biscuits 1 kg , 140.00 ,105.00,None,None,PARLE,1,kg,1,Success,JoiMart
8, Britannia Jimjam Sandwich Biscuits 138 g , 35.00 ,24.00,None,None,BRITANNIA,138,g,1,Success,JoiMart
9, Britannia NutriChoice Hi-Fibre Digestive Biscuits 1 kg , 179.00 ,155.00,None,None,BRITANNIA,1,kg,1,Success,JoiMart
10, Shree Misthan Kaju Katli 400g (200g X 2) , 520.00 ,369.00,None,None,SHREE MISTHAN,400,g,1,Success,JoiMart
11, Pintola Choco Spread Crunchy Peanut Butter 1kg , 499.00 ,449.00, sponsored ,None,PINTOLA,1,kg,1,Success,JoiMart
12, Sunfeast Dark Fantasy Choco Fills Cookies 75 g , 40.00 ,30.00,None,None,SUNFEAST,75,g,1,Success,JoiMart
13, Munch 18 Yummy Treats 160.2 g , 100.00 ,66.00,None,None,MUNCH,160.2,g,1,Success,JoiMart
14, Sunfeast Dark Fantasy Bourbon Biscuits 120 g , 35.00 ,17.00,None,None,SUNFEAST DARK FANTASY,120,g,1,Success,JoiMart
15, Maggi 2-Minute Masala Instant Noodles 420 g , 84.00 ,68.00,None,None,MAGGI,420,g,1,Success,JoiMart
16, Parle Hide & Seek Chocolate Chip Cookies 100 g , 30.00 ,25.00,None,None,PARLE,100,g,1,Success,JoiMart
17, LuvIt Dairy Rich Roasted Almond Chocolates Bar| Delicious| Rich| Smooth| Pack of 12- 39gm Each , 600.00 ,495.00, sponsored ,None,LUVIT,39,gm,12,Success,JoiMart
18, Maggi Nutri-licious Masala Veg Atta Noodles 290 g , 112.00 ,74.00,None,None,MAGGI,290,g,1,Success,JoiMart
19, Lotte Choco Pie 28 g (12 pcs) , 170.00 ,99.00,None,None,LOTTE,28,g,1,Success,JoiMart
20, Sunfeast Dark Fantasy Choco Creme Biscuits 100 g , 35.00 ,17.00,None,None,SUNFEAST,100,g,1,Success,JoiMart
21, Britannia Bourbon The Original Cream Biscuits 150 g , 40.00 ,30.00,None,None,BRITANNIA,150,g,1,Success,JoiMart
22, Parle-G Original Glucose Biscuits 800 g , 100.00 ,84.00,None,None,PARLE,800,g,1,Success,JoiMart
23," Alpino Natural Peanut Butter Smooth 400 G | Unsweetened | 30 G Protein | 100% Roasted Peanuts | No Added Sugar, Salt or Hydrogenated Oils | High Protein Peanut Butter Creamy | Gluten-Free | Vegan ", 199.00 ,163.00, sponsored ,None,ALPINO,400,g,1,Success,JoiMart
24, Lay's American Style Cream & Onion Potato Chips 90 g , 50.00 ,33.00,None,None,LAY'S,90,g,1,Success,JoiMart
25, Sunfeast Dark Fantasy Vanilla Creme Biscuits 100 g , 35.00 ,17.00,None,None,DARK FANTASY,100,g,1,Success,JoiMart
26, Bambino Soan Papdi Badam Flavour Each 200 Gms X Pack of 2 (400 Gms) , 180.00 ,139.00,None,None,BAMBINO,200,gms,2,Success,JoiMart
27," Shree Misthan Kaju Katli (Kaju Barfi / Burfi, Indian Mithai / Sweets Gift Pack / Box) Festive Gift Box 200g ", 260.00 ,219.00,None,None,SHREE MISTHAN,200,g,1,Success,JoiMart
28, Lay's India's Magic Masala Potato Chips 90 g , 50.00 ,33.00,None,None,LAY'S,90,g,1,Success,JoiMart
29, Alpino Natural Peanut Butter Crunch 400 G , 199.00 ,170.00, sponsored ,None,ALPINO,400,g,1,Success,JoiMart
30, Parle Hide & Seek 4 Fun Flavours Choco Chip Creme Sandwich Biscuits 400 g , 130.00 ,65.00,None,None,PARLE,400,g,1,Success,JoiMart
31, Bikaji Bikaneri Bhujia 1 kg , 350.00 ,250.00,None,None,BIKAJI,1,kg,1,Success,JoiMart
32, Cadbury Dairy Milk Fruit & Nut Chocolate 36 g , 45.00 ,40.00,None,None,CADBURY,36,g,1,Success,JoiMart
33, Sunfeast Yippee Mood Masala Noodles 260 g , 60.00 ,30.00,None,None,YIPPEE,260,g,1,Success,JoiMart
34, Mayora Malkist Cheese Flavoured Cracker Biscuits 144 g , 60.00 ,45.00,None,None,MAYORA,144,g,1,Success,JoiMart
35, LuvIt Luscious Love Delights & Dairy Rich Home Delights Chocolates Combo - Pack of 3 - 414g , 518.00 ,339.00, sponsored ,None,LUVIT,414,g,3,Success,JoiMart
36, Maggi 2-Minutes Masala Noodles Pack 832 g , 160.00 ,128.00,None,None,MAGGI,832,g,1,Success,JoiMart
37, Parle 20-20 Gold Cashew Almond Cookies 1 kg , 250.00 ,125.00,None,None,PARLE,1,kg,1,Success,JoiMart
