,Sr.No.,Grocery_Name,Brand_Name,MRP_Price,Discount_Price,Total Disc,Percetage Disc,Quantity,strip_qua,Converted_Quantity,Numeric_Part
39,39,Sona masoori Raw Rice ( 6 + Months  Old),BB Popular,1700.0,1482.0,218.0,12.82,26 kg - (6 + Months Old),26 kg ,26000.0,26000.0
40,40,Rice Bran Health Physically Refined Oil,Fortune ,390.0,339.9,50.10000000000002,12.85,3x1 L - Multipack,3x1 L ,"(3.0, 'l')",3.0
41,41,"Urad Gota - Desi, Unpolished Mature Pulses For Easy Cooking & Rich Flavour",BB Royal,210.0,159.0,51.0,24.29,1 kg - Pouch,1 kg ,1000.0,1000.0
42,42,Poha/Avalakki/Aval - Thick,BB Royal,100.0,66.0,34.0,34.0,1 kg - Pouch,1 kg ,1000.0,1000.0
43,43,"Green Moong Whole - Desi, Unpolished Mature Pulses For Easy Cooking & Rich Flavour",BB Royal,90.0,63.46,26.54,29.49,500 g - Pouch,500 g ,500.0,500.0
44,44,Gold Refined Cooking oil | Blended Rice Bran & Sunflower oil | Helps Keeps Heart Healthy,Saffola,180.0,156.0,24.0,13.33,1 L - Pouch,1 L ,1000.0,1000.0
45,45,Sunlite - Refined Sunflower Oil,Fortune ,480.0,272.14,207.86,43.3,2 L - Pet Bottle,2 L ,2000.0,2000.0
46,46,Premium Kachi Ghani Pure Mustard Oil,Fortune ,43.0,31.98,11.02,25.63,200 ml - Pet Bottle,200 ml ,200.0,200.0
47,47,Nakshatra Pooja Oil,Mr. Gold,105.0,86.88,18.120000000000005,17.26,500 ml ,500 ml ,500.0,500.0
48,48,Olive Oil For Indian Cooking - Frying & Baking,BORGES,950.0,639.25,310.75,32.71,500 ml - Glass Bottle,500 ml ,500.0,500.0
49,49,Urad Dal/Uddina Bele - Split,BB Royal,210.0,151.0,59.0,28.1,1 kg - Pouch,1 kg ,1000.0,1000.0
50,50,Bansi Sooji/Kesari Rava,BB Royal,75.0,59.0,16.0,21.33,1 kg - Pouch,1 kg ,1000.0,1000.0
51,51,Maida,BB Royal,325.0,225.0,100.0,30.77,5x1 kg - Multipack,5x1 kg ,"(5.0, 'kg')",5.0
52,52,Amrit - Brown Sugar,Parry's,100.0,90.0,10.0,10.0,2x500 g - Multipack,2x500 g ,"(1000.0, 'g')",1000.0
53,53,Organic - Kismis,BB Royal,599.0,372.0,227.0,37.9,1 kg ,1 kg ,1000.0,1000.0
54,54,Surti Kolam - Rice (12 + Months Old),BB Royal,2300.0,1921.0,379.0,16.48,26 kg - (12 + Months Old),26 kg ,26000.0,26000.0
55,55,"Chilli - Byadagi, Stemless",BB Royal,240.0,216.0,24.0,10.0,200 g ,200 g ,200.0,200.0
56,56,Black Pepper/Kari Menasu,BB Popular,280.0,183.0,97.0,34.64,200 g - Pouch,200 g ,200.0,200.0
57,57,Organic - Cumin/Jeera/Jeerige,BB Royal,600.0,427.0,173.0,28.83,500 g ,500 g ,500.0,500.0
58,58,Filtered Groundnut Oil,Safal,207.0,207.0,0.0,0.0,1 L - pouch,1 L ,1000.0,1000.0
59,59,Powder - Asafoetida,LG,883.0,883.0,0.0,0.0,500 g - Jar,500 g ,500.0,500.0
60,60,Toor/Arhar Dal,BB Popular,1225.0,951.0,274.0,22.37,5 kg - Pouch,5 kg ,5000.0,5000.0
61,61,Organic - Brown Sugar/Sakkare,BB Royal,225.0,147.0,78.0,34.67,2 kg ,2 kg ,2000.0,2000.0
62,62,Urad Dal/Uddina Bele Whole White,Tata Sampann,224.0,217.28,6.719999999999999,3.0,1 Kg ,1 Kg ,1000.0,1000.0
63,63,Atta/Godihittu - Chakki Fresh,Pillsbury,576.0,441.74,134.26,23.31,10 kg - Pouch,10 kg ,10000.0,10000.0
64,64,Coriander Seeds/Kottambari Beeja,BB Royal,250.0,130.0,120.0,48.0,500 g ,500 g ,500.0,500.0
65,65,Refined Sunflower - Oil,Sunpure ,675.0,577.7,97.29999999999995,14.41,5 L - Can,5 L ,5000.0,5000.0
66,66,Fine Besan/Kadale Hittu - 100% Chana Dal,Tata Sampann,149.0,134.1,14.900000000000006,10.0,1 kg ,1 kg ,1000.0,1000.0
67,67,Dosa Rice/Akki,Super Saver,275.0,257.0,18.0,6.55,5 kg ,5 kg ,5000.0,5000.0
68,68,Unpolished Chana Dal,Tata Sampann,154.0,129.0,25.0,16.23,1 kg - Pouch,1 kg ,1000.0,1000.0
69,69,Walnut/Akhrot - Kernels,BB Popular,360.0,225.0,135.0,37.5,200 g - Pouch,200 g ,200.0,200.0
70,70,Superior-Mp-Sharbati-Atta/Godihittu - Fortified,BB Royal,650.0,515.64,134.36,20.67,10 kg - Pouch,10 kg ,10000.0,10000.0
71,71,Rice Flour,BB Royal,60.0,49.0,11.0,18.33,1 kg - Pouch,1 kg ,1000.0,1000.0
72,72,"White Thick Poha - High In Fibre, For Breakfast & Evening Tea",Tata Sampann,212.0,180.0,32.0,15.09,2x1kg - Multipack,2x1kg ,"(2.0, 'kg')",2.0
73,73,Idli/Idly Rice,BB Royal,70.0,55.0,15.0,21.43,1 kg - Pouch,1 kg ,1000.0,1000.0
74,74,Organic - Raw Peanuts,BB Royal,538.0,452.0,86.0,15.99,2x1 kg - Multipack,2x1 kg ,"(2.0, 'kg')",2.0
75,75,Coconut Oil - 100% Pure,Parachute ,4440.0,3996.0,444.0,10.0,12x1 L - Multipack,12x1 L ,"(12.0, 'l')",12.0
76,76,Cow Ghee/Tuppa,Aashirvaad Svasti,840.0,798.0,42.0,5.0,1 L - Pet Jar,1 L ,1000.0,1000.0
77,77,"Refined Sunflower Oil - Trans Fat Free, Healthy Cooking Oil",Fiona ,128.0,107.86,20.14,15.73,1 L - Pouch,1 L ,1000.0,1000.0
78,78,Kabuli Chana/Kabuli Kadale,BB Popular,240.0,185.0,55.0,22.92,1 kg - Pouch,1 kg ,1000.0,1000.0
79,79,Masala - Puliogare Powder,MTR,135.0,122.0,13.0,9.63,200 g - Pouch,200 g ,200.0,200.0
80,80,Amrit Powdered Jaggery,Parry's,110.0,80.0,30.0,27.27,2x500 g - Multipack,2x500 g ,"(1000.0, 'g')",1000.0
81,81,Tamarind/Hunisehannu/Imli Seedless Cake,BB Royal,400.0,232.0,168.0,42.0,1 kg ,1 kg ,1000.0,1000.0
82,82,Sona Masoori Raw Rice/Akki,Super Saver,275.0,258.5,16.5,6.0,5 kg ,5 kg ,5000.0,5000.0
83,83,Tasty Refined Cooking oil | Blended Rice bran & Corn oil | Pro Fitness Conscious,Saffola,150.0,138.0,12.0,8.0,1 L - Pouch,1 L ,1000.0,1000.0
84,84,Oil - Groundnut,Freedom,210.0,179.56,30.439999999999998,14.5,1 L ,1 L ,1000.0,1000.0
85,85,"Gold - Refined Cooking Oil, Blend Of Rice Bran & Sunflower Oil, Helps Keeps Heart Healthy",Saffola,675.0,499.0,176.0,26.07,3 L - Jar,3 L ,3000.0,3000.0
86,86,Cashew/Kaju - Whole,Super Saver,1000.0,754.0,246.0,24.6,1 kg ,1 kg ,1000.0,1000.0
87,87,Iodised Crystal Salt,Tata Salt,44.0,44.0,0.0,0.0,2x1kg - Multipack,2x1kg ,"(2.0, 'kg')",2.0
88,88,Chiroti/Barik Sooji,BB Royal,65.0,56.0,9.0,13.85,1 kg - Pouch,1 kg ,1000.0,1000.0
89,89,Mustard/Sasive/Rai - Small,BB Popular,150.0,86.0,64.0,42.67,500 g ,500 g ,500.0,500.0
90,90,Chilli - Guntur with Stem,BB Royal,350.0,255.0,95.0,27.14,500 g ,500 g ,500.0,500.0
91,91,Original Extra Virgin Olive Oil,BORGES,1400.0,1099.0,301.0,21.5,1 L - Pet Bottle,1 L ,1000.0,1000.0
