,Sr.No.,Grocery_Name,Brand_Name,MRP_Price,Discount_Price,Total Disc,Percetage Disc,Quantity,strip_qua,Converted_Quantity,Numeric_Part
196,196,Rice Bran Health Physically Refined Oil,Fortune ,775.0,708.4,66.60000000000002,8.59,5 L - Jar,5 L ,5000.0,5000.0
197,197,Ragi Flour,Vijay,68.0,66.64,1.3599999999999994,2.0,1 kg ,1 kg ,1000.0,1000.0
198,198,Rice Bran Oil - Physically Refined,Sunpure ,290.0,219.76,70.24000000000001,24.22,2 X 1 ltr - Multipack,2 X 1 ltr ,2.0,2.0
199,199,Cashew/Godambi - Broken,BB Popular,1200.0,845.0,355.0,29.58,1 kg ,1 kg ,1000.0,1000.0
200,200,Medium Poha,Vijay,88.0,86.24,1.7600000000000051,2.0,1 kg ,1 kg ,1000.0,1000.0
201,201,Sooji/Bombay Rava,BB Super Saver,31.0,22.0,9.0,29.03,500 g ,500 g ,500.0,500.0
202,202,Wheat Dalia/Lapsi rava,BB Royal,80.0,55.0,25.0,31.25,1 kg - Pouch,1 kg ,1000.0,1000.0
203,203,Organic - Sugar/Sakkare,BB Royal,110.0,60.0,50.0,45.45,1 kg ,1 kg ,1000.0,1000.0
204,204,Green Moong//Hesaru Kaalu - Whole,BB Super Saver,160.0,140.0,20.0,12.5,1 kg ,1 kg ,1000.0,1000.0
205,205,Masoor Dal/Mysore Bele,BB Popular,750.0,519.0,231.0,30.8,5 kg ,5 kg ,5000.0,5000.0
206,206,Organic - Byadagi Chilli Whole,BB Royal,199.0,194.0,5.0,2.51,200 g ,200 g ,200.0,200.0
207,207,Black Raisins/Ona Drakshi - Seedless,BB Royal,120.0,92.0,28.0,23.33,200 g - Pouch,200 g ,200.0,200.0
208,208,Organic - Cashew/Godambi Whole Bold,BB Royal,1499.0,1162.0,337.0,22.48,1 kg ,1 kg ,1000.0,1000.0
209,209,Basmati Rice/Basmati Akki - Rozana Gold,Daawat,560.0,429.0,131.0,23.39,5 kg - Pouch,5 kg ,5000.0,5000.0
210,210,Lobia/Alasandee Kaalu - White,BB Royal,80.0,59.0,21.0,26.25,500 g - Pouch,500 g ,500.0,500.0
211,211,Fried Gram - Whole/Huri Kadale,BB Royal,180.0,159.0,21.0,11.67,1 kg ,1 kg ,1000.0,1000.0
212,212,Masala - Bisibelebath Powder,MTR,80.0,65.0,15.0,18.75,100 g - Pouch,100 g ,100.0,100.0
213,213,Oil - Groundnut,Dhara ,1275.0,1106.95,168.04999999999995,13.18,5 L - Can,5 L ,5000.0,5000.0
214,214,Chakki-Fresh-Wheat-Atta/Godihittu - Fortified,BB Royal,550.0,418.42,131.57999999999998,23.92,10 kg ,10 kg ,10000.0,10000.0
215,215,Wheat - Sharbati,BB Royal,70.0,59.0,11.0,15.71,1 kg - Pouch,1 kg ,1000.0,1000.0
216,216,Ponni Raw Rice  (12 + Months Old),BB Royal,350.0,325.0,25.0,7.14,5 kg - Pouch,5 kg ,5000.0,5000.0
217,217,Filtered Groundnut Oil,Mr. Gold,240.0,204.95,35.05000000000001,14.6,1 L - Pouch,1 L ,1000.0,1000.0
218,218,"100% Natural & Pure Groundnut Oil - Unrefined, Cold-Pressed",Nature Way,1750.0,1662.5,87.5,5.0,5 L ,5 L ,5000.0,5000.0
219,219,Palakkad Red Matta Boiled Rice - Unda,BB Royal,1820.0,1596.0,224.0,12.31,26 kg - Bag,26 kg ,26000.0,26000.0
220,220,Thick Poha,Vijay,85.0,83.3,1.7000000000000028,2.0,1 kg ,1 kg ,1000.0,1000.0
221,221,"Cow's Pure Ghee - Source Of Calcium, Boosts Overall Health",Sri Sri Tattva,3575.0,3575.0,0.0,0.0,5 L - Tin,5 L ,5000.0,5000.0
222,222,Multigrain Atta - Fortified,BB Royal,660.0,570.63,89.37,13.54,2x5 kg - Multipack,2x5 kg ,"(10.0, 'kg')",10.0
223,223,Double Roasted Rava,Double Horse,110.0,110.0,0.0,0.0,1 kg ,1 kg ,1000.0,1000.0
224,224,Besan/Kadale Hittu,BB Super Saver,60.0,45.0,15.0,25.0,500 g ,500 g ,500.0,500.0
225,225,"Organic - Foxtail Millet / Italian, Thinai Rice",BB Royal,72.0,62.0,10.0,13.89,500 g ,500 g ,500.0,500.0
226,226,Organic Walnut/Akrodu Kernels,BB Royal,1099.0,860.0,239.0,21.75,500 g ,500 g ,500.0,500.0
227,227,Whole Wheat Atta,24 Mantra Organic,930.0,651.9,278.1,29.9,3x5 kg - Multipack,3x5 kg ,"(15.0, 'kg')",15.0
228,228,Rajma/Capparadavare - White/Chitra,BB Royal,55.0,47.0,8.0,14.55,200 g - Pouch,200 g ,200.0,200.0
229,229,"Pistachios - Roasted & Salted, Premium Californian",Happilo,790.0,699.16,90.84000000000003,11.5,2x200 g - Multipack,2x200 g ,"(400.0, 'g')",400.0
230,230,Ponni Raw Rice - Super Premium,BB Royal,1950.0,1638.0,312.0,16.0,26 kg - (18 + Months  Old),26 kg ,26000.0,26000.0
231,231,Cashew/Godambi - Split,BB Royal,900.0,466.0,434.0,48.22,500 g ,500 g ,500.0,500.0
232,232,Refined Oil - Rice Bran,Mr. Gold,140.0,112.02,27.980000000000004,19.99,1 L - Pouch,1 L ,1000.0,1000.0
233,233,Bombay Sooji,Vijay,70.0,68.6,1.4000000000000057,2.0,1 kg ,1 kg ,1000.0,1000.0
234,234,Chilli Powder,MTR,170.0,145.0,25.0,14.71,250 Gm ,250 Gm ,250.0,250.0
235,235,Jaggery/Bella Powder/Nattu Sakkarai,BB Royal,60.0,44.0,16.0,26.67,500 g ,500 g ,500.0,500.0
236,236,Gold Palmolein Oil,RUCHI,125.0,95.0,30.0,24.0,870 g - Pouch,870 g ,870.0,870.0
237,237,Organic - Little Millet/Samai Rice,BB Royal,349.0,278.0,71.0,20.34,2 kg ,2 kg ,2000.0,2000.0
238,238,Organic Ragi Flour,BB Royal,349.0,314.1,34.89999999999998,10.0,5 Kg ,5 Kg ,5000.0,5000.0
239,239,Super Saver Palakkad Red Matta Boiled Rice,Super Saver,650.0,598.0,52.0,8.0,10 kg ,10 kg ,10000.0,10000.0
240,240,"Walnuts - Kernels, Premium 100% Natural Kashmiri",Happilo,910.0,773.5,136.5,15.0,2x200 g - Multipack,2x200 g ,"(400.0, 'g')",400.0
241,241,Organic - Cloves/Lavanga,BB Royal,49.0,46.0,3.0,6.12,20 g ,20 g ,20.0,20.0
242,242,Mixed Dry fruits,BB Royal,750.0,567.0,183.0,24.4,500 g - Pouch,500 g ,500.0,500.0
243,243,Organic - Rice Flour,BB Royal,198.0,126.0,72.0,36.36,2x1 kg - Multipack,2x1 kg ,"(2.0, 'kg')",2.0
244,244,Tilnad Sesame Oil,Klf ,430.0,422.52,7.480000000000018,1.74,1 L ,1 L ,1000.0,1000.0
245,245,Vadi Matta Rice,Double Horse,480.0,379.0,101.0,21.04,5 kg - Bag,5 kg ,5000.0,5000.0
246,246,"Kashmiri Chilli Powder - Perfect Colour, Smell & Taste",Eastern,540.0,330.0,210.0,38.89,2x250 g - Multipack,2x250 g ,"(500.0, 'g')",500.0
247,247,Powder - Green Coriander,Everest,200.0,200.0,0.0,0.0,500 g - Pouch,500 g ,500.0,500.0
248,248,"Rice/Akki - Steam, Sona Masoori",BB Popular,70.0,59.0,11.0,15.71,1 kg - Pouch,1 kg ,1000.0,1000.0
249,249,Soya - Mini Chunk,Nutrela,60.0,57.0,3.0,5.0,200 g - 0,200 g ,200.0,200.0
250,250,Unpolished Urad Dal - Split,Tata Sampann,224.0,217.28,6.719999999999999,3.0,1 kg ,1 kg ,1000.0,1000.0
251,251,Organic - Urad Whole Gota Unpolished,BB Royal,805.0,724.5,80.5,10.0,5 kg ,5 kg ,5000.0,5000.0
252,252,Refined Oil - Groundnut,Safal,220.0,220.0,0.0,0.0,1 L - Pouch,1 L ,1000.0,1000.0
253,253,Idli/Idly Rice,BB Popular,650.0,526.0,124.0,19.08,10 kg ,10 kg ,10000.0,10000.0
254,254,Masala - Rasam Powder,MTR,135.0,119.0,16.0,11.85,200 g - Pouch,200 g ,200.0,200.0
255,255,100% Natural Premium Californian Almonds - Value Pack,Happilo,1350.0,966.6,383.4,28.4,1 kg ,1 kg ,1000.0,1000.0
256,256,Basmati Rice - Super,Daawat,220.0,138.86,81.13999999999999,36.88,1 kg - Pouch,1 kg ,1000.0,1000.0
257,257,GTS Original Vada Colam Raw Rice,Bullet,1080.0,877.5,202.5,18.75,10 kg ,10 kg ,10000.0,10000.0
258,258,"Pink Salt - With 100% Natural Sendha Salt, For Everyday Cooking, Iodised Rock Salt",Tata Salt,80.0,72.0,8.0,10.0,1 kg - Pouch,1 kg ,1000.0,1000.0
259,259,Dates/Kharjura,Lion,170.0,170.0,0.0,0.0,500 g - Buy 1 Get 1 Free,500 g ,500.0,500.0
260,260,Organic - Channa Dal Unpolished,BB Royal,77.0,65.0,12.0,15.58,500 g ,500 g ,500.0,500.0
261,261,Organic - Brown Rice,BB Royal,960.0,798.0,162.0,16.88,2x5 kg - Multipack,2x5 kg ,"(10.0, 'kg')",10.0
262,262,Ponni Boiled Rice,BB Popular,1800.0,1386.0,414.0,23.0,26 kg - Bag,26 kg ,26000.0,26000.0
263,263,Pure Cow Ghee,Gowardhan,1450.0,1450.0,0.0,0.0,2 x 1 L - Multipack,2 x 1 L ,"(2.0, 'l')",2.0
264,264,Rice Flour/Akki Hittu,BB Super Saver,28.0,22.0,6.0,21.43,500 g ,500 g ,500.0,500.0
265,265,Tur/Arhar Dal,24 Mantra Organic,580.0,510.4,69.60000000000002,12.0,2x1 kg - Multipack,2x1 kg ,"(2.0, 'kg')",2.0
266,266,Refined Palmolein Oil - Imported,Palmpure,101.0,93.79,7.209999999999994,7.14,1 L ,1 L ,1000.0,1000.0
267,267,Asafoetida - Powder,Ssp,310.0,310.0,0.0,0.0,10 g - Jar,10 g ,10.0,10.0
268,268,"Masala-Ae-Magic - Seasoning With Aromatic Roasted Spices, Enhances Flavour",MAGGI ,60.0,51.0,9.0,15.0,6 g - (Pack of 12),6 g ,6.0,6.0
269,269,Masala - Garam,Everest,200.0,200.0,0.0,0.0,200 g ,200 g ,200.0,200.0
270,270,Cow Ghee/Tuppa,Patanjali,2925.0,2925.0,0.0,0.0,5 L ,5 L ,5000.0,5000.0
271,271,Sugar Release Control Atta/Godihittu,Aashirvaad,385.0,338.8,46.19999999999999,12.0,5 kg ,5 kg ,5000.0,5000.0
272,272,Kabuli Chana/Kabuli Kadale,BB Super Saver,230.0,207.0,23.0,10.0,1 kg ,1 kg ,1000.0,1000.0
273,273,Organic - Idly/Idli Rice,BB Royal,838.0,680.0,158.0,18.85,2x5 kg - Multipack,2x5 kg ,"(10.0, 'kg')",10.0
274,274,Rajma/Capparadavare - Kashmiri,BB Royal,40.0,39.0,1.0,2.5,200 g - Pouch,200 g ,200.0,200.0
275,275,Sugar,24 Mantra Organic,435.0,309.6,125.39999999999998,28.83,3x1 kg - Multipack,3x1 kg ,"(3.0, 'kg')",3.0
276,276,Sonamasuri Rice,24 Mantra Organic,1770.0,1203.6,566.4000000000001,32.0,3x5 kg - Multipack,3x5 kg ,"(15.0, 'kg')",15.0
277,277,Organic - Jowar Flour,BB Royal,190.0,162.0,28.0,14.74,2x1 kg - Multipack,2x1 kg ,"(2.0, 'kg')",2.0
278,278,"100% Pure Premium Cashews Whole - Premium Quality Kaju, Rich In Protein, Magnesium, & Phosphorus, Premium Nuts & Dry Fruits|",Tata Sampann,1170.0,1100.85,69.15000000000009,5.91,1 kg - Pouch,1 kg ,1000.0,1000.0
279,279,Walnut/Akhrot- Kernels,BB Royal,400.0,307.0,93.0,23.25,200 g - Vacuum Packed,200 g ,200.0,200.0
280,280,Schezwan Fried Rice Masala,Chings,100.0,100.0,0.0,0.0,10 x 20 g - Multipack,10 x 20 g ,"(200.0, 'g')",200.0
281,281,Refined - Sunflower Oil,Dhara ,725.0,577.5,147.5,20.34,5 L - Can,5 L ,5000.0,5000.0
282,282,Coriander Seeds/Kottambari Beeja,BB Popular,80.0,49.0,31.0,38.75,200 g ,200 g ,200.0,200.0
283,283,Til/Ellu - Black,BB Royal,100.0,77.0,23.0,23.0,200 g ,200 g ,200.0,200.0
284,284,Chilli Powder/Menasina Pudi,Tata Sampann,360.0,277.2,82.80000000000001,23.0,500 g ,500 g ,500.0,500.0
285,285,Himalayan Pink Rock Salt/Uppu - Crystal,GoodDiet,110.0,99.0,11.0,10.0,1 kg ,1 kg ,1000.0,1000.0
286,286,Coconut Milk - UHT Natural,Kara,320.0,320.0,0.0,0.0,4x200 ml - Multi Pack,4x200 ml ,"(800.0, 'ml')",800.0
287,287,Powder - Kashmirilal,Everest,255.0,255.0,0.0,0.0,200 g ,200 g ,200.0,200.0
288,288,Anjeer/Figs/Atti Hannu,BB Royal,1500.0,931.0,569.0,37.93,500 g ,500 g ,500.0,500.0
289,289,Pure Cow Ghee,Gowardhan,770.0,692.0,78.0,10.13,2 x 500 ml - Multipack,2 x 500 ml ,"(1000.0, 'ml')",1000.0
290,290,Gingelly Oil,Kpl Shudhi,415.0,379.71,35.29000000000002,8.5,1 L - Bottle,1 L ,1000.0,1000.0
291,291,"Double Roasted Suji Rava - Less Moisture, More Quantity, Made From MP Wheat",Aashirvaad,77.0,73.15,3.8499999999999943,5.0,1 kg ,1 kg ,1000.0,1000.0
292,292,White Peas/Bili Batani,BB Royal,180.0,118.0,62.0,34.44,1 kg - Pouch,1 kg ,1000.0,1000.0
293,293,Ghee/Tuppa,Milky Mist,450.0,375.0,75.0,16.67,500 ml - Pet Jar,500 ml ,500.0,500.0
294,294,"Multigrain Atta - 7 Grains, High Fibre Flour, High Protein Atta",Pillsbury,734.0,580.0,154.0,20.98,2 x 5 kg - Multipack,2 x 5 kg ,"(10.0, 'kg')",10.0
295,295,Premium Natural Californian Almonds,Happilo,550.0,421.0,129.0,23.45,2x200 g - Multipack,2x200 g ,"(400.0, 'g')",400.0
296,296,Iodized Crystal Salt/Uppu,Aashirvaad,22.0,19.8,2.1999999999999993,10.0,1 kg ,1 kg ,1000.0,1000.0
297,297,"Dry Dates/Kharjura - Chuwara, Kharik",BB Royal,80.0,44.0,36.0,45.0,100 g - Pouch,100 g ,100.0,100.0
298,298,Powder - Cumin,MTR,75.0,71.25,3.75,5.0,100 g - Pouch,100 g ,100.0,100.0
299,299,Cardamom/Elaichi - Green,BB Royal,250.0,228.0,22.0,8.8,50 g ,50 g ,50.0,50.0
300,300,Brown Chana,BB Super Saver,130.0,90.0,40.0,30.77,1 kg ,1 kg ,1000.0,1000.0
301,301,Sona Masoori Steam Rice/Akki,Super Saver,70.0,62.0,8.0,11.43,1 kg ,1 kg ,1000.0,1000.0
302,302,Active - Goodness Of Olive Oil,Oleev,1395.0,1217.0,178.0,12.76,5 L - Jar,5 L ,5000.0,5000.0
303,303,Rice Bran Oil Physically Refined,Freedom,143.0,119.87,23.129999999999995,16.17,1 L - Pouch,1 L ,1000.0,1000.0
304,304,Organic - Ragi Whole/Finger Millet,BB Royal,160.0,134.0,26.0,16.25,2x1 kg - Multipack,2x1 kg ,"(2.0, 'kg')",2.0
305,305,"Cashew/Godambi - Whole,Standy Ziplock Pouch",BB Royal,2000.0,864.0,1136.0,56.8,500 gm - (Pack of 500x2),500 gm ,500.0,500.0
306,306,"Almond/Badam - Californian, Giri Bold",BB Royal,1500.0,1024.0,476.0,31.73,1 kg - Pouch,1 kg ,1000.0,1000.0
307,307,White Poha - Thin,Tata Sampann,57.0,55.86,1.1400000000000006,2.0,500 g ,500 g ,500.0,500.0
308,308,Poppy Seed,JK,618.0,618.0,0.0,0.0,250 g ,250 g ,250.0,250.0
309,309,Chana Dal,BB Super Saver,63.0,54.0,9.0,14.29,500 g ,500 g ,500.0,500.0
310,310,Jeera/Gobind Bhog Rice/Akki,Super Saver,600.0,491.0,109.0,18.17,5 kg ,5 kg ,5000.0,5000.0
311,311,Mustard/Sasive/Rai - Big,BB Popular,60.0,32.0,28.0,46.67,200 g ,200 g ,200.0,200.0
312,312,Palakkad Red Matta Boiled Rice - Vadi,BB Royal,400.0,373.0,27.0,6.75,5 kg - Pouch,5 kg ,5000.0,5000.0
313,313,Organic - Bay Leaf/Lavangada Ele,BB Royal,13.0,11.0,2.0,15.38,20 g ,20 g ,20.0,20.0
314,314,Active Refined Cooking oil | Blended Rice Bran & SoyaBean oil | Pro Weight Watchers,Saffola,805.0,649.0,156.0,19.38,5 L - Jar,5 L ,5000.0,5000.0
315,315,Masala - Vangibath Powder,MTR,155.0,155.0,0.0,0.0,200 g - Pouch,200 g ,200.0,200.0
316,316,"Green Moong/Hesaru Kaalu - Split, Chilka",BB Royal,200.0,164.0,36.0,18.0,1 kg - Pouch,1 kg ,1000.0,1000.0
317,317,"Extra Virgin Olive Oil- 100% Natural and Cold Extracted- Perfect for Salad, Paratha, Marinade - Imported from Spain",Figaro,1999.0,1473.99,525.01,26.26,1 L - Pet Bottle,1 L ,1000.0,1000.0
318,318,Organic Kodo Millet - Varagu Rice,BB Royal,79.0,70.0,9.0,11.39,500 g ,500 g ,500.0,500.0
319,319,Active Oil,Oleev,747.0,730.12,16.879999999999995,2.26,3x1 L - Multipack,3x1 L ,"(3.0, 'l')",3.0
320,320,HMT Kolam Raw Rice/Akki,Super Saver,90.0,78.0,12.0,13.33,1 kg ,1 kg ,1000.0,1000.0
321,321,Organic Tamarind/Hunisehannu,BB Royal,180.0,179.0,1.0,0.56,500 g ,500 g ,500.0,500.0
322,322,Cold Pressed Pure Mustard Oil,Dabur,620.0,432.14,187.86,30.3,2 x 1 L - Multipack,2 x 1 L ,"(2.0, 'l')",2.0
323,323,Oil - Mustard (Kachi Ghani),Dhara ,170.0,142.06,27.939999999999998,16.44,1 L - Bottle,1 L ,1000.0,1000.0
324,324,Fennel/Saunf/Sompu - Small,BB Popular,80.0,62.0,18.0,22.5,100 g ,100 g ,100.0,100.0
325,325,Powder - Sambar,Sakthi,132.0,125.4,6.599999999999994,5.0,200 g - Pouch,200 g ,200.0,200.0
326,326,Poha/Avalakki/Aval/Chivda - Thin,BB Popular,80.0,77.0,3.0,3.75,1 kg ,1 kg ,1000.0,1000.0
327,327,Organic - Poha,BB Royal,238.0,164.0,74.0,31.09,2x1 kg - Multipack,2x1 kg ,"(2.0, 'kg')",2.0
328,328,Dal Powder/Paruppu Podi - Rich In Taste & Flavour,BB Royal,60.0,40.0,20.0,33.33,100 g ,100 g ,100.0,100.0
329,329,Chana - Kabuli/Kabuli Kadale,BB Royal,58.0,49.0,9.0,15.52,200 g - Pouch,200 g ,200.0,200.0
330,330,A2 Desi Cow Ghee,Fresho Organic,1500.0,699.0,801.0,53.4,500 ml ,500 ml ,500.0,500.0
331,331,Dry Coconut/Gadi/Gola,BB Royal,250.0,207.0,43.0,17.2,500 g ,500 g ,500.0,500.0
332,332,Gold Low Calorie Sweetener,Sugar Free,150.0,144.0,6.0,4.0,100 g - Jar,100 g ,100.0,100.0
333,333,Turmeric Powder/Arisina Pudi,Aashirvaad,180.0,149.4,30.599999999999994,17.0,500 g ,500 g ,500.0,500.0
334,334,Organic Sona Masoori Semi Brown Rice/Akki - Handpounded,BB Royal,949.0,745.0,204.0,21.5,10 Kg ,10 Kg ,10000.0,10000.0
335,335,Ginger Garlic Paste,Smith & Jones,200.0,188.0,12.0,6.0,4 x200 g - Multipack,4 x200 g ,"(800.0, 'g')",800.0
336,336,Hommade - Tomato Puree,Dabur,81.0,77.0,4.0,4.94,3x200 g - Multipack,3x200 g ,"(600.0, 'g')",600.0
337,337,Mustard Oil - Kachi Ghani,Dalda ,165.0,136.62,28.379999999999995,17.2,1 L - Bottle,1 L ,1000.0,1000.0
338,338,Plain Puffed Rice/Kadle Puri/Murmure,BB Royal,40.0,39.0,1.0,2.5,200 g - Pouch,200 g ,200.0,200.0
339,339,Coriander Powder,MTR,86.0,74.0,12.0,13.95,250 Gm ,250 Gm ,250.0,250.0
340,340,Organic - Barnyard Millet/Kudiraivali Rice,BB Royal,399.0,315.0,84.0,21.05,2 kg ,2 kg ,2000.0,2000.0
341,341,"Organic - Urad Dal/Uddina Bele, White (Split), Unpolished",BB Royal,210.0,177.2,32.80000000000001,15.62,1 kg ,1 kg ,1000.0,1000.0
342,342,Dates/Kharjura - Desert King,Lion,247.0,247.0,0.0,0.0,500 gm - Cup,500 gm ,500.0,500.0
343,343,Ajwain/Om Kalu - Whole,BB Popular,50.0,45.0,5.0,10.0,100 g ,100 g ,100.0,100.0
344,344,Gingelly/Sesame Cooking Oil,BB Royal Organic,600.0,459.0,141.0,23.5,1 L - Spout Pack,1 L ,1000.0,1000.0
345,345,Ananas Flower/Ananas Huvu,BB Royal,200.0,159.0,41.0,20.5,100 g ,100 g ,100.0,100.0
346,346,Buffalo Ghee/Tuppa - Special Grade with Milk Fat,Heritage,370.0,342.21,27.79000000000002,7.51,500 ml - Pouch,500 ml ,500.0,500.0
347,347,"Pista - California, Roasted & Salted",Super Saver,385.0,258.0,127.0,32.99,200 g ,200 g ,200.0,200.0
348,348,Organic - Turmeric Powder/Arisina Pudi,BB Royal,61.0,49.0,12.0,19.67,200 g ,200 g ,200.0,200.0
349,349,"Refined Sunflower Oil - with Vitamins A, D & E",Freedom,144.0,125.4,18.599999999999994,12.92,1 L - Bottle,1 L ,1000.0,1000.0
350,350,Coconut Powder - Desiccated,BB Royal,100.0,67.0,33.0,33.0,200 g ,200 g ,200.0,200.0
351,351,"Jaggery - Rich In Iron, Treats Anemia",Super Saver,90.0,73.0,17.0,18.89,1 kg ,1 kg ,1000.0,1000.0
352,352,Jeera Powder,Catch,270.0,202.5,67.5,25.0,2x100 g - Multipack,2x100 g ,"(200.0, 'g')",200.0
353,353,Organic - Kasuri Methi,BB Royal,129.0,129.0,0.0,0.0,200 g ,200 g ,200.0,200.0
354,354,Watermelon Seeds/Kallangadi Bija,BB Royal,160.0,119.0,41.0,25.62,100 g ,100 g ,100.0,100.0
355,355,Seeds - Flax,BB Royal,60.0,29.0,31.0,51.67,200 g ,200 g ,200.0,200.0
356,356,Fenugreek Seeds,24 Mantra Organic,56.0,49.2,6.799999999999997,12.14,2x100 g - Multipack,2x100 g ,"(200.0, 'g')",200.0
357,357,Groundnut Oil,24 Mantra Organic,1485.0,1262.1,222.9000000000001,15.01,3x1 L - Multipack,3x1 L ,"(3.0, 'l')",3.0
358,358,"Cashews - Whole, 100% Natural Premium",Happilo,670.0,502.5,167.5,25.0,2x200 g - Multipack,2x200 g ,"(400.0, 'g')",400.0
359,359,Khus Khus/Posta Dana,Super Saver,350.0,214.0,136.0,38.86,100 g ,100 g ,100.0,100.0
360,360,Heart Oil - Vegetable,Sundrop,429.0,416.13,12.870000000000005,3.0,3 L - Jar,3 L ,3000.0,3000.0
361,361,Turmeric Powder/Arisina Pudi,Everest,180.0,180.0,0.0,0.0,500 g - Pouch,500 g ,500.0,500.0
362,362,Tamarind Paste,Mother's Recipe,156.0,156.0,0.0,0.0,3X200 g - Multipack,3X200 g ,3.0,3.0
363,363,Soya Chunks,BB Royal,55.0,25.0,30.0,54.55,200 g ,200 g ,200.0,200.0
364,364,GTS Original Vada Colum Raw Rice,Bullet,3240.0,2427.6,812.4000000000001,25.07,30 kg - Bag,30 kg ,30000.0,30000.0
365,365,Green Pumpkin Seeds/Kumbalakayi Bija,BB Royal,100.0,81.0,19.0,19.0,100 g - Pouch,100 g ,100.0,100.0
366,366,Moong Dal,BB Super Saver,360.0,273.0,87.0,24.17,2 kg ,2 kg ,2000.0,2000.0
367,367,Powder - Black Pepper,Everest,148.0,148.0,0.0,0.0,100 g - Carton,100 g ,100.0,100.0
368,368,"Refined Sunflower Oil - with Vitamins A, D & E",Freedom,720.0,598.0,122.0,16.94,5 L - Can,5 L ,5000.0,5000.0
369,369,"Cow Ghee - Intense Aroma & Flavour, Rich Texture, Immunity Booster",Aashirvaad Svasti,1570.0,1384.74,185.26,11.8,2x1 L - Multipack,2x1 L ,"(2.0, 'l')",2.0
370,370,Pure Ghee,Amul,1240.0,1240.0,0.0,0.0,2 x 1 L - Multipack,2 x 1 L ,"(2.0, 'l')",2.0
371,371,Masala - Garam,MTR,55.0,44.0,11.0,20.0,50 g - Pouch,50 g ,50.0,50.0
372,372,"Poppy Seed - Gluten Free, No Preservatives",Zoff,860.0,377.37,482.63,56.12,200 g ,200 g ,200.0,200.0
373,373,"Olive Oil- Pure Olive Oil-Daily Cooking Oil- Perfect for Indian Dishes- Curries, Gravy- Imported from Spain",Figaro,1670.0,1415.7,254.29999999999995,15.23,1 L - Tin,1 L ,1000.0,1000.0
374,374,"100% Pure California Almonds Whole - Premium Quality Badam Giri, Rich In Protein, Magnesium, Phosphorus, & Dietary Fibre, Premium Nuts & Dry Fruits",Tata Sampann,1310.0,1078.39,231.6099999999999,17.68,1 kg - Pouch,1 kg ,1000.0,1000.0
375,375,Wheat - Whole,BB Royal,350.0,274.0,76.0,21.71,5 kg - Bag,5 kg ,5000.0,5000.0
376,376,Oil - Primio Refined Groundnut,Rro,1275.0,1275.0,0.0,0.0,5 L - Can,5 L ,5000.0,5000.0
377,377,Green Moong Whole/Sabut,BB Popular,85.0,75.0,10.0,11.76,500 g - Pouch,500 g ,500.0,500.0
378,378,"Pista - Irani, Roasted & Salted",BB Royal,1250.0,917.0,333.0,26.64,500 g ,500 g ,500.0,500.0
379,379,Ponni Raw - Rice ( 6 + Months  Old),BB Popular,1690.0,1482.0,208.0,12.31,26 kg - (6 + Months Old),26 kg ,26000.0,26000.0
380,380,"Urad Balck, Whole - Desi, Unpolished Mature Pulses For Easy Cooking & Rich Flavour",BB Royal,40.0,31.0,9.0,22.5,200 g - Pouch,200 g ,200.0,200.0
381,381,Poha/Avalakki/Aval - Thick,BB Popular,80.0,64.0,16.0,20.0,1 kg - Pouch,1 kg ,1000.0,1000.0
382,382,Bansi Sooji,Vijay,65.0,63.7,1.2999999999999972,2.0,1 kg ,1 kg ,1000.0,1000.0
383,383,Coconut Oil - Virgin (Cold Pressed),Maxcare,375.0,330.0,45.0,12.0,500 ml ,500 ml ,500.0,500.0
384,384,Organic - Barley,BB Royal,150.0,149.0,1.0,0.67,1 kg ,1 kg ,1000.0,1000.0
385,385,"Garam Masala - With Natural Oils, Crafted By Chef Sanjeev Kapoor",Tata Sampann,104.0,85.28,18.72,18.0,100 g ,100 g ,100.0,100.0
386,386,Chilli/Mirchi Powder,BB Royal,300.0,178.0,122.0,40.67,500 g ,500 g ,500.0,500.0
387,387,Seeds - Sunflower,BB Royal,100.0,82.0,18.0,18.0,200 g ,200 g ,200.0,200.0
388,388,Organic - Puffed Rice/Kadle Puri,BB Royal,45.0,42.0,3.0,6.67,200 g ,200 g ,200.0,200.0
389,389,Wheat Flour (Atta),Organic Tattva,375.0,300.0,75.0,20.0,5 kg - Pouch,5 kg ,5000.0,5000.0
390,390,Urad Dal/Uddina Bele - Split,BB Super Saver,380.0,329.0,51.0,13.42,2 kg ,2 kg ,2000.0,2000.0
391,391,Organic - Flax Seeds,BB Royal,50.0,34.0,16.0,32.0,200 g ,200 g ,200.0,200.0
392,392,Mustard Big,24 Mantra Organic,64.0,60.8,3.200000000000003,5.0,2x100 g - Multipack,2x100 g ,"(200.0, 'g')",200.0
393,393,Cloves/Lavanga,BB Royal,40.0,39.0,1.0,2.5,20 g ,20 g ,20.0,20.0
394,394,"Organic - Green Moong/Hesaru Kaalu, Whole",BB Royal,179.0,153.0,26.0,14.53,1 kg ,1 kg ,1000.0,1000.0
395,395,Popcorn Seeds,BB Royal,150.0,119.0,31.0,20.67,1 kg ,1 kg ,1000.0,1000.0
396,396,Total Refined Cooking oil | Blended Rice Bran & Safflower oil | Helps Manage Cholesterol,Saffola,1100.0,899.0,201.0,18.27,5 L - Jar,5 L ,5000.0,5000.0
