,Product name,MRP,Discount,Tag,PerUnitPrice,Brand Generated
65, Storia Pomegranate 100% Juice with No Added Sugar & Preservatives 750 ml , 170.00 ,85.00,None,None,Storia
66, Real Fruit Power Masala Pomegranate Juice 1 L , 140.00 ,70.00,None,None,Real
67, Society Tea 250 g , 145.00 ,135.00,None,None,None
68, Aarambh Danedar Assam Tea 250 g , 150.00 ,75.00,None,None,None
69, Taj Mahal Tea 100 g (Carton) , 95.00 ,88.00,None,None,Taj Mahal
70, Bournvita 500 g , 233.00 ,173.00,None,None,None
71, Taj Mahal Tea 250 g (Carton) , 235.00 ,210.00,None,None,Taj Mahal
72, BRU Instant Coffee 100 g , 300.00 ,260.00,None,None,BRU
73, Horlicks Classic Malt 1 kg , 574.00 ,516.00,None,None,Horlicks
74, Frooti Mango Drink 125 ml ,10.00,10.00,None,None,Frooti
75, Lipton Honey Lemon Green Tea Bags 1.4 g (25 pcs) , 140.00 ,113.00,None,None,Lipton
76, Dabur Chyawanprash Awaleha 250 g , 116.00 ,96.00,None,None,Dabur
77, Tata Agni Leaf Tea 1.5 kg , 335.00 ,301.00,None,None,Tata
78, Women's Horlicks Plus Caramel Drink Mix 400 g , 355.00 ,295.00,None,None,Horlicks
79, Coca Cola 250 ml , 20.00 ,18.00,None,None,Coca Cola
80, PediaSure Chocolate Drink Powder 400 g (Carton) , 770.00 ,700.00,None,None,None
81, Nescafe Classic Instant Coffee 24 g , 92.00 ,85.00,None,None,Nescafe
82, Mirinda Orange 250 ml , 20.00 ,18.00,None,None,Mirinda
83, Zandu Sona Chandi Chyawanplus 900 g , 385.00 ,260.00,None,None,None
84, Continental Speciale Instant Coffee 200g Pouch | 100% Pure Coffee , 400.00 ,389.00,None,None,Continental
85, Real Fruit Power Orange Juice 1 L , 130.00 ,104.00,None,None,Real
86, Ensure Vanilla Drink Powder 400 g , 800.00 ,675.00,None,None,Ensure
87, Maaza Refresh Mango Drink 135 ml ,10.00,10.00,None,None,Maaza
88, Complan Royale Chocolate Drink Powder 1 kg , 609.00 ,459.00,None,None,Complan
89, Octavius | KADAK Assam Tea - 2.5 Kg | Extra Strong Assam Tea | Black Tea | Kadak Chai Patti | Loose Tea | Strong Chai | Tea Powder | Chai Patti | Taza Tea | Garden Fresh Tea | Tea 2.5 Kg , 750.00 ,649.00,None,None,None
90, Paper Boat Aamras 200 ml , 35.00 ,29.00,None,None,Paper Boat
91, Octavius | Suprabhatam Tez Kadak Tea - 1Kg | Extra Strong Assam Tea | Black Tea | Kadak Chai Patti | Strong Chai | Tea Powder | Chai Patti 1 kg | Taza Tea 1 kg | Garden Fresh Tea | Tea 1 Kg , 240.00 ,219.00,None,None,None
92, Real Active Orange Juice 1 L , 155.00 ,99.00,None,None,Real
93, Red Label Leaf Tea 100 g , 55.00 ,51.00,None,None,Red Label
94, Real Active Coconut Water 1 L , 170.00 ,85.00,None,None,Real
95, Rage Coffee 50 Gms Irish Hazelnut Flavour , 349.00 ,149.00,None,None,None
96, Continental STRONG Coffee Powder 1 Kg Bag ( 5 Pouches of 200g ) , 825.00 ,799.00,None,None,Continental
97, Octavius | Kadak Masala Tea - 1Kg | 100% Natural Spices | Black Tea | Strong Tea | Masala Chai | Natural Care | Kadak Chai Patti | Spiced Tea | Ayurvedic Herbs | Vedic Tea | Tea 1 Kg , 450.00 ,349.00,None,None,None
98, Horlicks Chocolate Delight 1 kg , 499.00 ,379.00,None,None,Horlicks
99, Real Activ Apple Juice 1 L , 155.00 ,99.00,None,None,Real
100, Tang Orange Instant Drink Mix 500 g , 150.00 ,121.00,None,None,Tang
101, Horlicks Women's Plus Chocolate 400 g , 365.00 ,305.00,None,None,Horlicks
102, Real Fruit Power Litchi Juice 1 L , 125.00 ,89.00,None,None,Real
103, PediaSure Vanilla Delight Drink Powder 400 g (Carton) , 770.00 ,654.00,None,None,None
104, Horlicks Classic Malt 500 g , 284.00 ,264.00,None,None,Horlicks
105, SRI SRI Morvita Gain More Incomplete ,"2,459.00","2,459.00",None,None,None
106, Horlicks Lite Regular Malt 450 g , 349.00 ,304.00,None,None,Horlicks
107, Pediasure 7 Plus Chocolate Drink Powder 400 g , 460.00 ,427.00,None,None,Pediasure
108, Tata Tea | Agni | Strong Leaf Tea| 250 Gm Each| Pack of 4| 1 Kg+ Green Elaichi 25 Gm ,450.00,450.00,None,None,Tata
109, Real Fruit Power Pomegranate Juice 1 L , 130.00 ,115.00,None,None,Real
110, Continental Speciale Instant Coffee Powder 50g Pouch | BUY 1 + GET 1 FREE | PACK OF 2 | 100% Pure Coffee | 100g (50g * 2 Pouches) , 480.00 ,239.00,None,None,Continental
111, Continental XTRA Coffee Powder 200gm Pouch | Strongest Instant Coffee | PACK OF 1 | , 380.00 ,369.00,None,None,Continental
112, Kinley Packaged Drinking Water 1 L , 20.00 ,18.00,None,None,Kinley
113, Real Fruit Power Guava Juice 1 L , 120.00 ,90.00,None,None,Real
114, Cadbury Hot Chocolate Powder 200 g , 220.00 ,165.00,None,None,Cadbury
115, Horlicks Chocolate Delight 500 g , 249.00 ,204.00,None,None,Horlicks
116, Campa Sports Cricket Electrolytes 250 ml , 20.00 ,15.00,None,None,None
117, Budweiser Beats Energy Drink 250 ml , 110.00 ,55.00,None,None,None
118, 7 Up 250 ml , 20.00 ,18.00,None,None,7 Up
119, Ensure Diabetes Care Vanilla Drink Powder 400 g , 925.00 ,800.00,None,None,Ensure
120, Bournvita 200 g , 125.00 ,116.00,None,None,None
121, Stings Energy Drink 250 ml , 30.00 ,27.00,None,None,Sting
122, Society Masala Tea 1 kg (Pouch) , 640.00 ,489.00,None,None,None
123, Protinex Rich Chocolate 400 g , 675.00 ,595.00,None,None,Protinex
124, Continental Malgudi Filter Coffee 500gm Pouch ( 60% Coffee - 40% Chicory ) , 250.00 ,249.00,None,None,Continental
125, Continental XTRA Coffee Powder 200gm Pouch | Strongest Instant Coffee | PACK OF 2 | 400gm , 760.00 ,649.00,None,None,Continental
126, Cravova Classic Mojito 300 ml , 60.00 ,30.00,None,None,None
127, Nature Day Jeera Sparkling Fruit Drink 600 ml , 60.00 ,30.00,None,None,None
128, Tetley Lemon & Honey Green Tea Bags 100 pcs , 625.00 ,312.00,None,None,Tetley
129, Complan Royal Chocolate Powdered Drink 500 g , 319.00 ,297.00,None,None,Complan
130, MOGU MOGU Multi Flavour Mix Fruit Juice with 25% NATA De Coco 300ML - Pack of 6 ,420.00,420.00,None,None,None
131, 7Up 250 ml (Can) , 35.00 ,31.00,None,None,None
132, PediaSure Vanilla Delight Drink Powder 1 kg ," 1,785.00 ","1,606.00",None,None,None
133, Wagh Bakri Navchetan| Tea| Premium Tea| 250 Gm Each| Pack of 4| 1 Kg + Green Ilayachi 25g | , 450.00 ,445.00,None,None,Wagh Bakri
134, Taj Mahal Tea Bags 100 pcs , 220.00 ,198.00,None,None,Taj Mahal
135," Nescafe Gold Imported, 200 Gm "," 1,168.75 ",800.00,None,None,Nescafe
136," BEVZILLA Instant Coffee Powder - 48 Sachets | Turkish Hazelnut, Classic, French Vanilla & English Butterscotch | 12 Sachets Each Flavour ", 299.00 ,239.00,None,None,None
137, Real Fruit Power Masala Guava Juice 1 L , 140.00 ,70.00,None,None,Real
138, Dukes Club Soda 750 ml , 20.00 ,18.00,None,None,None
139, Horlicks Classic Malt 450 g , 284.00 ,264.00,None,None,Horlicks
140, Cravova Kiwi Mojito 300 ml , 60.00 ,30.00,None,None,None
141, Lipton Pure & Light Green Tea Bags 25 pcs , 170.00 ,143.00,None,None,Lipton
142, Horlicks Classic Malt 200 g , 134.00 ,124.00,None,None,Horlicks
143, Girnar Royal Cup Tea 1 kg , 570.00 ,470.00,None,None,Girnar
144, Organic India Classic Tulsi Green Tea Bags 1.74 g (25 pcs) , 215.00 ,161.00,None,None,Organic India
145, PediaSure Chocolate Drink Powder 1 kg ," 1,785.00 ","1,606.00",None,None,None
146, Society Elaichi Adrak Chai | Society Tea | Ginger & Cardamom | Refreshing & Tasteful | 250 g | Pack of 1 ,170.00,170.00,None,None,None
147, NutroVally Lemon Honey Flavored Green Tea | For Weight Loss & Build's Immune | Premium & Detox Refreshing Tea | 100% Natural Green Tea Bags -25 Bags , 249.00 ,179.00,None,None,None
148," Nikunj Premium Green Tea Jar, 250g ", 220.00 ,159.00,None,None,None
149, Horlicks Women's Plus Caramel 750 g , 599.00 ,474.00,None,None,Horlicks
150, Manna Sattu 100% Channa Sattu Protein Mix 1kg (500g x 2 Packs) , 318.00 ,265.00,None,None,Manna
151, Wagh Bakri Spiced Tea 250 g , 160.00 ,148.00,None,None,Wagh Bakri
152, Wagh Bakri | Premium Leaf Tea |250 Gm Each | Pack of 2 | 500 Gm + Green Elaichi 25 Gm , 520.00 ,480.00,None,None,Wagh Bakri
153, NutroVally Lemon Honey Flavored Green Tea | Premium & Detox Refreshing Tea | 100% Natural Leaves Green Tea Bags 50 PCS , 498.00 ,199.00,None,None,None
154, Nescafe Sunrise COFFEE POWDER SPECIAL CATERING PACK OF 2 (EACH 200G) Instant Coffee , 640.00 ,599.00,None,None,Nescafe
155, Complan Kesar Badam 500 g , 350.00 ,325.00,None,None,Complan
156, Tata Gold Care Flavoured Leaf Tea 500 g , 325.00 ,250.00,None,None,Tata
157, Bru Instant Coffee Powder Pack of 2 x 200g | Special Catering Pack | Super Strong Coffee Powder , 720.00 ,599.00,None,None,None
158," BEVZILLA 100% Arabica Instant Coffee Powder - 200 Grams | Premium Coffee| Strong Coffee| Classic Coffee| Espresso, Latte & Cappucino| Pure Coffee| Hot & Cold Coffee ", 799.00 ,369.00,None,None,None
159, Cravova Green Apple Mojito 300 ml , 60.00 ,30.00,None,None,None
160, Wagh Bakri Premium Leaf Tea| 250g* 4 Packs| 1 Kg+ Green Premium Ilayachi 25g ,790.00,790.00,None,None,Wagh Bakri
161, Tropicana Litchi Delight Fruit Juice 1 L , 123.00 ,103.00,None,None,Tropicana
162, B Natural Chatpata Jamun Juice 1 L , 140.00 ,130.00,None,None,B Natural
163, Tata Tea Agni | Strong Leaf Tea | 250 Gm Each | Pack of 2 | 500 Gm + Green Elaichi 25 Gm , 350.00 ,310.00,None,None,Tata Tea Agni
