,Product name,MRP,Discount,Tag,PerUnitPrice,Brand Generated
266, Ensure FOS Chocolate Drink Powder 400 g , 840.00 ,770.00,None,None,Ensure
267, Manna Sattu 100% Channa Sattu Protein Mix 500g , 159.00 ,149.00,None,None,Manna
268, Keya 500ml Lemon Juice Concentrate - Goodness of 50 Lemons , 235.00 ,206.00,None,None,Keya
269, Nescafe Classic Black Roast Coffee 95 g , 410.00 ,381.00,None,None,Nescafe
270," Bevzilla Instant Coffee Gift Box of 24 Assorted Flavour Sachets & Frother - 6 Sachets Each Flavour(2 Gram Each Sachet) | Makes 24 Cups Coffee | Turkish Hazelnut, Colombian Gold, French Vanilla & English Butterscotch | 100% Arabica| Strong Coffee ", 799.00 ,361.00,None,None,None
271, Dabur Chyawanprash Awaleha 500 g , 220.00 ,204.00,None,None,Dabur
272, Protinex Original 750 g ," 1,310.00 ",986.00,None,None,Protinex
273, Rage Coffee Combo Pack of 3 - Irish Hazelnut & Dark Chocolate & Creme Caramel Flavoured Coffee 50 Gms Each ," 1,047.00 ",399.00,None,None,None
274, Society Masala Tea 250 g ,170.00,170.00,None,None,None
275, Society Masala Tea 100 g , 69.00 ,64.00,None,None,None
276, Nescafe Gold Blend 50 g , 350.00 ,327.00,None,None,Nescafe
277, Leo Coffee Special Peaberry Freshly Ground Filter Coffee Powder Medium Roast Mild and Aromatic - 250 g , 175.00 ,104.00,None,None,Leo
278, Leo Coffee House Blend Pure Filter Coffee Powder Medium Roast Mild and Aromatic - 250 g , 194.00 ,140.00,None,None,Leo
279, Coolberg Non Alcoholic Mint Beer 330 ml , 99.00 ,73.00,None,None,Coolberg
280, NutroVally Green Tea | For Weight Loss & Boost Immune | 100% Natural & Aromatic Leaves | Lemon Green Tea Bags 50 Pcs , 398.00 ,249.00,None,None,Boost
281, Lipton Green Tea 250 g , 370.00 ,344.00,None,None,Lipton
282, Horlicks Diabetes Plus Vanilla Flavour Drink Mix 400 g , 790.00 ,740.00,None,None,Horlicks
283, Complan Royale Chocolate 200 g , 129.00 ,119.00,None,None,Complan
284, Society Tea Leaf Tea | Leaf Tea | Chai | Strong blend | Robust Flavour | 500 g Pouch | Pack of 2 , 560.00 ,532.00,None,None,None
285, Rio Blue Berry Bubbly Fruit Energy Drink | Pack of 6 | 250 ml , 270.00 ,235.00,None,None,None
286, MTR Badam Drink Mix 200 g , 125.00 ,116.00,None,None,MTR
287, Gatorade Lemon Sports Drink 500 ml , 50.00 ,45.00,None,None,Gatorade
288, Tetley Ginger Mint and Lemon Green Tea Bags 25 pcs , 170.00 ,133.00,None,None,Tetley
289, Wagh Bakri Spiced Tea | 7 Refreshing Spices | 250 Gm Each | Pack of 4 |1 Kg + Green Elaichi 25 Gm ," 1,120.00 ",965.00,None,None,Wagh Bakri
290, Nestea Iced Tea Premix | Lemon Flavour | Source of Vitamin C | Super Saver Pack | 1 Kg ,625.00,625.00,None,None,Nestea
291, Complan Kesar Badam 200 g , 140.00 ,130.00,None,None,Complan
292," Coca Cola Light No Sugar No Calories Imported, 320 ml ", 240.00 ,229.00,None,None,Coca Cola
293, Hersheys Milk Booster Chocolate Syrup 450 g , 210.00 ,160.00,None,None,Hersheys
294, Nescafe Gold Blend Instant Coffee 190 g ," 1,050.00 ",945.00,None,None,Nescafe
295, Continental Xtra Coffee 50 g , 175.00 ,87.00,None,None,Continental
296," Mountain Dew Malaysia, 320 Ml ", 206.25 ,174.00,None,None,Mountain Dew
297, Wagh Bakri | Mili Premium Tea |Strong Leaf Tea |1 Kg + Green Elaichi 25 Gm , 650.00 ,605.00,None,None,Wagh Bakri
298, HORLICKS Chocolate Delight Flavour 1 KG JAR , 599.00 ,499.00,None,None,None
299, Red Bull 350 ml , 165.00 ,150.00,None,None,None
300, Horlicks Protein Plus Chocolate 400 g , 650.00 ,600.00,None,None,Horlicks
301," Davidoff Rich Aroma Coffee, 90 Gm ", 650.00 ,600.00,None,None,Davidoff
302, Tropicana Orange Delight Fruit Juice 1 L , 120.00 ,108.00,None,None,Tropicana
303," Nutrovally Chamomile Herbal Tea | 100% Natural Whole Leaf , Stress Relief ,Relaxing, & Good Sleep, | Green Tea bags 50 Pcs ", 498.00 ,269.00,None,None,None
304, Skippi Icepops 100% Natural Ice Popsicles (12 x 70 ml) , 240.00 ,189.00,None,None,None
305," Cocojal Natural Tender Coconut Water| No Added Flavours| Not from Concentrate| 200ml, Pack of 48 "," 2,400.00 ","1,959.00",None,None,Cocojal
306," All In One Lemon Tea Premix With Sulphur Less Sugar, 25 Pouches ",180.00,180.00,None,None,None
307, Leo Coffee Madras Blend Filter Coffee Powder Medium Roast Rich and Creamy Texture - 500 g , 370.00 ,240.00,None,None,Leo
308, Horlicks Chocolate Health & Nutrition Drink 1 kg Refill Pack , 599.00 ,499.00,None,None,Horlicks
309, Prime Varitry Pack (Pack Of 15) Imported ," 20,250.00 ","12,810.00",None,None,None
310," Protinex Original, 1 Kg "," 1,499.00 ","1,435.00",None,None,Protinex
311, BRU Instant Coffee 25 g , 100.00 ,93.00,None,None,BRU
312, B Natural Chilly Guava Juice 1 l , 140.00 ,130.00,None,None,B Natural
313, Tropicana 100% Apple Fruit Juice 1 L , 145.00 ,130.00,None,None,Tropicana
314, Evocus Black Alkaline Drink | PACK OF 6 (500 mL each) | 8+ pH | Infused with Essential Minerals , 600.00 ,510.00,None,None,None
315, SENSO Instant Tea Premix Masala Gluten Free (10 sachets) , 140.00 ,100.00,None,None,None
316, Manama Lime and Mint Mojito Syrup for Mocktails & Cocktails (750ML) ,310.00,310.00,None,None,None
317," BEVZILLA Instant Coffee Powder - 96 Sachets (Hazelnut)| Hot & Cold Coffee| Makes 96 Cups| 100 % Arabica Coffee| Strong Coffee| Easy To Carry| Best Coffee| Espresso, Latte, Cappuccino| Premium ", 599.00 ,405.00,None,None,None
318, Cloud9 Natural Mineral Drinking Water 200 ml (pack of 30) ,274.00,274.00,None,None,None
319, Storia Guava Chilli Juice 180 ml , 40.00 ,30.00,None,None,Storia
320, Dhopabor Premium Tea - 500gm |High Quality Assam CTC Chai | , 194.00 ,184.00,None,None,None
321, Horlicks Chocolate Delight 200 g , 119.00 ,110.00,None,None,Horlicks
322, Bru Tripti Blend special catering Strong Instant Coffee powder pack of 3 x 200 grams each , 960.00 ,849.00,None,None,None
323, BEVZILLA Instant Coffee Powder (English Butterscotch Flavour) - 75 Grams | 100 % Premium Arabica Beans | Hot & Cold Coffee | Makes 40 Cups | Strong Coffee | Flavoured Coffee| Best Coffee| Premium Coffee| Dark Roast| Instant Coffee , 375.00 ,209.00,None,None,None
324, Ensure Diabetes Care Chocolate Drink Powder 200 g , 540.00 ,502.00,None,None,Ensure
325," Manna Instant Badam Drink Mix with Real bits of Badam, 800g | More Bits per Sip| Make milk tastier ", 578.00 ,349.00,None,None,Real
326," Coca Cola Bebas Gula Sugar, 330 Ml Pack of 4 ", 450.00 ,400.00,None,None,Coca Cola
327, Girnar Desi Kahwa Detox Green Tea Bags 10 pcs , 100.00 ,93.00,None,None,Girnar
328," Coca cola Cherry, 330 Ml |Pack of 3| Imported ", 600.00 ,525.00,None,None,None
329," Fogoso Fire Bronze Magic Wine, 375 Ml Imported ", 400.00 ,330.00,None,None,None
330, Zandu Chyavanprash Avaleha 900 g , 395.00 ,295.00,None,None,None
331," Vedic Kahwa Green Tea Bags 100 pcs - Eco-Friendly detox kahwa Green Tea 100 bag in Resealable pouch- All in one green tea kahwa Tea bags - kawa tea, kava tea, green tea bag by The Tea Trove ", 650.00 ,284.00,None,None,None
332," Farm Hots kokum Agal / Kokum Juice (Garcinia Indica) Salted,Without Sugar,500 ml can ", 390.00 ,123.00,None,None,None
333," Colombian Brew Hazelnut Instant Coffee Powder, No Sugar Vegan, 50gm ", 199.00 ,115.00,None,None,None
334, Dabur Chyawanprash Awaleha Gur (Jaggery) 900 g , 395.00 ,315.00,None,None,Dabur
335, Goodricke Roasted Darjeeling Tea - 250 gm | Whole Leaf Tea | 100% Pure & Original Darjeeling Long Leaf Tea | Flavoury Golden Orange Pekoe Darjeeling Tea Loose Leaves| Darjeeling Black Tea , 280.00 ,251.00,None,None,None
336, Dabur Vedic Ayurvedic Herbs Premium Tea 500 g , 325.00 ,219.00,None,None,Dabur
337, Pediasure 7 Plus Chocolate Drink Powder 200 g , 350.00 ,325.00,None,None,Pediasure
338, Ensure Chocolate Drink Powder 200 g , 440.00 ,409.00,None,None,Ensure
339, Girnar Masala Tea Instant Premix | 10 Sachets of 14 Gm in each Pack | Pack of 1 + Green Elaichi 25 Gm , 400.00 ,380.00,None,None,Girnar
340," Bevzilla 96 Sachets Assorted Flavoured Instant Coffee Powder Box - 192gm | 24 Sachets Each Flavour | French Vanilla, English Butterscotch, Turkish Hazelnut, Colombian Gold | 100% Arabica Beans | No Added Preservatives | Makes 96 Cups | Premium Coffee ", 599.00 ,405.00,None,None,None
341, Manna Health Mix Sathu Maavu 600g , 319.00 ,295.00,None,None,Manna
342, Rage Coffee 50 Gms Butterscotch Delight Flavour , 349.00 ,149.00,None,None,None
343, Wagh Bakri Special Tea Blend 200g , 200.00 ,190.00,None,None,Wagh Bakri
344, Wagh Bakri Instant Masala Tea Premix 140 g (14 g x 10 Sachets) , 280.00 ,265.00,None,None,Wagh Bakri
345," Manama Blue Curacao Syrup, Mixer for Mocktails and Cocktails (750ML) ",310.00,310.00,None,None,None
346," Pepsi Black Singapore, 320 Ml ", 206.25 ,174.00,None,None,Pepsi
347, Tropicana Mixed Fruit Juice 1 L , 145.00 ,130.00,None,None,Tropicana
348," Cocojal Natural Tender Coconut Water| No Added Flavours| Not from Concentrate| 200ml, Pack of 24 "," 1,200.00 ",999.00,None,None,Cocojal
349, Shunya Go Zesty Orange Sugar Free Flavoured Drink - 4 Super Herbs Pack of 12 (300ml X 12) , 720.00 ,584.00,None,None,None
350, Protinex Tasty Chocolate 250 g , 445.00 ,410.00,None,None,Protinex
351," Colombian Brew Arabica Espresso Filter Coffee Powder, Roast & Ground Strong, 100g Pack of 2 ", 250.00 ,198.00,None,None,None
352, Protinex Original 250 g , 499.00 ,464.00,None,None,Protinex
353, Rage Coffee 100 Gms Irish Hazelnut Flavour , 549.00 ,349.00,None,None,None
354," 3 Sisters Non Alcoholic German Lager Beer, 330 Ml |Pack of 2| ", 400.00 ,350.00,None,None,None
355," Tetley Immune Vitamin C Lemon, Honey Green Tea Bags Box (40 g) Imported ", 480.00 ,450.00,None,None,Tetley
356, GAJANAND (Aah Gajanand Vah Gajanand) Premium CTC Tea Leaf / 250gm / Pack of 1 / Chai Patti with Strong Taste and Refreshing Aroma / 100% Assam CTC Tea Leaves ,130.00,130.00,None,None,None
357, Manna Health Mix Sathu Maavu 1Kg , 489.00 ,439.00,None,None,Manna
358," Bavaria Premium Original Non Alcoholic Beer, 330 Ml Imported ", 206.25 ,174.00,None,None,None
359, JAWAI Rajwadi Kadak Masala Chai (MASALA TEA) | Best Masala Chai | 100 Grams , 195.00 ,145.00,None,None,None
360," Fanta Lychee Flavoured Drink, 320 Ml |Pack of 2| Imported ", 400.00 ,360.00,None,None,Fanta
361, BRU Tripti Blend instant Coffee Powder pack of 2 ( each 200g ) Instant Coffee (2 x 200 g) , 640.00 ,599.00,None,None,BRU
362, Bambino Tasty Instant Badam Drink Mix Bottle 500g , 250.00 ,245.00,None,None,None
363, Organic India Tulsi Ginger Tea Bags 25 pcs , 195.00 ,146.00,None,None,Organic India
364," Nescafe Gold Rich and Smooth Instant Coffee Powder, 95g Jar ", 699.00 ,569.00,None,None,Nescafe
365, Hill Bagan CTC Premium Tea 1KG , 680.00 ,426.00,None,None,None
366, Society Leaf Tea 250g Jar ,155.00,155.00,None,None,None
367, 7 Up Sugar Free |Pack of 2 | , 400.00 ,360.00,None,None,7 Up
368, Horlicks Protein Plus Vanilla Drink Mix 400 g , 650.00 ,600.00,None,None,Horlicks
369, CHAI POINT Assam Green Tea | Loose Leaf Enriched with Anti-Oxidants | Single Origin Tea | Green Tea Leaves | Loose Green Tea | Good for Weight Loss 100G , 249.00 ,160.00,None,None,None
370, Mysore Concerns Roasted And Ground Brindavan Bold South Indian Filter Coffee 454 G , 290.00 ,276.00,None,None,None
371," Pack of 2 200 Gram 100% Arabica Instant Classic Strong Coffee Powder | Premium Coffee| Strong Coffee| Classic Coffee| Espresso, Latte & Cappucino| Pure Coffee| Hot & Cold Coffee | Non Breakable Jar "," 1,598.00 ",731.00,None,None,None
372, AKHYA GOLD PREMIUM ASSAM LEAF TEA 1KG , 600.00 ,399.00,None,None,None
373, SENSO Instant Tea Premix Masala No Artificial Colors 1 kg , 410.00 ,291.00,None,None,None
374," CHAI POINT Premium Assam Tea | Single Origin Tea, Fresh | Assam Tea | Black Tea Leaves | Tea Powder | Premium Chai Patti | Loose Leaf Tea 200G ", 199.00 ,140.00,None,None,None
375, Patanjali Giloy Fruit Juice 500 ml , 90.00 ,81.00,None,None,Patanjali
376, Johnnie Walker Refreshing Mixer Non Alcoholic Carbonated Drink 330 ml Pack of 4 , 400.00 ,240.00,None,None,None
377," Colombian Brew 3 in 1 Assorted Instant Coffee Premix Café Latte, Cappuccino, Hazelnut, Vanilla Caramel, Double Choco Mocha, 10 Sachets Box Buy 3 Get 1 Free ", 996.00 ,597.00,None,None,None
378, Bean2Brew | Premium Blend (80: 20) | Filter Coffee Powder | 800g , 520.00 ,380.00,None,None,None
379," 3 Sisters Non Alcoholic Kiwi Beer, 330 Ml |Pack of 2| ", 400.00 ,350.00,None,None,None
380, Foodio. fit Tender Coconut Water Powder 2L | Coconut Water Premix Pack of 10 Sachets | Nariyal Paani ( 200ML Each) , 499.00 ,189.00,None,None,None
381," Taj Mahal Tea with Long Leaves, 1kg ", 750.00 ,630.00,None,None,Taj Mahal
382," Nutrition Planet Micronized Creatine Monohydrate for Pre/Post Workout Recovery (Black Currant - 348g, 60 Servings) "," 1,200.00 ",498.00,None,None,None
383, Rio Raw Mango Bubbly Fruit Energy Drink | Pack of 6 | 250 ml , 270.00 ,235.00,None,None,None
384," JST Goli Soda || Multi Flavor Pack of 10 - 2 of Each Flavor Raspberry Blast, Classic Lime, Fizzy Orange, Raspberry & Cola Masala Flavour Mocktail Drink in Modern Pet Bottle ", 750.00 ,660.00,None,None,None
385, Evocus Black Alkaline Drink | PACK OF 24 (500 mL each) | 8+ pH | Infused with Essential Minerals ," 2,400.00 ","2,040.00",None,None,None
386," Chai Point Assam Masala Tea Natural Spices (Cinnamon, Clove, cardamon, Ginger, Black Pepper), Single Origin Tea 200g ", 300.00 ,200.00,None,None,None
387, Saffola Immuniveda Chyawanprash Avaleha 1.25 kg , 560.00 ,520.00,None,None,None
388, Organic Spearmint Tea Bags for PCOS - 40 Eco-Friendly Tea Bags in Resealable pouch by The Tea Trove , 328.00 ,204.00,None,None,None
389," Teddy Roosevelt Flavoured Instant Coffee Powder, Hazelnut 50g, Vanilla Caramel 50g| 100g ", 598.00 ,147.00,None,None,None
390, Alo Frut Orange + Aloevera Fruit Juice 1 L , 120.00 ,99.00,None,None,Alo Frut
391, Manna Health mix Sathu Maavu 1.2kg (600g x 2 Packs) , 638.00 ,469.00,None,None,Manna
392, Mogu Mogu Strawberry Juice 25% with Nata De Coco 300 ml - Pack of 6 ,420.00,420.00,None,None,None
393, Octavius | Gold Tea - 1Kg | 15% Darjeeling Long Leaf | Black Tea | Blend of Darjeeling & Assam Tea | Loose Tea | Strong Chai | Tea Powder | Chai Patti 1 kg | Garden Fresh Tea | Tea 1 Kg , 450.00 ,445.00,None,None,None
394," NATRAJ The Right Choice Premium Loose Green Tea Leaves for Weight Loss and Improve Immunity, 300 GM ", 475.00 ,325.00,None,None,None
395," TEA VALLEY Classic Tea Strong, Malty, Aromatic and Rich Taste 100 Percent Assam and Dooars CTC Tea Blend Make Masala Tea, Ginger Tea or Cardamom Tea, 250 g (pack of 3) ", 300.00 ,255.00,None,None,None
396," Society Tea Leaf Tea, 1 Kg ", 570.00 ,542.00,None,None,None
397, Mr. Fresh Coco 100 % Tender Coconut Water Coconut Water || Pack of 12||No Added Flavors||200 ml Each , 600.00 ,480.00,None,None,None
398, Leo Coffee Breakfast Blend Filter Coffee Powder Medium Roast Extra Strong - 200 g , 120.00 ,108.00,None,None,Leo
399, Cloud9 Golden Orange Fruit Juice 200 ml pack of 24 ,388.00,388.00,None,None,None
400, Christopher Cocoa Hot Drinking Chocolate Powder with Dark Chocolate Buttons 200g , 250.00 ,197.00,None,None,None
401," Octavius Elaichi/Cardamom Tea | Strong, Aromatic Assam Chai Patti - 1kg Pack ",360.00,360.00,None,None,None
402," Nescafe Gold Rich and Smooth Instant Coffee Powder, 190g Jar ", 999.00 ,854.00,None,None,Nescafe
403, Cloud9 Natural Mineral Drinking Water 1 L (pack of 12) ,340.00,340.00,None,None,None
404," NATRAJ The Right Choice Premium Loose Green Tea Leaves 200g for Body Detoxification Weight Loss and Improve Immunity, ", 375.00 ,250.00,None,None,None
405, Cloud9 Fruttu Mango Fruit Juice 160 ml pack of 24 ,340.00,340.00,None,None,None
406, Bournvita Five Star Magic 500 g , 280.00 ,260.00,None,None,None
407," Bevzilla 50 Grams X 4 Flavoured Instant Coffee Powder Pack of Colombian Gold,Turkish Hazelnut,French Vanilla & English Butterscotch|50 Gms Each|Premium Arabica Instant Coffee "," 1,999.00 ",539.00,None,None,None
408, Tetley Tea Bags 100 pcs , 210.00 ,195.00,None,None,Tetley
409," Farm Hots Kokum Syrup/Kokum Sharbat,500 ml can ", 450.00 ,142.00,None,None,None
410, Organic India Tulsi Ginger Tea 100 g , 225.00 ,168.00,None,None,Organic India
411," Davidoff Rich Aroma, Fine Aroma & Espresso Instant Coffee, 100 g each, Pack of 3 "," 1,950.00 ","1,570.00",None,None,Davidoff
412, Rage Coffee - 50 GMS Creme Caramel - Premium Instant Coffee , 349.00 ,149.00,None,None,None
413, HYDRATE Ionized Alkaline Water with Perfectly Balanced 8.5 pH & Essential Minerals Pack of 6(500 ml) , 480.00 ,432.00,None,None,None
414, NutroVally Green Tea | For Weight Loss & Boost Immune | Premium Natural & Pure Aromatic Leaves | Lemon Green Tea Bags 75 Pcs , 597.00 ,249.00,None,None,Boost
415, Cloud9 Natural Mineral Drinking Water 500 ml (pack of 24) ,340.00,340.00,None,None,None
416, Open Secret Unjunked Kesar Thandai Shake Mix Powder - Pack of 1 , 349.00 ,296.00,None,None,Open Secret
417, CHAI POINT Instant Tea | Incredibly Authentic | Ginger Flavoured Tea | 10 Sachets | Adhrak Chai | Instant Tea Premix | Tea Ginger Mix (Pack of 1) , 199.00 ,140.00,None,None,None
418, Girnar Masala Chai Instant Tea Premix 14 g (10 Sachets) , 150.00 ,139.00,None,None,Girnar
419, Bambino Instant Badam Drink Mix 1 Kg , 350.00 ,340.00,None,None,None
420, TheTeaTrove Honey Lemon Green Tea Bags 100 pcs - Eco-Friendly All Natural Honey Lemon Tea Bags 100 pcs in Resealable pouch - All in one Green Tea Lemon and Honey tea bags 100 pieces , 600.00 ,274.00,None,None,None
421," All In One Lemon Tea Premix Sulphur Less Sugar Pack, 25 Pouches Each (Pack Of 4) ", 720.00 ,719.00,None,None,None
422, The Tea Trove- Pure Chamomile Tea Bags Organic - 40 Eco-Friendly Camomile Tea Bag in Resealable pouch - Caffeine Free Camomile tea for sleep and Stress relief tea by The Tea Trove - Steep Hot Or Iced , 328.00 ,199.00,None,None,None
423, Chaipoint Green Tea Bags ( Pack of 25 Sachets) , 278.00 ,190.00,None,None,None
424, BRU Instant Coffee 100 g (Jar) , 390.00 ,362.00,None,None,BRU
425," Dalmia Gold Premium CTC Tea | Original 100% Tea | Strong, Aromatic & Rich | 1kg (Poly Pack) ", 455.00 ,450.00,None,None,None
426, Rio Pink Guava Fruit Drink | Pack of 6 | 250 ml , 270.00 ,240.00,None,None,None
427, Mysore Concerns Roasted And Ground Brindavan Bold South Indian Filter Coffee 454 G Pack of 3 , 870.00 ,827.00,None,None,None
428, Octavius | Premium Assam Tea - 1Kg | Extra Strong Assam Tea | Black Tea | Kadak Chai Patti | Loose Tea | Strong Chai | Tea Powder | Chai Patti 1 kg | Taza Tea 1 kg | Garden Fresh Tea | Tea 1 Kg , 390.00 ,379.00,None,None,None
429, Rio Passion Swing Fruit Energy Drink | Pack of 6 | 250 ml , 270.00 ,235.00,None,None,None
430," Coca Cola Klasik Classic Imported, 320 ml ", 240.00 ,229.00,None,None,Coca Cola
431, HORLICKS Protein Plus | Health & Nutrition Drink (400 g) , 750.00 ,620.00,None,None,None
432, BEVZILLA Instant Coffee Powder (French Vanilla Flavour) - 75 Grams | 100 % Premium Arabica Beans | Hot & Cold Coffee | Makes 40 Cups | Strong Coffee | Flavoured Coffee| Best Coffee| Premium Coffee| Dark Roast| Instant Coffee , 375.00 ,209.00,None,None,None
433, Bournvita Lil Champs Chocolate 500 g , 341.00 ,317.00,None,None,None
434, Society Premium Green Tea 250G Jar , 250.00 ,225.00,None,None,None
435, Leeford Green Tea Ginger with Lemon Grass & Lemon with Honey For Good Health Combo Pack (2 x 25 Tea Bags) , 500.00 ,359.00,None,None,None
436, Taj Mahal Tea Bag (200 Tea Bags) , 399.00 ,320.00,None,None,Taj Mahal
437, Tetley Pure Original Green Tea Bags 25 pcs , 170.00 ,133.00,None,None,Tetley
438, NESCAFE CLASSIC INSTANT COFFEE 200G , 660.00 ,649.00,None,None,None
439, Octavius | Suprabhatam Tez Kadak Tea - 1Kg Pack of 2 | Extra Strong Assam Tea | Black Tea | Kadak Chai Patti | Loose Tea | Strong Chai |Tea Powder |Chai Patti | Taza Tea | Garden Fresh Tea , 480.00 ,398.00,None,None,None
440, Mogu Mogu Grape Juice 25% with Nata De Coco 300 ml - Pack of 6 ,420.00,420.00,None,None,None
441, Aava Alkaline Natural Mineral Water 1 Ltr Cup-Cap | Pack of 12 ," 1,320.00 ",899.00,None,None,None
442, Raw Pressery Alphonso Mango Basics Juice 1 L , 250.00 ,232.00,None,None,Raw Pressery
443, Tata Coffee | Instant Coffee | Super Saver Pack | 200g Pack ,335.00,335.00,None,None,Tata Coffee
444, City Gold Tea Elaichi Chai Cardamom Tea 1 kg Packet Tea - Kadak Elaichi Flavoured Tea 1kg Pack ,345.00,345.00,None,None,None
445, Wagh Bakri | Mili Kadak Danedar Tea | 250 Gm Each | Pack of 2 | 500 Gm + Green Elaichi 25 Gm , 410.00 ,315.00,None,None,Wagh Bakri
446, KANGEN Alkaline Water 8.5+ PH 500ML Pack of 24 ,960.00,960.00,None,None,None
447," First Flavour Tea Premium Assam Black Loose CTC/Dust Tea, 1 KG Pouch - Strong, Aromatic & Rich | Black Assam CTC Dust Tea | Premium Kadak Chai Patti (Pack of 1Kg) ", 440.00 ,340.00,None,None,None
448, BEVZILLA Instant Coffee Powder (Turkish Hazelnut Flavour) - 75 Grams | 100 % Premium Arabica Beans | Hot & Cold Coffee | Makes 40 Cups | Strong Coffee | Flavoured Coffee| Best Coffee| Premium Coffee| Dark Roast| Instant Coffee , 375.00 ,209.00,None,None,None
449, Society Leaf Tea 500gm Jar , 290.00 ,276.00,None,None,None
450," Cambridge Tea Party Refresh 30 Tea Bags, Lemon Ginger Mint Tulsi Green Tea (immunity booster with natural vitamins, cleanse, detox, cold relief ) ", 225.00 ,133.00,None,None,None
451," Prime Blue Razz, 500 Ml Imported "," 1,350.00 ",600.00,None,None,None
452," Fanta Anggur Grape Drink, 320 Ml |Pack of 2| Imported ", 400.00 ,360.00,None,None,Fanta
453, Tetley Long Leaf with Lemon Natural Green Tea 100 g , 155.00 ,144.00,None,None,Tetley
454," Davidoff Cafe Instant Coffee Jar, Espresso 57 Intense Imported, 100 g ", 650.00 ,574.00,None,None,Davidoff
455, Cloud 9 Jeera | Jeera Soft Drink | Instant Refreshing Jeera Drink | 300 ml Pack of 24 ,556.00,556.00,None,None,None
456," Evian Water, 500 Ml |Pack of 2| Imported ", 500.00 ,400.00,None,None,None
457, PediaSure 7 Plus Vanilla Drink Powder 200 g , 350.00 ,325.00,None,None,None
458, Tetley Leaf Green Tea 250 g (Carton) , 370.00 ,330.00,None,None,Tetley
459, HARAYUG SHAHI ROSE SYRUP 750 ML WITH SILVER LEAVES , 650.00 ,250.00,None,None,None
460, Horlicks Chocolate 1 kg , 499.00 ,449.00,None,None,Horlicks
461, Cloud9 Energy Drink Classic 250ml Bottle - Pack of 30 ,664.00,664.00,None,None,None
462," Pepsi Max Raspberry Flavour, 330 Ml |Pack of 3| Imported ", 600.00 ,525.00,None,None,Pepsi
463, Baidyanath Chawanprash Awaleha 250 g , 99.00 ,79.00,None,None,None
464, Nescafe Gold Cappuccino Coffee 125 g , 200.00 ,186.00,None,None,Nescafe
465, STATUE OF LIBERTY Tea DUST 1 KG , 300.00 ,256.00,None,None,None
466," D'aromas Pure Coffee Powder 50g x 2, Instant Coffee Powder with Rich Aroma and Bold Taste ", 280.00 ,198.00,None,None,None
467," Nescafe Original Low Fat Milk Coffee Drink, 240 Ml Imported 7 Up |Pack of 2| ", 400.00 ,375.00,None,None,Nescafe
468, Sleepy Owl 100gm Original Premium Instant Coffee | 100% Arabica | Flavoured Coffee | Rich & Smooth | Makes 50 Strong & Delicious Cups , 495.00 ,399.00,None,None,Sleepy Owl
469, Real Activ Tender Coconut Water 200 ml , 55.00 ,51.00,None,None,Real
470, Nescafe Classic South Africa 50 Gms , 302.50 ,244.00,None,None,Nescafe
471, Himalayan Heritage's Kangra Green Tea( 500 Grams Leaf Tea) ,350.00,350.00,None,None,Himalayan
472, Davidoff Rich Aroma Vivid and Spicy Instant Coffee 200 g (100 g X 2 Bottles) ," 1,300.00 ","1,129.00",None,None,Davidoff
473," PureFoods Vietnamese Tender Coconut Water, 100% Pure Natural | Nariyal Paani Pack of 1 - 320ml ",95.00,95.00,None,None,None
474," Rk Home Made Natural Syrup Blue Coraco Syrup And Blue Lagoon Syrups, 750 Ml ", 500.00 ,199.00,None,None,None
475, Zandu Kesari Jivan Fit for Diabetic Chyawanprash 900 g , 770.00 ,695.00,None,None,None
476, Tata Gold Mixture Tea 500 g , 235.00 ,218.00,None,None,Tata
477, Open Secret Choco Almond Shake Powder - Pack of 2 , 698.00 ,523.00,None,None,Open Secret
478, NESTREEZ Glucon-D Instant Energy Health Drink whith calcium (200 g) Refill , 499.00 ,175.00,None,None,Glucon-D
479, Manna Ragi Malt Drink Mix 200g (Pack of 2) , 398.00 ,225.00,None,None,Manna
480, Rungtas Dhamaka Strong Tea 1 Kg | KADAK & STRONG Blended Tea | Unique Blend Chai , 410.00 ,279.00,None,None,None
481, Girnar Masala Tea Instant Premix | 10 Schts of 14 Gm in each Pack | Pack of 3 + Green Elaichi 25 Gm ,715.00,715.00,None,None,Girnar
482, PRISTINE Deccan Gold Pure Filter Coffee Powder (80% Coffee 20% Chicory) 200g - Pack of 2 ,260.00,260.00,None,None,PRISTINE
483," AACTUALA Kiwi Aloe Vera Coconut Water Fruit Juice, Aloe Vera Juice - 200ml, Pack of 6 (6 x 200 ml) ", 299.00 ,282.00,None,None,None
484, Groviva Wholesome Child Nutrition for Growth & Development - 400g Jar (Chocolate) , 725.00 ,652.00,None,None,Groviva
485, Organic India TULSI DETOX KAHWA 25 TEABAGS- Pack of 2 , 450.00 ,405.00,None,None,Organic India
486," Orglife Red Wine Vinegar Organic With Mother, 500 ml (Pack Of 1) ", 599.00 ,195.00,None,None,None
487, Lipton Honey Lemon Green Tea Bags 10 pcs , 70.00 ,65.00,None,None,Lipton
488," FOGOSO Cloudem Zero Magic Champagne Non Alcohlic Gold, 375 Ml Imported ", 962.50 ,330.00,None,None,None
489, Continental Malgudi Filter Coffee Powder 500g Pouch Combo | Pack of 2 | 80/40 + 60/20 | , 560.00 ,559.00,None,None,Continental
