,Product name,MRP,Discount,Tag,PerUnitPrice
71, Good Life Jeera 200 g , 305.00 ,175.00,None,( 43.75/50 g)
72, Maida 500 g , 53.00 ,25.00,None,None
73," Farmley Handpicked Gold Makhana ( Fox Nuts) , 500g (Pack of 2, Each 250g) ", 600.00 ,499.00,None,None
74, Chana Dal 2 kg , 240.00 ,167.00,None,None
75, Patanjali Cow Ghee 500 ml (Carton) , 355.00 ,329.00,None,None
76, Besan 1 kg , 190.00 ,90.00,None,None
77, Anjani Anjeer 100% Natural Dry Figs/Anjeer 1 kg ," 1,599.00 ",749.00,None,None
78, Good Life Moong Dal 500 g , 96.00 ,73.00,None,None
79, Nestle EveryDay Ghee 1 L (Carton) , 630.00 ,579.00,None,None
80, Gulab Gold Filtered Groundnut Oil 1 L , 264.00 ,195.00,None,None
81, Daawat Rozana Super Basmati Rice 5 kg , 486.00 ,359.00,None,None
82, 41 foods Almonds Pistachios Cashews Raisins Walnuts Combo Pack | Kaju Pista Badam Akhrot Kishmish (150GM x 5) 750 GM ," 2,799.00 ",716.00,None,None
83, Good Life Chana Dal 500 g , 70.00 ,52.00,None,None
84, Dhara Nourish Vit A E Refined Sunflower Oil 1 L , 150.00 ,112.00,None,None
85, Fortune Rozana Dubar Basmati Rice 5 kg , 585.00 ,429.00,None,None
86, Good Life Whole Moong 500 g , 95.00 ,72.00,None,None
87, Freshtige 100% Natural and Premium Healthy Mix Dry Fruits 1kg(500gms*2)|Fresh and Healthy Dry Fruits ," 1,499.00 ",599.00,None,None
88, Daawat Sonamasoori Rice 10 kg , 816.00 ,605.00,None,( 60.50/1 kg)
89," RED ROSE MINI MONGRA BASMATI RICE, 30 KG "," 1,699.00 ","1,499.00",None,( 49.97/1 kg)
90, Good Life Big Mustard 100 g , 25.00 ,15.00,None,( 7.50/50 g)
91, Sunrich Refined Sunflower Oil 899 g , 152.00 ,102.00,None,None
92, Daawat Rozana Gold Basmati Rice 5 kg , 560.00 ,395.00,None,None
93, India Gate Mogra Basmati Rice 10 kg , 800.00 ,655.00,None,( 65.50/1 kg)
94, 921 CLASSIC BIRYANI SPECIAL BASMATI RICE 5 KG (Long grain 1121 Rice XXXL) , 925.00 ,599.00,None,( 119.80/1 kg)
