,Product name,MRP,Discount,Tag,PerUnitPrice
67, Amul Kaju Katri 200 g , 190.00 ,165.00,None,None
68, Britannia 50-50 Maska Chaska Biscuits 300 g , 90.00 ,75.00,None,None
69, Top Ramen Masala Instant Noodles 360 g , 78.00 ,45.00,None,None
70, Parle-G Original Glucose Biscuits 45 g ,5.00,5.00,None,None
71, Britannia Good Day Cashew Cookies 100 g , 25.00 ,22.00,None,None
72, Wingreens Farms Premium Vey Mayo 800 g , 225.00 ,112.00,None,None
73, Kit Kat Dessert Delight Truffle Chocolate 50 g , 65.00 ,44.00,None,None
74, Britannia Marie Gold Biscuits 950 g , 140.00 ,126.00,None,None
75, Del Monte Tomato Ketchup 1 kg , 160.00 ,80.00,None,None
76, Parle Monaco Salted Biscuits 200 g , 40.00 ,36.00,None,None
77, Maggi 2-Minute Masala Noodles 140 g , 28.00 ,26.00,None,None
78, Unibic Choco Kiss Center Filled Cookies 75 g , 50.00 ,25.00,None,None
79, Britannia NutriChoice Sugar Free Classic Lite Cracker 300 g , 50.00 ,42.00,None,None
80, MyFitness Peanut Butter Chocolate Crunchy Peanut Butter 510 gms , 320.00 ,224.00,None,None
81, Parle Hide & Seek Chocolate Chip Cookies 400 g , 150.00 ,99.00,None,None
82, Nestle Milkybar Chocolate 25 g , 20.00 ,16.00,None,None
83, Cadbury Dairy Milk Chocolate 24 g , 20.00 ,18.00,None,None
84, Britannia Marie Gold Biscuits 250 g , 40.00 ,36.00,None,None
85, Saffola Active Honey 1 kg , 495.00 ,247.00,None,None
86, Britannia NutriChoice Hi-Fibre Digestive Biscuits 100 g , 20.00 ,18.00,None,None
87, Kellogg's Chocos Variety Pack 168 g (Pack of 7) , 70.00 ,52.00,None,None
88, Parle-G Original Glucose Biscuits 100 g ,10.00,10.00,None,None
89, Kit Kat Dessert Delight Choco Pudding Chocolate 50 g , 65.00 ,44.00,None,None
90, Orion Original Choco Pie Festive Gift Pack (2 Boxes) - 40 Choco Pies , 700.00 ,399.00,None,None
91, Lay's Classic Salted Potato Chips 90 g , 60.00 ,48.00,None,None
92, Punjabi Ghasitaram Halwai Special White Mawa Peda Mithai Box (400gms) , 550.00 ,259.00,None,None
93, Bambino Premium Rasgulla Tin 1 Kg , 250.00 ,180.00,None,None
94, Maggi Pazzta Masala Penne 69.5 g , 32.00 ,24.00,None,None
95, Dukes Bourbon Premium Sandwich Biscuits 135 g , 36.00 ,18.00,None,None
96, Parle Fab Bourbon Chocolate Cream Biscuits 150 g , 40.00 ,37.00,None,None
97, Bikaji Masala Munch Soya Sticks 200 g , 80.00 ,40.00,None,None
98, Act II Classic Salted Instant Popcorn 30 g ,10.00,10.00,None,None
99, Unibic Fruit & Nut Delight Cookies 500 g , 190.00 ,95.00,None,None
100, Kissan Mixed Fruit Jam 700 g , 245.00 ,150.00,None,None
101, Del Monte Original Blend Tomato Ketchup 500 g , 95.00 ,47.00,None,None
102, Kellogg's Oats 900 g , 185.00 ,124.00,None,None
103, Maggi 2-Minute Masala Instant Noodles 280 g , 56.00 ,51.00,None,None
104, Kellogg's Corn Flakes 1.2 kg , 490.00 ,327.00,None,None
105, Haldiram's Aloo Bhujia 1 kg , 225.00 ,169.00,None,None
106, Brittania Vita Marie Gold 248 g , 45.00 ,40.00,None,None
107, Parle Krack Jack Biscuits 400 g , 80.00 ,70.00,None,None
108, Sunfeast Glucose Plus+ Biscuits 1 kg , 140.00 ,86.00,None,None
109, Cadbury Dairy Milk Family Pack Chocolate 130 g , 130.00 ,109.00,None,None
110, Lal Sweets Mysore Pak Premium 200g Pack Of 2 || Made With Pure Desi Ghee|| Mysuru Pak , 699.00 ,399.00,None,None
111, Ghasitaram's Kaju Katli 200g , 500.00 ,225.00,None,None
112, Britannia Nice Time Coconut Biscuits 143 g , 25.00 ,23.00,None,None
113, Ching's Secret Schezwan Chutney 250 g , 100.00 ,79.00,None,None
114, Haldiram Bhujiawala Soan Papdi 1.5kg ( 3Box * 500 grams each) | Delicious Crispy & Flaky Premium Soan Papdi | Sweet Mithai | Sweets , 465.00 ,397.00,None,None
115, Parle Monaco Classic Regular Biscuits 700 g , 120.00 ,85.00,None,None
