Grocery_Name,MRP_Price,Discount_Price,Quantity,brand_name,price_per_unit
Tea Country Tulsi Green Tea : 25 Tea-Bags,130,65,25 Bags,Tea,₹ 2.60
Arbor Qahwa Green Tea With Herbs & Spices  : 25 Tea-Bags,250,125,25 Bags,Arbor,₹ 5.00
Tetley Classic Immune Green Tea : 100 Tea-Bags,625,312,100 Bags,Tetley,₹ 3.12
Wagh Bakri Shudh Kahwa Green Tea : 25 Tea-Bags,225,165,25 Bags,Wagh,₹ 6.60
Tea Country Green Tea Lemon & Honey : 100 Tea-Bags,450,225,100 U,Tea,₹ 2.25
Organic Tulsi Ginger Turmeric : 25 Tea-Bags,195,165,25 Bags,Organic,₹ 6.60
Twinings Pure Green Tea : 100 Tea-Bags,999,820,100 Bags,Twinings,₹ 8.20
Twinings Green Tea & Lemon : 100 Tea-Bags,999,849,100 Bags,Twinings,₹ 8.49
Tea Country Green Tea Original : 100 Tea-Bags,450,225,100 U,Tea,₹ 2.25
Twinings Green Tea Lemon & Honey : 100 Tea-Bags,999,899,100 Bags,Twinings,₹ 8.99
Tea Culture Of The World Soothing Chamomile Exotic Tea : 16 Tea-Bags,299,210,16 U,Tea,₹ 13.13
Tea Culture Of The World Moroccan Mint Exotic Tea : 16 Tea-Bags,249,175,16 U,Tea,₹ 10.94
Vahdam Green Tea  - Assorted Sampler : 15 Tea-Bags,225,190,15 Bags,Vahdam,₹ 12.67
Organic Tulsi Mulethi : 25 Tea-Bags,168,130,25 Bags,Organic,₹ 5.20
Bru Instant Coffee Pouch : 50 gms,160,110,50 gm,Bru,₹ 2.20
Nescafé Classic Coffee : 45 gms,170,155,45 gm,Nescafé,₹ 3.44
Nescafé Classic Coffee Jar : 90 gms,350,287,90 gm,Nescafé,₹ 3.19
Nescafé Sunrise Coffee : 200 gms,460,399,200 gm,Nescafé,₹ 2.00
Continental Xtra Coffee Jar : 200 gms,399,320,200 gm,Continental,₹ 1.60
House Instant Coffee : 50 gms,110,55,50 gm,House,₹ 1.10
Bru Coffee : 100 gms,300,275,100 gm,Bru,₹ 2.75
Nescafe Gold Blend Coffee Jar : 90 gms,550,435,90 gm,Nescafe,₹ 4.83
Davidoff Coffee Espresso Intense : 100 gms,650,495,100 gm,Davidoff,₹ 4.95
Davidoff Coffee Rich Aroma : 100 gms,650,585,100 gm,Davidoff,₹ 5.85
Continental Xtra Instant South Blend Coffee : 50 gms,175,87,50 gm,Continental,₹ 1.74
House Instant Coffee : 200 gms,420,210,200 gm,House,₹ 1.05
Le Cafe Coffee Jar : 50 gms,175,87,50 gm,Le,₹ 1.74
Le Café Instant Coffee : 200 gms,480,240,200 gm,Le,₹ 1.20
Colombian Brew Instant Coffee Original : 100 gms,299,149,100 gm,Colombian Brew Instant,₹ 1.49
Davidoff Coffee Fine Aroma : 100 gms,650,495,100 gm,Davidoff,₹ 4.95
Colombian Brew Cappuccino Coffee Premix : 10 Sachets,249,124,10 U,Colombian,₹ 12.40
Colombian Brew Instant Coffee Nutty Hazelnut : 100 gms,399,199,100 gm,Colombian Brew Instant,₹ 1.99
Colombian Brew Hazelnut Coffee Premix : 10 Sachets,249,124,10 U,Colombian,₹ 12.40
Colombian Brew Double Chocolate Mocha Coffee Premix : 10 Sachets,249,124,10 U,Colombian,₹ 12.40
Bru Instant Pure Coffee : 50 gms,195,170,50 gm,Bru,₹ 3.40
Colombian Brew Instant Coffee Double Chocolate Mocha : 100 gms,399,199,100 gm,Colombian Brew,₹ 1.99
Colombian Brew Vanilla Caramel Coffee Premix : 10 Sachets,249,124,10 U,Colombian,₹ 12.40
Colombian Brew Instant Coffee Wild Vanilla : 100 gms,399,199,100 gm,Colombian,₹ 1.99
ID Instant Filter Coffee Strong : 150 ml,90,60,150 ml,ID,₹ 0.40
ID Instant Filter Coffee Bold : 150 ml,115,85,150 ml,ID,₹ 0.57
Colombian Brew Instant Coffee Creamy Caramel : 100 gms,399,199,100 gm,Colombian Brew Instant,₹ 1.99
Cothas Coffee Speciality Blend : 200 gms,138,125,200 gm,Cothas,₹ 0.63
Bru Instant Pure Coffee Jar : 25 gms,100,90,25 gm,Bru,₹ 3.60
Continental Speciale Coffee Pouch : 50 gms,240,120,50 gm,Continental,₹ 2.40
Nescafe Chilled Latte Coffee & Milk Beverage : 180 ml,45,42,180 ml,Nescafe,₹ 0.23
Davidoff Coffee Crema Intense : 90 gms,650,550,90 gm,Davidoff,₹ 6.11
Le Café Instant Coffee Jar : 100 gms,340,170,100 gm,Le,₹ 1.70
Sleepy Owl Premium Instant Coffee Original : 100 gms,495,445,100 gm,Sleepy,₹ 4.45
Sleepy Owl Premium Instant Coffee Hazelnut : 100 gms,495,445,100 gm,Sleepy,₹ 4.45
Nescafe Hazelnut Flavour Coffee & Milk Beverage : 180 ml,45,40,180 ml,Nescafe,₹ 0.22
Sleepy Owl Coffee Dip Bags Assorted : 10 x 10 gms,350,315,10 x 10 gms,Sleepy,₹ 0.22
Nescafe Cappuccino Flavour Instense Café : 180 ml,45,39,180 ml,Nescafe,₹ 0.22
Sleepy Owl Coffee Dip Bags Original : 10 x 10 gms,350,315,10 x 10 gms,Sleepy,₹ 0.22
Cadbury Bournvita Chocolate Drink Pouch : 1 kg,432,338,1 kg,Cadbury,₹ 338.00
Pediasure Nutritional Powder - Premium Chocolate Flavour : 1 kg,1785,1575,1 kg,Pediasure,₹ 1575.00
Horlicks Health & Nutrition Drink Refill - Classic Malt : 750 gms,449,399,750 gm,Horlicks,₹ 0.53
Horlicks Health & Nutrition Drink Refill - Chocolate : 750 gms,375,250,750 gm,Horlicks,₹ 0.33
Protinex Chocolate Flavour Health Drink Tin : 400 gms,675,550,400 gm,Protinex,₹ 1.38
Women's Horlicks Health & Nutrition Drink - Chocolate : 400 gms,365,305,400 gm,Women's,₹ 0.76
Pediasure Vanilla Delight : 1 kg,1785,1584,1 kg,Pediasure,₹ 1584.00
Women's Horlicks Health & Nutrition Drink Jar - Caramel : 400 gms,355,285,400 gm,Women's,₹ 0.71
Protinex Original : 750 gms,1310,986,750 gm,Protinex,₹ 1.31
Complan Royal Chocolate : 1 kg,609,499,1 kg,Complan,₹ 499.00
Amul Pro Whey Protein Malt Chocolate Drink : 500 gms,180,162,500 gm,Amul,₹ 0.32
Protinex Original Health Drink : 400 gms,750,650,400 gm,Protinex,₹ 1.63
Horlicks Chocolate Delight Jar : 500 gms,249,189,500 gm,Horlicks,₹ 0.38
Horlicks Classic Malt Jar : 500 gms,294,269,500 gm,Horlicks,₹ 0.54
Pediasure Nutritional Powder - Vanilla Delight Flavour : 400 gms,770,650,400 gm,Pediasure,₹ 1.63
Cadbury Bournvita Chocolate Drink Jar : 1 kg,458,410,1 kg,Cadbury,₹ 410.00
