Grocery_Name,MRP_Price,Discount_Price,Quantity,brand_name,price_per_unit
Britannia Vita Marie Gold Biscuits : 900 gms,155,125.0,900 gm,Britannia,(₹ 0.14 / 1 gm)
Sunfeast Marie Light Biscuit : 1 kg,150,99.0,1 kg,Sunfeast,(₹ 99.00 / 1 kg)
Parle Marie Biscuits : 800 gms,175,85.0,800 gm,Parle,(₹ 0.11 / 1 gm)
McVitie's Wholewheat Marie Biscuits : 195 gms,40,20.0,195 gm,McVitie's,(₹ 0.10 / 1 gm)
Britannia Marie Gold Biscuits : 68 gms,10,9.0,68 gm,Britannia,(₹ 0.13 / 1 gm)
Parle Monaco Classic Regular Biscuit : 700 gms,120,80.0,700 gm,Parle,(₹ 0.11 / 1 gm)
Parle Krackjack Biscuits : 700 gms,120,80.0,700 gm,Parle,(₹ 0.11 / 1 gm)
Britannia 50-50 Maska Chaska Biscuits : 300 gms,90,60.0,300 gm,Britannia,(₹ 0.20 / 1 gm)
Parle Monaco Cheeslings Classic : 300 gms,140,93.0,300 gm,Parle,(₹ 0.31 / 1 gm)
Parle Monaco Classic : 52.2 gms,10,9.0,52.2 gm,Parle,(₹ 0.31 / 1 gm)
Lotte Choco Pie : 504 gms,220,139.0,504 gm,Lotte,(₹ 0.28 / 1 gm)
Sunfeast Dark Fantasy Choco Fills Cookies : 300 gms,170,99.0,300 gm,Sunfeast,(₹ 0.33 / 1 gm)
Britannia Jim Jam Cream Biscuits : 138 gms,35,24.0,138 gm,Britannia,(₹ 0.17 / 1 gm)
Britannia Bourbon Sandwich Flavoured  Biscuits : 500 gms,100,70.0,500 gm,Britannia,(₹ 0.14 / 1 gm)
Bisky Bites Bourbon Sandwich Biscuits : 150 gms,36,23.0,150 gm,Bisky,(₹ 0.15 / 1 gm)
Cadbury Oreo Vanilla Flavour Crème Sandwich Biscuit : 288.75 gms,99,69.0,288.75 gm,Cadbury,(₹ 0.24 / 1 gm)
Bisky Bites Vanilla Magic Sandwich Biscuits : 300 gms,85,51.0,300 gm,Bisky,(₹ 0.17 / 1 gm)
Sunfeast Dark Fantasy Bourbon Biscuits : 120 gms,35,17.0,120 gm,Sunfeast,(₹ 0.14 / 1 gm)
Cadbury Oreo Chocolate Flavour Creme Sandwich Biscuit : 288.75 gms,99,66.0,288.75 gm,Cadbury,(₹ 0.23 / 1 gm)
Bisky Bites Chocolate Blast Sandwich Biscuits : 300 gms,85,51.0,300 gm,Bisky,(₹ 0.17 / 1 gm)
Sunfeast Dark Fantasy Choco Creme Biscuits : 92.5 gms,35,17.0,92.5 gm,Sunfeast,(₹ 0.18 / 1 gm)
Sunfeast Dark Fantasy Vanilla Creme Biscuits : 92.5 gms,35,17.0,92.5 gm,Sunfeast,(₹ 0.18 / 1 gm)
Cadbury Oreo Chocolate Crème Cream Sandwich Biscuit : 481.25 gms,159,99.0,481.25 gm,Cadbury,(₹ 0.21 / 1 gm)
Cadbury Bournvita Biscuits : 400 gms,120,90.0,400 gm,Cadbury,(₹ 0.23 / 1 gm)
Cadbury Chocobakes Choco Filled Cookies : 300 gms,170,99.0,300 gm,Cadbury,(₹ 0.33 / 1 gm)
Dukes Bourbon Biscuits : 135 gms,36,18.0,135 gm,Dukes,(₹ 0.13 / 1 gm)
Bisky Bites Bourbon Sandwich Biscuits : 500 gms,105,63.0,500 gm,Bisky,(₹ 0.13 / 1 gm)
