Grocery_Name,MRP_Price,Discount_Price,Quantity,brand_name,price_per_unit,Total Disc,Percetage Disc
Patanjali Doodh Biscuits : 70 gms,10.0,9.0,70 gm,Patanjali,0.13,1.0,10.0
Parle Milk Shakti Biscuits : 60 gms,10.0,9.0,60 gm,Parle,0.15,1.0,10.0
Britannia Marie Gold Biscuits : 950 gms,140.0,98.0,950 gm,Britannia,0.1,42.0,30.0
Britannia Vita Marie Gold Biscuits : 900 gms,155.0,125.0,900 gm,Britannia,0.14,30.0,19.35
Sunfeast Marie Light Biscuit : 1 kg,150.0,99.0,1 kg,Sunfeast,99.0,51.0,34.0
Parle Marie Biscuits : 800 gms,175.0,85.0,800 gm,Parle,0.11,90.0,51.43
McVitie's Wholewheat Marie Biscuits : 195 gms,40.0,20.0,195 gm,McVitie's,0.1,20.0,50.0
Britannia Marie Gold Biscuits : 68 gms,10.0,9.0,68 gm,Britannia,0.13,1.0,10.0
Parle Monaco Classic Regular Biscuit : 700 gms,120.0,80.0,700 gm,Parle,0.11,40.0,33.33
Parle Krackjack Biscuits : 700 gms,120.0,80.0,700 gm,Parle,0.11,40.0,33.33
Britannia 50-50 Maska Chaska Biscuits : 300 gms,90.0,60.0,300 gm,Britannia,0.2,30.0,33.33
Parle Monaco Cheeslings Classic : 300 gms,140.0,93.0,300 gm,Parle,0.31,47.0,33.57
Parle Monaco Classic : 52.2 gms,10.0,9.0,52.2 gm,Parle,0.31,1.0,10.0
Lotte Choco Pie : 504 gms,220.0,139.0,504 gm,Lotte,0.28,81.0,36.82
Sunfeast Dark Fantasy Choco Fills Cookies : 300 gms,170.0,99.0,300 gm,Sunfeast,0.33,71.0,41.76
Britannia Jim Jam Cream Biscuits : 138 gms,35.0,24.0,138 gm,Britannia,0.17,11.0,31.43
Britannia Bourbon Sandwich Flavoured  Biscuits : 500 gms,100.0,65.0,500 gm,Britannia,0.13,35.0,35.0
Bisky Bites Bourbon Sandwich Biscuits : 150 gms,36.0,23.0,150 gm,Bisky,0.15,13.0,36.11
Cadbury Oreo Vanilla Flavour Crème Sandwich Biscuit : 288.75 gms,99.0,69.0,288.75 gm,Cadbury,0.24,30.0,30.3
Bisky Bites Vanilla Magic Sandwich Biscuits : 300 gms,85.0,51.0,300 gm,Bisky,0.17,34.0,40.0
Sunfeast Dark Fantasy Bourbon Biscuits : 120 gms,35.0,17.0,120 gm,Sunfeast,0.14,18.0,51.43
Cadbury Oreo Chocolate Flavour Creme Sandwich Biscuit : 288.75 gms,99.0,66.0,288.75 gm,Cadbury,0.23,33.0,33.33
Bisky Bites Chocolate Blast Sandwich Biscuits : 300 gms,85.0,51.0,300 gm,Bisky,0.17,34.0,40.0
Sunfeast Dark Fantasy Choco Creme Biscuits : 92.5 gms,35.0,17.0,92.5 gm,Sunfeast,0.18,18.0,51.43
Sunfeast Dark Fantasy Vanilla Creme Biscuits : 92.5 gms,35.0,17.0,92.5 gm,Sunfeast,0.18,18.0,51.43
Cadbury Oreo Chocolate Crème Cream Sandwich Biscuit : 481.25 gms,159.0,99.0,481.25 gm,Cadbury,0.21,60.0,37.74
Cadbury Bournvita Biscuits : 400 gms,120.0,90.0,400 gm,Cadbury,0.23,30.0,25.0
Cadbury Chocobakes Choco Filled Cookies : 300 gms,170.0,99.0,300 gm,Cadbury,0.33,71.0,41.76
Dukes Bourbon Biscuits : 135 gms,36.0,18.0,135 gm,Dukes,0.13,18.0,50.0
Bisky Bites Bourbon Sandwich Biscuits : 500 gms,105.0,63.0,500 gm,Bisky,0.13,42.0,40.0
Parle Hide & Seek Choco Rolls : 250 gms,170.0,85.0,250 gm,Parle,0.34,85.0,50.0
Cadbury Oreo Strawberry Flavour Crème Sandwich Biscuit : 113.75 gms,35.0,30.0,113.75 gm,Cadbury,0.26,5.0,14.29
Britannia Treat Jimjam Naughty Jam Biscuits : 57 gms,10.0,9.0,57 gm,Britannia,0.16,1.0,10.0
Britannia Pure Magic Chocolush Cookies : 75 gms,40.0,32.0,75 gm,Britannia,0.43,8.0,20.0
Bellie Cheese Cream Sandwich Biscuit : 190 gms,210.0,169.0,190 gm,Bellie,0.89,41.0,19.52
Bisky Bites Vanilla Magic Sandwich Biscuits : 500 gms,135.0,82.0,500 gm,Bisky,0.16,53.0,39.26
Meiji Hello Panda Vanilla Cream Biscuits : 42 gms,185.0,154.0,42 gm,Meiji,3.67,31.0,16.76
Meiji Hello Panda Cookies & Cream Biscuits : 42 gms,140.0,119.0,42 gm,Meiji,2.83,21.0,15.0
Bisky Bites Choco Blast Sandwich Biscuits : 500 gms,135.0,82.0,500 gm,Bisky,0.16,53.0,39.26
Cadbury Oreo Original Creme Sandwich Biscuit : 43.75 gms,10.0,9.0,43.75 gm,Cadbury,0.21,1.0,10.0
Cadbury Oreo Strawberry Flavour Creme Sandwich Biscuit : 43.75 gms,10.0,9.0,43.75 gm,Cadbury,0.21,1.0,10.0
Oreo Choco Creme Sandwich Biscuits : 43.75 gms,10.0,9.0,43.75 gm,Oreo,0.21,1.0,10.0
Britannia Pure Magic Chocolush : 300 gms,170.0,115.0,300 gm,Britannia,0.38,55.0,32.35
Cadbury Oreo Moments Gift Pack : 428.75 gms,200.0,145.0,428.75 gm,Cadbury,0.34,55.0,27.5
Britannia NutriChoice Digestive Hi-Fibre Biscuits : 1 kg,179.0,134.0,1 kg,Britannia,134.0,45.0,25.14
Sunfeast Farmlite 5 Grain Digestive Biscuit : 800 gms,240.0,120.0,800 gm,Sunfeast,0.15,120.0,50.0
Britannia Nutri Choice Digestive Zero Biscuits : 100 gms,35.0,27.0,100 gm,Britannia,0.27,8.0,22.86
Mcvitie's Digestive Biscuits : 959.1 gms,199.0,132.0,959.1 gm,Mcvitie's,0.14,67.0,33.67
McVities Hobnobs Cookies With Choco Chips : 153.8 gms,75.0,60.0,153.8 gm,McVities,0.39,15.0,20.0
McVities Hobnobs Cookies : 153.8 gms,65.0,55.0,153.8 gm,McVities,0.36,10.0,15.38
Britannia NutriChoice Essentials Ragi Cookies : 150 gms,70.0,60.0,150 gm,Britannia,0.4,10.0,14.29
Parle Real Elaichi Rusk : 400 gms,75.0,48.0,400 gm,Parle,0.12,27.0,36.0
Royal Toast : 400 gms,69.0,47.0,400 gm,Royal,0.12,22.0,31.88
Britannia Toastea Premium Bake Rusk : 400 gms,75.0,57.0,400 gm,Britannia,0.14,18.0,24.0
Kwality Jeera Butter : 180 gms,50.0,40.0,180 gm,Kwality,0.22,10.0,20.0
Kwality Maska Khari : 180 gms,60.0,50.0,180 gm,Kwality,0.28,10.0,16.67
Royal Maska Khari : 200 gms,66.0,50.0,200 gm,Royal,0.25,16.0,24.24
Tosita Wheat Khari : 200 gms,115.0,80.0,200 gm,Tosita,0.4,35.0,30.43
Tosita Multi Grain Rusk : 200 gms,100.0,65.0,200 gm,Tosita,0.33,35.0,35.0
Tosita Wheat Rusk : 200 gms,90.0,59.0,200 gm,Tosita,0.29,31.0,34.44
Tosita Maska Khari : 150 gms,90.0,63.0,150 gm,Tosita,0.42,27.0,30.0
Tosita Jeera Butter Bites : 200 gms,90.0,59.0,200 gm,Tosita,0.29,31.0,34.44
Tosita Milk Rusk : 200 gms,85.0,55.0,200 gm,Tosita,0.28,30.0,35.29
Tosita Jeera Khari : 200 gms,110.0,77.0,200 gm,Tosita,0.39,33.0,30.0
Tosita Baby Rusk Cheddar Cheese : 150 gms,85.0,59.0,150 gm,Tosita,0.39,26.0,30.59
Tosita Makhaniya Butter : 200 gms,85.0,55.0,200 gm,Tosita,0.28,30.0,35.29
Dukes Waffy Choco Roll : 250 gms,180.0,90.0,250 gm,Dukes,0.36,90.0,50.0
Dukes Waffy Chocolate Flavoured Wafer Biscuits : 60 gms,50.0,25.0,60 gm,Dukes,0.42,25.0,50.0
Dukes Waffy Strawberry Flavoured Wafer Biscuits : 60 gms,50.0,25.0,60 gm,Dukes,0.42,25.0,50.0
The Belgian Waffle Crisps Double Choco Crisps : 85 gms,120.0,90.0,85 gm,The,1.06,30.0,25.0
Dukes Waffy Vanilla Flavoured Wafer Biscuits : 60 gms,50.0,25.0,60 gm,Dukes,0.42,25.0,50.0
Dukes Waffy Strawberry Roll : 250 gms,180.0,90.0,250 gm,Dukes,0.36,90.0,50.0
The Belgian Waffle Classic Choco Crisps : 85 gms,120.0,90.0,85 gm,The,1.06,30.0,25.0
Britannia Treat Orange Cream Wafer : 55 gms,50.0,25.0,55 gm,Britannia,0.45,25.0,50.0
Pickwick Creamy Wafer Biscuits - Strawberry : 75 gms,60.0,30.0,75 gm,Pickwick,0.4,30.0,50.0
Britannia Treat Strawberry Cream Wafer : 55 gms,50.0,25.0,55 gm,Britannia,0.45,25.0,50.0
Pickwick Creamy Wafer Biscuits - Chocolate : 75 gms,60.0,30.0,75 gm,Pickwick,0.4,30.0,50.0
Loacker Quadratini Dark Chocolate Wafer Cookies : 125 gms,249.0,199.0,125 gm,Loacker,1.59,50.0,20.08
Pocky Double Choco Sticks : 47 gms,190.0,162.0,47 gm,Pocky,3.45,28.0,14.74
Loacker Quadratini Chocolate Wafer Cookies : 125 gms,249.0,219.0,125 gm,Loacker,1.75,30.0,12.05
Loacker Quadratini Napolitaner Wafer Cookies : 125 gms,249.0,185.0,125 gm,Loacker,1.48,64.0,25.7
Pocky Chocolate Flavour Sticks : 47gms,190.0,162.0,47 gm,Pocky,3.45,28.0,14.74
Loacker Quadratini Vanilla Wafer Cookies : 125 gms,249.0,199.0,125 gm,Loacker,1.59,50.0,20.08
Pocky Cookies & Cream Flavour Sticks : 40 gms,190.0,162.0,40 gm,Pocky,4.05,28.0,14.74
Meiji Lucky Stick Chocolate Biscuit : 45 gms,200.0,170.0,45 gm,Meiji,3.78,30.0,15.0
Nabati Richoco Cocoa Cream Wafer Biscuits : 62 gms,20.0,18.0,62 gm,Nabati,0.29,2.0,10.0
Nabati Richeese Cheese Cream Wafer Biscuits : 62 gms,20.0,18.0,62 gm,Nabati,0.29,2.0,10.0
Parle Hide & Seek Choco Rolls : 120 gms,75.0,37.0,120 gm,Parle,0.31,38.0,50.67
Nabati Pink Lava Cream Wafers Biscuits : 62 gms,20.0,18.0,62 gm,Nabati,0.29,2.0,10.0
Nabati Coco Lava Coconut Flavoured Cream Wafer Biscuits : 62 gms,20.0,18.0,62 gm,Nabati,0.29,2.0,10.0
Threptin Diskettes - Vanilla : 1 kg,1760.0,1455.0,1 kg,Threptin,1455.0,305.0,17.33
Threptin Biscuits Vanilla : 275 gms,485.0,385.0,275 gm,Threptin,1.4,100.0,20.62
Threptin Diskettes - Chocolate : 275 gms,485.0,385.0,275 gm,Threptin,1.4,100.0,20.62
Britannia NutriChoice Sugar Free Cracker Biscuits : 67 gms,10.0,9.0,67 gm,Britannia,0.13,1.0,10.0
Nutrivalue Whole Ragi Health Vizkits Biscuits : 150 gms,95.0,75.0,150 gm,Nutrivalue,0.5,20.0,21.05
Nutrivalue Dibeck Health Biscuits : 150 gms,95.0,70.0,150 gm,Nutrivalue,0.47,25.0,26.32
Haldiram's Bhujia Sev : 1 kg,260.0,190.0,1 kg,Haldiram's,190.0,70.0,26.92
Rajam Snacks Garlic Mixture : 800 gm,199.0,124.0,800 gm,Rajam,0.15,75.0,37.69
Haldiram's Aloo Bhujia : 1 kg,225.0,169.0,1 kg,Haldiram's,169.0,56.0,24.89
Chheda's Mix Farsan : 500 gms,180.0,79.0,500 gm,Chheda's,0.16,101.0,56.11
Bikaji Bhujia : 1 kg,320.0,219.0,1 kg,Bikaji,219.0,101.0,31.56
Haldiram's Moong Dal : 350 gms,105.0,85.0,350 gm,Haldiram's,0.24,20.0,19.05
Haldiram's Khatta Meetha : 1 kg,200.0,155.0,1 kg,Haldiram's,155.0,45.0,22.5
Bikaji Soya Sticks : 200 gms,80.0,40.0,200 gm,Bikaji,0.2,40.0,50.0
Chheda's Farali Potato Chivda : 170 gms,85.0,50.0,170 gm,Chheda's,0.29,35.0,41.18
Bikaneri Shree Ram Bhujia : 1 kg,340.0,149.0,1 kg,Bikaneri,149.0,191.0,56.18
Haldiram's Panchratan Mixture : 150 gms,80.0,69.0,150 gm,Haldiram's,0.46,11.0,13.75
Peppy Cheese Balls : 60 gms,60.0,30.0,60 gm,Peppy,0.5,30.0,50.0
Sitashree Laxminarayan Cornflakes Chiwda : 250 gms,108.0,95.0,250 gm,Sitashree,0.38,13.0,12.04
Sitashree Laxminarayan Best Chiwda : 500 gms,216.0,195.0,500 gm,Sitashree,0.39,21.0,9.72
Chheda's Soya Snax : 170 gms,65.0,32.0,170 gm,Chheda's,0.19,33.0,50.77
Peppy Tomato Discs : 60 gms,60.0,30.0,60 gm,Peppy,0.5,30.0,50.0
Kurkure Masala Munch : 77 gms,20.0,18.0,77 gm,Kurkure,0.23,2.0,10.0
Haldiram's Boondi : 150 gms,52.0,45.0,150 gm,Haldiram's,0.3,7.0,13.46
Chheda's Golden Mix : 500 gms,180.0,90.0,500 gm,Chheda's,0.18,90.0,50.0
