Grocery_Name,MRP_Price,Discount_Price,Quantity,brand_name,price_per_unit,Total Disc,Percetage Disc,Platform,Converted Quantity,Unit,Price Per Unit(Kg)
Cadbury Bournvita 5 Star Magic Drink Pouch : 750 gms,412.0,345.0,750 gm,Cadbury,0.46,67.0,16.26,DMART,750.0,gm,460.0
Hershey's Natural Unsweetened Cocoa Powder : 225 gms,300.0,275.0,225 gm,Hershey's,1.22,25.0,8.33,DMART,225.0,gm,1222.2222222222222
Cadbury Hot Chocolate Drink Powder Mix : 200 gms,220.0,190.0,200 gm,Cadbury,0.95,30.0,13.64,DMART,200.0,gm,950.0
Ensure Diabetes Care Nutrition Powder - Vanilla Flavour : 400 gms,925.0,830.0,400 gm,Ensure,2.08,95.0,10.27,DMART,400.0,gm,2075.0
Ensure Nutrition Powder - Chocolate Flavour : 400 gms,840.0,749.0,400 gm,Ensure,1.87,91.0,10.83,DMART,400.0,gm,1872.5
Boost Jar : 450 gms,299.0,274.0,450 gm,Boost,0.61,25.0,8.36,DMART,450.0,gm,608.8888888888889
Horlicks Chocolate Delight Flavour Jar : 200 gms,119.0,110.0,200 gm,Horlicks,0.55,9.0,7.56,DMART,200.0,gm,550.0
Blue Bird Cocoa Powder : 50 gms,70.0,55.0,50 gm,Blue,1.1,15.0,21.43,DMART,50.0,gm,1100.0
Christopher Dark Cocoa Powder For Baking & Hot & Cold Drinks : 200 gms,299.0,149.0,200 gm,Christopher,0.74,150.0,50.17,DMART,200.0,gm,745.0
Christopher Cocoa Original Drinking Cocoa : 200 gms,299.0,149.0,200 gm,Christopher,0.74,150.0,50.17,DMART,200.0,gm,745.0
Ensure Nutrition Powder - Vanilla Flavour : 200 gms,440.0,410.0,200 gm,Ensure,2.05,30.0,6.82,DMART,200.0,gm,2050.0
Ensure Chocolate Flavour : 200 gms,440.0,410.0,200 gm,Ensure,2.05,30.0,6.82,DMART,200.0,gm,2050.0
Thums Up Bottle : 8x250 ml,160.0,130.0,8x250 ml,Thums,2.05,30.0,18.75,DMART,2000.0,ml,65.0
Thums Up : 2.25 Litres,99.0,77.0,2.25 L,Thums,34.22,22.0,22.22,DMART,2.25,L,0.03422222222222222
Sprite : 8x250 ml,160.0,130.0,8x250 ml,Sprite,34.22,30.0,18.75,DMART,2000.0,ml,65.0
Sprite : 2.25 Litres,99.0,74.0,2.25 L,Sprite,32.89,25.0,25.25,DMART,2.25,L,0.03288888888888889
Coca-Cola Bottle : 8x250 ml,160.0,140.0,8x250 ml,Coca-Cola,32.89,20.0,12.5,DMART,2000.0,ml,70.0
Mirinda Orange : 2.25 Litres,90.0,64.0,2.25 L,Mirinda,28.44,26.0,28.89,DMART,2.25,L,0.028444444444444446
Fanta Orange Flavour : 2.25 Litres,99.0,69.0,2.25 L,Fanta,30.67,30.0,30.3,DMART,2.25,L,0.030666666666666665
Coca-Cola : 2.25 Litres,99.0,69.0,2.25 L,Coca-Cola,30.67,30.0,30.3,DMART,2.25,L,0.030666666666666665
Fanta Orange Flavour : 8x250 ml,160.0,135.0,8x250 ml,Fanta,30.67,25.0,15.62,DMART,2000.0,ml,67.5
Bisleri Club Soda : 750 ml,20.0,10.0,750 ml,Bisleri,0.01,10.0,50.0,DMART,750.0,ml,13.333333333333334
Pepsi : 750 ml,40.0,29.0,750  ml,Pepsi,0.04,11.0,27.5,DMART,750.0,ml,38.666666666666664
Limca : 2 Litres,99.0,69.0,2 L,Limca,34.5,30.0,30.3,DMART,2.0,L,0.0345
7 Up : 2.25 Litres,90.0,74.0,2.25 L,7,32.89,16.0,17.78,DMART,2.25,L,0.03288888888888889
Diet Coke Tin : 300 ml,40.0,28.0,300 ml,Diet,0.09,12.0,30.0,DMART,300.0,ml,93.33333333333334
Xotik Jeeru Jeera Masala Drink : 2 Litres,100.0,75.0,2 L,Xotik,37.5,25.0,25.0,DMART,2.0,L,0.0375
Duke's Club Soda : 750 ml,20.0,17.0,750 ml,Duke's,0.02,3.0,15.0,DMART,750.0,ml,22.666666666666668
Mirinda Orange : 750 ml,40.0,35.0,750 ml,Mirinda,0.05,5.0,12.5,DMART,750.0,ml,46.666666666666664
Budweiser 0.0 Non-Alcoholic Can : 330 ml,99.0,49.0,330 ml,Budweiser,0.15,50.0,50.51,DMART,330.0,ml,148.48484848484847
Schweppes Original Ginger Ale : 300 ml,60.0,49.0,300 ml,Schweppes,0.16,11.0,18.33,DMART,300.0,ml,163.33333333333334
Bisleri Limonata - With Lime Juice : 600 ml,40.0,25.0,600 ml,Bisleri,0.04,15.0,37.5,DMART,600.0,ml,41.66666666666667
Schweppes Indian Tonic Water Tin : 300 ml,60.0,50.0,300 ml,Schweppes,0.17,10.0,16.67,DMART,300.0,ml,166.66666666666669
Frooti Mango Drink Bottle : 2 Litres,120.0,89.0,2 L,Frooti,44.5,31.0,25.83,DMART,2.0,L,0.0445
Coke Zero Sugar : 300 ml,40.0,28.0,300 ml,Coke,0.09,12.0,30.0,DMART,300.0,ml,93.33333333333334
Coca-Cola Tin : 300 ml,40.0,28.0,300 ml,Coca-Cola,0.09,12.0,30.0,DMART,300.0,ml,93.33333333333334
Budweiser Green Apple Non-Alcoholic Beer Can : 330 ml,99.0,49.0,330 ml,Budweiser,0.15,50.0,50.51,DMART,330.0,ml,148.48484848484847
Cravova Classic Mojito : 300 ml,60.0,30.0,300 ml,Cravova,0.1,30.0,50.0,DMART,300.0,ml,100.0
Cravova Peach Mojito : 300 ml,60.0,30.0,300 ml,Cravova,0.1,30.0,50.0,DMART,300.0,ml,100.0
Coolberg Cranberry Non-Alcoholic Beer : 330 ml,99.0,79.0,330 ml,Coolberg,0.24,20.0,20.2,DMART,330.0,ml,239.39393939393938
Cravova Green Apple Mojito : 300 ml,60.0,30.0,300 ml,Cravova,0.1,30.0,50.0,DMART,300.0,ml,100.0
O'cean Fruit Drink - Peach & Passion Fruit Flavour : 500 ml,60.0,45.0,500 ml,O'cean,0.09,15.0,25.0,DMART,500.0,ml,90.0
Cravova Watermelon Mojito : 300 ml,60.0,30.0,300 ml,Cravova,0.1,30.0,50.0,DMART,300.0,ml,100.0
Coolberg Peach Non-Alcoholic Beer : 330 ml,99.0,71.0,330 ml,Coolberg,0.22,28.0,28.28,DMART,330.0,ml,215.15151515151513
Coolberg Ginger Non-Alcoholic Beer : 330 ml,99.0,71.0,330 ml,Coolberg,0.22,28.0,28.28,DMART,330.0,ml,215.15151515151513
Cravova Classic Lemonade: 300 ml,60.0,30.0,300 ml,Cravova,0.1,30.0,50.0,DMART,300.0,ml,100.0
Coolberg Malt-Based Non-Alcoholic Cranberry Beer : 300 ml,99.0,66.0,300 ml,Coolberg,0.22,33.0,33.33,DMART,300.0,ml,220.0
Appy Fizz Apple Flavoured Sparkling Drink : 1 Litre,60.0,56.0,1 L,Appy,0.06,4.0,6.67,DMART,1.0,L,0.056
Appy Fizz Apple Flavoured Sparkling Drink : 250 ml,20.0,18.0,250 ml,Appy,0.07,2.0,10.0,DMART,250.0,ml,72.0
Appy Fizz Apple Flavoured Sparkling Drink : 600 ml,35.0,32.0,600 ml,Appy,0.05,3.0,8.57,DMART,600.0,ml,53.333333333333336
Valentino Sparkling Red Grape Juice : 750 ml,550.0,495.0,750 ml,Valentino,0.66,55.0,10.0,DMART,750.0,ml,660.0
Maaza Mango Drink : 1.2 Litres,75.0,55.0,1.2 L,Maaza,45.83,20.0,26.67,DMART,1.2,L,0.04583333333333333
Maaza Mango Drink : 10x135 ml,100.0,79.0,10x135 ml,Maaza,45.83,21.0,21.0,DMART,1350.0,ml,58.51851851851851
Real Fruit Power Mixed Fruit : 1 Litre,128.0,93.0,1 L,Real,93.0,35.0,27.34,DMART,1.0,L,0.093
Minute Maid Pulpy Orange Juice : 1 Litre,90.0,69.0,1 L,Minute,69.0,21.0,23.33,DMART,1.0,L,0.069
Slice Mango Drink : 1.75 Litres,99.0,75.0,1.75 L,Slice,42.86,24.0,24.24,DMART,1.75,L,0.04285714285714286
B Natural Mixed Fruit Beverage : 1 Litre,130.0,65.0,1 L,B,65.0,65.0,50.0,DMART,1.0,L,0.065
Real Fruit Power Orange : 1 Litre,130.0,104.0,1 L,Real,104.0,26.0,20.0,DMART,1.0,L,0.104
Real Fruit Power Guava : 1 Litre,120.0,81.0,1 L,Real,81.0,39.0,32.5,DMART,1.0,L,0.081
Real Fruit Power Litchi : 1 Litre,125.0,95.0,1 L,Real,95.0,30.0,24.0,DMART,1.0,L,0.095
Real Fruit Power Cranberry : 1 Litre,130.0,113.0,1 L,Real,113.0,17.0,13.08,DMART,1.0,L,0.113
Real Fruit Power Pomegranate : 1 Litre,130.0,105.0,1 L,Real,105.0,25.0,19.23,DMART,1.0,L,0.105
B Natural Guava Fruit Beverage : 1 Litre,130.0,65.0,1 L,B,65.0,65.0,50.0,DMART,1.0,L,0.065
B Natural Litchi Fruit Beverage : 1 Litre,130.0,65.0,1 L,B,65.0,65.0,50.0,DMART,1.0,L,0.065
Raw Pressery Coconut Water : 200 ml,60.0,39.0,200 ml,Raw,0.2,21.0,35.0,DMART,200.0,ml,195.0
B Natural Orange Fruit Beverage : 1 Litre,130.0,65.0,1 L,B,65.0,65.0,50.0,DMART,1.0,L,0.065
Tropicana Mixed Fruit Delight : 1 Litre,125.0,62.0,1 L,Tropicana,62.0,63.0,50.4,DMART,1.0,L,0.062
Mango Merry Mango Fruit Drink : 1.75 Litres,100.0,67.0,1.75 L,Mango,38.29,33.0,33.0,DMART,1.75,L,0.038285714285714284
Real Fruit Power Apple : 1 Litre,115.0,95.0,1 L,Real,95.0,20.0,17.39,DMART,1.0,L,0.095
Mogu Mogu Lyche Juice Drink with Nata De Coco : 300 ml,70.0,59.0,300 ml,Mogu,0.2,11.0,15.71,DMART,300.0,ml,196.66666666666669
Sooper Dooper Ice Pops : 10 Units,150.0,99.0,10 U,Sooper,9.9,51.0,34.0,DMART,10.0,U,9.9
Mogu Mogu Strawberry Juice Drink with Nata De Coco : 300 ml,70.0,59.0,300 ml,Mogu,0.2,11.0,15.71,DMART,300.0,ml,196.66666666666669
B Natural Cranberry Flavoured Cooler Beverage : 1 Litre,130.0,65.0,1 L,B,0.07,65.0,50.0,DMART,1.0,L,0.065
Mango Merry Mango Drink : 1.2 Litres,75.0,49.0,1.2 L,Mango,40.83,26.0,34.67,DMART,1.2,L,0.04083333333333333
Tropicana Orange Delight : 1 Litre,120.0,105.0,1 L,Tropicana,105.0,15.0,12.5,DMART,1.0,L,0.105
B Natural Apple Pack : 1 Litre,130.0,65.0,1 L,B,65.0,65.0,50.0,DMART,1.0,L,0.065
Real Activ Orange : 1 Litre,155.0,99.0,1 L,Real,99.0,56.0,36.13,DMART,1.0,L,0.099
Real Fruit Power Masala Mixed Fruit : 1 Litre,140.0,70.0,1 L,Real,70.0,70.0,50.0,DMART,1.0,L,0.07
