Grocery_Name,MRP_Price,Discount_Price,Quantity,brand_name,price_per_unit
Nescafé Classic Coffee Jar : 90 gms,350,287.0,90 gm,Nescafé,₹ 3.19
Nescafé Sunrise Coffee : 200 gms,460,399.0,200 gm,Nescafé,₹ 2.00
Continental Xtra Coffee Jar : 200 gms,399,320.0,200 gm,Continental,₹ 1.60
House Instant Coffee : 50 gms,110,55.0,50 gm,House,₹ 1.10
Bru Coffee : 100 gms,300,275.0,100 gm,Bru,₹ 2.75
Nescafe Gold Blend Coffee Jar : 90 gms,550,435.0,90 gm,Nescafe,₹ 4.83
Davidoff Coffee Espresso Intense : 100 gms,650,495.0,100 gm,Davidoff,₹ 4.95
Davidoff Coffee Rich Aroma : 100 gms,650,585.0,100 gm,Davidoff,₹ 5.85
Continental Xtra Instant South Blend Coffee : 50 gms,175,87.0,50 gm,Continental,₹ 1.74
House Instant Coffee : 200 gms,420,210.0,200 gm,House,₹ 1.05
Le Cafe Coffee Jar : 50 gms,175,87.0,50 gm,Le,₹ 1.74
Le Café Instant Coffee : 200 gms,480,240.0,200 gm,Le,₹ 1.20
Colombian Brew Instant Coffee Original : 100 gms,299,149.0,100 gm,Colombian Brew Instant,₹ 1.49
Davidoff Coffee Fine Aroma : 100 gms,650,495.0,100 gm,Davidoff,₹ 4.95
Colombian Brew Cappuccino Coffee Premix : 10 Sachets,249,124.0,10 U,Colombian,₹ 12.40
Colombian Brew Instant Coffee Nutty Hazelnut : 100 gms,399,199.0,100 gm,Colombian Brew Instant,₹ 1.99
Colombian Brew Hazelnut Coffee Premix : 10 Sachets,249,124.0,10 U,Colombian,₹ 12.40
Colombian Brew Double Chocolate Mocha Coffee Premix : 10 Sachets,249,124.0,10 U,Colombian,₹ 12.40
Bru Instant Pure Coffee : 50 gms,195,170.0,50 gm,Bru,₹ 3.40
Colombian Brew Instant Coffee Double Chocolate Mocha : 100 gms,399,199.0,100 gm,Colombian Brew,₹ 1.99
Colombian Brew Vanilla Caramel Coffee Premix : 10 Sachets,249,124.0,10 U,Colombian,₹ 12.40
Colombian Brew Instant Coffee Wild Vanilla : 100 gms,399,199.0,100 gm,Colombian,₹ 1.99
ID Instant Filter Coffee Strong : 150 ml,90,60.0,150 ml,ID,₹ 0.40
ID Instant Filter Coffee Bold : 150 ml,115,85.0,150 ml,ID,₹ 0.57
Colombian Brew Instant Coffee Creamy Caramel : 100 gms,399,199.0,100 gm,Colombian Brew Instant,₹ 1.99
Cothas Coffee Speciality Blend : 200 gms,138,125.0,200 gm,Cothas,₹ 0.63
Bru Instant Pure Coffee Jar : 25 gms,100,90.0,25 gm,Bru,₹ 3.60
Continental Speciale Coffee Pouch : 50 gms,240,120.0,50 gm,Continental,₹ 2.40
Nescafe Chilled Latte Coffee & Milk Beverage : 180 ml,45,42.0,180 ml,Nescafe,₹ 0.23
Davidoff Coffee Crema Intense : 90 gms,650,550.0,90 gm,Davidoff,₹ 6.11
Le Café Instant Coffee Jar : 100 gms,340,170.0,100 gm,Le,₹ 1.70
Sleepy Owl Premium Instant Coffee Original : 100 gms,495,445.0,100 gm,Sleepy,₹ 4.45
Sleepy Owl Premium Instant Coffee Hazelnut : 100 gms,495,445.0,100 gm,Sleepy,₹ 4.45
Nescafe Hazelnut Flavour Coffee & Milk Beverage : 180 ml,45,40.0,180 ml,Nescafe,₹ 0.22
Sleepy Owl Coffee Dip Bags Assorted : 10 x 10 gms,350,315.0,10 x 10 gms,Sleepy,₹ 0.22
Nescafe Cappuccino Flavour Instense Café : 180 ml,45,39.0,180 ml,Nescafe,₹ 0.22
Sleepy Owl Coffee Dip Bags Original : 10 x 10 gms,350,315.0,10 x 10 gms,Sleepy,₹ 0.22
Cadbury Bournvita Chocolate Drink Pouch : 1 kg,432,338.0,1 kg,Cadbury,₹ 338.00
Pediasure Nutritional Powder - Premium Chocolate Flavour : 1 kg,1785,1575.0,1 kg,Pediasure,₹ 1575.00
Horlicks Health & Nutrition Drink Refill - Classic Malt : 750 gms,449,399.0,750 gm,Horlicks,₹ 0.53
Horlicks Health & Nutrition Drink Refill - Chocolate : 750 gms,375,250.0,750 gm,Horlicks,₹ 0.33
Protinex Chocolate Flavour Health Drink Tin : 400 gms,675,550.0,400 gm,Protinex,₹ 1.38
Women's Horlicks Health & Nutrition Drink - Chocolate : 400 gms,365,305.0,400 gm,Women's,₹ 0.76
Pediasure Vanilla Delight : 1 kg,1785,1584.0,1 kg,Pediasure,₹ 1584.00
Women's Horlicks Health & Nutrition Drink Jar - Caramel : 400 gms,355,285.0,400 gm,Women's,₹ 0.71
Protinex Original : 750 gms,1310,986.0,750 gm,Protinex,₹ 1.31
Complan Royal Chocolate : 1 kg,609,499.0,1 kg,Complan,₹ 499.00
Amul Pro Whey Protein Malt Chocolate Drink : 500 gms,180,162.0,500 gm,Amul,₹ 0.32
Protinex Original Health Drink : 400 gms,750,650.0,400 gm,Protinex,₹ 1.63
Horlicks Chocolate Delight Jar : 500 gms,249,189.0,500 gm,Horlicks,₹ 0.38
Horlicks Classic Malt Jar : 500 gms,294,269.0,500 gm,Horlicks,₹ 0.54
Pediasure Nutritional Powder - Vanilla Delight Flavour : 400 gms,770,650.0,400 gm,Pediasure,₹ 1.63
Cadbury Bournvita Chocolate Drink Jar : 1 kg,458,410.0,1 kg,Cadbury,₹ 410.00
Ensure Nutrition Powder - Vanilla Flavour : 400 gms,800,710.0,400 gm,Ensure,₹ 1.77
Protinex Vanilla Flavour Health Drink : 400 gms,675,595.0,400 gm,Protinex,₹ 1.49
Protinex Chocolate Flavour : 750 gms,1235,950.0,750 gm,Protinex,₹ 1.27
Cadbury Bournvita 5 Star Magic Drink Pouch : 750 gms,412,345.0,750 gm,Cadbury,₹ 0.46
Hershey's Natural Unsweetened Cocoa Powder : 225 gms,300,275.0,225 gm,Hershey's,₹ 1.22
Cadbury Hot Chocolate Drink Powder Mix : 200 gms,220,190.0,200 gm,Cadbury,₹ 0.95
Ensure Diabetes Care Nutrition Powder - Vanilla Flavour : 400 gms,925,830.0,400 gm,Ensure,₹ 2.08
Ensure Nutrition Powder - Chocolate Flavour : 400 gms,840,749.0,400 gm,Ensure,₹ 1.87
Boost Jar : 450 gms,299,274.0,450 gm,Boost,₹ 0.61
