Grocery_Name,MRP_Price,Discount_Price,Quantity,brand_name,price_per_unit,Total Disc,Percetage Disc,Platform,Converted Quantity,Unit,Price Per Unit(Kg)
Knorr Mixed Vegetable Cup-A-Soup : 9.5 gms,10.0,9.0,9.5 gm,Knorr,0.95,1.0,10.0,DMART,9.5,gm,947.3684210526316
Knorr International Mexican Tomato Corn Soup : 50 gms,70.0,50.0,50 gm,Knorr,1.0,20.0,28.57,DMART,50.0,gm,1000.0
Ching's Hot & Sour Instant Soup : 55 gms,60.0,40.0,55 gm,Ching's,0.73,20.0,33.33,DMART,55.0,gm,727.2727272727273
Knorr International Shanghai Hot & Sour Chicken Soup : 36 gms,75.0,67.0,36 gm,Knorr,1.86,8.0,10.67,DMART,36.0,gm,1861.1111111111113
Ching's Tomato Instant Soup : 55 gms,60.0,40.0,55 gm,Ching's,0.73,20.0,33.33,DMART,55.0,gm,727.2727272727273
Premia Badishep : 200 gms,162.0,105.0,200 gm,Premia,0.53,57.0,35.19,DMART,200.0,gm,525.0
Premia Lukhnowi Badishep : 100 gms,80.0,56.0,100 gm,Premia,0.56,24.0,30.0,DMART,100.0,gm,560.0
Premia Roasted Badishep : 100 gms,71.0,44.0,100 gm,Premia,0.44,27.0,38.03,DMART,100.0,gm,440.0
Premchand Gold Dhana Dal : 200 gms,90.0,65.0,200 gm,Premchand,0.33,25.0,27.78,DMART,200.0,gm,325.0
Premia Dhaniya Dal : 100 gms,47.0,31.0,100 gm,Premia,0.31,16.0,34.04,DMART,100.0,gm,310.0
Chandan Regal Rose Mix : 170 gms,150.0,75.0,170 gm,Chandan,0.44,75.0,50.0,DMART,170.0,gm,441.17647058823525
Satyam Badishop : 100 gms,97.0,90.0,100 gm,Satyam,0.9,7.0,7.22,DMART,100.0,gm,900.0
Satyam Mukhwas Seven Seeds : 100 gms,104.0,96.0,100 gm,Satyam,0.96,8.0,7.69,DMART,100.0,gm,960.0
Chandan Super Green Mix : 170 gms,150.0,75.0,170 gm,Chandan,0.44,75.0,50.0,DMART,170.0,gm,441.17647058823525
Chandan Shehanshahi Paan Mix : 130 gms,180.0,90.0,130 gm,Chandan,0.69,90.0,50.0,DMART,130.0,gm,692.3076923076923
Chandan Parampara Paan Mix : 140 gms,180.0,90.0,140 gm,Chandan,0.64,90.0,50.0,DMART,140.0,gm,642.8571428571428
Et-mi Saunf Mukhwas : 125 gms,70.0,35.0,125 gm,Et-mi,0.28,35.0,50.0,DMART,125.0,gm,280.0
Chandan Elaichi Fennel Mix : 130 gms,150.0,75.0,130 gm,Chandan,0.58,75.0,50.0,DMART,130.0,gm,576.9230769230769
Chandan Coated Fennel Mix : 180 gms,150.0,75.0,180 gm,Chandan,0.42,75.0,50.0,DMART,180.0,gm,416.6666666666667
Chandan Jeera Goli : 100 gms,50.0,25.0,100 gm,Chandan,0.25,25.0,50.0,DMART,100.0,gm,250.0
Nature's Treat Omega Natural Mix : 100 gms,130.0,65.0,100 gm,Nature's,0.65,65.0,50.0,DMART,100.0,gm,650.0
Cadbury Chocobakes Choc Layered Cakes : 114 gms,70.0,51.0,114 gm,Cadbury,0.45,19.0,27.14,DMART,114.0,gm,447.36842105263156
Britannia Fudge It Chocolate Brownie Cake : 120 gms,60.0,45.0,120 gm,Britannia,0.38,15.0,25.0,DMART,120.0,gm,375.0
Ribbons & Balloons Tea Time Mawa Cake : 200 gms,100.0,50.0,200 gm,Ribbons,0.25,50.0,50.0,DMART,200.0,gm,250.0
Ribbons & Balloons Tea Time Choco Chip Cake : 200 gms,100.0,50.0,200 gm,Ribbons,0.25,50.0,50.0,DMART,200.0,gm,250.0
Britannia Treat Croissant Cocoa Creme Roll : 45 gms,20.0,15.0,45 gm,Britannia,0.33,5.0,25.0,DMART,45.0,gm,333.33333333333337
Britannia Fruity Fun 100% Veg Cake : 60 gms,25.0,21.0,60 gm,Britannia,0.35,4.0,16.0,DMART,60.0,gm,350.0
The Baker's Dozen Banana Cake : 200 gms,155.0,45.0,200 gm,The,0.23,110.0,70.97,DMART,200.0,gm,225.0
Ribbons & Balloons Chocolate Muffins : 135 gms,45.0,30.0,135 gm,Ribbons,0.22,15.0,33.33,DMART,135.0,gm,222.2222222222222
The Baker's Dozen Chocolate Almond Cake : 150 gms,185.0,92.0,150 gm,The,0.61,93.0,50.27,DMART,150.0,gm,613.3333333333334
Parle Happy Happy Tutti Frutty Flavoured Cake : 100 gms,40.0,20.0,100 gm,Parle,0.2,20.0,50.0,DMART,100.0,gm,200.0
Ribbons & Balloons Fruit Muffins : 135 gms,45.0,30.0,135 gm,Ribbons,0.22,15.0,33.33,DMART,135.0,gm,222.2222222222222
Parle Happy Happy Vanilla Flavoured Cake : 100 gms,40.0,20.0,100 gm,Parle,0.2,20.0,50.0,DMART,100.0,gm,200.0
The Baker's Dozen Banana Walnut Cake : 150 gms,185.0,92.0,150 gm,The,0.61,93.0,50.27,DMART,150.0,gm,613.3333333333334
Britannia Treat Choco Creme Wafers : 55 gms,50.0,25.0,55 gm,Britannia,0.45,25.0,50.0,DMART,55.0,gm,454.54545454545456
Ribbons & Balloons Chocolate Slice Cake : 50 gms,20.0,15.0,50 gm,Ribbons,0.3,5.0,25.0,DMART,50.0,gm,300.0
Ribbons & Balloons Mixed Fruit Slice Cake : 50 gms,20.0,15.0,50 gm,Ribbons,0.3,5.0,25.0,DMART,50.0,gm,300.0
Britannia Treat Croissant Vanilla Creme Roll : 45 gms,20.0,16.0,45 gm,Britannia,0.36,4.0,20.0,DMART,45.0,gm,355.55555555555554
