Grocery_Name,MRP_Price,Discount_Price,Quantity,brand_name,price_per_unit,Total Disc,Percetage Disc,Platform,Converted Quantity,Unit,Price Per Unit(Kg)
Jalaram Kesar (Saffron) : 1 gm,340,240,1 gm,Jalaram,0.42,100,29.41,DMART,1.0,gm,240000.0
Keya Wonder Hot Red Chilli Flakes: 40 gms,99,59,40 gm,Keya,1.48,40,40.4,DMART,40.0,gm,1475.0
Keya Piri Piri : 80 gms,119,79,80 gm,Keya,0.99,40,33.61,DMART,80.0,gm,987.5
Snapin Oregano Herb : 20 gms,89,63,20 gm,Snapin,3.15,26,29.21,DMART,20.0,gm,3150.0
Snapin Pizza Mix Seasoning : 45 gms,99,81,45 gm,Snapin,1.8,18,18.18,DMART,45.0,gm,1800.0
Keya Oregano : 7 gms,109,74,7 gm,Keya,10.57,35,32.11,DMART,7.0,gm,10571.42857142857
Snapin Mixed Herbs : 20 gms,99,79,20 gm,Snapin,3.95,20,20.2,DMART,20.0,gm,3950.0
Keya Pizza Seasoning : 40 gms,119,79,40 gm,Keya,1.98,40,33.61,DMART,40.0,gm,1975.0
Snapin Pasta Mix Seasoning : 25 gms,99,75,25 gm,Snapin,3.0,24,24.24,DMART,25.0,gm,3000.0
Nutrivalue Moringa Olifera Drum Stick Leaves Powder : 100 gms,170,123,100 gm,Nutrivalue,1.23,47,27.65,DMART,100.0,gm,1230.0
Everest Kesari Milk Masala : 50 gms,210,189,50 gm,Everest,3.78,21,10.0,DMART,50.0,gm,3780.0
Rasoi Magic Paneer Tikka Masala Spice Mix : 45 gms,52,26,45 gm,Rasoi,0.58,26,50.0,DMART,45.0,gm,577.7777777777778
Rasoi Magic Paneer Makhanwala Masala : 45 gms,52,42,45 gm,Rasoi,0.93,10,19.23,DMART,45.0,gm,933.3333333333334
Real Thai Coconut Milk : 250 ml,115,90,250 ml,Real,0.36,25,21.74,DMART,250.0,ml,360.0
Rasoi Magic Mutter Paneer Masala : 45 gms,52,39,45 gm,Rasoi,0.87,13,25.0,DMART,45.0,gm,866.6666666666667
Mother's Recipe Chicken Biryani Mix : 100 gms,55,27,100 gm,Mother's,0.27,28,50.91,DMART,100.0,gm,270.0
Rasoi Magic No Onion No Garlic Veg Kolhapuri Spice Mix : 45 gms,55,40,45 gm,Rasoi,0.89,15,27.27,DMART,45.0,gm,888.8888888888889
Rasoi Magic No Onion No Garlic Mutter Paneer Mix : 45 gms,55,40,45 gm,Rasoi,0.89,15,27.27,DMART,45.0,gm,888.8888888888889
Jalaram Brand Chhas Masala : 100 gms,80,55,100 gm,Jalaram,0.55,25,31.25,DMART,100.0,gm,550.0
Jalaram Brand Chat Masala : 100 gms,70,56,100 gm,Jalaram,0.56,14,20.0,DMART,100.0,gm,560.0
Rasoi Magic Veg Kolhapuri Mix : 45 gms,52,37,45 gm,Rasoi,0.82,15,28.85,DMART,45.0,gm,822.2222222222223
Rambandhu Chivada Masala : 50 gms,30,25,50 gm,Rambandhu,0.5,5,16.67,DMART,50.0,gm,500.0
Rambandhu Chakali Masala : 50 gms,30,21,50 gm,Rambandhu,0.42,9,30.0,DMART,50.0,gm,420.0
