Grocery_Name,MRP_Price,Discount_Price,Quantity,brand_name,price_per_unit,Total Disc,Percetage Disc
Tata Tea Teaveda : 250 gms,145.0,120.0,250 gm,Tata,0.48,25.0,17.24
Lipton Pure & Light Green Tea : 250 gms,370.0,329.0,250 gm,Lipton,1.32,41.0,11.08
Girnar Jumbo Gulabi CTC Leaf Tea : 1 kg,400.0,249.0,1 kg,Girnar,249.0,151.0,37.75
Girnar Cardamom Instant Premix Chai : 140 gms,150.0,125.0,140 gm,Girnar,0.89,25.0,16.67
Wagh Bakri Masala Tea : 200 gms,165.0,135.0,200 gm,Wagh,0.68,30.0,18.18
Tetley Long Leaf Green Tea Powder : 250 gms,370.0,319.0,250 gm,Tetley,1.28,51.0,13.78
Lipton Green Tea - Clear & Light: 25 Tea-Bags,170.0,139.0,25 Bags,Lipton,5.56,31.0,18.24
Goodricke Super Cup Tea : 1 kg,405.0,202.0,1 kg,Goodricke,202.0,203.0,50.12
Lipton Green Tea - Lemon Zest : 25 Tea-Bags,170.0,145.0,25 Bags,Lipton,5.8,25.0,14.71
Wagh Bakri Green Tea Honey Lemon : 25 Tea-Bags,175.0,87.0,25 Bags,Wagh,3.48,88.0,50.29
Tea Country Honey & Lemon Green Tea : 25 Tea-Bags,130.0,65.0,25 Bags,Tea,2.6,65.0,50.0
Premia Tea Masala : 50 gms,43.0,27.0,50 gm,Premia,0.54,16.0,37.21
Society Chahat Leaf Tea Pouch : 1 kg,215.0,160.0,1 kg,Society,0.16,55.0,25.58
Organic India Tulsi Green Tea - Lemon Ginger : 25 Tea-Bags,215.0,174.0,25 Bags,Organic,6.96,41.0,19.07
Organic India Tulsi Green Tea - Classic : 25 Tea-Bags,215.0,186.0,25 Bags,Organic,7.44,29.0,13.49
Wagh Bakri Premix Masala Instant Tea : 140 gms,150.0,139.0,140 gm,Wagh,0.99,11.0,7.33
Tea Country Original Green Tea : 25 Tea-Bags,130.0,65.0,25 Bags,Tea,2.6,65.0,50.0
Society Elaichi Adrak Flavour Tea Pouch : 250 gms,180.0,150.0,250 gm,Society,0.6,30.0,16.67
Wagh Bakri Green Tea Tulsi : 25 Tea-Bags,165.0,82.0,25 Bags,Wagh,3.28,83.0,50.3
Arbor Treat Assam CTC Tea : 250 gms,198.0,99.0,250 gm,Arbor,0.36,99.0,50.0
Twinings Green Tea & Lemon : 25 Tea-Bags,314.0,272.0,25 Bags,Twinings,10.88,42.0,13.38
TGL Co. Kashmiri Kahwa Green Tea : 16 Tea-Bags,299.0,200.0,16 Bags,TGL,12.5,99.0,33.11
Twinings Origins Darjeeling Tea : 25 Tea-Bags,314.0,275.0,25 Bags,Twinings,11.0,39.0,12.42
TGL Co. Mogo Mogo Green Tea : 16 Tea-Bags,349.0,233.0,16 Bags,TGL,14.56,116.0,33.24
Tea Country Tulsi Green Tea : 25 Tea-Bags,130.0,65.0,25 Bags,Tea,2.6,65.0,50.0
Arbor Qahwa Green Tea With Herbs & Spices  : 25 Tea-Bags,250.0,125.0,25 Bags,Arbor,5.0,125.0,50.0
Tetley Classic Immune Green Tea : 100 Tea-Bags,625.0,312.0,100 Bags,Tetley,3.12,313.0,50.08
Wagh Bakri Shudh Kahwa Green Tea : 25 Tea-Bags,225.0,165.0,25 Bags,Wagh,6.6,60.0,26.67
Tea Country Green Tea Lemon & Honey : 100 Tea-Bags,450.0,225.0,100 U,Tea,2.25,225.0,50.0
Organic Tulsi Ginger Turmeric : 25 Tea-Bags,195.0,165.0,25 Bags,Organic,6.6,30.0,15.38
Twinings Pure Green Tea : 100 Tea-Bags,999.0,820.0,100 Bags,Twinings,8.2,179.0,17.92
Twinings Green Tea & Lemon : 100 Tea-Bags,999.0,849.0,100 Bags,Twinings,8.49,150.0,15.02
Tea Country Green Tea Original : 100 Tea-Bags,450.0,225.0,100 U,Tea,2.25,225.0,50.0
Twinings Green Tea Lemon & Honey : 100 Tea-Bags,999.0,899.0,100 Bags,Twinings,8.99,100.0,10.01
Tea Culture Of The World Soothing Chamomile Exotic Tea : 16 Tea-Bags,299.0,210.0,16 U,Tea,13.13,89.0,29.77
Tea Culture Of The World Moroccan Mint Exotic Tea : 16 Tea-Bags,249.0,175.0,16 U,Tea,10.94,74.0,29.72
Vahdam Green Tea  - Assorted Sampler : 15 Tea-Bags,225.0,190.0,15 Bags,Vahdam,12.67,35.0,15.56
Organic Tulsi Mulethi : 25 Tea-Bags,168.0,130.0,25 Bags,Organic,5.2,38.0,22.62
Bru Instant Coffee Pouch : 50 gms,160.0,110.0,50 gm,Bru,2.2,50.0,31.25
Nescafé Classic Coffee : 45 gms,170.0,155.0,45 gm,Nescafé,3.44,15.0,8.82
Nescafé Classic Coffee Jar : 90 gms,350.0,287.0,90 gm,Nescafé,3.19,63.0,18.0
Nescafé Sunrise Coffee : 200 gms,460.0,399.0,200 gm,Nescafé,2.0,61.0,13.26
Continental Xtra Coffee Jar : 200 gms,399.0,320.0,200 gm,Continental,1.6,79.0,19.8
House Instant Coffee : 50 gms,110.0,55.0,50 gm,House,1.1,55.0,50.0
Bru Coffee : 100 gms,300.0,275.0,100 gm,Bru,2.75,25.0,8.33
Nescafe Gold Blend Coffee Jar : 90 gms,550.0,435.0,90 gm,Nescafe,4.83,115.0,20.91
Davidoff Coffee Espresso Intense : 100 gms,650.0,495.0,100 gm,Davidoff,4.95,155.0,23.85
Davidoff Coffee Rich Aroma : 100 gms,650.0,585.0,100 gm,Davidoff,5.85,65.0,10.0
Continental Xtra Instant South Blend Coffee : 50 gms,175.0,87.0,50 gm,Continental,1.74,88.0,50.29
House Instant Coffee : 200 gms,420.0,210.0,200 gm,House,1.05,210.0,50.0
Le Cafe Coffee Jar : 50 gms,175.0,87.0,50 gm,Le,1.74,88.0,50.29
Le Café Instant Coffee : 200 gms,480.0,240.0,200 gm,Le,1.2,240.0,50.0
Colombian Brew Instant Coffee Original : 100 gms,299.0,149.0,100 gm,Colombian Brew Instant,1.49,150.0,50.17
Davidoff Coffee Fine Aroma : 100 gms,650.0,495.0,100 gm,Davidoff,4.95,155.0,23.85
Colombian Brew Cappuccino Coffee Premix : 10 Sachets,249.0,124.0,10 U,Colombian,12.4,125.0,50.2
Colombian Brew Instant Coffee Nutty Hazelnut : 100 gms,399.0,199.0,100 gm,Colombian Brew Instant,1.99,200.0,50.13
Colombian Brew Hazelnut Coffee Premix : 10 Sachets,249.0,124.0,10 U,Colombian,12.4,125.0,50.2
Colombian Brew Double Chocolate Mocha Coffee Premix : 10 Sachets,249.0,124.0,10 U,Colombian,12.4,125.0,50.2
Bru Instant Pure Coffee : 50 gms,195.0,170.0,50 gm,Bru,3.4,25.0,12.82
Colombian Brew Instant Coffee Double Chocolate Mocha : 100 gms,399.0,199.0,100 gm,Colombian Brew,1.99,200.0,50.13
Colombian Brew Vanilla Caramel Coffee Premix : 10 Sachets,249.0,124.0,10 U,Colombian,12.4,125.0,50.2
Colombian Brew Instant Coffee Wild Vanilla : 100 gms,399.0,199.0,100 gm,Colombian,1.99,200.0,50.13
ID Instant Filter Coffee Strong : 150 ml,90.0,60.0,150 ml,ID,0.4,30.0,33.33
ID Instant Filter Coffee Bold : 150 ml,115.0,85.0,150 ml,ID,0.57,30.0,26.09
Colombian Brew Instant Coffee Creamy Caramel : 100 gms,399.0,199.0,100 gm,Colombian Brew Instant,1.99,200.0,50.13
Cothas Coffee Speciality Blend : 200 gms,138.0,125.0,200 gm,Cothas,0.63,13.0,9.42
Bru Instant Pure Coffee Jar : 25 gms,100.0,90.0,25 gm,Bru,3.6,10.0,10.0
Continental Speciale Coffee Pouch : 50 gms,240.0,120.0,50 gm,Continental,2.4,120.0,50.0
Nescafe Chilled Latte Coffee & Milk Beverage : 180 ml,45.0,42.0,180 ml,Nescafe,0.23,3.0,6.67
Davidoff Coffee Crema Intense : 90 gms,650.0,550.0,90 gm,Davidoff,6.11,100.0,15.38
Le Café Instant Coffee Jar : 100 gms,340.0,170.0,100 gm,Le,1.7,170.0,50.0
Sleepy Owl Premium Instant Coffee Original : 100 gms,495.0,445.0,100 gm,Sleepy,4.45,50.0,10.1
Sleepy Owl Premium Instant Coffee Hazelnut : 100 gms,495.0,445.0,100 gm,Sleepy,4.45,50.0,10.1
Nescafe Hazelnut Flavour Coffee & Milk Beverage : 180 ml,45.0,40.0,180 ml,Nescafe,0.22,5.0,11.11
Sleepy Owl Coffee Dip Bags Assorted : 10 x 10 gms,350.0,315.0,10 x 10 gms,Sleepy,0.22,35.0,10.0
Nescafe Cappuccino Flavour Instense Café : 180 ml,45.0,39.0,180 ml,Nescafe,0.22,6.0,13.33
Sleepy Owl Coffee Dip Bags Original : 10 x 10 gms,350.0,315.0,10 x 10 gms,Sleepy,0.22,35.0,10.0
Cadbury Bournvita Chocolate Drink Pouch : 1 kg,432.0,338.0,1 kg,Cadbury,338.0,94.0,21.76
Pediasure Nutritional Powder - Premium Chocolate Flavour : 1 kg,1785.0,1575.0,1 kg,Pediasure,1575.0,210.0,11.76
Horlicks Health & Nutrition Drink Refill - Classic Malt : 750 gms,449.0,399.0,750 gm,Horlicks,0.53,50.0,11.14
Horlicks Health & Nutrition Drink Refill - Chocolate : 750 gms,375.0,250.0,750 gm,Horlicks,0.33,125.0,33.33
Protinex Chocolate Flavour Health Drink Tin : 400 gms,675.0,550.0,400 gm,Protinex,1.38,125.0,18.52
Women's Horlicks Health & Nutrition Drink - Chocolate : 400 gms,365.0,305.0,400 gm,Women's,0.76,60.0,16.44
Pediasure Vanilla Delight : 1 kg,1785.0,1584.0,1 kg,Pediasure,1584.0,201.0,11.26
Women's Horlicks Health & Nutrition Drink Jar - Caramel : 400 gms,355.0,285.0,400 gm,Women's,0.71,70.0,19.72
Protinex Original : 750 gms,1310.0,986.0,750 gm,Protinex,1.31,324.0,24.73
Complan Royal Chocolate : 1 kg,609.0,499.0,1 kg,Complan,499.0,110.0,18.06
Amul Pro Whey Protein Malt Chocolate Drink : 500 gms,180.0,162.0,500 gm,Amul,0.32,18.0,10.0
Protinex Original Health Drink : 400 gms,750.0,650.0,400 gm,Protinex,1.63,100.0,13.33
Horlicks Chocolate Delight Jar : 500 gms,249.0,189.0,500 gm,Horlicks,0.38,60.0,24.1
Horlicks Classic Malt Jar : 500 gms,294.0,269.0,500 gm,Horlicks,0.54,25.0,8.5
Pediasure Nutritional Powder - Vanilla Delight Flavour : 400 gms,770.0,650.0,400 gm,Pediasure,1.63,120.0,15.58
Cadbury Bournvita Chocolate Drink Jar : 1 kg,458.0,410.0,1 kg,Cadbury,410.0,48.0,10.48
Ensure Nutrition Powder - Vanilla Flavour : 400 gms,800.0,710.0,400 gm,Ensure,1.77,90.0,11.25
Protinex Vanilla Flavour Health Drink : 400 gms,675.0,595.0,400 gm,Protinex,1.49,80.0,11.85
Protinex Chocolate Flavour : 750 gms,1235.0,950.0,750 gm,Protinex,1.27,285.0,23.08
Cadbury Bournvita 5 Star Magic Drink Pouch : 750 gms,412.0,345.0,750 gm,Cadbury,0.46,67.0,16.26
Hershey's Natural Unsweetened Cocoa Powder : 225 gms,300.0,275.0,225 gm,Hershey's,1.22,25.0,8.33
Cadbury Hot Chocolate Drink Powder Mix : 200 gms,220.0,190.0,200 gm,Cadbury,0.95,30.0,13.64
Ensure Diabetes Care Nutrition Powder - Vanilla Flavour : 400 gms,925.0,830.0,400 gm,Ensure,2.08,95.0,10.27
Ensure Nutrition Powder - Chocolate Flavour : 400 gms,840.0,749.0,400 gm,Ensure,1.87,91.0,10.83
Boost Jar : 450 gms,299.0,274.0,450 gm,Boost,0.61,25.0,8.36
Horlicks Chocolate Delight Flavour Jar : 200 gms,119.0,110.0,200 gm,Horlicks,0.55,9.0,7.56
Blue Bird Cocoa Powder : 50 gms,70.0,55.0,50 gm,Blue,1.1,15.0,21.43
Christopher Dark Cocoa Powder For Baking & Hot & Cold Drinks : 200 gms,299.0,149.0,200 gm,Christopher,0.74,150.0,50.17
Christopher Cocoa Original Drinking Cocoa : 200 gms,299.0,149.0,200 gm,Christopher,0.74,150.0,50.17
Ensure Nutrition Powder - Vanilla Flavour : 200 gms,440.0,410.0,200 gm,Ensure,2.05,30.0,6.82
Ensure Chocolate Flavour : 200 gms,440.0,410.0,200 gm,Ensure,2.05,30.0,6.82
Thums Up Bottle : 8x250 ml,160.0,130.0,8x250 ml,Thums,2.05,30.0,18.75
Thums Up : 2.25 Litres,99.0,77.0,2.25 L,Thums,34.22,22.0,22.22
Sprite : 8x250 ml,160.0,130.0,8x250 ml,Sprite,34.22,30.0,18.75
Sprite : 2.25 Litres,99.0,74.0,2.25 L,Sprite,32.89,25.0,25.25
Coca-Cola Bottle : 8x250 ml,160.0,140.0,8x250 ml,Coca-Cola,32.89,20.0,12.5
Mirinda Orange : 2.25 Litres,90.0,64.0,2.25 L,Mirinda,28.44,26.0,28.89
Fanta Orange Flavour : 2.25 Litres,99.0,69.0,2.25 L,Fanta,30.67,30.0,30.3
Coca-Cola : 2.25 Litres,99.0,69.0,2.25 L,Coca-Cola,30.67,30.0,30.3
Fanta Orange Flavour : 8x250 ml,160.0,135.0,8x250 ml,Fanta,30.67,25.0,15.62
Bisleri Club Soda : 750 ml,20.0,10.0,750 ml,Bisleri,0.01,10.0,50.0
Pepsi : 750 ml,40.0,29.0,750  ml,Pepsi,0.04,11.0,27.5
Limca : 2 Litres,99.0,69.0,2 L,Limca,34.5,30.0,30.3
7 Up : 2.25 Litres,90.0,74.0,2.25 L,7,32.89,16.0,17.78
Diet Coke Tin : 300 ml,40.0,28.0,300 ml,Diet,0.09,12.0,30.0
Xotik Jeeru Jeera Masala Drink : 2 Litres,100.0,75.0,2 L,Xotik,37.5,25.0,25.0
Duke's Club Soda : 750 ml,20.0,17.0,750 ml,Duke's,0.02,3.0,15.0
Mirinda Orange : 750 ml,40.0,35.0,750 ml,Mirinda,0.05,5.0,12.5
