Grocery_Name,MRP_Price,Discount_Price,Quantity,brand_name,price_per_unit
Threptin Diskettes - Vanilla : 1 kg,1760,1455.0,1 kg,Threptin,₹ 1455.00
Threptin Biscuits Vanilla : 275 gms,485,385.0,275 gm,Threptin,₹ 1.40
Threptin Diskettes - Chocolate : 275 gms,485,385.0,275 gm,Threptin,₹ 1.40
Britannia NutriChoice Sugar Free Cracker Biscuits : 67 gms,10,9.0,67 gm,Britannia,₹ 0.13
Nutrivalue Whole Ragi Health Vizkits Biscuits : 150 gms,95,75.0,150 gm,Nutrivalue,₹ 0.50
Nutrivalue Dibeck Health Biscuits : 150 gms,95,70.0,150 gm,Nutrivalue,₹ 0.47
Haldiram's Bhujia Sev : 1 kg,260,190.0,1 kg,Haldiram's,₹ 190.00
Rajam Snacks Garlic Mixture : 800 gm,199,124.0,800 gm,Rajam,₹ 0.15
Haldiram's Aloo Bhujia : 1 kg,225,169.0,1 kg,Haldiram's,₹ 169.00
Chheda's Mix Farsan : 500 gms,180,79.0,500 gm,Chheda's,₹ 0.16
Bikaji Bhujia : 1 kg,320,219.0,1 kg,Bikaji,₹ 219.00
Haldiram's Moong Dal : 350 gms,105,85.0,350 gm,Haldiram's,₹ 0.24
Haldiram's Khatta Meetha : 1 kg,200,155.0,1 kg,Haldiram's,₹ 155.00
Bikaji Soya Sticks : 200 gms,80,40.0,200 gm,Bikaji,₹ 0.20
Chheda's Farali Potato Chivda : 170 gms,85,50.0,170 gm,Chheda's,₹ 0.29
Bikaneri Shree Ram Bhujia : 1 kg,340,149.0,1 kg,Bikaneri,₹ 149.00
Haldiram's Panchratan Mixture : 150 gms,80,69.0,150 gm,Haldiram's,₹ 0.46
Peppy Cheese Balls : 60 gms,60,30.0,60 gm,Peppy,₹ 0.50
Sitashree Laxminarayan Cornflakes Chiwda : 250 gms,108,95.0,250 gm,Sitashree,₹ 0.38
Sitashree Laxminarayan Best Chiwda : 500 gms,216,195.0,500 gm,Sitashree,₹ 0.39
Chheda's Soya Snax : 170 gms,65,32.0,170 gm,Chheda's,₹ 0.19
Peppy Tomato Discs : 60 gms,60,30.0,60 gm,Peppy,₹ 0.50
Kurkure Masala Munch : 77 gms,20,18.0,77 gm,Kurkure,₹ 0.23
Haldiram's Boondi : 150 gms,52,45.0,150 gm,Haldiram's,₹ 0.30
Chheda's Golden Mix : 500 gms,180,90.0,500 gm,Chheda's,₹ 0.18
Rajam Snacks Madras Mixture : 300 gms,107,63.0,300 gm,Rajam,₹ 0.21
Sitashree Laxminarayan Best Potato Chiwda : 250 gms,114,99.0,250 gm,Sitashree,₹ 0.40
Agrawal's 420 Ratlami Sev : 900 gms,250,159.0,900 gm,Agrawal's,₹ 0.18
Haldiram's Soya Sticks : 400 gms,104,62.0,400 gm,Haldiram's,₹ 0.15
Kurkure Green Chutney Style : 70 gms,20,18.0,70 gm,Kurkure,₹ 0.26
Chheda's Mora Sev : 170 gms,55,41.0,170 gm,Chheda's,₹ 0.24
Kurkure Chilli Chatka : 70 gms,20,18.0,70 gm,Kurkure,₹ 0.26
Garden Diet Bhel : 140 gms,55,35.0,140 gm,Garden,₹ 0.25
Agrawal's 420 Khatta Meetha Mix : 900 gms,250,125.0,900 gm,Agrawal's,₹ 0.14
Garden Raita Boondi : 140 gms,55,46.0,140 gm,Garden,₹ 0.33
Rajam Snacks Tikha Gathiya : 400 gms,143,71.0,400 gm,Rajam,₹ 0.18
