Grocery_Name,MRP_Price,Discount_Price,Quantity,brand_name,price_per_unit
Britannia Bourbon Sandwich Flavoured  Biscuits : 500 gms,100,65,500 gm,Britannia,₹ 0.13
Bisky Bites Bourbon Sandwich Biscuits : 150 gms,36,23,150 gm,Bisky,₹ 0.15
Cadbury Oreo Vanilla Flavour Crème Sandwich Biscuit : 288.75 gms,99,69,288.75 gm,Cadbury,₹ 0.24
Bisky Bites Vanilla Magic Sandwich Biscuits : 300 gms,85,51,300 gm,Bisky,₹ 0.17
Sunfeast Dark Fantasy Bourbon Biscuits : 120 gms,35,17,120 gm,Sunfeast,₹ 0.14
Cadbury Oreo Chocolate Flavour Creme Sandwich Biscuit : 288.75 gms,99,66,288.75 gm,Cadbury,₹ 0.23
Bisky Bites Chocolate Blast Sandwich Biscuits : 300 gms,85,51,300 gm,Bisky,₹ 0.17
Sunfeast Dark Fantasy Choco Creme Biscuits : 92.5 gms,35,17,92.5 gm,Sunfeast,₹ 0.18
Sunfeast Dark Fantasy Vanilla Creme Biscuits : 92.5 gms,35,17,92.5 gm,Sunfeast,₹ 0.18
Cadbury Oreo Chocolate Crème Cream Sandwich Biscuit : 481.25 gms,159,99,481.25 gm,Cadbury,₹ 0.21
Cadbury Bournvita Biscuits : 400 gms,120,90,400 gm,Cadbury,₹ 0.23
Cadbury Chocobakes Choco Filled Cookies : 300 gms,170,99,300 gm,Cadbury,₹ 0.33
Dukes Bourbon Biscuits : 135 gms,36,18,135 gm,Dukes,₹ 0.13
Bisky Bites Bourbon Sandwich Biscuits : 500 gms,105,63,500 gm,Bisky,₹ 0.13
Parle Hide & Seek Choco Rolls : 250 gms,170,85,250 gm,Parle,₹ 0.34
Cadbury Oreo Strawberry Flavour Crème Sandwich Biscuit : 113.75 gms,35,30,113.75 gm,Cadbury,₹ 0.26
Britannia Treat Jimjam Naughty Jam Biscuits : 57 gms,10,9,57 gm,Britannia,₹ 0.16
Britannia Pure Magic Chocolush Cookies : 75 gms,40,32,75 gm,Britannia,₹ 0.43
Bellie Cheese Cream Sandwich Biscuit : 190 gms,210,169,190 gm,Bellie,₹ 0.89
Bisky Bites Vanilla Magic Sandwich Biscuits : 500 gms,135,82,500 gm,Bisky,₹ 0.16
Meiji Hello Panda Vanilla Cream Biscuits : 42 gms,185,154,42 gm,Meiji,₹ 3.67
Meiji Hello Panda Cookies & Cream Biscuits : 42 gms,140,119,42 gm,Meiji,₹ 2.83
Bisky Bites Choco Blast Sandwich Biscuits : 500 gms,135,82,500 gm,Bisky,₹ 0.16
Cadbury Oreo Original Creme Sandwich Biscuit : 43.75 gms,10,9,43.75 gm,Cadbury,₹ 0.21
