Grocery_Name,MRP_Price,Discount_Price,Quantity,brand_name,price_per_unit
Gits Kheer Mix Vermicelli : 100 gms,75,60.0,100 gm,Gits,(₹ 0.60 / 1 gm)
MTR Vada Mix : 500 gms,200,149.0,500 gm,MTR,(₹ 0.30 / 1 gm)
Gits Rabdi Mix : 100 gms,99,78.0,100 gm,Gits,(₹ 0.78 / 1 gm)
Et-Mi Basundi Mix : 100 gms,80,40.0,100 gm,Et-Mi,(₹ 0.40 / 1 gm)
ID Wheat Lachha Paratha : 5 Pieces,95,82.0,5 pcs,ID,(₹ 16.40 / 1 U)
Agrawal's 420 Khaman Dhokla Instant Mix : 400 gms,143,71.0,400 gms,Agrawal's,(₹ 0.18 / 1 gm)
Harnik Caramel Pudding Mix : 90 gms,50,45.0,90 gm,Harnik,(₹ 0.50 / 1 gm)
Chitale Bandhu Gulabjam : 500 gms,160,148.0,500 gm,Chitale,(₹ 0.30 / 1 gm)
Yu Three Cheese Pasta Instant Food : 65 gms,95,47.0,65 gm,Yu,(₹ 0.72 / 1 gm)
Yu Chilli Manchurian Cup Noodles : 70 gms,65,32.0,70 gm,Yu,(₹ 0.46 / 1 gm)
Real Thai Green Curry Paste : 50 gms,75,57.0,50 gm,Real,(₹ 1.14 / 1 gm)
ID Malabar Parota : 5 Pieces,90,80.0,5 pcs,ID,(₹ 16.00 / 1 U)
Real Thai Red Curry Paste : 50 gms,75,49.0,50 gm,Real,(₹ 0.98 / 1 gm)
Brown & Polson Custard Powder - Vanilla : 100 gms,40,37.0,100 gm,Brown,(₹ 0.37 / 1 gm)
Ruchiyana Kharwas Premix Powder : 50gm,90,80.0,50 gm,Ruchiyana,(₹ 1.60 / 1 gm)
Pillsbury Rich Choco Oven Cake Mix Egg-Free : 270 gms,224,184.0,270 gm,Pillsbury,(₹ 0.68 / 1 gm)
Pillsbury Choco Cooker Cake Mix : 159 gms,135,99.0,159 gm,Pillsbury,(₹ 0.62 / 1 gm)
Blue Bird Active Dry Yeast : 25 gms,36,32.0,25 gm,Blue,(₹ 1.28 / 1 gm)
Blue Bird Custard Powder Vanilla : 100 gms,40,30.0,100 gm,Blue,(₹ 0.30 / 1 gm)
Pillsbury Vanilla Flavoured Custard Powder : 100 gms,44,32.0,100 gm,Pillsbury,(₹ 0.32 / 1 gm)
Daawat Lucknowi Biryani Kit : 334 gms,149,99.0,334 gm,Daawat,(₹ 0.30 / 1 gm)
ID Homestyle Whole Wheat Paratha : 6 Pieces,75,65.0,6 Pcs,ID,(₹ 10.83 / 1 U)
Blue Bird Strawberry Flavour Veg Jelly Crystals : 100 gms,55,45.0,100 gm,Blue,(₹ 0.45 / 1 gm)
Satyam Rajgira Puff : 100 gms,53,49.0,100 gm,Satyam,(₹ 0.49 / 1 gm)
Betty Crocker Complete Buttermilk Pancake Mix : 500 gms,295,215.0,500 gm,Betty,(₹ 0.43 / 1 gm)
Blue Bird Jelly Crystals Raspberry : 100 gms,55,45.0,100 gm,Blue,(₹ 0.45 / 1 gm)
Et-Mi Falooda Mix Kesar Flavour : 200 gms,75,37.0,200 gm,Et-Mi,(₹ 0.18 / 1 gm)
Chitale Instant Basundi Mix : 200 gms,105,97.0,200 gm,Chitale,(₹ 0.48 / 1 gm)
Yu Bombay Rava Upma Instant Breakfast : 55 gms,65,32.0,55 gm,Yu,(₹ 0.58 / 1 gm)
Talod Gota Mix Flour : 500 gms,118,99.0,500 gm,Talod,(₹ 0.20 / 1 gm)
Et-Mi Falooda Mix Rose Flavour : 200 gms,75,37.0,200 gm,Et-Mi,(₹ 0.18 / 1 gm)
Et-Mi Falooda Mix Strawberry Flavour : 200 gms,75,37.0,200 gm,Et-Mi,(₹ 0.18 / 1 gm)
Moments Falooda Mix Kesar : 200 gms,80,40.0,200 gm,Moments,(₹ 0.20 / 1 gm)
Blue Bird Chine Grass Strawberry : 100 gms,55,45.0,100 gm,Blue,(₹ 0.45 / 1 gm)
Moments Falooda Mix Rose : 200 gms,80,40.0,200 gm,Moments,(₹ 0.20 / 1 gm)
