,Sr.No.,Grocery_Name,Brand_Name,Rating,MRP_Price,Discount_Price,Total Disc,Percetage Disc,Quantity_upd,Price_per_unit(gm/ml/pc)
49,49.0,"Muesli Breakfast Cereal - With Multigrain & 21% Fruit, Nut & Seeds",Kelloggs,4.2,490.0,440.0,50.0,10.2,750 g,0.5866666666666667
50,50.0,Vermicelli,Anil,4.1,51.0,51.0,0.0,0.0,450 g ,0.11333333333333333
51,51.0,"Chikki, Peanut Bar",Paper Boat,4.1,126.0,102.06,23.939999999999998,19.0,288 g,0.354375
52,52.0,Kitkat Coated Wafer Bar - Share Bag,Nestle,4.2,120.0,120.0,0.0,0.0,138.6 g ,0.8658008658008658
53,53.0,Chocolate Bar,Cadbury Dairy Milk,4.2,130.0,114.4,15.599999999999994,12.0,134 g ,0.8537313432835821
54,54.0,Vermicelli,MTR,4.1,87.0,74.0,13.0,14.94,850 g ,0.08705882352941176
55,55.0,"Treat Croissant - Vanilla Creme Filling, 100% Veg, Soft",Britannia,4.0,120.0,92.16,27.840000000000003,23.2,270 g,0.3413333333333333
56,56.0,"Honey Squeezy - 100% Pure, Rich In Nutrients, No Sugar, Boosts Immunity",Dabur,4.2,625.0,437.5,187.5,30.0,700 g ,0.625
57,57.0,YiPPee! Magic Masala Noodles,Sunfeast,4.2,112.0,95.2,16.799999999999997,15.0,480 g,0.19833333333333333
58,58.0,Hommade - Coconut Milk,Dabur,4.2,225.0,203.06,21.939999999999998,9.75,600 ml,0.33843333333333336
59,59.0,Hazelnut Spread with Cocoa,Nutella,4.4,5535.0,5092.2,442.8000000000002,8.0,5250 g,0.9699428571428571
60,60.0,Potato Chips - Classic Salted,Lays,4.1,100.0,75.2,24.799999999999997,24.8,180 g,0.4177777777777778
61,61.0,"Milkybar - Choo, Rich, Strawberry Flavour",Nestle,4.2,5.0,5.0,0.0,0.0,10 g ,0.5
62,62.0,Nice Time - Sugar Showered Coconut Biscuits,Britannia,4.1,150.0,135.38,14.620000000000005,9.75,858 g,0.1577855477855478
63,63.0,Premium Bake Rusk,Britannia,4.1,100.0,85.5,14.5,14.5,546 g,0.1565934065934066
64,64.0,Classic Tomato Chilli,Piknik,4.1,120.0,62.4,57.6,48.0,120 g,0.52
65,65.0,Minis Chocolate Home Treats Pack,Cadbury Dairy Milk,4.2,447.0,396.9,50.10000000000002,11.21,357 g,1.111764705882353
66,66.0,"Fresh Tomato Ketchup - Tasty, Yummy & Healthy",Kissan,4.1,150.0,139.0,11.0,7.33,1.1 kg ,0.12636363636363637
67,67.0,Monaco Classic,Parle,4.1,120.0,90.0,30.0,25.0,700 g,0.12857142857142856
68,68.0,"Tomato Veggie Overload Quikie Soup - Multigrain, No Maida",Rasna,3.6,120.0,120.0,0.0,0.0,216 g,0.5555555555555556
69,69.0,ChocLayered Cakes,Cadbury Chocobakes,4.1,210.0,173.88,36.120000000000005,17.2,342 g,0.5084210526315789
70,70.0,Rice Vermicelli,Anil,4.0,80.0,80.0,0.0,0.0,500 g ,0.16
71,71.0,Frozen Sweet Corn,Fresho,3.9,200.0,139.0,61.0,30.5,1 kg ,0.139
72,72.0,Mom's Magic - Rich Cashew & Almond Cookies,Sunfeast,4.2,130.0,96.98,33.019999999999996,25.4,584 g ,0.16606164383561645
73,73.0,Potato Chips Original Style - Salt Sprinkled,Bingo,4.1,60.0,55.2,4.799999999999997,8.0,126 g,0.4380952380952381
74,74.0,Mad Angles Achaari Masti - Mango Pickle Flavour Crunchy Triangle Chips Pack,Bingo,4.1,100.0,76.5,23.5,23.5,234 g,0.3269230769230769
75,75.0,Corn Flakes With Real Almond & Honey,Kelloggs,4.2,820.0,656.0,164.0,20.0,1300 g,0.5046153846153846
76,76.0,Dark Fantasy Sandwich Creme Biscuits - Dark Crunch With Choco Creme,Sunfeast,4.2,75.0,37.0,38.0,50.67,277.5 g ,0.13333333333333333
77,77.0,Kaju Katli / Kaju Barfi Premium Mithai / Sweet,Tasties,4.3,249.0,135.0,114.0,45.78,200 g,0.675
78,78.0,Treat - Orange Biscuits,Britannia,4.1,120.0,114.0,6.0,5.0,600 g,0.19
79,79.0,Biscuits - Milk Bikis Milk Sandwich,Britannia,4.2,90.0,85.5,4.5,5.0,300 g,0.285
80,80.0,Roast Almond Chocolate Bar,Cadbury Dairy Milk,4.2,360.0,335.16,24.839999999999975,6.9,288 g,1.16375
81,81.0,Original Rava Idli Ready Mix,MTR,4.2,130.0,115.0,15.0,11.54,500 g ,0.23
82,82.0,Dark Fantasy Sandwich Creme Biscuits - Vanilla,Sunfeast,4.2,100.0,50.0,50.0,50.0,277.5 g ,0.18018018018018017
83,83.0,Chocos - Moons & Stars,Kelloggs,4.1,720.0,432.0,288.0,40.0,1.2 Kg,0.36
84,84.0,Namkeen - Lite Chiwda,Haldiram's,4.2,160.0,160.0,0.0,0.0,600 g,0.26666666666666666
85,85.0,Fruit & Nut Chocolate Bar,Cadbury Dairy Milk Silk,4.2,555.0,484.51,70.49000000000001,12.7,411 g,1.1788564476885643
86,86.0,"Honey - 100% Pure, No Sugar Adulteration",Dabur,4.1,610.0,454.45,155.55,25.5,1.3 kg ,0.34957692307692306
87,87.0,French - Fries,McCain,4.1,315.0,315.0,0.0,0.0,1.25 kg,0.252
88,88.0,Hot & Sweet - Tomato Chilli Sauce / Ketchup,MAGGI,4.3,165.0,165.0,0.0,0.0,1 kg ,0.165
89,89.0,"Tomato Ketchup - Classic Blend, Rich & Thick Condiment",Del Monte,4.1,125.0,95.2,29.799999999999997,23.84,900 g ,0.10577777777777778
