,Grocery_Name,Brand_Name,Rating,Discount_Price,MRP_Price,Quantity
60,Toor/Arhar Dal,BB Popular,0,₹951,₹1225,5 kg - Pouch
61,Organic - Brown Sugar/Sakkare,BB Royal,0,₹147,₹225,2 kg
62,Urad Dal/Uddina Bele Whole White,Tata Sampann,4.1,₹217.28,₹224,1 Kg
63,Atta/Godihittu - Chakki Fresh,Pillsbury,4,₹441.74,₹576,10 kg - Pouch
64,Coriander Seeds/Kottambari Beeja,BB Royal,4,₹130,₹250,500 g
65,Refined Sunflower - Oil,Sunpure,4.2,₹577.7,₹675,5 L - Can
66,Fine Besan/Kadale Hittu - 100% Chana Dal,Tata Sampann,4.1,₹134.1,₹149,1 kg
67,Dosa Rice/Akki,Super Saver,0,₹257,₹275,5 kg
68,Unpolished Chana Dal,Tata Sampann,4.1,₹129,₹154,1 kg - Pouch
69,Walnut/Akhrot - Kernels,BB Popular,3.4,₹225,₹360,200 g - Pouch
70,Superior-Mp-Sharbati-Atta/Godihittu - Fortified,BB Royal,3.9,₹515.64,₹650,10 kg - Pouch
71,Rice Flour,BB Royal,4,₹49,₹60,1 kg - Pouch
72,"White Thick Poha - High In Fibre, For Breakfast & Evening Tea",Tata Sampann,4,₹180,₹212,2x1kg - Multipack
73,Idli/Idly Rice,BB Royal,4,₹55,₹70,1 kg - Pouch
74,Organic - Raw Peanuts,BB Royal,0,₹452,₹538,2x1 kg - Multipack
75,Coconut Oil - 100% Pure,Parachute,4.2,₹3996,₹4440,12x1 L - Multipack
76,Cow Ghee/Tuppa,Aashirvaad Svasti,4.2,₹798,₹840,1 L - Pet Jar
77,"Refined Sunflower Oil - Trans Fat Free, Healthy Cooking Oil",Fiona,4.2,₹107.86,₹128,1 L - Pouch
78,Kabuli Chana/Kabuli Kadale,BB Popular,4,₹185,₹240,1 kg - Pouch
79,Masala - Puliogare Powder,MTR,4.2,₹122,₹135,200 g - Pouch
80,Amrit Powdered Jaggery,Parry's,4,₹80,₹110,2x500 g - Multipack
81,Tamarind/Hunisehannu/Imli Seedless Cake,BB Royal,0,₹232,₹400,1 kg
82,Sona Masoori Raw Rice/Akki,Super Saver,0,₹258.5,₹275,5 kg
83,Tasty Refined Cooking oil | Blended Rice bran & Corn oil | Pro Fitness Conscious,Saffola,4.1,₹138,₹150,1 L - Pouch
84,Oil - Groundnut,Freedom,4.1,₹179.56,₹210,1 L
85,"Gold - Refined Cooking Oil, Blend Of Rice Bran & Sunflower Oil, Helps Keeps Heart Healthy",Saffola,4,₹499,₹675,3 L - Jar
86,Cashew/Kaju - Whole,Super Saver,3.9,₹754,₹1000,1 kg
87,Iodised Crystal Salt,Tata Salt,4.2,₹44,₹44,2x1kg - Multipack
88,Chiroti/Barik Sooji,BB Royal,0,₹56,₹65,1 kg - Pouch
89,Mustard/Sasive/Rai - Small,BB Popular,4,₹86,₹150,500 g
90,Chilli - Guntur with Stem,BB Royal,4,₹255,₹350,500 g
91,Original Extra Virgin Olive Oil,BORGES,4.4,₹1099,₹1400,1 L - Pet Bottle
92,Jaggery - Square,BB Royal,3.6,₹86,₹100,1 kg
93,Cow Ghee/Tuppa,Aashirvaad Svasti,4.2,₹798,₹840,1 L - Pet Jar
94,Chana - Brown/Kadale Kaalu,BB Popular,4,₹24,₹35,200 g - Pouch
95,Kurnool Sona Masoori Raw Rice  (12 + Months Old),BB Royal,0,₹295,₹350,5 kg - (12 + Months Old)
96,Moong Dal/Hesaru Bele,BB Popular,4,₹138,₹190,1 kg - Pouch
97,Cold Pressed Groundnut Cooking Oil - Cooks Indian Dishes,BB Royal Organic,0,₹1056.99,₹1500,3x1L - Multipack
98,Gingelly Oil,Mr. Gold,4.2,₹353.92,₹375,1 L
99,Fenugreek/Methi/Menthya,BB Popular,4.1,₹32,₹60,200 g
100,Chana Dal/Kadale Bele,BB Popular,4,₹120,₹130,1 kg - Pouch
101,Cold Pressed Sunflower Cooking Oil - Cooks Indian Dishes,BB Royal Organic,4,₹1026.99,₹1350,3x1L - Multipack
102,New Rice/Akki - Sona Masoori,BB Popular,0,₹299,₹325,5 kg
103,Rice/Akki - Dosa,BB Royal,4,₹51,₹60,1 kg - Pouch
104,Rice Flour,Vijay,4.1,₹56.84,₹58,1 kg
105,Organic - Cardamom Green/Elakki,BB Royal,4,₹444,₹449,100 g
106,Unpolished Green Moong Dal - Whole,Tata Sampann,4.1,₹192.06,₹198,2 x 500 g - Multipack
107,Coconut Oil,Kpl Shudhi,4.2,₹125.34,₹145,500 ml - Pouch
108,Urad Gota/Whole,BB Super Saver,0,₹302,₹380,2 kg
109,"Organic - Moong Dal/Hesaru Bele, Unpolished",BB Royal,4,₹354,₹449,2 kg
110,Idli/Idly Rice,Super Saver,4,₹507,₹600,10 kg
111,Organic Jaggery/Bella Powder,BB Royal,0,₹56,₹95,500 g - Jar
112,Oil - Groundnut,Dhara,4.2,₹219.78,₹250,1 L - Pouch
113,Himalayan Pink Rock Salt/Uppu Powder,GoodDiet,4,₹87,₹110,1 kg
114,Anjeer/Figs/Atti Hannu,BB Popular,0,₹656,₹1250,500 g
115,Refined Oil - Sunflower,Freedom,4.1,₹114,₹139,1 L - Pouch
116,Pureit Refined Sunflower Oil,Gemini,4.1,₹549,₹700,5 l - Jar
117,Salt/Uppu - Crystal,AKAR,4.1,₹18.27,₹26,1 kg - Pouch
118,Phool Makhana,BB Popular,0,₹95,₹120,100 g - Pouch
119,Raisins/Ona Drakshi - Indian,BB Popular,4,₹279,₹500,1 kg - Pouch
120,Fennel/Saunf/Sompu - Big,BB Popular,4,₹57,₹80,100 g
121,Ghee/Tuppa,Amul,4.1,₹3130,₹3130,5 L
122,Mustard/Sasive/Rai - Small,BB Royal,4,₹38,₹60,200 g
123,Phool Makhana,BB Royal,0,₹247,₹300,200 g
124,Superlite Advanced Oil - Sunflower,Sundrop,4.2,₹479.22,₹489,3 L - Can
125,Basmati Rice/Basmati Akki - Dubar,India Gate,4.1,₹133,₹164,1 kg - Pouch
126,Salt/Uppu - Iodised,Aashirvaad,4.2,₹16,₹25,1 kg - Pouch
127,Maida,BB Super Saver,4,₹22,₹31,500 g
128,Coconut Oil,Mr. Gold,4.1,₹147,₹265,1 L
129,Tamarind/Hunisehannu/Imli - Seedless,BB Popular,0,₹174,₹300,1 kg - Pouch
130,Tamil Ponni Boiled - Rice,BB Royal,0,₹1678,₹1900,26 kg - Bag
