,Grocery_Name,Brand_Name,Rating,Discount_Price,MRP_Price,Quantity
80,Coconut Water,Raw Pressery,4,₹1368,₹1440,24x200 ml - Multipack
81,"Junior - Health Drink, Vanilla - Specialized Nutrition For Kids",Horlicks,4.1,₹450,₹570,1 Kg
82,100% Tender Coconut Water - No Added Sugar,Storia,3.9,₹190.72,₹298,2 x 1 L - (Multipack)
83,"Fruit Juice - Delight, Apple",Tropicana,4.1,₹279,₹339,3x1 L - Multipack
84,Premium Tea - Strong Flavour With Long Lasting Taste,Tata Tea Chakra Gold,4.1,₹369,₹410,500 g
85,"Nutrition & Health Drink - Improves Concentration & Memory, Chocolate Flavour",Complan,4.1,₹1071.84,₹1218,2x1 Kg - Multipack
86,"Soda - Fizz, Jeera Masala",Bindu,4.2,₹60,₹60,1 L - Bottle
87,Lychee - Litchi Fruit Juice,Paper Boat,4.1,₹76,₹80,4x150 ml - Multipack
88,Women'S Health & Nutrition Drink - Chocolate Flavour,Horlicks,4.3,₹678.9,₹730,2x400 g - Multipack
89,"Diabetes Plus - Helps Manage Blood Sugar, Vanilla",Horlicks,4,₹711,₹790,400 g - Cartoon
90,Women'S Health & Nutrition Drink - Caramel Flavour,Horlicks,4.2,₹660.3,₹710,2x400 g - Multipack
91,Fruit Juice - Mixed Fruit Delight,Tropicana,4.1,₹210,₹250,2x1 L - Multipack
92,"Fruit Juice - Delight, Guava",Tropicana,4.2,₹240,₹240,12x200 ml - Multipack
93,Dust Tea,Tata Tea Agni,4,₹140,₹140,500 g
94,Energy & Nutrition Drink - 3X More Stamina,Boost,3.8,₹494,₹599,500 g - (Pack of 2)
95,Health & Nutrition Drink - Classic Malt,Horlicks,4.2,₹658,₹698,2 x 450 g - Multipack
96,Chocolate Syrup,Hersheys,4.3,₹285,₹300,3x200 g - Multipack
97,Natural Mineral Water,Himalayan,4.2,₹756,₹840,12x1 L - Multipack
98,Soft Drink,Pepsi,4.1,₹67,₹75,1.5 L - Bottle
99,"Mixed Fruit - Rich In Fibre, Vitamin C & E, 100% Indian Fruit & 0% Concentrate",B Natural,4.1,₹296.4,₹390,1 L - (Pack of 3)
100,Fruit Power Juice - Mixed Fruits,Real,4.1,₹343.38,₹384,3X1 L - Multipack
101,Hot Chocolate Drink Powder Mix,Cadbury,4.2,₹561,₹660,3 x 200 g - Multipack
102,Diabetes Care Specialized Nutrition Drink - Vanilla Delight Flavour,Ensure,4.2,₹1565,₹1635,1 kg - Box
103,"Nutritional Drink Mix For Adults For Everyday Health With High Protein, To Increase Strength & Energy - Rich Chocolate",Protinex,4.1,₹1085,₹1235,750 g - Carton
104,Coffee Powder Premium Blended,Cothas Coffee,4.2,₹65,₹65,100 g - Pouch
105,"Instant Filter Coffee Liquid - Strong, Chicory Blend, No Preservatives",iD,4.1,₹240,₹240,400 ml - ( 8 Units x Pack of 5(10 ml Each))
106,Soft Drink - Lime Flavoured,Sprite,4.1,₹182,₹198,2 x 2.25 L - (Multipack)
107,"Soft Drink - Orange Flavoured, Refreshing",Fanta,4.2,₹84,₹95,2 l - Pet Bottle
108,Delight Fruit Juice - Pineapple,Tropicana,4.1,₹250,₹250,2x1 L - Multipack
109,"Nutrition Drink - Health, Energy & Sports",Boost,4.1,₹599,₹599,1 Kg - Carton
110,Limonata - Limey Minty Cooler,Bisleri,4.1,₹80,₹80,2x600 ml - Multipack
111,Activ Fiber + Multi Fruit Beverage - No Added Sugars & Preservative,Real,4.2,₹210.11,₹320,2 x 1 L - Multipack
112,Coconut Water/Nariyal Pani,Real Activ,3.9,₹721.68,₹840,24 x 200 ml - Multipack
113,"Black Tea - Original, Classic Assam Blend, Staple-Free, Environment Friendly Bags",Tetley,4.3,₹157.5,₹210,170 g - (100 bags x 1.7 g each)
114,Soft Drink - Orange,Mirinda,4.2,₹67,₹75,1.5 L
115,100% Apple Juice,Tropicana,4,₹435,₹435,3x1 L - Multipack
116,Malgudi Filter Coffee - 60:40,Continental,4,₹90,₹90,200 g
117,Filter Coffee Decoction,iD,4.1,₹236.9,₹250,2 x 150 ml - Multipack
118,"Yellow Label Tea - Finest Blend, Rich, Aromatic",Lipton,4.2,₹300,₹300,250 g
119,Fruit Power - Coconut Water,Real,3.9,₹179.93,₹340,2 x 1 L - Multipack
120,Filter Coffee With Chicory,LEVISTA,4.1,₹340,₹340,500 g - Pouch
121,Green Tea - Long Leaf,Tetley,4.2,₹621.6,₹740,2x250 g - Multipack
122,Chilli Guava Fruit Juice,Paper Boat,4.1,₹193.2,₹210,6x200 ml - Multipack
123,Natural Mineral Water,Himalayan,4.3,₹36,₹40,500 ml - Bottle
124,Instant Pure Coffee,BRU,4.1,₹331.5,₹390,100 g - Jar
125,Soft Drink - Lemon,7 Up,4.2,₹888,₹960,24x750 ml - Multipack
126,Drink Mix - Badam,MTR,4.3,₹80,₹80,100 g - Pouch
127,Fruit Juice - Guava Delight,Tropicana,4.1,₹190,₹230,2x1 L - Multipack
128,"Juice - Fruit Power, Pomegranate/Anar",Real,4.1,₹95.2,₹120,6x200 ml - Multipack
129,Top Star Tea,3 Roses,4.2,₹371,₹410,500 g - Carton
130,Fruit Juice - Orange Drink,Paper Boat,4,₹324,₹360,3 x 1 L - Multipack
131,5 Star Magic Health Drink,Cadbury Bournvita,4.2,₹749.84,₹824,2x750 g - Multipack
132,100 % Mixed Fruit Juice - With No Added Sugar and Preservative,Real Activ,4.1,₹363.75,₹435,3x1 L - Multipack
133,Rich Aroma Instant Coffee,Davidoff,4.5,₹1235,₹1300,2 x 100 g - Multipack
134,Soft Drink,Coca Cola,4,₹176,₹198,2 x 2.25 L - (Multipack)
135,Tender Coconut Water With Pulpy Malai,Fresho,3.9,₹936,₹1440,24x200 ml - Multipack
136,Soft Drink,Thums Up,4.2,₹444,₹480,12x300 ml - Multipack
137,Premium Tea With 20% Extra Long Leaf,Emperia,4.1,₹838,₹1250,2x1 kg - (Multipack)
138,Green Tea  - Pure & Light,Lipton,4.3,₹303.6,₹330,2x25 pcs - Multipack
139,Fruit Power Juice - Litchi,Real,4.1,₹331.74,₹375,3x1 L - Multipack
140,Sports Drink - Orange Flavour,Gatorade,4.3,₹150,₹150,3x500 ml - Multipack
141,Health Drink Vanilla Delight,Pediasure,4.1,₹1420,₹1540,2x400 g - Multipack
142,Cold Extracted Juice - Pomegranate,Raw Pressery,3.7,₹837,₹900,2x1 L - Multipack
143,SOFT DRINK,Sprite,4.2,0,0,250 ml
144,Premium Leaf Tea,Wagh Bakri,4.3,0,0,500 g
145,"Classic, Pure & Natural From Highest Hills",Tata Tea Kanan Devan,4.2,₹265.72,₹292,1 kg
146,Swing Juicier Drink - Mixed Fruit Medley,Paper Boat,4.1,₹60,₹60,6x150 ml - Multipack
147,"7+ Health Drink - With Oats & Almond, Vanilla Flavour",Pediasure,3.8,₹220.9,₹235,200 g - Box
148,Filter Coffee Liquid Strong,iD,4.1,₹178.22,₹198,2 x 150 ml - Multipack
149,Mango Juice,Tropicana Slice,4.1,₹170,₹198,2x1.75 L - Multipack
150,Golden Leaf Tea,Tata Tea Kanan Devan,4.2,₹233.75,₹275,500 g
151,"Mother's Plus, Vanilla",Horlicks,4.1,₹589,₹620,400 g - Carton
152,Soft Drink - Lime Flavoured,Sprite,4.2,₹480,₹480,12x300 ml - Multipack
153,Fruit Power Juice - Mango/Aam,Real,4.2,₹296.82,₹345,3x1 L - Multipack
154,Cold Brew Coffee - 100% Arabica,Sleepy Owl,4.2,₹575,₹575,250 g - (Set of 5)
155,"Anar/Pomegranate Juice - With Low Sugar, No Added Preservatives",Paper Boat,4,₹510,₹600,200 ml - (Pack of 12)
156,"Nutritious Milk Drink For Growing Children - Creamy Vanilla Flavour, For 2-6 Yrs",Nestlé NANGROW,4.2,₹610,₹610,400 g - Carton
157,"Care Flavoured Tea - Brahmi, Ginger, Tulsi, Elaichi & Adhimadhuram",Tata Tea Chakra Gold,4.1,₹228,₹240,250 g - Carton
158,Fresh Filter Coffee - 80 Degree,Continental Malgudi,3.9,₹294.5,₹310,500 g - 1
159,"Organic Tulsi Green Tea - Lemon & Ginger, Stress Relieving",Organic India,4.2,₹206.4,₹215,45 g - (25 Bags x 1.8 g each)
160,Tea,Taj Mahal,4.3,₹80,₹80,25 pcs
161,Fruit Power Juice - Apple,Real,4.2,₹308.46,₹345,3x1 L - Multipack
162,"Cold Extracted Juice - Basics, Sugarcane",Raw Pressery,3.8,₹380,₹400,5x250 ml - Multipack
163,Elaichi Flavoured Tea,Tata Tea Chakra Gold,4.2,₹144,₹240,250 g
164,Lite Health & Nutrition Drink - Badam Flavour,Horlicks,4.3,₹329,₹349,450 g - Carton
165,Natural Mountain Water - Vedica,Bisleri,4.3,₹360,₹360,6x1 L - Multi Pack
166,100% Tender Coconut Water/Nariyal Pani,Real Activ,4.2,₹552,₹660,12 x 200 ml - Multipack
167,"Nutritional Supplement - High Protein, Vanilla Flavour",Protinex,4.1,₹1200,₹1350,2x400 g - (Multipack)
168,"Lush Lychee Juice - Enriched With Vitamin D, No GMOs",Paperboat Swing,4.2,₹114,₹120,3x600 ml - Multipack
169,"Instant Coffee Powder - Chicory Mix, Shade-Grown, No Preservatives",iD,3.9,₹150.9,₹190,2 x 50 g - Multipack
170,100 % Orange Juice - With No Added Sugar and Preservative,Real Activ,4,₹392.85,₹465,3x1 L - Multipack
171,Filter Coffee Decoction Chicory Blend Roasted Ground Smooth No Preservatives 70:30,Cothas Coffee,3.1,₹47.5,₹50,100 ml - (Pack of 5)
172,Fruit Power Juice - Pineapple,Real,4.1,₹216,₹240,12x 180 ml - Multipack
173,Fine Aroma Instant Coffee,Davidoff,4.5,₹1235,₹1300,2 x 100 g - Multipack
174,"Valencia Orange Juice - Cold-Pressed, No Added Sugar, Preservative Free",Fresho Signature,3.7,₹399,₹469,1 L - Pet Bottle
175,Malgudi Filter Coffee Pouch -  80:20,Continental,4,₹140,₹140,200 g
176,"Green Tea - With Plain, Tulsi, Lemon & Honey, Travel Pack",Emperia,4.1,₹19,₹40,6.7 g - (5 Tea Bags x 1.34 g Each)
177,"Juice - Fruit Power, Orange/Santra",Real,4.1,₹334.65,₹390,3X1 L - Multipack
178,Sports Drink - Lemon Flavour,Gatorade,4.3,₹300,₹300,6x500 ml - Multipack
179,"Junior - Health Drink, Chocolate - Specialized Nutrition For Kids",Horlicks,4.2,₹315,₹315,500 g
180,Coconut Milk,Coco mama,4.1,₹140,₹170,2 x 250 ml - Multipack
181,Green Tea Honey Lemon,Emperia,3.9,₹170,₹170,35 g - (25 Bags x 1.4 g Each)
182,Juice - Sparkling Apple,Appy,4.2,₹120,₹120,2x1 L - Multipack
183,Jaljeera Refreshing Summer Drink,Paper Boat,4.2,₹189,₹210,6x200 ml - Multipack
184,Health Drink - Plus Orange,ORSL,4.2,₹45,₹45,200 ml
185,"Diabetic Care Formula Mix-Chocolate, Nutrition For Diabetes Management",ENSURE DIABETES CARE,4.5,₹1850,₹1850,2 x 400 g - Multipack
186,Energy Drink,Sting,4.3,₹210,₹210,6X250 ml - MultiPack
187,Coconut Water - Rich In Electrolytes With Vitamin C,Cocomama,3.4,₹1200,₹1200,24x250 ml - Multipack
188,"Millet Chocolate - Rich In Calcium, Protein & Iron",Horlicks,4.8,₹354,₹399,600 g
189,Natural Mineral Water,Himalayan,4.2,₹50,₹50,750 ml
190,Mountain Dew,Mountain Dew,4.1,₹67,₹75,1.5 L
191,Kadak Tea,Emperia,3.9,₹758,₹1140,2x1 kg - (Multipack)
192,Desh Ki Chai,Tata Tea Premium,4.2,0,0,250 g
193,"Masala Tea - Spiced & Flavourful Assam Blend, Staple Free & Environment Friendly Bags",Tetley,4.3,₹279,₹310,100 g - (50 Bags x 2 g each)
194,"Fruit Juice - Delight, Pomegranate",Tropicana,4,₹250,₹250,2x1 L - Multipack
195,Chamomile Tea - Tulsi Honey,Organic India,4.2,₹187.2,₹195,43.5 g - (25 Bags x 1.7 g each)
196,Soft Drink - Lemon,7 Up,4.3,₹768,₹840,24x250 ml - Multipack
197,Tea Blend With Rich Taste Natural Ingredients Improves Immunity Memory,Tata Tea Gold Care,4.1,₹472.5,₹630,1 Kg
198,Health Drink - Choco Caramel,Maltova,4.5,₹280,₹280,500 g - Carton
199,Health Drink Kesar Badam,Pediasure,4,₹450,₹450,200 g - Carton
200,Coffee - Pure,Narasus,4.2,₹442,₹442,500 g - Pouch
201,Fruit Juice - Grape,Real,4.1,₹223.44,₹250,2 x 1 L - Multipack
202,Coffee - Brownie Special,Bayars,4.4,₹104,₹104,200 g
203,"Black Roast Instant Coffee - Rich & Dark, 100% Pure, Soluble Powder",Nescafe Classic,4.2,₹592,₹740,2x90 g - Multipack
204,"Diabetes Care - High In Fibre & Protein, Creamy Vanilla Flavour",Protinex,3.9,₹665,₹740,400 g
205,Sports Drink - Blue Bolt Flavour,Gatorade,3.8,₹240,₹240,6x500 ml - (Multipack)
206,"Coffee - Udhayam, Blend of Coffee & Chicory",Narasus,4.3,₹357,₹357,500 g - Pouch
207,Aam Panna Mango Drink,Paper Boat,4.2,₹193.2,₹210,6x200 ml - Multipack
208,Soft Drink,Mountain Dew,4.3,₹768,₹840,24x250 ml - Multipack
209,Smartwater,Glaceau,4,₹720,₹720,12x750 ml - Multipack
210,"Green Tea - Ginger Mint & Lemon, Rich In Antioxidants",Tetley,4.3,₹5250,₹7500,12x140 g - Multipack
211,Club Soda - Evervess,Lehar,4.2,₹20,₹20,600 ml - Bottle
212,Cold Pressed Pomegranate Juice,Fresho Signature,3.6,₹399,₹469,1 L - Pet Bottle
213,Premium Instant Coffee - 100% Coffee Blend,Tata Coffee Grand,4.3,₹220.4,₹290,100 g - Pouch
214,Soft Drink - Orange,Mirinda,4.5,₹792,₹840,24x250 ml - Multipack
215,Exotic Dark Hot Chocolate Drink Powder Mix,Hersheys,4.1,₹202.4,₹220,250 g
216,Alphonso Mango - 100% Natural Cold Pressed Juice,Raw Pressery,4.1,₹697.5,₹750,3 x1 L - Multipack
217,"Slurpy Mango Juice - Enriched With Vitamin D, No GMOs",Paperboat Swing,4.2,₹108,₹120,3x600 ml - Multipack
218,Fruit Juice - Masala Pomegranate,Real,3.9,₹137.2,₹280,2 x 1 L - Multipack
219,100% Juice - Mixed Fruit,Tropicana,3.8,₹435,₹435,3x1 L - Multipack
220,Fruit Power Juice - Mixed Berries,Real,4.1,₹107,₹130,1 L
221,Green Tea - Lemon & Honey,Twinings,4.4,₹955,₹955,200 g - (100 Bags x 2 g each)
222,Milo Cocoa-Malt Milk Beverage - Grab & Go Pack,Nestle,4.2,₹270,₹270,6x180 ml - Multipack
223,"Gold - 100% Pure Coffee, Original , Robusta & Arabica Beans Blend",Tata Coffee,4.3,₹395.2,₹520,100 g - Jar
224,"Fruit Juice - Pink Guava, Rich In Vitamin C",Real,4.1,₹164.15,₹250,2 x 1 L - Multipack
225,Instant Tea - Premix With Ginger,Girnar,4.3,₹140,₹140,10 pcs
226,"Zero Lemon Lime Sparkling Water - Carbonated Water, Sugar Free, No Calories",Paper Boat,4.1,₹162,₹180,3 x 600 ml - (Multipack)
227,Diabetes Care Specialised Nutrition Drink Vanilla,Ensure,4.4,₹995,₹995,400 g - Jar
228,"Instant Iced Tea - Rich In Vitamin C, Light & Refreshing, Lemon Flavour",Nestea,4.3,₹190,₹200,400 g - Pouch
229,Delight Fruit Juice - Cranberry,Tropicana,3.9,₹270,₹270,2x1 L - (Multipack)
230,Copper+,Tata,4.4,₹17.6,₹20,1 L - Bottle
231,Ale Of Grapefruits - A Traditional Recipe,Gunsberg,4.1,₹520,₹520,330 ml - (Pack of 6)
232,"Creamy Classic Nutritious Health Drink - Vitamin C & A Supports Kids Immune, Clinically Proven For 2X Faster Growth Formula",Complan,4.1,₹514.28,₹559,1 kg - Carton
233,Cappuccino,Nescafe,4.2,₹400,₹400,2x100 g - Multipack
234,"Guava Juice - Rich In Fibre, Vit C & E, 100% Fruit Pulp & 0% Concentrate",B Natural,4.2,₹277.88,₹390,1 L - (Pack of 3)
235,Fresh Filter Coffee - 60 Degree,Continental Malgudi,4.1,₹209,₹220,500 g
236,"Vedic Tea - Handpicked From Assam, Nilgiri & Darjeeling",Dabur,4.4,₹221.25,₹295,500 g
237,Tender Coconut Water,Cocojal,4.1,₹47,₹50,200 ml - Bottle
238,French Roast Home Espresso Dark Roasted Arabica Ground Coffee,Blue Tokai,4.8,₹470,₹470,250 g
239,"Coffee - Instant, Insta Strong",Narasus,4.2,₹109,₹109,50 g - Pouch
240,"Coffee - Chikamagalur Aroma Premium Fresh Filter Coffee, Using 100% German Machinery to Roast & Grind",Riseup,4.2,₹159,₹159,250 g
241,"High Protein Drink - Chocolate, Protein+",Horlicks,4.2,₹1235,₹1300,2x400 g - Multipack
242,Organic Chamomile Tea - Tulsi Honey,IndiSecrets,4.4,₹139,₹199,36 g - (20 Bags x 1.8 g each)
243,Infusion Bags - Tulsi Green Tea,Organic India,4.3,₹206.4,₹215,43.5 g - (25 Bags x 1.74 g each)
244,Rich Masala Tea,Taj Mahal,4.2,₹160,₹160,25 pcs
245,This Cappuccino 3 In 1 Premix Instant Coffee,Continental,4.1,₹112.5,₹125,22 g - (Buy 5 Get 1 Free )
246,Green Tea - Regular,Tetley,4.2,₹875,₹1250,2x100 Teabags - Multipack
247,"Fruit Beverage - No Added Sugar, Low Calories, Peach",Paper Boat,4.1,₹153,₹180,3x600 ml - Multipack
248,"Elaichi Tea - Cardamom Flavoured, Assam Blend, Staple-Free, Environment Friendly Bags",Tetley,4.3,₹279,₹310,100 g - (50 Bags x 2 g each)
249,"Health Drink - Chocolate Flavour, Provides Complete Nutrition For Adults",Ensure,4.3,₹1680,₹1680,2 x 400 g - Multipack
250,"Fruit Juice - Orange, Rich In Vitamin C",Real,4.2,₹37.24,₹40,2 x 180 ml - Multipack
251,Fruit Power Juice - Alphonso Mango Nectar,Real,4.4,₹196.98,₹300,2 x 1 L - Multipack
252,Diabetes Care Specialized Nutrition Drink - Chocolate Flavour,Ensure,4.2,₹540,₹540,200 g
253,"Royale Chocolate Nutritious Health Drink - Vitamin C & A Supports Kids Immune, Clinically Proven For 2X Faster Growth Formula",Complan,4.2,₹93,₹124,200 g - Jar
254,Leaf Tea - Navchetan,Wagh Bakri,4.1,₹181,₹200,1 Kg
255,Soft Drink - Orange Flavoured,Fanta,4.2,₹222,₹240,6x300 ml - Multipack
256,Long Leaf - Lemon Green Tea,Tetley,4.2,₹142.6,₹155,100 g
257,Swing Juicier Drink - Slurpy Mango,Paper Boat,4.2,₹60,₹60,6x150 ml - Multipack
258,Hot Brew Coffee - Dark Roast (20 Bags x 15 g each),Sleepy Owl,4.4,₹700,₹700,300 g - Multipack
259,"Instant Premix Tea - 3 In 1 Combo Pack With Masala,Ginger & Elaichi",Wagh Bakri,4.2,₹150,₹160,168 g - (12 Sachets x 14g Each)
260,Zero Sparkling Water - Cumin,Paper Boat,4.2,₹114,₹120,2 x 600 ml - Multipack
261,"Sparkling Coffee - Dark Roast, Carbonated Drink, Zero Sugar & Zero Calories",Paper Boat,4.2,₹171,₹180,3 x 600 ml - (Multipack)
262,High Protein Health Drink Chocolate,Ensure,4.2,₹815,₹815,400 g - Box
263,"Soda - Fizz, Jeera Masala",Bindu,4.2,₹95,₹95,2 L - Bottle
264,Wheatgrass Juice - Helps Detoxify The Liver & Cleanses Digestive System,Kapiva,4.1,₹449.1,₹499,1 L
265,Fine Long Leaf Tea,Tata Tea Gold Darjeeling,4.3,₹299.2,₹340,200 g - Box
266,Aam Panna Mango Drink,Paper Boat,4.1,₹80,₹80,4x150 ml - Multipack
267,Long Leaf Original Green Tea - Detoxifies Body,Tetley,4.2,₹375,₹500,500 g
268,"Street Chai Of India - Mumbai Cutting Chai, Tasting Notes Of Ginger & Lemongrass",Tata Tea Premium,4.1,₹116,₹145,250 g
