,Grocery_Name,Discount_Price,MRP_Price,Brand_Name,Quantity
523,Basmati Rice/Basmati Akki - Brown (Quick Cooking),₹757.5,₹830,Daawat,5 kg - Pouch
524,Chicken Kabab Powder,₹150,₹150,Teju,500 g 
525,Asafoetida - Crystal,₹260,₹260,Ssp,10 g - Jar
526,Xpert Pro Immunity Oil - Blend Of Rice Bran & Sunflower Oil,₹115,₹150,Fortune ,1 L - Pouch
527,White Peas/Matar,₹104,₹160,BB Super Saver,1 kg 
528,Green Peas/Ona Batani,₹25,₹50,BB Super Saver,200 g 
529,Bay Leaf/Lavangada Ele,₹9,₹10,BB Royal,20 g 
530,Refined - Sunflower Oil,₹327,₹402,Sunrich,3x1 L - Multipack
531,Besan Flour,₹60.76,₹62,Vijay,500 g 
532,Turmeric - Sticks,₹39,₹40,BB Royal,100 g 
