,Sr.No.,Grocery_Name,Brand_Name,MRP_Price,Discount_Price,Total Disc,Percetage Disc,Quantity,strip_qua,Quantity_upd,Converted_Quantity,Price_per_unit(gm/ml/pc)
42,42,Health & Nutrition Drink,Horlicks,449.0,374.0,75.0,16.7,750 g - Pouch,750 g ,750 g ,750.0,0.49866666666666665
43,43,"Women's Plus, Caramel",Womens Horlicks,599.0,545.09,53.90999999999997,9.0,750 g ,750 g ,750 g ,750.0,0.7267866666666667
44,44,7+ Specialized Nutrition Drink Powder With Oats & Almonds - Chocolate Flavour,Pediasure,1230.0,1150.0,80.0,6.5,2 x 400 g - Multipack,2*400 g ,800 g,800.0,1.4375
45,45,Indian Tonic Water,Schweppes,360.0,324.0,36.0,10.0,6x300 ml - Multipack,6*300 ml ,1800 ml,1800.0,0.18
46,46,Soda - Original Ginger Ale,Schweppes,360.0,360.0,0.0,0.0,6x300 ml - Multipack,6*300 ml ,1800 ml,1800.0,0.2
47,47,"Fruit Juice - Delight, Litchi",Tropicana,246.0,206.0,40.0,16.26,2x1 L - Multipack,2*1 L ,2 L,2000.0,0.103
48,48,Juice - Classic Apple,Appy,60.0,60.0,0.0,0.0,4x200 ml - Multipack,4*200 ml ,800 ml,800.0,0.075
49,49,Paper Boat Aamras Mango Fruit Juice (Pack of 4),Paper Boat,80.0,69.92,10.079999999999998,12.6,150 ml - Multipack,150 ml ,150 ml ,150.0,0.46613333333333334
50,50,Spiced Tea - Blend Of 7 Refreshing Spices,Wagh Bakri,150.0,150.0,0.0,0.0,250 g ,250 g ,250 g ,250.0,0.6
51,51,Health Drink Chocolate,Pediasure,1420.0,1300.0,120.0,8.45,2 x 400 g - Multipack,2*400 g ,800 g,800.0,1.625
52,52,"Health Mix - 100% Natural Nutrition, No Added Sugar, Preservative Free",Manna,489.0,366.75,122.25,25.0,1 kg - cartoon,1 kg ,1 kg ,1000.0,0.36675
53,53,Soft Drink - With Real Lemon Juice,7 Up Nimbooz,90.0,90.0,0.0,0.0,6 x 250 ml - (Multipack),6*250 ml ,1500 ml,1500.0,0.06
54,54,Cold Extracted Juice - Valencia Orange,Raw Pressery,1050.0,945.0,105.0,10.0,3x1 L - Multipack,3*1 L ,3 L,3000.0,0.315
55,55,Fruit Juice - Orange Delight,Tropicana,240.0,240.0,0.0,0.0,2x1 L - Multipack,2*1 L ,2 L,2000.0,0.12
56,56,Green Tea - Honey Lemon,Lipton,1250.0,1125.0,125.0,10.0,2x100 pcs - Multipack,2*100 pcs ,200 pcs,200.0,5.625
57,57,Health & Nutrition Drink - Chocolate,Horlicks,998.0,708.0,290.0,29.06,2x1 kg - (Multipack),2*1 kg ,2 kg,2000.0,0.354
58,58,Fruit Drink - Pulpy Orange,Minute Maid ,180.0,162.0,18.0,10.0,2x1 L - Multipack,2*1 L ,2 L,2000.0,0.081
59,59,Blend Instant Coffee Powder - Rich & Smooth,Nescafe Gold,1100.0,1065.0,35.0,3.18,2 x 95 g - Multipack,2*95 g ,190 g,190.0,5.605263157894737
60,60,Premium Coffee,LEVISTA,370.0,185.0,185.0,50.0,100 g - Can,100 g ,100 g ,100.0,1.85
