,Sr.No.,Grocery_Name,Brand_Name,MRP_Price,Discount_Price,Total Disc,Percetage Disc,Quantity,strip_qua,Quantity_upd,Converted_Quantity,Price_per_unit(gm/ml/pc)
170,170,100 % Orange Juice - With No Added Sugar and Preservative,Real Activ,465.0,392.85,72.14999999999998,15.52,3x1 L - Multipack,3*1 L ,3 L,3000.0,0.13095
171,171,Filter Coffee Decoction Chicory Blend Roasted Ground Smooth No Preservatives 70:30,Cothas Coffee,50.0,47.5,2.5,5.0,100 ml - (Pack of 5),100 ml ,100 ml ,100.0,0.475
172,172,Fruit Power Juice - Pineapple,Real,240.0,216.0,24.0,10.0,12x 180 ml - Multipack,12*180 ml ,2160 ml,2160.0,0.1
173,173,Fine Aroma Instant Coffee,Davidoff,1300.0,1235.0,65.0,5.0,2 x 100 g - Multipack,2*100 g ,200 g,200.0,6.175
174,174,"Valencia Orange Juice - Cold-Pressed, No Added Sugar, Preservative Free",Fresho Signature,469.0,399.0,70.0,14.93,1 L - Pet Bottle,1 L ,1 L ,1000.0,0.399
175,175,Malgudi Filter Coffee Pouch -  80:20,Continental,140.0,140.0,0.0,0.0,200 g ,200 g ,200 g ,200.0,0.7
176,176,"Green Tea - With Plain, Tulsi, Lemon & Honey, Travel Pack",Emperia,40.0,19.0,21.0,52.5,6.7 g - (5 Tea Bags x 1.34 g Each),6.7 g ,6.7 g ,6.7,2.835820895522388
177,177,"Juice - Fruit Power, Orange/Santra",Real,390.0,334.65,55.35000000000002,14.19,3X1 L - Multipack,3*1 L ,3 L,3000.0,0.11155
178,178,Sports Drink - Lemon Flavour,Gatorade,300.0,300.0,0.0,0.0,6x500 ml - Multipack,6*500 ml ,3000 ml,3000.0,0.1
179,179,"Junior - Health Drink, Chocolate - Specialized Nutrition For Kids",Horlicks,315.0,315.0,0.0,0.0,500 g ,500 g ,500 g ,500.0,0.63
180,180,Coconut Milk,Coco mama,170.0,140.0,30.0,17.65,2 x 250 ml - Multipack,2*250 ml ,500 ml,500.0,0.28
181,181,Green Tea Honey Lemon,Emperia,170.0,170.0,0.0,0.0,35 g - (25 Bags x 1.4 g Each),35 g ,35 g ,35.0,4.857142857142857
182,182,Juice - Sparkling Apple,Appy,120.0,120.0,0.0,0.0,2x1 L - Multipack,2*1 L ,2 L,2000.0,0.06
183,183,Jaljeera Refreshing Summer Drink,Paper Boat,210.0,189.0,21.0,10.0,6x200 ml - Multipack,6*200 ml ,1200 ml,1200.0,0.1575
184,184,Health Drink - Plus Orange,ORSL,45.0,45.0,0.0,0.0,200 ml ,200 ml ,200 ml ,200.0,0.225
185,185,"Diabetic Care Formula Mix-Chocolate, Nutrition For Diabetes Management",ENSURE DIABETES CARE,1850.0,1850.0,0.0,0.0,2 x 400 g - Multipack,2*400 g ,800 g,800.0,2.3125
186,186,Energy Drink,Sting,210.0,210.0,0.0,0.0,6X250 ml - MultiPack,6*250 ml ,1500 ml,1500.0,0.14
187,187,Coconut Water - Rich In Electrolytes With Vitamin C,Cocomama,1200.0,1200.0,0.0,0.0,24x250 ml - Multipack,24*250 ml ,6000 ml,6000.0,0.2
188,188,"Millet Chocolate - Rich In Calcium, Protein & Iron",Horlicks,399.0,354.0,45.0,11.28,600 g ,600 g ,600 g ,600.0,0.59
189,189,Natural Mineral Water,Himalayan,50.0,50.0,0.0,0.0,750 ml ,750 ml ,750 ml ,750.0,0.06666666666666667
190,190,Mountain Dew,Mountain Dew,75.0,67.0,8.0,10.67,1.5 L ,1.5 L ,1.5 L ,1500.0,0.04466666666666667
191,191,Kadak Tea,Emperia,1140.0,758.0,382.0,33.51,2x1 kg - (Multipack),2*1 kg ,2 kg,2000.0,0.379
192,192,Desh Ki Chai,Tata Tea Premium,0.0,0.0,0.0,,250 g ,250 g ,250 g ,250.0,0.0
193,193,"Masala Tea - Spiced & Flavourful Assam Blend, Staple Free & Environment Friendly Bags",Tetley,310.0,279.0,31.0,10.0,100 g - (50 Bags x 2 g each),100 g ,100 g ,100.0,2.79
194,194,"Fruit Juice - Delight, Pomegranate",Tropicana,250.0,250.0,0.0,0.0,2x1 L - Multipack,2*1 L ,2 L,2000.0,0.125
195,195,Chamomile Tea - Tulsi Honey,Organic India,195.0,187.2,7.800000000000011,4.0,43.5 g - (25 Bags x 1.7 g each),43.5 g ,43.5 g ,43.5,4.303448275862069
196,196,Soft Drink - Lemon,7 Up,840.0,768.0,72.0,8.57,24x250 ml - Multipack,24*250 ml ,6000 ml,6000.0,0.128
197,197,Tea Blend With Rich Taste Natural Ingredients Improves Immunity Memory,Tata Tea Gold Care,630.0,472.5,157.5,25.0,1 Kg ,1 Kg ,1 Kg ,1000.0,0.4725
198,198,Health Drink - Choco Caramel,Maltova,280.0,280.0,0.0,0.0,500 g - Carton,500 g ,500 g ,500.0,0.56
199,199,Health Drink Kesar Badam,Pediasure,450.0,450.0,0.0,0.0,200 g - Carton,200 g ,200 g ,200.0,2.25
200,200,Coffee - Pure,Narasus,442.0,442.0,0.0,0.0,500 g - Pouch,500 g ,500 g ,500.0,0.884
201,201,Fruit Juice - Grape,Real,250.0,223.44,26.560000000000002,10.62,2 x 1 L - Multipack,2*1 L ,2 L,2000.0,0.11172
202,202,Coffee - Brownie Special,Bayars,104.0,104.0,0.0,0.0,200 g ,200 g ,200 g ,200.0,0.52
203,203,"Black Roast Instant Coffee - Rich & Dark, 100% Pure, Soluble Powder",Nescafe Classic,740.0,592.0,148.0,20.0,2x90 g - Multipack,2*90 g ,180 g,180.0,3.2888888888888888
204,204,"Diabetes Care - High In Fibre & Protein, Creamy Vanilla Flavour",Protinex ,740.0,665.0,75.0,10.14,400 g ,400 g ,400 g ,400.0,1.6625
205,205,Sports Drink - Blue Bolt Flavour,Gatorade,240.0,240.0,0.0,0.0,6x500 ml - (Multipack),6*500 ml ,3000 ml,3000.0,0.08
206,206,"Coffee - Udhayam, Blend of Coffee & Chicory",Narasus,357.0,357.0,0.0,0.0,500 g - Pouch,500 g ,500 g ,500.0,0.714
207,207,Aam Panna Mango Drink,Paper Boat,210.0,193.2,16.80000000000001,8.0,6x200 ml - Multipack,6*200 ml ,1200 ml,1200.0,0.161
208,208,Soft Drink,Mountain Dew,840.0,768.0,72.0,8.57,24x250 ml - Multipack,24*250 ml ,6000 ml,6000.0,0.128
209,209,Smartwater,Glaceau ,720.0,720.0,0.0,0.0,12x750 ml - Multipack,12*750 ml ,9000 ml,9000.0,0.08
210,210,"Green Tea - Ginger Mint & Lemon, Rich In Antioxidants",Tetley,7500.0,5250.0,2250.0,30.0,12x140 g - Multipack,12*140 g ,1680 g,1680.0,3.125
211,211,Club Soda - Evervess,Lehar,20.0,20.0,0.0,0.0,600 ml - Bottle,600 ml ,600 ml ,600.0,0.03333333333333333
212,212,Cold Pressed Pomegranate Juice,Fresho Signature,469.0,399.0,70.0,14.93,1 L - Pet Bottle,1 L ,1 L ,1000.0,0.399
213,213,Premium Instant Coffee - 100% Coffee Blend,Tata Coffee Grand,290.0,220.4,69.6,24.0,100 g - Pouch,100 g ,100 g ,100.0,2.204
214,214,Soft Drink - Orange,Mirinda,840.0,792.0,48.0,5.71,24x250 ml - Multipack,24*250 ml ,6000 ml,6000.0,0.132
215,215,Exotic Dark Hot Chocolate Drink Powder Mix,Hersheys ,220.0,202.4,17.599999999999994,8.0,250 g ,250 g ,250 g ,250.0,0.8096
216,216,Alphonso Mango - 100% Natural Cold Pressed Juice,Raw Pressery,750.0,697.5,52.5,7.0,3 x1 L - Multipack,3*1 L ,3 L,3000.0,0.2325
217,217,"Slurpy Mango Juice - Enriched With Vitamin D, No GMOs",Paperboat Swing,120.0,108.0,12.0,10.0,3x600 ml - Multipack,3*600 ml ,1800 ml,1800.0,0.06
218,218,Fruit Juice - Masala Pomegranate,Real,280.0,137.2,142.8,51.0,2 x 1 L - Multipack,2*1 L ,2 L,2000.0,0.0686
219,219,100% Juice - Mixed Fruit,Tropicana,435.0,435.0,0.0,0.0,3x1 L - Multipack,3*1 L ,3 L,3000.0,0.145
220,220,Fruit Power Juice - Mixed Berries,Real,130.0,107.0,23.0,17.69,1 L ,1 L ,1 L ,1000.0,0.107
221,221,Green Tea - Lemon & Honey,Twinings,955.0,955.0,0.0,0.0,200 g - (100 Bags x 2 g each),200 g ,200 g ,200.0,4.775
222,222,Milo Cocoa-Malt Milk Beverage - Grab & Go Pack,Nestle ,270.0,270.0,0.0,0.0,6x180 ml - Multipack,6*180 ml ,1080 ml,1080.0,0.25
223,223,"Gold - 100% Pure Coffee, Original , Robusta & Arabica Beans Blend",Tata Coffee,520.0,395.2,124.80000000000001,24.0,100 g - Jar,100 g ,100 g ,100.0,3.952
224,224,"Fruit Juice - Pink Guava, Rich In Vitamin C",Real,250.0,164.15,85.85,34.34,2 x 1 L - Multipack,2*1 L ,2 L,2000.0,0.08207500000000001
225,225,Instant Tea - Premix With Ginger,Girnar,140.0,140.0,0.0,0.0,10 pcs ,10 pcs ,10 pcs ,10.0,14.0
226,226,"Zero Lemon Lime Sparkling Water - Carbonated Water, Sugar Free, No Calories",Paper Boat,180.0,162.0,18.0,10.0,3 x 600 ml - (Multipack),3*600 ml ,1800 ml,1800.0,0.09
227,227,Diabetes Care Specialised Nutrition Drink Vanilla,Ensure,995.0,995.0,0.0,0.0,400 g - Jar,400 g ,400 g ,400.0,2.4875
228,228,"Instant Iced Tea - Rich In Vitamin C, Light & Refreshing, Lemon Flavour",Nestea,200.0,190.0,10.0,5.0,400 g - Pouch,400 g ,400 g ,400.0,0.475
229,229,Delight Fruit Juice - Cranberry,Tropicana,270.0,270.0,0.0,0.0,2x1 L - (Multipack),2*1 L ,2 L,2000.0,0.135
230,230,Copper+,Tata ,20.0,17.6,2.3999999999999986,12.0,1 L - Bottle,1 L ,1 L ,1000.0,0.0176
231,231,Ale Of Grapefruits - A Traditional Recipe,Gunsberg,520.0,520.0,0.0,0.0,330 ml - (Pack of 6),330 ml ,330 ml ,330.0,1.5757575757575757
232,232,"Creamy Classic Nutritious Health Drink - Vitamin C & A Supports Kids Immune, Clinically Proven For 2X Faster Growth Formula",Complan,559.0,514.28,44.72000000000003,8.0,1 kg - Carton,1 kg ,1 kg ,1000.0,0.51428
233,233,Cappuccino,Nescafe ,400.0,400.0,0.0,0.0,2x100 g - Multipack,2*100 g ,200 g,200.0,2.0
234,234,"Guava Juice - Rich In Fibre, Vit C & E, 100% Fruit Pulp & 0% Concentrate",B Natural,390.0,277.88,112.12,28.75,1 L - (Pack of 3),1 L ,1 L ,1000.0,0.27788
235,235,Fresh Filter Coffee - 60 Degree,Continental Malgudi,220.0,209.0,11.0,5.0,500 g ,500 g ,500 g ,500.0,0.418
236,236,"Vedic Tea - Handpicked From Assam, Nilgiri & Darjeeling",Dabur,295.0,221.25,73.75,25.0,500 g ,500 g ,500 g ,500.0,0.4425
237,237,Tender Coconut Water,Cocojal,50.0,47.0,3.0,6.0,200 ml - Bottle,200 ml ,200 ml ,200.0,0.235
238,238,French Roast Home Espresso Dark Roasted Arabica Ground Coffee,Blue Tokai,470.0,470.0,0.0,0.0,250 g ,250 g ,250 g ,250.0,1.88
239,239,"Coffee - Instant, Insta Strong",Narasus,109.0,109.0,0.0,0.0,50 g - Pouch,50 g ,50 g ,50.0,2.18
240,240,"Coffee - Chikamagalur Aroma Premium Fresh Filter Coffee, Using 100% German Machinery to Roast & Grind",Riseup,159.0,159.0,0.0,0.0,250 g ,250 g ,250 g ,250.0,0.636
241,241,"High Protein Drink - Chocolate, Protein+",Horlicks,1300.0,1235.0,65.0,5.0,2x400 g - Multipack,2*400 g ,800 g,800.0,1.54375
242,242,Organic Chamomile Tea - Tulsi Honey,IndiSecrets,199.0,139.0,60.0,30.15,36 g - (20 Bags x 1.8 g each),36 g ,36 g ,36.0,3.861111111111111
243,243,Infusion Bags - Tulsi Green Tea,Organic India,215.0,206.4,8.599999999999994,4.0,43.5 g - (25 Bags x 1.74 g each),43.5 g ,43.5 g ,43.5,4.744827586206896
244,244,Rich Masala Tea,Taj Mahal,160.0,160.0,0.0,0.0,25 pcs ,25 pcs ,25 pcs ,25.0,6.4
245,245,This Cappuccino 3 In 1 Premix Instant Coffee,Continental,125.0,112.5,12.5,10.0,22 g - (Buy 5 Get 1 Free ),22 g ,22 g ,22.0,5.113636363636363
246,246,Green Tea - Regular,Tetley,1250.0,875.0,375.0,30.0,2x100 Teabags - Multipack,2*100 Teabags ,200 Teabags,200.0,4.375
247,247,"Fruit Beverage - No Added Sugar, Low Calories, Peach",Paper Boat,180.0,153.0,27.0,15.0,3x600 ml - Multipack,3*600 ml ,1800 ml,1800.0,0.085
248,248,"Elaichi Tea - Cardamom Flavoured, Assam Blend, Staple-Free, Environment Friendly Bags",Tetley,310.0,279.0,31.0,10.0,100 g - (50 Bags x 2 g each),100 g ,100 g ,100.0,2.79
249,249,"Health Drink - Chocolate Flavour, Provides Complete Nutrition For Adults",Ensure,1680.0,1680.0,0.0,0.0,2 x 400 g - Multipack,2*400 g ,800 g,800.0,2.1
250,250,"Fruit Juice - Orange, Rich In Vitamin C",Real,40.0,37.24,2.759999999999998,6.9,2 x 180 ml - Multipack,2*180 ml ,360 ml,360.0,0.10344444444444445
251,251,Fruit Power Juice - Alphonso Mango Nectar,Real,300.0,196.98,103.02000000000001,34.34,2 x 1 L - Multipack,2*1 L ,2 L,2000.0,0.09849
252,252,Diabetes Care Specialized Nutrition Drink - Chocolate Flavour,Ensure,540.0,540.0,0.0,0.0,200 g ,200 g ,200 g ,200.0,2.7
253,253,"Royale Chocolate Nutritious Health Drink - Vitamin C & A Supports Kids Immune, Clinically Proven For 2X Faster Growth Formula",Complan,124.0,93.0,31.0,25.0,200 g - Jar,200 g ,200 g ,200.0,0.465
254,254,Leaf Tea - Navchetan,Wagh Bakri,200.0,181.0,19.0,9.5,1 Kg ,1 Kg ,1 Kg ,1000.0,0.181
255,255,Soft Drink - Orange Flavoured,Fanta,240.0,222.0,18.0,7.5,6x300 ml - Multipack,6*300 ml ,1800 ml,1800.0,0.12333333333333334
256,256,Long Leaf - Lemon Green Tea,Tetley,155.0,142.6,12.400000000000006,8.0,100 g ,100 g ,100 g ,100.0,1.426
257,257,Swing Juicier Drink - Slurpy Mango,Paper Boat,60.0,60.0,0.0,0.0,6x150 ml - Multipack,6*150 ml ,900 ml,900.0,0.06666666666666667
258,258,Hot Brew Coffee - Dark Roast (20 Bags x 15 g each),Sleepy Owl,700.0,700.0,0.0,0.0,300 g - Multipack,300 g ,300 g ,300.0,2.3333333333333335
259,259,"Instant Premix Tea - 3 In 1 Combo Pack With Masala,Ginger & Elaichi",Wagh Bakri,160.0,150.0,10.0,6.25,168 g - (12 Sachets x 14g Each),168 g ,168 g ,168.0,0.8928571428571429
260,260,Zero Sparkling Water - Cumin,Paper Boat,120.0,114.0,6.0,5.0,2 x 600 ml - Multipack,2*600 ml ,1200 ml,1200.0,0.095
261,261,"Sparkling Coffee - Dark Roast, Carbonated Drink, Zero Sugar & Zero Calories",Paper Boat,180.0,171.0,9.0,5.0,3 x 600 ml - (Multipack),3*600 ml ,1800 ml,1800.0,0.095
262,262,High Protein Health Drink Chocolate,Ensure,815.0,815.0,0.0,0.0,400 g - Box,400 g ,400 g ,400.0,2.0375
263,263,"Soda - Fizz, Jeera Masala",Bindu,95.0,95.0,0.0,0.0,2 L - Bottle,2 L ,2 L ,2000.0,0.0475
264,264,Wheatgrass Juice - Helps Detoxify The Liver & Cleanses Digestive System,Kapiva,499.0,449.1,49.89999999999998,10.0,1 L ,1 L ,1 L ,1000.0,0.4491
265,265,Fine Long Leaf Tea,Tata Tea Gold Darjeeling,340.0,299.2,40.80000000000001,12.0,200 g - Box,200 g ,200 g ,200.0,1.496
266,266,Aam Panna Mango Drink,Paper Boat,80.0,80.0,0.0,0.0,4x150 ml - Multipack,4*150 ml ,600 ml,600.0,0.13333333333333333
267,267,Long Leaf Original Green Tea - Detoxifies Body,Tetley,500.0,375.0,125.0,25.0,500 g ,500 g ,500 g ,500.0,0.75
268,268,"Street Chai Of India - Mumbai Cutting Chai, Tasting Notes Of Ginger & Lemongrass",Tata Tea Premium,145.0,116.0,29.0,20.0,250 g ,250 g ,250 g ,250.0,0.464
269,269,"SipNDigest - With Green Tea, Ginger, Tulsi & Rock Salt, Spiced Green Tea Bags",Lipton,380.0,342.0,38.0,10.0,50 pcs - (50 Bags x 1.8 g Each),50 pcs ,50 pcs ,50.0,6.84
270,270,Intense Café Ready To Drink Coffee & Milk Beverage - Cappuccino Flavour,Nescafe ,270.0,270.0,0.0,0.0,6x180 ml - Multipack,6*180 ml ,1080 ml,1080.0,0.25
271,271,Swing Juicier Drink - Tasty Apple,Paper Boat,60.0,60.0,0.0,0.0,6x150 ml - Multipack,6*150 ml ,900 ml,900.0,0.06666666666666667
272,272,Original Adult Health & Nutritional Drink Mix For Recovery With High Protein,Protinex ,1310.0,1160.0,150.0,11.45,750 g - Carton,750 g ,750 g ,750.0,1.5466666666666666
273,273,Apple Juice Based Drink,Appy Fizz,90.0,90.0,0.0,0.0,6 x 175 ml - (Multipack),6*175 ml ,1050 ml,1050.0,0.08571428571428572
274,274,"Sugarcane Juice - Cold-Pressed, No Added Sugar, Preservative Free",Fresho Signature,267.0,223.25,43.75,16.39,3x250 ml - Multipack,3*250 ml ,750 ml,750.0,0.2976666666666667
275,275,Health & Nutrition Drink - Chocolate,Chocolate Horlicks,199.0,199.0,0.0,0.0,400 g - Pouch,400 g ,400 g ,400.0,0.4975
276,276,Amla Juice,Kapiva,897.0,807.3,89.70000000000005,10.0,3 x 1 L - Multipack,3*1 L ,3 L,3000.0,0.2691
277,277,"Pineapple Juice - Cold-Pressed, No Added Sugar, Preservative Free",Fresho Signature,387.0,312.29,74.70999999999998,19.3,3x250 ml - Multipack,3*250 ml ,750 ml,750.0,0.4163866666666667
278,278,"Fruit Beverage - No Added Sugar, Low Calories, Ginger Lemon",Paper Boat,180.0,162.0,18.0,10.0,3x600 ml - Multipack,3*600 ml ,1800 ml,1800.0,0.09
279,279,Zero Sucrose Health Drink Vanilla,Pediasure,595.0,595.0,0.0,0.0,400 g - Box,400 g ,400 g ,400.0,1.4875
280,280,Assam Tea,Twinings,699.0,699.0,0.0,0.0,200 g - (100 Bags x 2 g each),200 g ,200 g ,200.0,3.495
281,281,"Mixed Fruit Medley Juice - Enriched With Vitamin D, No GMOs",Paperboat Swing,120.0,120.0,0.0,0.0,3x600 ml - Multipack,3*600 ml ,1800 ml,1800.0,0.06666666666666667
282,282,Fruit Juice - Masala Mixed Fruit,Real,280.0,137.2,142.8,51.0,2 x 1 L - Multipack,2*1 L ,2 L,2000.0,0.0686
283,283,Masters Blend Tea- Rich Taste,Emperia,1500.0,1118.0,382.0,25.47,2x1 kg - (Multipack),2*1 kg ,2 kg,2000.0,0.559
284,284,"Ginger Zing Tea - Flavoured, Assam Blend, Staple-Free, Environment Friendly Bags",Tetley,3720.0,3348.0,372.0,10.0,12x100 g - Multipack,12*100 g ,1200 g,1200.0,2.79
285,285,"Karela Jamun Juice, 1 Litre - Ayurvedic Juice to Help Maintain Healthy Sugar Levels - 100% Natural - No Added Sugar",Sri Sri Tattva,320.0,320.0,0.0,0.0,1 L ,1 L ,1 L ,1000.0,0.32
286,286,Syrup - Mojito Mint,Monin,895.0,895.0,0.0,0.0,700 ml - Bottle,700 ml ,700 ml ,700.0,1.2785714285714285
287,287,Aloe Vera and Amla Juice,Kapiva,1000.0,800.0,200.0,20.0,2x 1 L - Multipack,2*1 L ,2 L,2000.0,0.4
288,288,"Wholesome Child Nutrition For Growth & Development - Mango, High Protein With DHA",Groviva,680.0,680.0,0.0,0.0,400 g ,400 g ,400 g ,400.0,1.7
289,289,Tulsi Ginger Turmeric Tea - Stress Relieving & Harmonizing,Organic India,195.0,187.2,7.800000000000011,4.0,47.5 g - (25 Teabags x 1.9g each),47.5 g ,47.5 g ,47.5,3.941052631578947
290,290,"Instant Drink Mix - Orange, Multipack",Tang,500.0,500.0,0.0,0.0,2x750 g - Multipack,2*750 g ,1500 g,1500.0,0.3333333333333333
291,291,Natural Extracts Refreshing Taste Aroma,Tata Tea Premium Teaveda,285.0,285.0,0.0,0.0,500 g - Box,500 g ,500 g ,500.0,0.57
292,292,"Yummy Guava Juice - Enriched With Vitamin D, No GMOs",Paperboat Swing,120.0,120.0,0.0,0.0,3x600 ml - Multipack,3*600 ml ,1800 ml,1800.0,0.06666666666666667
293,293,Instant Energy Health Drink - Regular,Glucon-D,430.0,365.5,64.5,15.0,2 x 1 kg - (Multipack),2*1 kg ,2 kg,2000.0,0.18275
294,294,Wellnezz Jamun Juice,Real Activ,149.0,129.0,20.0,13.42,1 L ,1 L ,1 L ,1000.0,0.129
295,295,"Gold Premium Freeze Dried Coffee - 100% Pure, Strong, Intense Aromatic",BRU,520.0,416.0,104.0,20.0,100 g ,100 g ,100 g ,100.0,4.16
296,296,IQ+ Maternal Nutrition With DHA Health Drink - Vanilla Delight Flavour,SimMom,565.0,565.0,0.0,0.0,400 g ,400 g ,400 g ,400.0,1.4125
297,297,"Activ Beetroot & Carrot Juice - Helps Gut Health, No Added Sugars & Preservative",Real,320.0,210.11,109.88999999999999,34.34,2 x 1 L - Multipack,2*1 L ,2 L,2000.0,0.10505500000000001
298,298,Amla Juice,Patanjali,280.0,280.0,0.0,0.0,2x1 L - Multipack,2*1 L ,2 L,2000.0,0.14
299,299,Instant Energy Health Drink - Tangy Orange,Glucon-D,195.0,179.4,15.599999999999994,8.0,450 g - Refill,450 g ,450 g ,450.0,0.39866666666666667
300,300,Aamras Mango Fruit Juice,Paper Boat,280.0,231.84,48.16,17.2,2x1 L - Multipack,2*1 L ,2 L,2000.0,0.11592
301,301,Tea - Spicy Ginger,Taj Mahal,155.0,155.0,0.0,0.0,50 g - (25 Bags x 2 g each),50 g ,50 g ,50.0,3.1
302,302,Quick Filter,Tata Coffee,195.0,159.9,35.099999999999994,18.0,100 g - Tin,100 g ,100 g ,100.0,1.599
303,303,Noni Juice,Kapiva,1498.0,1198.4,299.5999999999999,20.0,2x 1 L - Multipack,2*1 L ,2 L,2000.0,0.5992000000000001
304,304,"Vedic Kadha Herbal Tea - Supports Immune Function, Rich In Vitamin C",Vahdam ,600.0,420.0,180.0,30.0,2 g - (50 Bags x 2 g Each),2 g ,2 g ,2.0,210.0
305,305,"Wholesome Child Nutrition For Growth & Development - Vanilla, High Protein With DHA",Groviva,1250.0,1250.0,0.0,0.0,750 g - (2 Units x 375 g each),750 g ,750 g ,750.0,1.6666666666666667
306,306,Cuban Watermelon Mojito Kombucha - Probiotic,Borecha,160.0,160.0,0.0,0.0,330 ml ,330 ml ,330 ml ,330.0,0.48484848484848486
307,307,"Kesar Badam Nutritious Health Drink - Vitamin C & A Supports Kids Immune, Clinically Proven For 2X Faster Growth Formula",Complan,365.0,350.4,14.600000000000023,4.0,500 g - Jar,500 g ,500 g ,500.0,0.7008
308,308,Speciale Coffee,Continental,560.0,560.0,0.0,0.0,200 g - Jar,200 g ,200 g ,200.0,2.8
309,309,Mango Instant Drink Mix,Tang,300.0,300.0,0.0,0.0,2x500 g - Multipack,2*500 g ,1000 g,1000.0,0.3
310,310,"Badam Almond Drink Mix - Rich In Protein & Vitamins, No Artificial Flavours",Manna,159.0,127.2,31.799999999999997,20.0,200 g - Carton,200 g ,200 g ,200.0,0.636
311,311,Syrup - Lemon Tea With Natural Extracts,Monin,395.0,395.0,0.0,0.0,250 ml - Bottle,250 ml ,250 ml ,250.0,1.58
312,312,Organic Green Tea - Divine Tulsi,Eco Valley ,185.0,165.0,20.0,10.81,42.5 g - (25 Bags x 1.7 g),42.5 g ,42.5 g ,42.5,3.8823529411764706
313,313,"Cold Extracted Juice - Basics, Mango",Raw Pressery,300.0,285.0,15.0,5.0,5x200 ml - Multipack,5*200 ml ,1000 ml,1000.0,0.285
314,314,Green Tea - Detox / Desi Kahwa,Girnar,330.0,330.0,0.0,0.0,90.7 g - (36 Bags x 2.5 g each),90.7 g ,90.7 g ,90.7,3.6383682469680263
315,315,Syrup - Strawberry,Monin,895.0,895.0,0.0,0.0,700 ml - Bottle,700 ml ,700 ml ,700.0,1.2785714285714285
316,316,Get Slim Juice,Kapiva,840.0,840.0,0.0,0.0,2x 1 L - Multipack,2*1 L ,2 L,2000.0,0.42
317,317,This Hazelnut 3 In 1 Premix Instant Coffee,Continental,125.0,112.5,12.5,10.0,22 g - (Buy 5 Get 1 Free),22 g ,22 g ,22.0,5.113636363636363
318,318,Non-Alcoholic Beer Bottle - Malt Flavour,Barbican ,99.0,99.0,0.0,0.0,330 ml ,330 ml ,330 ml ,330.0,0.3
319,319,"Premium Instant Coffee - French Vanilla, Freeze Dried",Sleepy Owl,495.0,495.0,0.0,0.0,100 g ,100 g ,100 g ,100.0,4.95
320,320,Tea - Tulsi & Ginger,Organic India,225.0,216.0,9.0,4.0,100 g ,100 g ,100 g ,100.0,2.16
321,321,Instant Coffee Premix,Narasus,15.0,15.0,0.0,0.0,18 g - Pouch,18 g ,18 g ,18.0,0.8333333333333334
322,322,"Easy Pour Coffee - Nutty & Chocolatey, Medium-Dark Roast, Attikan Estate",Blue Tokai,250.0,250.0,0.0,0.0,55 g - (5 Sachets x 11 g each),55 g ,55 g ,55.0,4.545454545454546
323,323,"Litchi Juice - Nata De Coco, Natural, Healthy Drink",ALPHA 8,30.0,30.0,0.0,0.0,200 ml ,200 ml ,200 ml ,200.0,0.15
324,324,Continental Speciale,Continental,200.0,100.0,100.0,50.0,50 g - Pouch,50 g ,50 g ,50.0,2.0
325,325,"100% Fruit Juice - Nimbu Pani, No Added Sugar",Storia,240.0,192.0,48.0,20.0,6x200 ml - Multipack,6*200 ml ,1200 ml,1200.0,0.16
326,326,"Premium Leaf Tea, Rich Aroma & Taste, Assam Long Leaf",Tata Tea Chakra Gold,230.0,184.0,46.0,20.0,250 g ,250 g ,250 g ,250.0,0.736
327,327,"Ragi Malt - Rich In Protein & Calcium, Natural & Healthy",Manna,199.0,179.1,19.900000000000006,10.0,200 g - Carton,200 g ,200 g ,200.0,0.8955
328,328,Syrup - Milk Booster,Hersheys ,400.0,300.0,100.0,25.0,2x450 g - Multipack,2*450 g ,900 g,900.0,0.3333333333333333
329,329,Fruit Power Juice - Guava/Amrud,Real,360.0,261.9,98.10000000000002,27.25,3X1 L - Multipack,3*1 L ,3 L,3000.0,0.08729999999999999
330,330,Assorted Tulsi Infusions With 4 Exotic Flavours,IndiSecrets,199.0,99.0,100.0,50.25,25.5 g ,25.5 g ,25.5 g ,25.5,3.8823529411764706
331,331,Instant Tea - Premix With Cardamom,Girnar,140.0,140.0,0.0,0.0,10 pcs ,10 pcs ,10 pcs ,10.0,14.0
332,332,"Orange Juice - Rich In Fibre, Vitamin C & E, 100% Indian Fruit & 0% Concentrate, 1 litre",B Natural,390.0,312.0,78.0,20.0,1 L - (Pack of 3),1 L ,1 L ,1000.0,0.312
333,333,"Nutrition & Health Drink - Improves Concentration & Memory, Pista Badam Flavour",Complan,700.0,672.0,28.0,4.0,2x500 g - Multipack,2*500 g ,1000 g,1000.0,0.672
334,334,Tulsi Green Tea Ashwagandha - Stress Relieving & Refreshing,Organic India,215.0,206.4,8.599999999999994,4.0,50 g - (25 Teabags x 2 g Each),50 g ,50 g ,50.0,4.128
335,335,"Wholesome Child Nutrition For Growth & Development - Strawberry, High Protein With DHA",Groviva,680.0,680.0,0.0,0.0,400 g ,400 g ,400 g ,400.0,1.7
336,336,Mango Passion Kombucha,Dad's Hack,1194.0,1014.9,179.10000000000002,15.0,330mlx6 - Multipack,330ml*6 ,330ml*6 ,330.0,3.075454545454545
