,Sr.No.,Grocery_Name,Brand_Name,MRP_Price,Discount_Price,Total Disc,Percetage Disc,Quantity,strip_qua,Only_Numeric_Part,Quantity_upd,Converted_Quantity,Price_per_unit(gm/ml/pc)
0,0,Premium Panchmewa Superfood Farmley Jar,Farmley,519,415.2,103.8,20,450 gm - Jar,450 gm ,,450 gm ,450,0.922666667
1,1,Atta/Godihittu - Whole Wheat,Aashirvaad,294,226.92,67.08,22.82,5 kg ,5 kg ,,5 kg ,5000,0.045384
2,2,Moong Chilka,AHAAR,167,158.65,8.35,5,500 g ,500 g ,,500 g ,500,0.3173
3,3,Pure Ghee,Nandini,1300,1300,0,0,2 x 1 L - Multipack,2*1 L ,"(2, 'L')",2 L,2000,0.65
4,4,"Sona Masoori Raw Rice/Akki - Super Premium, 12 + Months Old",BB Royal,1875,1638,237,12.64,25 kg - (18 + Months Old),25 kg ,,25 kg ,25000,0.06552
5,5,Unpolished Toor Dal/Arhar Dal,Tata Sampann,1420,1249.6,170.4,12,5 kg ,5 kg ,,5 kg ,5000,0.24992
6,6,Tur/Arhar Dal,AHAAR,162,153.9,8.1,5,500 g ,500 g ,,500 g ,500,0.3078
7,7,Sona Masoori Raw Rice (12 + Months Old),BB Royal,1820,1612,208,11.43,26 kg - Bag,26 kg ,,26 kg ,26000,0.062
8,8,Refined Sunflower Oil,Sunpure ,390,354.78,35.22,9.03,3 x 1 L - Multipack,3*1 L ,"(3, 'L')",3 L,3000,0.11826
9,9,Chitra Rajma,AHAAR,133,119.7,13.3,10,500 g ,500 g ,,500 g ,500,0.2394
10,10,Pooja Oil,Anandam,180,113.23,66.77,37.09,890 g ,890 g ,,890 g ,890,0.127224719
11,11,Sunlite Sunflower Refined Oil,Fortune ,375,330,45,12,3x910 g - Multipack,3*910 g ,"(2730, 'g')",2730 g,2730,0.120879121
12,12,Ghee,GRB,850,740,110,12.94,2 x 500 ml - Multipack,2*500 ml ,"(1000, 'ml')",1000 ml,1000,0.74
13,13,Toor Dal/Togari Bele - Desi,BB Royal,250,207,43,17.2,1 kg - Pouch,1 kg ,,1 kg ,1000,0.207
14,14,Kabuli Chana,AHAAR,126,117.18,8.82,7,500 g ,500 g ,,500 g ,500,0.23436
15,15,Cumin/Jeera/Jeerige - Whole,BB Royal,1200,743,457,38.08,1 kg ,1 kg ,,1 kg ,1000,0.743
16,16,Peanuts/Kadalekayi - Raw,BB Royal,230,179,51,22.17,1 kg - Pouch,1 kg ,,1 kg ,1000,0.179
17,17,Cashew/Godambi - Whole,BB Popular,1500,783,717,47.8,1 kg ,1 kg ,,1 kg ,1000,0.783
18,18,Urad Dal/Uddina Bele - Split,BB Popular,200,186,14,7,1 kg - Pouch,1 kg ,,1 kg ,1000,0.186
19,19,Sooji Ordinary/Bombay Rava,BB Royal,325,265,60,18.46,5x1 kg - Multipack,5*1 kg ,"(5, 'kg')",5 kg,5000,0.053
20,20,White Label Sugar,Parry's,300,235.75,64.25,21.42,5 Kg - Sulphur Free Process,5 Kg ,,5 Kg ,5000,0.04715
21,21,Salt/Uppu - Iodized,Tata Salt,55,55,0,0,2 kg ,2 kg ,,2 kg ,2000,0.0275
22,22,"Sugar - Pure & Hygienic, Fine Grain, Natural, Sulphur Free",Madhur,65,52.04,12.96,19.94,1 kg ,1 kg ,,1 kg ,1000,0.05204
23,23,Fried Gram/Huri Kadale,BB Royal,180,135,45,25,1 kg - Pouch,1 kg ,,1 kg ,1000,0.135
24,24,Select Atta/Godihittu,Aashirvaad,326,286.88,39.12,12,5 kg - Pouch,5 kg ,,5 kg ,5000,0.057376
25,25,Toor/Arhar Dal 5 kg,BB Super Saver,1200,1038,162,13.5,5 kg ,5 kg ,,5 kg ,5000,0.2076
26,26,Oil - Gingelly,Idhayam,503,495,8,1.59,1 L - Pouch,1 L ,,1 L ,1000,0.495
27,27,Refined - Sunflower Oil,Dhara ,420,343.2,76.8,18.29,3x1 L - Multipack,3*1 L ,"(3, 'L')",3 L,3000,0.1144
28,28,Sugar,BB Popular,30,25,5,16.67,500 g ,500 g ,,500 g ,500,0.05
29,29,Peanuts/Kadalekayi - Raw,BB Popular,220,180,40,18.18,1 kg - Pouch,1 kg ,,1 kg ,1000,0.18
30,30,"Almond/Badam - Californian, Giri",BB Popular,1200,698,502,41.83,2x500 g - Multipack,2*500 g ,"(1000, 'g')",1000 g,1000,0.698
31,31,Atta with Multigrains - High Fibre,Aashirvaad,670,562.8,107.2,16,10 kg ,10 kg ,,10 kg ,10000,0.05628
32,32,Moong Dal/Hesaru Bele,Tata Sampann,214,207.58,6.42,3,1 kg - Pouch,1 kg ,,1 kg ,1000,0.20758
33,33,Organic - Toor Dal/Togari Bele,BB Royal,1200,1160,40,3.33,5 kg ,5 kg ,,5 kg ,5000,0.232
34,34,Refined Sugar (Sulphurless)/Sakkare,BB Royal,325,285,40,12.31,5 kg ,5 kg ,,5 kg ,5000,0.057
35,35,Moong Dal/Hesaru Bele,BB Royal,190,156,34,17.89,1 kg - Pouch,1 kg ,,1 kg ,1000,0.156
36,36,Organic - Almond/Badam,BB Royal,675,527,148,21.93,500 g ,500 g ,,500 g ,500,1.054
37,37,Chana Dal/Kadale Bele,BB Royal,68,55,13,19.12,500 g - Pouch,500 g ,,500 g ,500,0.11
38,38,Bullet Raw Rice,BB Royal,900,778,122,13.56,10 kg ,10 kg ,,10 kg ,10000,0.0778
39,39,Sona masoori Raw Rice ( 6 + Months  Old),BB Popular,1700,1482,218,12.82,26 kg - (6 + Months Old),26 kg ,,26 kg ,26000,0.057
40,40,Rice Bran Health Physically Refined Oil,Fortune ,390,339.9,50.1,12.85,3x1 L - Multipack,3*1 L ,"(3, 'L')",3 L,3000,0.1133
41,41,"Urad Gota - Desi, Unpolished Mature Pulses For Easy Cooking & Rich Flavour",BB Royal,210,159,51,24.29,1 kg - Pouch,1 kg ,,1 kg ,1000,0.159
42,42,Poha/Avalakki/Aval - Thick,BB Royal,100,66,34,34,1 kg - Pouch,1 kg ,,1 kg ,1000,0.066
43,43,"Green Moong Whole - Desi, Unpolished Mature Pulses For Easy Cooking & Rich Flavour",BB Royal,90,63.46,26.54,29.49,500 g - Pouch,500 g ,,500 g ,500,0.12692
44,44,Gold Refined Cooking oil | Blended Rice Bran & Sunflower oil | Helps Keeps Heart Healthy,Saffola,180,156,24,13.33,1 L - Pouch,1 L ,,1 L ,1000,0.156
45,45,Sunlite - Refined Sunflower Oil,Fortune ,480,272.14,207.86,43.3,2 L - Pet Bottle,2 L ,,2 L ,2000,0.13607
46,46,Premium Kachi Ghani Pure Mustard Oil,Fortune ,43,31.98,11.02,25.63,200 ml - Pet Bottle,200 ml ,,200 ml ,200,0.1599
47,47,Nakshatra Pooja Oil,Mr. Gold,105,86.88,18.12,17.26,500 ml ,500 ml ,,500 ml ,500,0.17376
48,48,Olive Oil For Indian Cooking - Frying & Baking,BORGES,950,639.25,310.75,32.71,500 ml - Glass Bottle,500 ml ,,500 ml ,500,1.2785
49,49,Urad Dal/Uddina Bele - Split,BB Royal,210,151,59,28.1,1 kg - Pouch,1 kg ,,1 kg ,1000,0.151
50,50,Bansi Sooji/Kesari Rava,BB Royal,75,59,16,21.33,1 kg - Pouch,1 kg ,,1 kg ,1000,0.059
51,51,Maida,BB Royal,325,225,100,30.77,5x1 kg - Multipack,5*1 kg ,"(5, 'kg')",5 kg,5000,0.045
52,52,Amrit - Brown Sugar,Parry's,100,90,10,10,2x500 g - Multipack,2*500 g ,"(1000, 'g')",1000 g,1000,0.09
53,53,Organic - Kismis,BB Royal,599,372,227,37.9,1 kg ,1 kg ,,1 kg ,1000,0.372
54,54,Surti Kolam - Rice (12 + Months Old),BB Royal,2300,1921,379,16.48,26 kg - (12 + Months Old),26 kg ,,26 kg ,26000,0.073884615
55,55,"Chilli - Byadagi, Stemless",BB Royal,240,216,24,10,200 g ,200 g ,,200 g ,200,1.08
56,56,Black Pepper/Kari Menasu,BB Popular,280,183,97,34.64,200 g - Pouch,200 g ,,200 g ,200,0.915
57,57,Organic - Cumin/Jeera/Jeerige,BB Royal,600,427,173,28.83,500 g ,500 g ,,500 g ,500,0.854
58,58,Filtered Groundnut Oil,Safal,207,207,0,0,1 L - pouch,1 L ,,1 L ,1000,0.207
59,59,Powder - Asafoetida,LG,883,883,0,0,500 g - Jar,500 g ,,500 g ,500,1.766
60,60,Toor/Arhar Dal,BB Popular,1225,951,274,22.37,5 kg - Pouch,5 kg ,,5 kg ,5000,0.1902
61,61,Organic - Brown Sugar/Sakkare,BB Royal,225,147,78,34.67,2 kg ,2 kg ,,2 kg ,2000,0.0735
62,62,Urad Dal/Uddina Bele Whole White,Tata Sampann,224,217.28,6.72,3,1 Kg ,1 Kg ,,1 Kg ,1000,0.21728
63,63,Atta/Godihittu - Chakki Fresh,Pillsbury,576,441.74,134.26,23.31,10 kg - Pouch,10 kg ,,10 kg ,10000,0.044174
64,64,Coriander Seeds/Kottambari Beeja,BB Royal,250,130,120,48,500 g ,500 g ,,500 g ,500,0.26
65,65,Refined Sunflower - Oil,Sunpure ,675,577.7,97.3,14.41,5 L - Can,5 L ,,5 L ,5000,0.11554
66,66,Fine Besan/Kadale Hittu - 100% Chana Dal,Tata Sampann,149,134.1,14.9,10,1 kg ,1 kg ,,1 kg ,1000,0.1341
67,67,Dosa Rice/Akki,Super Saver,275,257,18,6.55,5 kg ,5 kg ,,5 kg ,5000,0.0514
68,68,Unpolished Chana Dal,Tata Sampann,154,129,25,16.23,1 kg - Pouch,1 kg ,,1 kg ,1000,0.129
69,69,Walnut/Akhrot - Kernels,BB Popular,360,225,135,37.5,200 g - Pouch,200 g ,,200 g ,200,1.125
70,70,Superior-Mp-Sharbati-Atta/Godihittu - Fortified,BB Royal,650,515.64,134.36,20.67,10 kg - Pouch,10 kg ,,10 kg ,10000,0.051564
71,71,Rice Flour,BB Royal,60,49,11,18.33,1 kg - Pouch,1 kg ,,1 kg ,1000,0.049
72,72,"White Thick Poha - High In Fibre, For Breakfast & Evening Tea",Tata Sampann,212,180,32,15.09,2x1kg - Multipack,2*1kg ,"(2, 'kg')",2 kg,2000,0.09
73,73,Idli/Idly Rice,BB Royal,70,55,15,21.43,1 kg - Pouch,1 kg ,,1 kg ,1000,0.055
74,74,Organic - Raw Peanuts,BB Royal,538,452,86,15.99,2x1 kg - Multipack,2*1 kg ,"(2, 'kg')",2 kg,2000,0.226
75,75,Coconut Oil - 100% Pure,Parachute ,4440,3996,444,10,12x1 L - Multipack,12*1 L ,"(12, 'L')",12 L,12000,0.333
76,76,Cow Ghee/Tuppa,Aashirvaad Svasti,840,798,42,5,1 L - Pet Jar,1 L ,,1 L ,1000,0.798
77,77,"Refined Sunflower Oil - Trans Fat Free, Healthy Cooking Oil",Fiona ,128,107.86,20.14,15.73,1 L - Pouch,1 L ,,1 L ,1000,0.10786
78,78,Kabuli Chana/Kabuli Kadale,BB Popular,240,185,55,22.92,1 kg - Pouch,1 kg ,,1 kg ,1000,0.185
79,79,Masala - Puliogare Powder,MTR,135,122,13,9.63,200 g - Pouch,200 g ,,200 g ,200,0.61
80,80,Amrit Powdered Jaggery,Parry's,110,80,30,27.27,2x500 g - Multipack,2*500 g ,"(1000, 'g')",1000 g,1000,0.08
81,81,Tamarind/Hunisehannu/Imli Seedless Cake,BB Royal,400,232,168,42,1 kg ,1 kg ,,1 kg ,1000,0.232
82,82,Sona Masoori Raw Rice/Akki,Super Saver,275,258.5,16.5,6,5 kg ,5 kg ,,5 kg ,5000,0.0517
83,83,Tasty Refined Cooking oil | Blended Rice bran & Corn oil | Pro Fitness Conscious,Saffola,150,138,12,8,1 L - Pouch,1 L ,,1 L ,1000,0.138
84,84,Oil - Groundnut,Freedom,210,179.56,30.44,14.5,1 L ,1 L ,,1 L ,1000,0.17956
85,85,"Gold - Refined Cooking Oil, Blend Of Rice Bran & Sunflower Oil, Helps Keeps Heart Healthy",Saffola,675,499,176,26.07,3 L - Jar,3 L ,,3 L ,3000,0.166333333
86,86,Cashew/Kaju - Whole,Super Saver,1000,754,246,24.6,1 kg ,1 kg ,,1 kg ,1000,0.754
87,87,Iodised Crystal Salt,Tata Salt,44,44,0,0,2x1kg - Multipack,2*1kg ,"(2, 'kg')",2 kg,2000,0.022
88,88,Chiroti/Barik Sooji,BB Royal,65,56,9,13.85,1 kg - Pouch,1 kg ,,1 kg ,1000,0.056
89,89,Mustard/Sasive/Rai - Small,BB Popular,150,86,64,42.67,500 g ,500 g ,,500 g ,500,0.172
90,90,Chilli - Guntur with Stem,BB Royal,350,255,95,27.14,500 g ,500 g ,,500 g ,500,0.51
91,91,Original Extra Virgin Olive Oil,BORGES,1400,1099,301,21.5,1 L - Pet Bottle,1 L ,,1 L ,1000,1.099
92,92,Jaggery - Square,BB Royal,100,86,14,14,1 kg ,1 kg ,,1 kg ,1000,0.086
93,93,Cow Ghee/Tuppa,Aashirvaad Svasti,840,798,42,5,1 L - Pet Jar,1 L ,,1 L ,1000,0.798
94,94,Chana - Brown/Kadale Kaalu,BB Popular,35,24,11,31.43,200 g - Pouch,200 g ,,200 g ,200,0.12
95,95,Kurnool Sona Masoori Raw Rice  (12 + Months Old),BB Royal,350,295,55,15.71,5 kg - (12 + Months Old),5 kg ,,5 kg ,5000,0.059
96,96,Moong Dal/Hesaru Bele,BB Popular,190,138,52,27.37,1 kg - Pouch,1 kg ,,1 kg ,1000,0.138
97,97,Cold Pressed Groundnut Cooking Oil - Cooks Indian Dishes,BB Royal Organic,1500,1056.99,443.01,29.53,3x1L - Multipack,3*1L ,"(3, 'L')",3 L,3000,0.35233
98,98,Gingelly Oil,Mr. Gold,375,353.92,21.08,5.62,1 L ,1 L ,,1 L ,1000,0.35392
99,99,Fenugreek/Methi/Menthya,BB Popular,60,32,28,46.67,200 g ,200 g ,,200 g ,200,0.16
100,100,Chana Dal/Kadale Bele,BB Popular,130,120,10,7.69,1 kg - Pouch,1 kg ,,1 kg ,1000,0.12
101,101,Cold Pressed Sunflower Cooking Oil - Cooks Indian Dishes,BB Royal Organic,1350,1026.99,323.01,23.93,3x1L - Multipack,3*1L ,"(3, 'L')",3 L,3000,0.34233
102,102,New Rice/Akki - Sona Masoori,BB Popular,325,299,26,8,5 kg ,5 kg ,,5 kg ,5000,0.0598
103,103,Rice/Akki - Dosa,BB Royal,60,51,9,15,1 kg - Pouch,1 kg ,,1 kg ,1000,0.051
104,104,Rice Flour,Vijay,58,56.84,1.16,2,1 kg ,1 kg ,,1 kg ,1000,0.05684
105,105,Organic - Cardamom Green/Elakki,BB Royal,449,444,5,1.11,100 g ,100 g ,,100 g ,100,4.44
106,106,Unpolished Green Moong Dal - Whole,Tata Sampann,198,192.06,5.94,3,2 x 500 g - Multipack,2*500 g ,"(1000, 'g')",1000 g,1000,0.19206
107,107,Coconut Oil,Kpl Shudhi,145,125.34,19.66,13.56,500 ml - Pouch,500 ml ,,500 ml ,500,0.25068
108,108,Urad Gota/Whole,BB Super Saver,380,302,78,20.53,2 kg ,2 kg ,,2 kg ,2000,0.151
109,109,"Organic - Moong Dal/Hesaru Bele, Unpolished",BB Royal,449,354,95,21.16,2 kg ,2 kg ,,2 kg ,2000,0.177
110,110,Idli/Idly Rice,Super Saver,600,507,93,15.5,10 kg ,10 kg ,,10 kg ,10000,0.0507
111,111,Organic Jaggery/Bella Powder,BB Royal,95,56,39,41.05,500 g - Jar,500 g ,,500 g ,500,0.112
112,112,Oil - Groundnut,Dhara ,250,219.78,30.22,12.09,1 L - Pouch,1 L ,,1 L ,1000,0.21978
113,113,Himalayan Pink Rock Salt/Uppu Powder,GoodDiet,110,87,23,20.91,1 kg ,1 kg ,,1 kg ,1000,0.087
114,114,Anjeer/Figs/Atti Hannu,BB Popular,1250,656,594,47.52,500 g ,500 g ,,500 g ,500,1.312
115,115,Refined Oil - Sunflower,Freedom,139,114,25,17.99,1 L - Pouch,1 L ,,1 L ,1000,0.114
116,116,Pureit Refined Sunflower Oil,Gemini,700,549,151,21.57,5 l - Jar,5 l ,,5 l ,5000,0.1098
117,117,Salt/Uppu - Crystal,AKAR,26,18.27,7.73,29.73,1 kg - Pouch,1 kg ,,1 kg ,1000,0.01827
118,118,Phool Makhana,BB Popular,120,95,25,20.83,100 g - Pouch,100 g ,,100 g ,100,0.95
119,119,Raisins/Ona Drakshi - Indian,BB Popular,500,279,221,44.2,1 kg - Pouch,1 kg ,,1 kg ,1000,0.279
120,120,Fennel/Saunf/Sompu - Big,BB Popular,80,57,23,28.75,100 g ,100 g ,,100 g ,100,0.57
121,121,Ghee/Tuppa,Amul,3130,3130,0,0,5 L ,5 L ,,5 L ,5000,0.626
122,122,Mustard/Sasive/Rai - Small,BB Royal,60,38,22,36.67,200 g ,200 g ,,200 g ,200,0.19
123,123,Phool Makhana,BB Royal,300,247,53,17.67,200 g ,200 g ,,200 g ,200,1.235
124,124,Superlite Advanced Oil - Sunflower,Sundrop,489,479.22,9.78,2,3 L - Can,3 L ,,3 L ,3000,0.15974
125,125,Basmati Rice/Basmati Akki - Dubar,India Gate,164,133,31,18.9,1 kg - Pouch,1 kg ,,1 kg ,1000,0.133
126,126,Salt/Uppu - Iodised,Aashirvaad,25,16,9,36,1 kg - Pouch,1 kg ,,1 kg ,1000,0.016
127,127,Maida,BB Super Saver,31,22,9,29.03,500 g ,500 g ,,500 g ,500,0.044
128,128,Coconut Oil,Mr. Gold,265,147,118,44.53,1 L ,1 L ,,1 L ,1000,0.147
129,129,Tamarind/Hunisehannu/Imli - Seedless,BB Popular,300,174,126,42,1 kg - Pouch,1 kg ,,1 kg ,1000,0.174
130,130,Tamil Ponni Boiled - Rice,BB Royal,1900,1678,222,11.68,26 kg - Bag,26 kg ,,26 kg ,26000,0.064538462
131,131,"Lite - 15% Low Sodium Iodised Salt, Helps Blood Pressure & For Healthy Lifestyle",Tata Salt,50,47,3,6,1 kg - Pouch,1 kg ,,1 kg ,1000,0.047
132,132,Basmati Rice/Basmati Akki - Rozana Super 90,Daawat,98,87.63,10.37,10.58,1 kg ,1 kg ,,1 kg ,1000,0.08763
133,133,Organic - Sona Masoori Raw Rice,BB Royal,2000,1534,466,23.3,2x10 kg - Multipack,2*10 kg ,"(20, 'kg')",20 kg,20000,0.0767
134,134,HMT Kolam Rice/Akki,BB Royal,475,374,101,21.26,5 kg - (12 + Months Old),5 kg ,,5 kg ,5000,0.0748
135,135,Mustard/Sasive/Rai - Big,BB Royal,300,162,138,46,1 kg ,1 kg ,,1 kg ,1000,0.162
136,136,"Chilli - Guntur, Stemless",BB Royal,400,253,147,36.75,500 g ,500 g ,,500 g ,500,0.506
137,137,MTR Hingh Powder,MTR,90,72,18,20,50 gm ,50 gm ,,50 gm ,50,1.44
138,138,Cow Desi Ghee/Tuppa,Fresho Organic,2600,1658,942,36.23,2x1 L - (Multipack),2*1 L ,"(2, 'L')",2 L,2000,0.829
139,139,Organic - Chana Brown/Kadale Kaalu,BB Royal,33,30,3,9.09,200 g ,200 g ,,200 g ,200,0.15
140,140,Rock Salt/Uppu,Tata Salt,120,88.8,31.2,26,1 kg - Pouch,1 kg ,,1 kg ,1000,0.0888
141,141,Dates/Kharjura - Deseeded,Lion,149,149,0,0,500 g - Cup,500 g ,,500 g ,500,0.298
142,142,Jeera/Jeerige - Whole,Catch,280,215.6,64.4,23,200 g ,200 g ,,200 g ,200,1.078
143,143,High Aroma Cow Ghee,Amul,1450,1425.06,24.94,1.72,2 x 1 L - Multipack,2*1 L ,"(2, 'L')",2 L,2000,0.71253
144,144,Active - Pro Weight Watchers,Saffola,480,363,117,24.38,3x1 L - Multipack,3*1 L ,"(3, 'L')",3 L,3000,0.121
145,145,Pista Magaj - Plain Kernel,BB Royal,1500,1334,166,11.07,500 g ,500 g ,,500 g ,500,2.668
146,146,Kabuli Chana/Kabuli Kadale,Tata Sampann,319,299.86,19.14,6,1 kg - Pouch,1 kg ,,1 kg ,1000,0.29986
147,147,Lobia/Alasandee Kaalu - Red,BB Royal,30,29,1,3.33,200 g - Pouch,200 g ,,200 g ,200,0.145
148,148,"Organic - Mustard/Sasive/Rai, Small",BB Royal,21,20,1,4.76,100 g ,100 g ,,100 g ,100,0.2
149,149,Pure Ghee,Fresho,1600,1379,221,13.81,2x1 L - Multipack,2*1 L ,"(2, 'L')",2 L,2000,0.6895
150,150,Sabudana - White Medium,BB Royal,150,130,20,13.33,1 kg - Pouch,1 kg ,,1 kg ,1000,0.13
151,151,Til/Ellu - White,BB Royal,500,356,144,28.8,1 kg ,1 kg ,,1 kg ,1000,0.356
152,152,Organic - Cinnamon/Chakke,BB Royal,61,39.35,21.65,35.49,50 g ,50 g ,,50 g ,50,0.787
153,153,Turmeric Powder/Arisina Pudi,Tata Sampann,180,153,27,15,500 g ,500 g ,,500 g ,500,0.306
154,154,Cumin/Jeera/Jeerige - Whole,BB Popular,500,360,140,28,500 g ,500 g ,,500 g ,500,0.72
155,155,Basmati Rice/Basmati Akki - Feast Rozzana,India Gate,118,98,20,16.95,1 kg - Pouch,1 kg ,,1 kg ,1000,0.098
156,156,Hommade - Coconut Milk,Dabur,225,203.06,21.94,9.75,3x200 ml - Multipack,3*200 ml ,"(600, 'ml')",600 ml,600,0.338433333
157,157,Besan Fine/Kadale Hittu,BB Royal,150,93,57,38,1 kg - Pouch,1 kg ,,1 kg ,1000,0.093
158,158,Powder - Tikhalal Chilly,Everest,660,660,0,0,1 kg - Pouch,1 kg ,,1 kg ,1000,0.66
159,159,Jaggery - Bucket,BB Royal,100,65,35,35,900 g ,900 g ,,900 g ,900,0.072222222
160,160,Organic Kabuli Chana/Kabuli Kadale,BB Royal,270,249,21,7.78,1 kg ,1 kg ,,1 kg ,1000,0.249
161,161,Horse Gram/Hurali Kaalu,BB Royal,36,33,3,8.33,200 g - Pouch,200 g ,,200 g ,200,0.165
162,162,Masoor Dal/Mysore Bele,BB Royal,37,28,9,24.32,200 g ,200 g ,,200 g ,200,0.14
163,163,Turmeric Powder,MTR,81,73,8,9.88,250 Gm ,250 Gm ,,250 Gm ,250,0.292
164,164,Jaggery/Bella - Kolhapuri,BB Royal,112,95,17,15.18,900 g ,900 g ,,900 g ,900,0.105555556
165,165,"Sona Masuri Raw Rice/Akki - 12 Months, Pesticide Free",Safe Harvest,525,430.5,94.5,18,5 kg ,5 kg ,,5 kg ,5000,0.0861
166,166,Atta - Chakki Fresh,Fortune ,74,60.36,13.64,18.43,1 kg ,1 kg ,,1 kg ,1000,0.06036
167,167,Ragi Flour/Ragi Hittu,BB Super Saver,90,54,36,40,1 kg ,1 kg ,,1 kg ,1000,0.054
168,168,Organic - Methi/Menthya,BB Royal,21,19,2,9.52,100 g ,100 g ,,100 g ,100,0.19
169,169,Organic - Pumpkin Seeds/Kumbalakayi Bija,BB Royal,475,404,71,14.95,500 g ,500 g ,,500 g ,500,0.808
170,170,Ginger Garlic Paste,Mother's Recipe,119,89.25,29.75,25,500 g ,500 g ,,500 g ,500,0.1785
171,171,Tasty - Pro Fitness Conscious Edible Oil,Saffola,450,414,36,8,3X1 L - Multipack,3*1 L ,,3 L,3000,0.138
172,172,"Almond/Badam - Californian, Giri",Super Saver,1000,669,331,33.1,1 kg ,1 kg ,,1 kg ,1000,0.669
173,173,"Poha/Avalakki - Extra Thick, Mota",BB Royal,100,70,30,30,1 kg ,1 kg ,,1 kg ,1000,0.07
174,174,Organic Whole Wheat Atta,Aashirvaad,75,65,10,13.33,1 kg ,1 kg ,,1 kg ,1000,0.065
175,175,Basmati Rice/Basmati Akki - Classic,India Gate,235,222.72,12.28,5.23,1 kg - Pouch,1 kg ,,1 kg ,1000,0.22272
176,176,Organic - Black Pepper/Kali Mirchi,BB Royal,500,400,100,20,2x200 g - Multipack,2*200 g ,"(400, 'g')",400 g,400,1
177,177,Chilli Powder,Aashirvaad,250,175,75,30,500 g ,500 g ,,500 g ,500,0.35
178,178,Masala - Sambar Powder,MTR,130,114,16,12.31,200 g - Pouch,200 g ,,200 g ,200,0.57
179,179,Idli Rava,Vijay,58,56.84,1.16,2,1 kg ,1 kg ,,1 kg ,1000,0.05684
180,180,Oil - Mantra GroundNut,Idhayam,246,246,0,0,1 L - Pouch,1 L ,,1 L ,1000,0.246
181,181,Green Peas,BB Royal,70,35,35,50,200 g - Pouch,200 g ,,200 g ,200,0.175
182,182,Organic Cow Ghee/Tuppa,AKSHAYAKALPA,750,750,0,0,490 ml ,490 ml ,,490 ml ,490,1.530612245
183,183,Idli Sooji/Rava,BB Royal,60,47,13,21.67,1 kg - Pouch,1 kg ,,1 kg ,1000,0.047
184,184,Coconad - Pure Coconut Oil,Klf ,185,175.75,9.25,5,1 L ,1 L ,,1 L ,1000,0.17575
185,185,Organic - Maida,BB Royal,170,116,54,31.76,2x1 kg - (Multipack),2*1 kg ,"(2, 'kg')",2 kg,2000,0.058
186,186,Coriander Powder,Tata Sampann,155,131.75,23.25,15,500 g ,500 g ,,500 g ,500,0.2635
187,187,Rice/Akki - Jeera,India Gate,135,114.07,20.93,15.5,1 kg ,1 kg ,,1 kg ,1000,0.11407
188,188,Mustard Oil,Patanjali,145,145,0,0,1 L - Bottle,1 L ,,1 L ,1000,0.145
189,189,Sundrop Super Lite Advanced - Sunflower Oil Pouch,Sundrop,180,180,0,0,1 L - Pouch,1 L ,,1 L ,1000,0.18
190,190,Roasted Sooji/Rava,BB Royal,40,30,10,25,500 g - Pouch,500 g ,,500 g ,500,0.06
191,191,Basmati Rice - Rozana Premium,BB Royal,1150,874.95,275.05,23.92,2x5 Kg - Multipack,2*5 Kg ,"(10, 'Kg')",10 Kg,10000,0.087495
192,192,Organic - Chia Seeds,BB Royal,205,99,106,51.71,200 g ,200 g ,,200 g ,200,0.495
193,193,Khus Khus/Posta Dana,BB Royal,2000,1197,803,40.15,500 g ,500 g ,,500 g ,500,2.394
194,194,Basmati Rice/Basmati Akki - Biryani,Daawat,1170,1011.16,158.84,13.58,5 kg - Bag,5 kg ,,5 kg ,5000,0.202232
195,195,"Masoor Dal/Mysore Bele - Whole, Unpolished",Tata Sampann,159,154.23,4.77,3,1 kg - Pouch,1 kg ,,1 kg ,1000,0.15423
196,196,Rice Bran Health Physically Refined Oil,Fortune ,775,708.4,66.6,8.59,5 L - Jar,5 L ,,5 L ,5000,0.14168
197,197,Ragi Flour,Vijay,68,66.64,1.36,2,1 kg ,1 kg ,,1 kg ,1000,0.06664
198,198,Rice Bran Oil - Physically Refined,Sunpure ,290,219.76,70.24,24.22,2 X 1 ltr - Multipack,2*1 ltr ,,2 ltr,2000,0.10988
199,199,Cashew/Godambi - Broken,BB Popular,1200,845,355,29.58,1 kg ,1 kg ,,1 kg ,1000,0.845
200,200,Medium Poha,Vijay,88,86.24,1.76,2,1 kg ,1 kg ,,1 kg ,1000,0.08624
201,201,Sooji/Bombay Rava,BB Super Saver,31,22,9,29.03,500 g ,500 g ,,500 g ,500,0.044
202,202,Wheat Dalia/Lapsi rava,BB Royal,80,55,25,31.25,1 kg - Pouch,1 kg ,,1 kg ,1000,0.055
203,203,Organic - Sugar/Sakkare,BB Royal,110,60,50,45.45,1 kg ,1 kg ,,1 kg ,1000,0.06
204,204,Green Moong//Hesaru Kaalu - Whole,BB Super Saver,160,140,20,12.5,1 kg ,1 kg ,,1 kg ,1000,0.14
205,205,Masoor Dal/Mysore Bele,BB Popular,750,519,231,30.8,5 kg ,5 kg ,,5 kg ,5000,0.1038
206,206,Organic - Byadagi Chilli Whole,BB Royal,199,194,5,2.51,200 g ,200 g ,,200 g ,200,0.97
207,207,Black Raisins/Ona Drakshi - Seedless,BB Royal,120,92,28,23.33,200 g - Pouch,200 g ,,200 g ,200,0.46
208,208,Organic - Cashew/Godambi Whole Bold,BB Royal,1499,1162,337,22.48,1 kg ,1 kg ,,1 kg ,1000,1.162
