,Sr.No.,Grocery_Name,Brand_Name,MRP_Price,Discount_Price,Total Disc,Percetage Disc,Quantity,strip_qua,Only_Numeric_Part,Quantity_upd,Converted_Quantity,Price_per_unit(gm/ml/pc)
877,877,Natureâ€™s Superfoods Multi Millet Mix - Rich In Dietary Fibre,Aashirvaad,160,136,24,15,1 kg - Pouch,1 kg ,,1 kg ,1000,0.136
878,878,Organic - Sesame,Pro Nature,142,134.9,7.1,5,200 g - Pouch,200 g ,,200 g ,200,0.6745
879,879,Green Chana,BB Royal,170,96,74,43.53,500 g - Pouch,500 g ,,500 g ,500,0.192
880,880,Turmeric Powder/Arisina Pudi,Eastern,110,84,26,23.64,2x250 g - Multipack,2*250 g ,"(500, 'g')",500 g,500,0.168
881,881,Organic - Jaggery/Bella Powder,Turn Organic,90,90,0,0,500 g - Pouch,500 g ,,500 g ,500,0.18
882,882,Veg Manchurian Masala,Chings,50,50,0,0,5 x 20 g - Multipack,5*20 g ,"(100, 'g')",100 g,100,0.5
883,883,"Refined Groundnut Oil, Primio",Rro,255,255,0,0,1 L - Bottle,1 L ,,1 L ,1000,0.255
884,884,Organic - Barley Flour/Jave Godhi,BB Royal,78,59,19,24.36,500 g ,500 g ,,500 g ,500,0.118
885,885,Pizza Oregano Spice Mix,HappyChef,99,69,30,30.3,75 g ,75 g ,,75 g ,75,0.92
886,886,"Pure & Unrefined Cold Pressed Sesame Gingelly Oil - Naturally, Cholesterol Free, With Rich Aroma & Flavour",Tata Simply Better,649,551.65,97.35,15,1 L ,1 L ,,1 L ,1000,0.55165
887,887,Gold Fried Gram/ Roasted Channa,Vijay,84,84,0,0,500 g ,500 g ,,500 g ,500,0.168
888,888,Bandhani Hing/Compounded Asafoetida - Strong Flavour & Aroma,Tata Sampann,285,250.8,34.2,12,100 g ,100 g ,,100 g ,100,2.508
889,889,Organic Seeds - Mustard/Sasive,Pro Nature,84,75.6,8.4,10,200 g - Pouch,200 g ,,200 g ,200,0.378
