,Grocery_Name,Discount_Price,MRP_Price,Brand_Name,Quantity
71,"Special Blend Tea - 10% Extra Strong Leaves, Perfect Aroma & Taste",₹115,₹115,Tata Tea Agni,500 g - Pack
72,Probiotic Health Drink - Light,₹380,₹380,Yakult,4x65 ml - Multipack
73,100 % Apple Juice - With No Added Sugar and Preservative,₹302.2,₹465,Real Activ,3x1 L - Multipack
74,100% Orange Juice,₹435,₹435,Tropicana,3x1 L - Multipack
75,"Coconut Water - Refreshing Flavour, Vital Electrolytes",₹174.8,₹200,Paper Boat,4x200 ml - Multipack
76,"Green Tea - Lemon & Honey, Rich In Antioxidants",₹437.5,₹625,Tetley,140 g - (100 Bags x 1.4 g each)
77,Soft Drink - Lime & Lemon Flavoured,₹34,₹40,Limca ,750 ml - PET Bottle
78,Strong Coffee,₹80,₹160,LEVISTA,50 g - Pouch
79,Green Tea - Ginger Mint Lemon,₹392.7,₹510,Tetley,3x25 Teabags - Multipack
80,Coconut Water,₹1368,₹1440,Raw Pressery,24x200 ml - Multipack
81,"Junior - Health Drink, Vanilla - Specialized Nutrition For Kids",₹450,₹570,Horlicks,1 Kg 
82,100% Tender Coconut Water - No Added Sugar,₹190.72,₹298,Storia,2 x 1 L - (Multipack)
83,"Fruit Juice - Delight, Apple",₹279,₹339,Tropicana,3x1 L - Multipack
84,Premium Tea - Strong Flavour With Long Lasting Taste,₹369,₹410,Tata Tea Chakra Gold,500 g 
85,"Nutrition & Health Drink - Improves Concentration & Memory, Chocolate Flavour",₹1071.84,₹1218,Complan,2x1 Kg - Multipack
86,"Soda - Fizz, Jeera Masala",₹60,₹60,Bindu,1 L - Bottle
87,Lychee - Litchi Fruit Juice,₹76,₹80,Paper Boat,4x150 ml - Multipack
88,Women'S Health & Nutrition Drink - Chocolate Flavour,₹678.9,₹730,Horlicks,2x400 g - Multipack
89,"Diabetes Plus - Helps Manage Blood Sugar, Vanilla",₹711,₹790,Horlicks,400 g - Cartoon
90,Women'S Health & Nutrition Drink - Caramel Flavour,₹660.3,₹710,Horlicks,2x400 g - Multipack
91,Fruit Juice - Mixed Fruit Delight,₹210,₹250,Tropicana,2x1 L - Multipack
92,"Fruit Juice - Delight, Guava",₹240,₹240,Tropicana,12x200 ml - Multipack
93,Dust Tea,₹140,₹140,Tata Tea Agni,500 g 
94,Energy & Nutrition Drink - 3X More Stamina,₹494,₹599,Boost,500 g - (Pack of 2)
95,Health & Nutrition Drink - Classic Malt,₹658,₹698,Horlicks,2 x 450 g - Multipack
96,Chocolate Syrup,₹285,₹300,Hersheys ,3x200 g - Multipack
97,Natural Mineral Water,₹756,₹840,Himalayan,12x1 L - Multipack
98,Soft Drink,₹67,₹75,Pepsi,1.5 L - Bottle
99,"Mixed Fruit - Rich In Fibre, Vitamin C & E, 100% Indian Fruit & 0% Concentrate",₹296.4,₹390,B Natural,1 L - (Pack of 3)
100,Fruit Power Juice - Mixed Fruits,₹343.38,₹384,Real,3X1 L - Multipack
101,Hot Chocolate Drink Powder Mix,₹561,₹660,Cadbury,3 x 200 g - Multipack
102,Diabetes Care Specialized Nutrition Drink - Vanilla Delight Flavour,₹1565,₹1635,Ensure,1 kg - Box
103,"Nutritional Drink Mix For Adults For Everyday Health With High Protein, To Increase Strength & Energy - Rich Chocolate",₹1085,₹1235,Protinex ,750 g - Carton
