,Grocery_Name,Discount_Price,MRP_Price,Brand_Name,Quantity
202,Wheat Dalia/Lapsi rava,₹55,₹80,BB Royal,1 kg - Pouch
203,Organic - Sugar/Sakkare,₹60,₹110,BB Royal,1 kg 
204,Green Moong//Hesaru Kaalu - Whole,₹140,₹160,BB Super Saver,1 kg 
205,Masoor Dal/Mysore Bele,₹519,₹750,BB Popular,5 kg 
206,Organic - Byadagi Chilli Whole,₹194,₹199,BB Royal,200 g 
207,Black Raisins/Ona Drakshi - Seedless,₹92,₹120,BB Royal,200 g - Pouch
208,Organic - Cashew/Godambi Whole Bold,₹1162,₹1499,BB Royal,1 kg 
209,Basmati Rice/Basmati Akki - Rozana Gold,₹429,₹560,Daawat,5 kg - Pouch
210,Lobia/Alasandee Kaalu - White,₹59,₹80,BB Royal,500 g - Pouch
211,Fried Gram - Whole/Huri Kadale,₹159,₹180,BB Royal,1 kg 
212,Masala - Bisibelebath Powder,₹65,₹80,MTR,100 g - Pouch
213,Oil - Groundnut,₹1106.95,₹1275,Dhara ,5 L - Can
214,Chakki-Fresh-Wheat-Atta/Godihittu - Fortified,₹418.42,₹550,BB Royal,10 kg 
215,Wheat - Sharbati,₹59,₹70,BB Royal,1 kg - Pouch
216,Ponni Raw Rice  (12 + Months Old),₹325,₹350,BB Royal,5 kg - Pouch
217,Filtered Groundnut Oil,₹204.95,₹240,Mr. Gold,1 L - Pouch
218,"100% Natural & Pure Groundnut Oil - Unrefined, Cold-Pressed",₹1662.5,₹1750,Nature Way,5 L 
219,Palakkad Red Matta Boiled Rice - Unda,₹1596,₹1820,BB Royal,26 kg - Bag
220,Thick Poha,₹83.3,₹85,Vijay,1 kg 
221,"Cow's Pure Ghee - Source Of Calcium, Boosts Overall Health",₹3575,₹3575,Sri Sri Tattva,5 L - Tin
222,Multigrain Atta - Fortified,₹570.63,₹660,BB Royal,2x5 kg - Multipack
223,Double Roasted Rava,₹110,₹110,Double Horse,1 kg 
224,Besan/Kadale Hittu,₹45,₹60,BB Super Saver,500 g 
225,"Organic - Foxtail Millet / Italian, Thinai Rice",₹62,₹72,BB Royal,500 g 
226,Organic Walnut/Akrodu Kernels,₹860,₹1099,BB Royal,500 g 
227,Whole Wheat Atta,₹651.9,₹930,24 Mantra Organic,3x5 kg - Multipack
228,Rajma/Capparadavare - White/Chitra,₹47,₹55,BB Royal,200 g - Pouch
229,"Pistachios - Roasted & Salted, Premium Californian",₹699.16,₹790,Happilo,2x200 g - Multipack
230,Ponni Raw Rice - Super Premium,₹1638,₹1950,BB Royal,26 kg - (18 + Months  Old)
231,Cashew/Godambi - Split,₹466,₹900,BB Royal,500 g 
232,Refined Oil - Rice Bran,₹112.02,₹140,Mr. Gold,1 L - Pouch
233,Bombay Sooji,₹68.6,₹70,Vijay,1 kg 
234,Chilli Powder,₹145,₹170,MTR,250 Gm 
235,Jaggery/Bella Powder/Nattu Sakkarai,₹44,₹60,BB Royal,500 g 
236,Gold Palmolein Oil,₹95,₹125,RUCHI,870 g - Pouch
237,Organic - Little Millet/Samai Rice,₹278,₹349,BB Royal,2 kg 
238,Organic Ragi Flour,₹314.1,₹349,BB Royal,5 Kg 
239,Super Saver Palakkad Red Matta Boiled Rice,₹598,₹650,Super Saver,10 kg 
240,"Walnuts - Kernels, Premium 100% Natural Kashmiri",₹773.5,₹910,Happilo,2x200 g - Multipack
241,Organic - Cloves/Lavanga,₹46,₹49,BB Royal,20 g 
242,Mixed Dry fruits,₹567,₹750,BB Royal,500 g - Pouch
243,Organic - Rice Flour,₹126,₹198,BB Royal,2x1 kg - Multipack
244,Tilnad Sesame Oil,₹422.52,₹430,Klf ,1 L 
245,Vadi Matta Rice,₹379,₹480,Double Horse,5 kg - Bag
246,"Kashmiri Chilli Powder - Perfect Colour, Smell & Taste",₹330,₹540,Eastern,2x250 g - Multipack
247,Powder - Green Coriander,₹200,₹200,Everest,500 g - Pouch
248,"Rice/Akki - Steam, Sona Masoori",₹59,₹70,BB Popular,1 kg - Pouch
249,Soya - Mini Chunk,₹57,₹60,Nutrela,200 g - 0
250,Unpolished Urad Dal - Split,₹217.28,₹224,Tata Sampann,1 kg 
251,Organic - Urad Whole Gota Unpolished,₹724.5,₹805,BB Royal,5 kg 
252,Refined Oil - Groundnut,₹220,₹220,Safal,1 L - Pouch
253,Idli/Idly Rice,₹526,₹650,BB Popular,10 kg 
254,Masala - Rasam Powder,₹119,₹135,MTR,200 g - Pouch
255,100% Natural Premium Californian Almonds - Value Pack,₹966.6,₹1350,Happilo,1 kg 
256,Basmati Rice - Super,₹138.86,₹220,Daawat,1 kg - Pouch
257,GTS Original Vada Colam Raw Rice,₹877.5,₹1080,Bullet,10 kg 
258,"Pink Salt - With 100% Natural Sendha Salt, For Everyday Cooking, Iodised Rock Salt",₹72,₹80,Tata Salt,1 kg - Pouch
259,Dates/Kharjura,₹170,₹170,Lion,500 g - Buy 1 Get 1 Free
260,Organic - Channa Dal Unpolished,₹65,₹77,BB Royal,500 g 
261,Organic - Brown Rice,₹798,₹960,BB Royal,2x5 kg - Multipack
262,Ponni Boiled Rice,₹1386,₹1800,BB Popular,26 kg - Bag
263,Pure Cow Ghee,₹1450,₹1450,Gowardhan,2 x 1 L - Multipack
264,Rice Flour/Akki Hittu,₹22,₹28,BB Super Saver,500 g 
265,Tur/Arhar Dal,₹510.4,₹580,24 Mantra Organic,2x1 kg - Multipack
266,Refined Palmolein Oil - Imported,₹93.79,₹101,Palmpure,1 L 
267,Asafoetida - Powder,₹310,₹310,Ssp,10 g - Jar
268,"Masala-Ae-Magic - Seasoning With Aromatic Roasted Spices, Enhances Flavour",₹51,₹60,MAGGI ,6 g - (Pack of 12)
269,Masala - Garam,₹200,₹200,Everest,200 g 
270,Cow Ghee/Tuppa,₹2925,₹2925,Patanjali,5 L 
271,Sugar Release Control Atta/Godihittu,₹338.8,₹385,Aashirvaad,5 kg 
272,Kabuli Chana/Kabuli Kadale,₹207,₹230,BB Super Saver,1 kg 
273,Organic - Idly/Idli Rice,₹680,₹838,BB Royal,2x5 kg - Multipack
274,Rajma/Capparadavare - Kashmiri,₹39,₹40,BB Royal,200 g - Pouch
275,Sugar,₹309.6,₹435,24 Mantra Organic,3x1 kg - Multipack
276,Sonamasuri Rice,₹1203.6,₹1770,24 Mantra Organic,3x5 kg - Multipack
277,Organic - Jowar Flour,₹162,₹190,BB Royal,2x1 kg - Multipack
278,"100% Pure Premium Cashews Whole - Premium Quality Kaju, Rich In Protein, Magnesium, & Phosphorus, Premium Nuts & Dry Fruits|",₹1100.85,₹1170,Tata Sampann,1 kg - Pouch
279,Walnut/Akhrot- Kernels,₹307,₹400,BB Royal,200 g - Vacuum Packed
280,Schezwan Fried Rice Masala,₹100,₹100,Chings,10 x 20 g - Multipack
281,Refined - Sunflower Oil,₹577.5,₹725,Dhara ,5 L - Can
282,Coriander Seeds/Kottambari Beeja,₹49,₹80,BB Popular,200 g 
283,Til/Ellu - Black,₹77,₹100,BB Royal,200 g 
284,Chilli Powder/Menasina Pudi,₹277.2,₹360,Tata Sampann,500 g 
285,Himalayan Pink Rock Salt/Uppu - Crystal,₹99,₹110,GoodDiet,1 kg 
286,Coconut Milk - UHT Natural,₹320,₹320,Kara,4x200 ml - Multi Pack
287,Powder - Kashmirilal,₹255,₹255,Everest,200 g 
288,Anjeer/Figs/Atti Hannu,₹931,₹1500,BB Royal,500 g 
289,Pure Cow Ghee,₹692,₹770,Gowardhan,2 x 500 ml - Multipack
290,Gingelly Oil,₹379.71,₹415,Kpl Shudhi,1 L - Bottle
291,"Double Roasted Suji Rava - Less Moisture, More Quantity, Made From MP Wheat",₹73.15,₹77,Aashirvaad,1 kg 
292,White Peas/Bili Batani,₹118,₹180,BB Royal,1 kg - Pouch
293,Ghee/Tuppa,₹375,₹450,Milky Mist,500 ml - Pet Jar
294,"Multigrain Atta - 7 Grains, High Fibre Flour, High Protein Atta",₹580,₹734,Pillsbury,2 x 5 kg - Multipack
295,Premium Natural Californian Almonds,₹421,₹550,Happilo,2x200 g - Multipack
296,Iodized Crystal Salt/Uppu,₹19.8,₹22,Aashirvaad,1 kg 
297,"Dry Dates/Kharjura - Chuwara, Kharik",₹44,₹80,BB Royal,100 g - Pouch
298,Powder - Cumin,₹71.25,₹75,MTR,100 g - Pouch
299,Cardamom/Elaichi - Green,₹228,₹250,BB Royal,50 g 
300,Brown Chana,₹90,₹130,BB Super Saver,1 kg 
301,Sona Masoori Steam Rice/Akki,₹62,₹70,Super Saver,1 kg 
302,Active - Goodness Of Olive Oil,₹1217,₹1395,Oleev,5 L - Jar
303,Rice Bran Oil Physically Refined,₹119.87,₹143,Freedom,1 L - Pouch
304,Organic - Ragi Whole/Finger Millet,₹134,₹160,BB Royal,2x1 kg - Multipack
305,"Cashew/Godambi - Whole,Standy Ziplock Pouch",₹864,₹2000,BB Royal,500 gm - (Pack of 500x2)
306,"Almond/Badam - Californian, Giri Bold",₹1024,₹1500,BB Royal,1 kg - Pouch
307,White Poha - Thin,₹55.86,₹57,Tata Sampann,500 g 
308,Poppy Seed,₹618,₹618,JK,250 g 
309,Chana Dal,₹54,₹63,BB Super Saver,500 g 
310,Jeera/Gobind Bhog Rice/Akki,₹491,₹600,Super Saver,5 kg 
311,Mustard/Sasive/Rai - Big,₹32,₹60,BB Popular,200 g 
312,Palakkad Red Matta Boiled Rice - Vadi,₹373,₹400,BB Royal,5 kg - Pouch
313,Organic - Bay Leaf/Lavangada Ele,₹11,₹13,BB Royal,20 g 
314,Active Refined Cooking oil | Blended Rice Bran & SoyaBean oil | Pro Weight Watchers,₹649,₹805,Saffola,5 L - Jar
315,Masala - Vangibath Powder,₹155,₹155,MTR,200 g - Pouch
316,"Green Moong/Hesaru Kaalu - Split, Chilka",₹164,₹200,BB Royal,1 kg - Pouch
317,"Extra Virgin Olive Oil- 100% Natural and Cold Extracted- Perfect for Salad, Paratha, Marinade - Imported from Spain",₹1473.99,₹1999,Figaro,1 L - Pet Bottle
318,Organic Kodo Millet - Varagu Rice,₹70,₹79,BB Royal,500 g 
319,Active Oil,₹730.12,₹747,Oleev,3x1 L - Multipack
320,HMT Kolam Raw Rice/Akki,₹78,₹90,Super Saver,1 kg 
321,Organic Tamarind/Hunisehannu,₹179,₹180,BB Royal,500 g 
322,Cold Pressed Pure Mustard Oil,₹432.14,₹620,Dabur,2 x 1 L - Multipack
323,Oil - Mustard (Kachi Ghani),₹142.06,₹170,Dhara ,1 L - Bottle
324,Fennel/Saunf/Sompu - Small,₹62,₹80,BB Popular,100 g 
325,Powder - Sambar,₹125.4,₹132,Sakthi,200 g - Pouch
