,Sr.No.,Grocery_Name,Brand_Name,MRP_Price,Discount_Price,Total Disc,Percetage Disc,Quantity,strip_qua,Quantity_upd,Converted_Quantity,Price_per_unit(gm/ml/pc)
38,38,Namkeen - Salted Peanut,Haldiram's,60.0,60.0,0.0,0.0,6x45 g - Multipack,6*45 g ,270 g,270.0,0.2222222222222222
39,39,Namkeen - Masala Peanut,Haldiram's,60.0,60.0,0.0,0.0,6x50 g - Multipack,6*50 g ,300 g,300.0,0.2
40,40,"Oats - Natural Wholegrain, Nutritious Breakfast Cereals, Dalia Porridge, Easy To Cook",Quaker,79.0,72.0,7.0,8.86,400 g - Pouch,400 g ,400 g ,400.0,0.18
41,41,"Hot N Sour Veggie Overload Quikie Soup - Multigrain, No Maida",Rasna,120.0,120.0,0.0,0.0,12 x 15g - Multipack,12*15g ,180 g,180.0,0.6666666666666666
42,42,Chocolate Flavour Creme Sandwich Biscuit,Cadbury Oreo,159.0,130.38,28.620000000000005,18.0,481.25 g - (5 Packs x 96.25 g Each),481.25 g ,481.25 g ,481.25,0.2709194805194805
43,43,Dark Fantasy - Choco Fills,Sunfeast,420.0,279.0,141.0,33.57,3x300 g - (Multipack),3*300 g ,900 g,900.0,0.31
44,44,Bounce Biscuits - Orange Creme Cookies,Sunfeast,60.0,57.0,3.0,5.0,6x58 g - Multipack,6*58 g ,348 g,348.0,0.16379310344827586
45,45,Breakfast Mix - Rava Idli,MTR,215.0,185.0,30.0,13.95,1 kg - Pouch,1 kg ,1 kg ,1000.0,0.185
46,46,Marie Gold Biscuits,Britannia,120.0,114.0,6.0,5.0,6x120 g - Multipack,6*120 g ,720 g,720.0,0.15833333333333333
47,47,Krackjack,Parle,120.0,90.0,30.0,25.0,700 g ,700 g ,700 g ,700.0,0.12857142857142856
48,48,Good Day Butter Cookies,Britannia,125.0,100.0,25.0,20.0,600 g ,600 g ,600 g ,600.0,0.16666666666666666
49,49,"Muesli Breakfast Cereal - With Multigrain & 21% Fruit, Nut & Seeds",Kelloggs,490.0,440.0,50.0,10.2,750 g ,750 g ,750 g ,750.0,0.5866666666666667
50,50,Vermicelli,Anil,51.0,51.0,0.0,0.0,450 g - Pouch,450 g ,450 g ,450.0,0.11333333333333333
51,51,"Chikki, Peanut Bar",Paper Boat,126.0,102.06,23.939999999999998,19.0,3x96g - Multipack,3*96g ,288 g,288.0,0.354375
52,52,Kitkat Coated Wafer Bar - Share Bag,Nestle ,120.0,120.0,0.0,0.0,138.6 g - (9 pcs x 15.4 g Each),138.6 g ,138.6 g ,138.6,0.8658008658008658
53,53,Chocolate Bar,Cadbury Dairy Milk,130.0,114.4,15.599999999999994,12.0,134 g - Family Pack,134 g ,134 g ,134.0,0.8537313432835821
54,54,Vermicelli,MTR,87.0,74.0,13.0,14.94,850 g - Pouch,850 g ,850 g ,850.0,0.08705882352941176
55,55,"Treat Croissant - Vanilla Creme Filling, 100% Veg, Soft",Britannia,120.0,92.16,27.840000000000003,23.2,6x45 g - Multipack,6*45 g ,270 g,270.0,0.3413333333333333
56,56,"Honey Squeezy - 100% Pure, Rich In Nutrients, No Sugar, Boosts Immunity",Dabur,625.0,437.5,187.5,30.0,700 g - (Buy 1 Get 1 Free),700 g ,700 g ,700.0,0.625
57,57,YiPPee! Magic Masala Noodles,Sunfeast,112.0,95.2,16.799999999999997,15.0,2 x 240 g - (Pack of 2),2*240 g ,480 g,480.0,0.19833333333333333
58,58,Hommade - Coconut Milk,Dabur,225.0,203.06,21.939999999999998,9.75,3x200 ml - Multipack,3*200 ml ,600 ml,600.0,0.33843333333333336
59,59,Hazelnut Spread with Cocoa,Nutella,5535.0,5092.2,442.8000000000002,8.0,15x350 g - Multipack,15*350 g ,5250 g,5250.0,0.9699428571428571
60,60,Potato Chips - Classic Salted,Lays,100.0,75.2,24.799999999999997,24.8,2 x 90 g - Multipack,2*90 g ,180 g,180.0,0.4177777777777778
61,61,"Milkybar - Choo, Rich, Strawberry Flavour",Nestle ,5.0,5.0,0.0,0.0,10 g - Pouch,10 g ,10 g ,10.0,0.5
62,62,Nice Time - Sugar Showered Coconut Biscuits,Britannia,150.0,135.38,14.620000000000005,9.75,6x143 g - Multipack,6*143 g ,858 g,858.0,0.1577855477855478
63,63,Premium Bake Rusk,Britannia,100.0,85.5,14.5,14.5,2x273 g - Multipack,2*273 g ,546 g,546.0,0.1565934065934066
64,64,Classic Tomato Chilli,Piknik,120.0,62.4,57.6,48.0,2 X 60 g - Multipack,2*60 g ,120 g,120.0,0.52
65,65,Minis Chocolate Home Treats Pack,Cadbury Dairy Milk,447.0,396.9,50.10000000000002,11.21,3 x 119 g - Multipack,3*119 g ,357 g,357.0,1.111764705882353
66,66,"Fresh Tomato Ketchup - Tasty, Yummy & Healthy",Kissan,150.0,139.0,11.0,7.33,1.1 kg - Pouch,1.1 kg ,1.1 kg ,1100.0,0.12636363636363637
67,67,Monaco Classic,Parle,120.0,90.0,30.0,25.0,700 g ,700 g ,700 g ,700.0,0.12857142857142856
68,68,"Tomato Veggie Overload Quikie Soup - Multigrain, No Maida",Rasna,120.0,120.0,0.0,0.0,12 x 18g - Multipack,12*18g ,216 g,216.0,0.5555555555555556
69,69,ChocLayered Cakes,Cadbury Chocobakes,210.0,173.88,36.120000000000005,17.2,3x114 g - Multipack,3*114 g ,342 g,342.0,0.5084210526315789
70,70,Rice Vermicelli,Anil,80.0,80.0,0.0,0.0,500 g - Pouch,500 g ,500 g ,500.0,0.16
71,71,Frozen Sweet Corn,Fresho,200.0,139.0,61.0,30.5,1 kg - Pouch,1 kg ,1 kg ,1000.0,0.139
72,72,Mom's Magic - Rich Cashew & Almond Cookies,Sunfeast,130.0,96.98,33.019999999999996,25.4,584 g - Pouch,584 g ,584 g ,584.0,0.16606164383561645
73,73,Potato Chips Original Style - Salt Sprinkled,Bingo,60.0,55.2,4.799999999999997,8.0,6x21 g - Multipack,6*21 g ,126 g,126.0,0.4380952380952381
74,74,Mad Angles Achaari Masti - Mango Pickle Flavour Crunchy Triangle Chips Pack,Bingo,100.0,76.5,23.5,23.5,2x117 g - Multipack,2*117 g ,234 g,234.0,0.3269230769230769
75,75,Corn Flakes With Real Almond & Honey,Kelloggs,820.0,656.0,164.0,20.0,2x650 g - Multipack,2*650 g ,1300 g,1300.0,0.5046153846153846
76,76,Dark Fantasy Sandwich Creme Biscuits - Dark Crunch With Choco Creme,Sunfeast,75.0,37.0,38.0,50.67,277.5 g - (3 pcs x 92.5 g),277.5 g ,277.5 g ,277.5,0.13333333333333333
77,77,Kaju Katli / Kaju Barfi Premium Mithai / Sweet,Tasties,249.0,135.0,114.0,45.78,200 g ,200 g ,200 g ,200.0,0.675
78,78,Treat - Orange Biscuits,Britannia,120.0,114.0,6.0,5.0,12x50 g - Multipack,12*50 g ,600 g,600.0,0.19
79,79,Biscuits - Milk Bikis Milk Sandwich,Britannia,90.0,85.5,4.5,5.0,3x100 g - Multi Pack,3*100 g ,300 g,300.0,0.285
80,80,Roast Almond Chocolate Bar,Cadbury Dairy Milk,360.0,335.16,24.839999999999975,6.9,8 x 36 g - Multipack,8*36 g ,288 g,288.0,1.16375
81,81,Original Rava Idli Ready Mix,MTR,130.0,115.0,15.0,11.54,500 g - Pouch,500 g ,500 g ,500.0,0.23
82,82,Dark Fantasy Sandwich Creme Biscuits - Vanilla,Sunfeast,100.0,50.0,50.0,50.0,277.5 g - (3 pcs x 92.5 g),277.5 g ,277.5 g ,277.5,0.18018018018018017
83,83,Chocos - Moons & Stars,Kelloggs,720.0,432.0,288.0,40.0,1.2 Kg ,1.2 Kg ,1.2 Kg ,1200.0,0.36
84,84,Namkeen - Lite Chiwda,Haldiram's,160.0,160.0,0.0,0.0,4x150 g - Multipack,4*150 g ,600 g,600.0,0.26666666666666666
85,85,Fruit & Nut Chocolate Bar,Cadbury Dairy Milk Silk,555.0,484.51,70.49000000000001,12.7,3 x 137 g - Multipack,3*137 g ,411 g,411.0,1.1788564476885643
86,86,"Honey - 100% Pure, No Sugar Adulteration",Dabur,610.0,454.45,155.55,25.5,1.3 kg - Pet Bottle,1.3 kg ,1.3 kg ,1300.0,0.34957692307692306
87,87,French - Fries,McCain,315.0,315.0,0.0,0.0,1.25 kg ,1.25 kg ,1.25 kg ,1250.0,0.252
88,88,Hot & Sweet - Tomato Chilli Sauce / Ketchup,MAGGI ,165.0,165.0,0.0,0.0,1 kg - Bottle,1 kg ,1 kg ,1000.0,0.165
89,89,"Tomato Ketchup - Classic Blend, Rich & Thick Condiment",Del Monte ,125.0,95.2,29.799999999999997,23.84,900 g - Spout Pouch,900 g ,900 g ,900.0,0.10577777777777778
90,90,Namkeen - Mixture,Haldiram's,45.0,45.0,0.0,0.0,200 g - Pouch,200 g ,200 g ,200.0,0.225
91,91,Rich Cocoa 70% Dark Chocolate Bar,Cadbury Bournville,330.0,297.53,32.47000000000003,9.84,3 x 80 g - Multipack,3*80 g ,240 g,240.0,1.2397083333333332
92,92,Madras Mixture,Townbus,55.0,55.0,0.0,0.0,135 g ,135 g ,135 g ,135.0,0.4074074074074074
93,93,"Nutri Choice Seed Biscuits -  0% Maida, High In Fibre",Britannia,150.0,127.5,22.5,15.0,6 x 75 g - Multipack,6*75 g ,450 g,450.0,0.2833333333333333
94,94,Soya Sticks,Haldiram's,45.0,45.0,0.0,0.0,200 g - Pouch,200 g ,200 g ,200.0,0.225
95,95,"Whole Wheat Lachha/Paratha, 5 pcs",iD Fresho,190.0,169.1,20.900000000000006,11.0,2x400 g - Multipack,2*400 g ,800 g,800.0,0.21137499999999998
96,96,50-50 Sweet & Salty Biscuits,Britannia,120.0,114.0,6.0,5.0,12x69 g - Multipack,12*69 g ,828 g,828.0,0.13768115942028986
97,97,Malabar Parota,iD Fresho,180.0,160.0,20.0,11.11,2x400 g - Multipack,2*400 g ,800 g,800.0,0.2
98,98,Namkeen - Tasty Nuts,Haldiram's,80.0,80.0,0.0,0.0,400 g - Pouch,400 g ,400 g ,400.0,0.2
99,99,Instant Popcorn - Classic Salted,ACT II,30.0,30.0,0.0,0.0,3x30 g - Multipack,3*30 g ,90 g,90.0,0.3333333333333333
100,100,Potato Chips Wafer Style - Sundried Chilli Flavour,Lays,60.0,54.0,6.0,10.0,3 x 40 g - Multipack,3*40 g ,120 g,120.0,0.45
101,101,Original Style Potato Chips - Chilli Sprinkled,Bingo,100.0,80.75,19.25,19.25,2x90 g - Multipack,2*90 g ,180 g,180.0,0.4486111111111111
102,102,Marie Light Vita Orange Biscuits - Tea Time Partner,Sunfeast,15.0,15.0,0.0,0.0,100 g - Pouch,100 g ,100 g ,100.0,0.15
103,103,Chocolate Coated Wafer Home Treats,Cadbury Perk,297.0,221.62,75.38,25.38,3 x 126 g - Multipack,3*126 g ,378 g,378.0,0.5862962962962963
104,104,Chocolate Shots,Cadbury Dairy Milk,10.0,10.0,0.0,0.0,18 g - Pouch,18 g ,18 g ,18.0,0.5555555555555556
105,105,Tomato Discs,PEPPY,180.0,90.0,90.0,50.0,3x60 g - Multipack,3*60 g ,180 g,180.0,0.5
106,106,Nutrichoice Thin Arrowroot Biscuits,Britannia,40.0,40.0,0.0,0.0,300 g ,300 g ,300 g ,300.0,0.13333333333333333
107,107,Vanilla Flavour Creme Sandwich Biscuit,Cadbury Oreo,270.0,270.0,0.0,0.0,2 x 481.25 g - Multipack,2*481.25 g ,2*481.25 g ,,
108,108,Vanilla Flavour Creme Sandwich Biscuit,Cadbury Oreo,198.0,198.0,0.0,0.0,3 x 288.75 g - Multipack,3*288.75 g ,3*288.75 g ,,
109,109,Good Day Chocochip Cookies,Britannia,140.0,93.34,46.66,33.33,400 g ,400 g ,400 g ,400.0,0.23335
110,110,Cup Noodles Mazedaar Masala,Nissin Food,150.0,133.86,16.139999999999986,10.76,3x70 g - Multipack,3*70 g ,210 g,210.0,0.6374285714285715
111,111,Potato Chips - Spanish Tomato Tango,Lays,100.0,75.2,24.799999999999997,24.8,2 x 90 g - Multipack,2*90 g ,180 g,180.0,0.4177777777777778
