,Sr.No.,Grocery_Name,Brand_Name,MRP_Price,Discount_Price,Total Disc,Percetage Disc,Quantity,strip_qua,Quantity_upd,Converted_Quantity,Price_per_unit(gm/ml/pc)
171,171,Bengaluru Special Mixture,Sowbhagya foods,330.0,165.0,165.0,50.0,2 x 500 g - Multipack,2*500 g ,1000 g,1000.0,0.165
172,172,Ready To Eat Veg Masala Noodles,Wai Wai,45.0,42.75,2.25,5.0,3 x 70 g - Multipack,3*70 g ,210 g,210.0,0.20357142857142857
173,173,"Marie Light Biscuits - With Oats & Wheat Fibre, Tea Time Partner",Sunfeast,10.0,9.4,0.5999999999999996,6.0,65 g ,65 g ,65 g ,65.0,0.14461538461538462
174,174,Digestive Wholewheat Biscuits,McVitie's,225.0,185.51,39.49000000000001,17.55,253.3 g - (Multipack) (Pack of 3),253.3 g ,253.3 g ,253.3,0.7323726806158705
175,175,Strawberry Flavour Creme Sandwich Biscuit,Cadbury Oreo,105.0,86.94,18.060000000000002,17.2,3 x 113.75 g - Multipack,3*113.75 g ,3*113.75 g ,,
176,176,3 Minute Breakfast - Poha,MTR,81.0,69.0,12.0,14.81,3 x 60 g - Multipack,3*60 g ,180 g,180.0,0.38333333333333336
177,177,Cheez Puffs,Cheetos,50.0,46.0,4.0,8.0,5x28 g - Multipack,5*28 g ,140 g,140.0,0.32857142857142857
178,178,YiPPee! Mood Masala Instant Noodles,Sunfeast,120.0,91.2,28.799999999999997,24.0,2x260 g - (Pack of 2),2*260 g ,520 g,520.0,0.1753846153846154
179,179,Vermicelli - Rice Sevai,MTR,50.0,50.0,0.0,0.0,400 g - Pouch,400 g ,400 g ,400.0,0.125
180,180,Bounce Creme Biscuits - Orange,Sunfeast,0.0,0.0,0.0,,41 g ,41 g ,41 g ,41.0,0.0
181,181,Maxx Macho Chilli,Lays,60.0,50.4,9.600000000000001,16.0,2 x 56  g - Multipack,2*56  g ,112 g,112.0,0.45
182,182,2-Minute Instant Noodles - Special Masala,MAGGI ,240.0,216.0,24.0,10.0,840 g - (Pack of 12),840 g ,840 g ,840.0,0.2571428571428571
183,183,Papad - Jeera,Lijjat,72.0,72.0,0.0,0.0,200 g - Pouch,200 g ,200 g ,200.0,0.36
184,184,HiFi Cashew Butter Cookies,Sunfeast,5.0,5.0,0.0,0.0,35 g - pouch,35 g ,35 g ,35.0,0.14285714285714285
185,185,"Peanut Butter - Crunchy, Rich In Protein, Spreads",Sundrop,250.0,225.0,25.0,10.0,924 g ,924 g ,924 g ,924.0,0.2435064935064935
186,186,"Waffy Wafers - Orange Flavoured, Creamy & Crunchy",Dukes ,50.0,25.0,25.0,50.0,60 g - Pouch,60 g ,60 g ,60.0,0.4166666666666667
187,187,Khara Boondi,Townbus,55.0,55.0,0.0,0.0,135 g ,135 g ,135 g ,135.0,0.4074074074074074
188,188,"Tiger Kreemz - Elaichi Cream Biscuits, Teatime Snack",Britannia,5.0,5.0,0.0,0.0,33.4 g ,33.4 g ,33.4 g ,33.4,0.14970059880239522
189,189,"Biscuits - Marie, Sugar Free",Bisk Farm,50.0,50.0,0.0,0.0,300 g - Packet,300 g ,300 g ,300.0,0.16666666666666666
190,190,Kaju Katri,Amul,435.0,435.0,0.0,0.0,500 g ,500 g ,500 g ,500.0,0.87
191,191,Funfoods Veg Mayonnaise - Original,Dr. Oetker,178.0,142.0,36.0,20.22,2 x 250 g - Multipack,2*250 g ,500 g,500.0,0.284
192,192,Salted Peanut,Haldiram's,265.0,265.0,0.0,0.0,1 Kg ,1 Kg ,1 Kg ,1000.0,0.265
193,193,Dark Soy Sauce,Ching's Secret,180.0,163.8,16.19999999999999,9.0,3x200 g - Multipack,3*200 g ,600 g,600.0,0.273
194,194,Chocolate Pack,Cadbury Nutties,360.0,360.0,0.0,0.0,8 x 30 g - Multipack,8*30 g ,240 g,240.0,1.5
195,195,Cup-A-Soup - Manchow Veg,Knorr,100.0,100.0,0.0,0.0,10x12 g - Multipack,10*12 g ,120 g,120.0,0.8333333333333334
196,196,"Masala Oats - Tasty Evening Snack, Fibre Rich, Veggie Twist",Saffola,449.0,368.18,80.82,18.0,1 kg ,1 kg ,1 kg ,1000.0,0.36818
197,197,Smiles Crispy - Happy Potatoes,McCain,370.0,370.0,0.0,0.0,1.25 kg ,1.25 kg ,1.25 kg ,1250.0,0.296
198,198,Mithai Shankarpali Sweet - Crispy,Tasties Origins,109.0,65.0,44.0,40.37,150 g ,150 g ,150 g ,150.0,0.43333333333333335
199,199,"Oats - Tasty Evening Snack, Fibre Rich, Masala & Coriander",Saffola,195.0,171.6,23.400000000000006,12.0,500 g ,500 g ,500 g ,500.0,0.3432
200,200,Namkeen - All in One,Haldiram's,100.0,100.0,0.0,0.0,400 g - Pouch,400 g ,400 g ,400.0,0.25
201,201,Cup-A-Soup - Hot & Sour Veg,Knorr,100.0,100.0,0.0,0.0,10x11 g - Multipack,10*11 g ,110 g,110.0,0.9090909090909091
202,202,Besan Laddoo,Daadi's,240.0,120.0,120.0,50.0,2x200 g - Multipack,2*200 g ,400 g,400.0,0.3
203,203,Farmlite Biscuit - Oats & Almonds,Sunfeast,195.0,152.49,42.50999999999999,21.8,3x150 g - (Multipack),3*150 g ,450 g,450.0,0.3388666666666667
204,204,Besan Laddoo Mithai / Sweet,Tasties,160.0,85.0,75.0,46.88,200 g ,200 g ,200 g ,200.0,0.425
205,205,"Nachos - Cheese Flavour, With Free Dip",Bingo,100.0,76.5,23.5,23.5,2 x 100 g - Multipack,2*100 g ,200 g,200.0,0.3825
206,206,Frozen - Mixed Vegetables,Safal,150.0,127.5,22.5,15.0,1 Kg - Pouch,1 Kg ,1 Kg ,1000.0,0.1275
207,207,Muesli Breakfast Cereal - With Multigrain & 21% Fruit & Nut,BB Royal,720.0,419.0,301.0,41.81,2x500 g - Multipack,2*500 g ,1000 g,1000.0,0.419
208,208,"Milkybar Bar - Rich Taste, Creamy",Nestle ,10.0,10.0,0.0,0.0,12.5 g ,12.5 g ,12.5 g ,12.5,0.8
209,209,Vermicelli - Made From Wheat,Aashirvaad,89.0,89.0,0.0,0.0,850 g ,850 g ,850 g ,850.0,0.10470588235294118
210,210,"2 Minute Instant Noodles - Veggie Masala, Made With Quality Spices, Rich In Fibre",MAGGI ,60.0,60.0,0.0,0.0,248 g - Pouch,248 g ,248 g ,248.0,0.24193548387096775
211,211,Namkeen - Mixture,Haldiram's,60.0,60.0,0.0,0.0,6x55 g - Multipack,6*55 g ,330 g,330.0,0.18181818181818182
212,212,Nissin Geki - Hot & Spicy Korean Veg Flavour,Nissin,294.0,220.5,73.5,25.0,80 g - (Pack of 6),80 g ,80 g ,80.0,2.75625
213,213,Potato Chips - American Style Cream & Onion Flavour,Lays,60.0,57.0,3.0,5.0,3x52 g - Multipack,3*52 g ,156 g,156.0,0.36538461538461536
214,214,Minis Chocolate Home Treats Pack,Cadbury Dairy Milk Silk,600.0,541.44,58.559999999999945,9.76,3 x 153 g - Multipack,3*153 g ,459 g,459.0,1.179607843137255
215,215,"Muesli - 20% Nuts Delight, Multigrain Breakfast Cereal, High In Iron & Fibre, Naturally Cholesterol Free",Kelloggs,790.0,529.0,261.0,33.04,1 kg ,1 kg ,1 kg ,1000.0,0.529
216,216,Durum Wheat Pasta - Fusilli,BORGES,598.0,309.46,288.54,48.25,2x500 g - Multipack,2*500 g ,1000 g,1000.0,0.30945999999999996
217,217,Green Chilly Sauce,Ching's Secret,180.0,163.8,16.19999999999999,9.0,3x190 g - Multipack,3*190 g ,570 g,570.0,0.2873684210526316
218,218,Gulab Jamun,Haldiram's,675.0,675.0,0.0,0.0,3 x 1 kg - Multipack,3*1 kg ,3 kg,3000.0,0.225
219,219,Marie Light Active - Original Biscuits,Sunfeast,90.0,81.0,9.0,10.0,3x186 g ,3*186 g ,558 g,558.0,0.14516129032258066
220,220,Masala Rava Idli Ready Mix,MTR,130.0,120.0,10.0,7.69,500 g - Pouch,500 g ,500 g ,500.0,0.24
221,221,Jim Jam Pops Biscuit,Britannia,100.0,85.0,15.0,15.0,350 g ,350 g ,350 g ,350.0,0.24285714285714285
222,222,Treat - Crazy Pineapple Cream Biscuits,Britannia,120.0,114.0,6.0,5.0,12x64 g - Multipack,12*64 g ,768 g,768.0,0.1484375
223,223,Veggi Manchow Instant Cup Noodles,Nissin,120.0,116.4,3.5999999999999943,3.0,3x70 g - Multipack,3*70 g ,210 g,210.0,0.5542857142857143
224,224,Cranberry Dark Chocolate Bar,Cadbury Bournville,330.0,297.53,32.47000000000003,9.84,3 x 80 g - Multipack,3*80 g ,240 g,240.0,1.2397083333333332
225,225,Namkeen - All In One Mixture,Tasties,294.0,199.02,94.97999999999999,32.31,6x150 g - Multipack,6*150 g ,900 g,900.0,0.22113333333333335
226,226,"Banana Chocochip Pancake Mix - No Maida, Eggless Instant Healthy Breakfast",Slurrp Farm,447.0,415.71,31.29000000000002,7.0,3x150 g - Multipack,3*150 g ,450 g,450.0,0.9238
227,227,Chocos,Kelloggs,515.0,515.0,0.0,0.0,1.15 Kg ,1.15 Kg ,1.15 Kg ,1150.0,0.44782608695652176
228,228,"Minute Fresh Dosa Batter - No Added Preservatives, Soda, Colours Or Flavours, Authentic Taste",MTR FOODS,85.0,71.0,14.0,16.47,850 g ,850 g ,850 g ,850.0,0.08352941176470588
229,229,Polo - The Mint With The Hole,Nestle ,5.0,5.0,0.0,0.0,12 g - Pouch,12 g ,12 g ,12.0,0.4166666666666667
230,230,"Daily Pasta - Made From Durum Wheat, Elbow",Bambino,150.0,75.0,75.0,50.0,500 g ,500 g ,500 g ,500.0,0.15
231,231,Fatafat Bhel,Haldiram's,270.0,270.0,0.0,0.0,6x65 g - Multipack,6*65 g ,390 g,390.0,0.6923076923076923
232,232,3 Minute Breakfast Vegetable Upma,MTR,81.0,69.0,12.0,14.81,3 x 60 g - Multipack,3*60 g ,180 g,180.0,0.38333333333333336
233,233,Crispello Chocolate Bar,Cadbury Dairy Milk,105.0,96.73,8.269999999999996,7.88,3x35 g - Multipack,3*35 g ,105 g,105.0,0.9212380952380953
234,234,"Bites - Almond, Roasted & Chocolate Coated",Cadbury Dairy Milk,225.0,190.35,34.650000000000006,15.4,3 x 40 g - Multipack,3*40 g ,120 g,120.0,1.58625
235,235,Mixed Vegetable Cup A Soup - No Added Preservatives,Knorr,10.0,10.0,0.0,0.0,9.5 g ,9.5 g ,9.5 g ,9.5,1.0526315789473684
236,236,Roasted Vermicelli,BB Royal,130.0,74.0,56.0,43.08,2x400 g - Multipack,2*400 g ,800 g,800.0,0.0925
237,237,Crackle Chocolate Bar,Cadbury Dairy Milk,360.0,335.16,24.839999999999975,6.9,8 x 36 g - Multipack,8*36 g ,288 g,288.0,1.16375
238,238,Coconut Barfi Mithai / Sweet - Made With Desi Ghee,Tasties,199.0,85.0,114.0,57.29,200 g ,200 g ,200 g ,200.0,0.425
239,239,Miniatures Chocolate,Snickers,199.0,169.15,29.849999999999994,15.0,180 g - Pouch,180 g ,180 g ,180.0,0.9397222222222222
240,240,Happy Happy Choco-Chip Cookies,Parle,140.0,70.0,70.0,50.0,396 g ,396 g ,396 g ,396.0,0.17676767676767677
241,241,"Chocolate Bar - Bar One, Nougat & Caramel Filled",Nestle ,20.0,20.0,0.0,0.0,38 g ,38 g ,38 g ,38.0,0.5263157894736842
242,242,Namkeen - Tasty Nut Masala Coated,Tasties,294.0,159.0,135.0,45.92,6x150 g - Multipack,6*150 g ,900 g,900.0,0.17666666666666667
243,243,Fruit & Nut Chocolate Bar,Cadbury Dairy Milk,540.0,502.74,37.25999999999999,6.9,6 x 80 g - Multipack,6*80 g ,480 g,480.0,1.047375
244,244,Peanut Filled Chocolate Bar,Snickers,11520.0,9792.0,1728.0,15.0,288x45 g - Multipack,288*45 g ,12960 g,12960.0,0.7555555555555555
245,245,Candy - Melody Chocolaty,Parle,100.0,100.0,0.0,0.0,391 g - Pouch,391 g ,391 g ,391.0,0.2557544757033248
246,246,Murukku,Haldiram's,65.0,65.0,0.0,0.0,200 g - Pouch,200 g ,200 g ,200.0,0.325
247,247,Waffy Wafers - Chocolate Flavoured Creamy & Crunchy,Dukes ,50.0,25.0,25.0,50.0,60 g - Pouch,60 g ,60 g ,60.0,0.4166666666666667
248,248,Chocolate,Cadbury Dairy Milk,300.0,276.36,23.639999999999986,7.88,6x55 g - Multipack,6*55 g ,330 g,330.0,0.8374545454545455
249,249,"Chocos - Variety Pack, With Protein & Fibre",Kelloggs,210.0,186.0,24.0,11.43,3x175 g - Multipack,3*175 g ,525 g,525.0,0.35428571428571426
250,250,"Khova - Unsweetened, Creamy Texture, Milky Aroma",Milky Mist,95.0,95.0,0.0,0.0,200 g - Pouch,200 g ,200 g ,200.0,0.475
251,251,Spiced Chicken Instant Cup Noodles,Nissin,150.0,133.86,16.139999999999986,10.76,3x70 g - Multipack,3*70 g ,210 g,210.0,0.6374285714285715
252,252,Baking Soda,Weikfield,32.0,32.0,0.0,0.0,100 g - Jar,100 g ,100 g ,100.0,0.32
253,253,Marie Biscuits,Parle,175.0,87.5,87.5,50.0,800 g ,800 g ,800 g ,800.0,0.109375
254,254,Happala,Anil,80.0,80.0,0.0,0.0,200 g - Pouch,200 g ,200 g ,200.0,0.4
255,255,Badam Laddoo - Made In Pure Ghee,Daadi's,380.0,190.0,190.0,50.0,2x200 g - Multipack,2*200 g ,400 g,400.0,0.475
256,256,Durum Wheat Pasta - Spaghetti,HappyChef,350.0,182.36,167.64,47.9,2x500 g - Multipack,2*500 g ,1000 g,1000.0,0.18236000000000002
257,257,Namkeen - All in One,Haldiram's,10.0,10.0,0.0,0.0,38 g - Pouch,38 g ,38 g ,38.0,0.2631578947368421
258,258,Power Up Instant Atta Noodles,Sunfeast YiPPee!,112.0,89.6,22.400000000000006,20.0,280 g - (Pack of 4),280 g ,280 g ,280.0,0.32
259,259,"Oats Multigrain Rolled Oats Wholegrain - High Protein & Fibre For Weight Loss, Dalia Porridge",Quaker,350.0,280.0,70.0,20.0,2 x 600 g - Multipack,2*600 g ,1200 g,1200.0,0.23333333333333334
260,260,Potato Chips Original Style - Salt Sprinkled,Bingo,60.0,54.0,6.0,10.0,3x45 g - Multipack,3*45 g ,135 g,135.0,0.4
261,261,"Wheat Chapathi - Soft, Tasty & Highly Nutritious, Just Heat",Asal,40.0,40.0,0.0,0.0,200 g ,200 g ,200 g ,200.0,0.2
262,262,Microwave Popcorn - Butter Lovers Flavor,ACT II,450.0,426.0,24.0,5.33,6x99 g - Multipack,6*99 g ,594 g,594.0,0.7171717171717171
263,263,Makka Popcorn - Corn Kernels,4700BC,40.0,38.0,2.0,5.0,200 g ,200 g ,200 g ,200.0,0.19
264,264,"Essentials Oats Cookies (No Added Sugar & Diabetic Friendly),",Britannia NutriChoice ,140.0,118.27,21.730000000000004,15.52,2x 150 g - Multipack,2*150 g ,300 g,300.0,0.3942333333333333
265,265,"Peanut Chikki - Made With jaggery, Healthy Snack, Protein Rich",SDA ,85.0,85.0,0.0,0.0,200 g - POUCH,200 g ,200 g ,200.0,0.425
266,266,Appalam - No 6,Ambika,60.0,60.0,0.0,0.0,100 g ,100 g ,100 g ,100.0,0.6
267,267,Elbow Macaroni,BB Royal,120.0,74.0,46.0,38.33,2x400 g - Multipack,2*400 g ,800 g,800.0,0.0925
268,268,Choco Pie - Chocolate Coated Soft Biscuit,Orion,340.0,244.8,95.19999999999999,28.0,336 g - (Pack of 2),336 g ,336 g ,336.0,0.7285714285714286
269,269,Mast Masala Soupy Noodles,Knorr,60.0,60.0,0.0,0.0,3x70 g - Multipack,3*70 g ,210 g,210.0,0.2857142857142857
270,270,"Oats - Tasty Evening Snack, Fibre Rich, Classic Masala",Saffola,449.0,368.18,80.82,18.0,1 kg - Pouch,1 kg ,1 kg ,1000.0,0.36818
271,271,Potato Chips - Sizzlin Hot,Lays,20.0,20.0,0.0,0.0,40 g ,40 g ,40 g ,40.0,0.5
272,272,"Multigrain Energy Bar - Chocolate Chunk Nut, Healthy, High In Protein & Fibre",Yoga Bar,40.0,35.0,5.0,12.5,38 g ,38 g ,38 g ,38.0,0.9210526315789473
273,273,Papad - Urad,Lijjat,366.0,366.0,0.0,0.0,1 kg - Pouch,1 kg ,1 kg ,1000.0,0.366
274,274,Namkeen - Masala Kaju,Haldiram's,100.0,100.0,0.0,0.0,2x35 g - Multipack,2*35 g ,70 g,70.0,1.4285714285714286
275,275,Dharwad Peda,Lal sweets Pvt Ltd,130.0,130.0,0.0,0.0,200 g - Carton,200 g ,200 g ,200.0,0.65
276,276,Treat Strawberry Wafers,Britannia Treat,100.0,50.0,50.0,50.0,2 x 55 g - (Multipack),2*55 g ,110 g,110.0,0.45454545454545453
277,277,Mysore Pak Prem,Lal,250.0,250.0,0.0,0.0,400 g ,400 g ,400 g ,400.0,0.625
278,278,"Natural Peanut Butter - Crunchy, Unsweetened",Pintola,425.0,384.0,41.0,9.65,1 kg ,1 kg ,1 kg ,1000.0,0.384
279,279,Farmlite 5 Grain Digestive Biscuit - High Fibre,Sunfeast,240.0,120.12,119.88,49.95,800 g ,800 g ,800 g ,800.0,0.15015
280,280,"Waffy Wafers - Vanilla Flavoured, Creamy & Crunchy",Dukes ,50.0,25.0,25.0,50.0,60 g - Pouch,60 g ,60 g ,60.0,0.4166666666666667
281,281,"0% Added Sugar Millet Muesli, High Protein, Rich In Fibre",Tata Soulfull,529.0,343.85,185.14999999999998,35.0,700 g ,700 g ,700 g ,700.0,0.49121428571428577
282,282,Rice Sevai,Manna,89.0,71.2,17.799999999999997,20.0,200 g - Pouch,200 g ,200 g ,200.0,0.35600000000000004
283,283,Bounce Biscuits - Elaichi Creme Cookies,Sunfeast,60.0,57.0,3.0,5.0,6x58 gm - Multipack,6*58 gm ,348 gm,348.0,0.16379310344827586
284,284,Farmlite Biscuit - Oats And Chocolate,Sunfeast,130.0,103.87,26.129999999999995,20.1,2x150 g - Multipack,2*150 g ,300 g,300.0,0.34623333333333334
285,285,Chocolate Syrup,Hersheys ,300.0,285.0,15.0,5.0,3x200 g - Multipack,3*200 g ,600 g,600.0,0.475
286,286,Namkeen Green Chutney Style,Kurkure,10.0,10.0,0.0,0.0,36 g ,36 g ,36 g ,36.0,0.2777777777777778
287,287,Good Day Chunkies Chocolate Cookies,Britannia,80.0,60.0,20.0,25.0,120 g ,120 g ,120 g ,120.0,0.5
288,288,Yummiez Nuggets - Chicken,Godrej Yummiez,350.0,325.0,25.0,7.14,500 g - Pouch,500 g ,500 g ,500.0,0.65
289,289,"Dinamita Tortilla Chips - Fiery Crunchy, Nachos, Snacks, Lime & Chilli Flavour",Doritos,90.0,72.0,18.0,20.0,3 x 56g - Multipack,3*56g ,168 g,168.0,0.42857142857142855
290,290,Namkeen - Corn Flakes Mixture,Townbus,10.0,10.0,0.0,0.0,30 g ,30 g ,30 g ,30.0,0.3333333333333333
291,291,Motichoor Laddu Mithai / Sweet - Made With Desi Ghee,Tasties,199.0,125.0,74.0,37.19,200 g ,200 g ,200 g ,200.0,0.625
292,292,"Minute Fresh Idli Batter - ConviPack, No Added Soda, Preservatives, Flavours Or Colours, Authentic Taste",MTR FOODS,85.0,71.0,14.0,16.47,750 g ,750 g ,750 g ,750.0,0.09466666666666666
293,293,Bourbon - The Original Biscuits,Britannia,75.0,72.0,3.0,4.0,3x100 g - Multi Pack,3*100 g ,300 g,300.0,0.24
294,294,Durum Wheat Pasta - Mini Penne Rigate,BORGES,320.0,165.6,154.4,48.25,2x350 g - Multipack,2*350 g ,700 g,700.0,0.23657142857142857
295,295,"Masala Oats - Tasty Evening Snack, Fibre Rich, Curry & Pepper",Saffola,207.0,182.16,24.840000000000003,12.0,500 g ,500 g ,500 g ,500.0,0.36432
296,296,Roasted Peanuts - Classic Salted,JABSONS,70.0,70.0,0.0,0.0,160 g - Pouch,160 g ,160 g ,160.0,0.4375
297,297,Chocolate Gift Pack,Cadbury Celebrations,1200.0,900.0,300.0,25.0,59.8 g - Pack of 24,59.8 g ,59.8 g ,59.8,15.050167224080269
298,298,Premium Laddoo - Besan,Lal,250.0,250.0,0.0,0.0,400 g ,400 g ,400 g ,400.0,0.625
299,299,Cheese Licks,Bisk Farm,35.0,35.0,0.0,0.0,150 g - Pouch,150 g ,150 g ,150.0,0.23333333333333334
300,300,"American Pistachios - Roasted & Salted, 100% Natural, Premium, No Additives",Grocery Farm,399.0,279.3,119.69999999999999,30.0,200 g ,200 g ,200 g ,200.0,1.3965
301,301,Cocoa Powder,HappyChef,65.0,58.5,6.5,10.0,50 g ,50 g ,50 g ,50.0,1.17
302,302,Classic Chocolate,Nestle ,20.0,20.0,0.0,0.0,34 g - Pouch,34 g ,34 g ,34.0,0.5882352941176471
303,303,Red Chilli Sauce,Ching's Secret,180.0,163.8,16.19999999999999,9.0,3x200 g - Multipack,3*200 g ,600 g,600.0,0.273
304,304,Chicken Instant Noodles,MAGGI ,72.0,72.0,0.0,0.0,284 g - Pouch,284 g ,284 g ,284.0,0.2535211267605634
305,305,Crunchy Granola Almonds & Cranberries,Kelloggs,380.0,350.0,30.0,7.89,460 g ,460 g ,460 g ,460.0,0.7608695652173914
306,306,"Butter Murukku - Fresh, Crunchy, South Indian Snack",Modern Kitchens,60.0,51.0,9.0,15.0,150 g ,150 g ,150 g ,150.0,0.34
307,307,"Honey Active - From Sundarban Forest, 100% Pure, No Sugar Adulteration",Saffola,475.0,370.5,104.5,22.0,1 kg - Jar,1 kg ,1 kg ,1000.0,0.3705
308,308,Ready Mix - Vermicelli Payasam,MTR,75.0,75.0,0.0,0.0,180 g - Pouch,180 g ,180 g ,180.0,0.4166666666666667
309,309,Glucose Biscuits,Sunfeast,50.0,47.5,2.5,5.0,5x96 g - Multipack,5*96 g ,480 g,480.0,0.09895833333333333
310,310,Namkeen - Ratlami Sev,Haldiram's,141.0,141.0,0.0,0.0,3x150 g - Multipack,3*150 g ,450 g,450.0,0.31333333333333335
311,311,Chocolate Wafers,Britannia Treat,100.0,50.0,50.0,50.0,2x60 g - Multipack,2*60 g ,120 g,120.0,0.4166666666666667
312,312,Mayonnaise - Eggless Spout,Del Monte ,438.0,298.02,139.98000000000002,31.96,2x900 g - Multipack,2*900 g ,1800 g,1800.0,0.16556666666666667
313,313,Classic Corn Flakes,BB Royal,340.0,189.0,151.0,44.41,900 g ,900 g ,900 g ,900.0,0.21
314,314,Soan Papdi - Real Cardamom,GRB,70.0,70.0,0.0,0.0,200 g - Pouch,200 g ,200 g ,200.0,0.35
315,315,Pickle - Mango,Mother's Recipe,149.0,108.77,40.230000000000004,27.0,500 g - Pouch,500 g ,500 g ,500.0,0.21753999999999998
316,316,Soan Papdi,Haldiram's,1560.0,1560.0,0.0,0.0,12x500 g - Multipack,12*500 g ,6000 g,6000.0,0.26
317,317,Instant Popcorn - Tomato Chilli,ACT II,198.0,198.0,0.0,0.0,6x59 g - Multipack,6*59 g ,354 g,354.0,0.559322033898305
318,318,Durum Wheat Pasta - Spaghetti,BORGES,299.0,154.73,144.27,48.25,500 g - Pouch,500 g ,500 g ,500.0,0.30945999999999996
319,319,French Fries,Amul Happy Treats,180.0,180.0,0.0,0.0,2x425 g - Multipack,2*425 g ,850 g,850.0,0.21176470588235294
320,320,Peanut & Caramel Filled Chocolate Bar,Cadbury Fuse,320.0,288.51,31.49000000000001,9.84,8x45 g - Multipack,8*45 g ,360 g,360.0,0.8014166666666667
321,321,Milkybar White Chocolate,Nestle ,40.0,32.0,8.0,20.0,42 g - Box,42 g ,42 g ,42.0,0.7619047619047619
322,322,Chocolate Bar,Cadbury Dairy Milk Silk,525.0,514.5,10.5,2.0,3x150 g - Multipack,3*150 g ,450 g,450.0,1.1433333333333333
323,323,Original Potato Chips - Classic Salted Flavoured,Pringles,230.0,207.0,23.0,10.0,2x107 g - Multipack,2*107 g ,214 g,214.0,0.9672897196261683
324,324,"Real Mayonnaise - Eggless Extra Creamy, World's No. 1 Brand",Hellmanns,90.0,82.8,7.200000000000003,8.0,250 g ,250 g ,250 g ,250.0,0.3312
325,325,Fruit & Nut Dark Chocolate Bar,Cadbury Bournville,300.0,270.48,29.519999999999982,9.84,3 x 80 g - Multipack,3*80 g ,240 g,240.0,1.127
326,326,Nissin Geki - Hot & Spicy Korean Chicken Flavour,Nissin,294.0,220.5,73.5,25.0,80 g - (Pack of 6),80 g ,80 g ,80.0,2.75625
327,327,Instant Popcorn - Magic Butter Flavour,ACT II,10.0,10.0,0.0,0.0,30 g ,30 g ,30 g ,30.0,0.3333333333333333
328,328,Assorted Choco Treats,Lindberg,549.0,375.0,174.0,31.69,200 g - (18 pcs),200 g ,200 g ,200.0,1.875
329,329,Phalhari Chiwda Namkeen - Sweet & Salty,Haldiram's,47.0,47.0,0.0,0.0,200 g - Pouch,200 g ,200 g ,200.0,0.235
330,330,Namkeen - Phalhari Chiwda,Haldiram's,10.0,10.0,0.0,0.0,45 g - Pouch,45 g ,45 g ,45.0,0.2222222222222222
331,331,"Waffy Wafers - Strawberry Flavoured, Creamy & Crunchy",Dukes ,50.0,25.0,25.0,50.0,60 g - Pouch,60 g ,60 g ,60.0,0.4166666666666667
332,332,Samosa Patti,Switz,100.0,82.0,18.0,18.0,2x25 Sheets - Multipack,2*25 Sheets ,50 Sheets,50.0,1.64
333,333,"Fruit N Nut, Dark Chocolate- 55% Rich In Cocoa",Amul,110.0,110.0,0.0,0.0,150 g - Carton,150 g ,150 g ,150.0,0.7333333333333333
334,334,Masala - Chutney Powder,MTR,155.0,145.0,10.0,6.45,200 g - Pouch,200 g ,200 g ,200.0,0.725
335,335,"Veggie Fingers - Veggie Delight With Corn, Carrot & Peas",McCain,155.0,155.0,0.0,0.0,400 g ,400 g ,400 g ,400.0,0.3875
336,336,Namkeen - Bhel Puri,Haldiram's,100.0,94.0,6.0,6.0,300 g - Pouch,300 g ,300 g ,300.0,0.31333333333333335
337,337,"Little Millet Noodles - No Maida, Not Fried",Slurrp Farm,387.0,387.0,0.0,0.0,3x192 g - Multipack,3*192 g ,576 g,576.0,0.671875
338,338,Rice Papad - Jeera,Mother's Recipe,25.0,25.0,0.0,0.0,75 g ,75 g ,75 g ,75.0,0.3333333333333333
339,339,"Essentials Ragi Cookies - No Added Sugar & Diabetic Friendly, High Dietary Fibre",Britannia NutriChoice ,70.0,61.6,8.399999999999999,12.0,150 g ,150 g ,150 g ,150.0,0.4106666666666667
340,340,Pazzta Masala Penne - Made With 100% Suji/Rawa,MAGGI ,54.0,46.0,8.0,14.81,"139 g - Family Saver Pack, Pouch",139 g ,139 g ,139.0,0.33093525179856115
341,341,"Badam Drink Mix - Real Badam, Elaichi & Kesar",MTR,260.0,220.0,40.0,15.38,450 g ,450 g ,450 g ,450.0,0.4888888888888889
342,342,"Oats Cookies Milk Almond,",Britannia NutriChoice ,75.0,60.56,14.439999999999998,19.25,3x 75 g - Multipack,3*75 g ,225 g,225.0,0.2691555555555556
343,343,Super Snack - Cream & Onion,MR. MAKHANA,49.0,46.55,2.450000000000003,5.0,27.5 g ,27.5 g ,27.5 g ,27.5,1.6927272727272726
344,344,Chocolate Gift Pack,Cadbury Celebrations,1194.0,1099.91,94.08999999999992,7.88,178.8 g - Pack of 6,178.8 g ,178.8 g ,178.8,6.15162192393736
345,345,Namkeen - Green Chutney Rajasthani Style,Kurkure,60.0,60.0,0.0,0.0,3x90 g - Multipack,3*90 g ,270 g,270.0,0.2222222222222222
346,346,"Sugar Free Biscuits - Cream Cracker, Crunchy, Teatime Snack",Bisk Farm,45.0,45.0,0.0,0.0,300 g - Pouch,300 g ,300 g ,300.0,0.15
347,347,Veggie Stix - Sour Cream & Onion,Too Yumm!,60.0,55.2,4.799999999999997,8.0,3x45 g - Multipack,3*45 g ,135 g,135.0,0.4088888888888889
